ngram,principle,principl,principel,priniple
1593,7.918616769789619e-06,0.0,0.0,0.0
1594,8.064615550600657e-06,0.0,0.0,0.0
1595,8.747501072191102e-06,0.0,0.0,0.0
1596,9.520906262748343e-06,0.0,0.0,0.0
1597,7.871794878155924e-06,0.0,0.0,0.0
1598,1.990228981542584e-05,0.0,0.0,0.0
1599,1.9769546595073605e-05,0.0,0.0,0.0
1600,2.9090759003988103e-05,0.0,0.0,1.0650608471353604e-07
1601,2.9033896550702464e-05,0.0,0.0,1.0650608471353604e-07
1602,2.7785905932172943e-05,0.0,0.0,1.0650608471353604e-07
1603,2.63042520113491e-05,0.0,0.0,1.0650608471353604e-07
1604,2.6285523436594565e-05,0.0,0.0,1.0650608471353604e-07
1605,1.4438242601499951e-05,0.0,0.0,1.0650608471353604e-07
1606,1.834200863218679e-05,0.0,0.0,1.0650608471353604e-07
1607,8.65090960035429e-06,0.0,0.0,0.0
1608,7.869614153475726e-06,0.0,0.0,0.0
1609,1.0406649023155166e-05,0.0,0.0,0.0
1610,1.3308193729244522e-05,0.0,0.0,0.0
1611,1.8465862824866364e-05,0.0,0.0,0.0
1612,1.828511598692525e-05,0.0,0.0,0.0
1613,1.4918254432164499e-05,0.0,0.0,0.0
1614,1.5490196346945595e-05,0.0,0.0,0.0
1615,1.5871139599507194e-05,0.0,0.0,0.0
1616,1.6473524705621196e-05,0.0,0.0,0.0
1617,1.4271741844952754e-05,0.0,0.0,0.0
1618,1.2058220396024158e-05,0.0,0.0,0.0
1619,1.2802030174238358e-05,0.0,0.0,0.0
1620,1.1606880986749144e-05,0.0,0.0,0.0
1621,1.2251039964082469e-05,0.0,0.0,0.0
1622,1.229218716097031e-05,0.0,0.0,0.0
1623,1.0934265836632611e-05,0.0,0.0,0.0
1624,1.669167483799226e-05,0.0,0.0,0.0
1625,1.2970958355903609e-05,0.0,0.0,0.0
1626,1.356550056438469e-05,0.0,0.0,0.0
1627,1.5718886353559875e-05,0.0,0.0,0.0
1628,1.6376753364966135e-05,0.0,0.0,0.0
1629,1.7440191153842273e-05,0.0,0.0,0.0
1630,1.9176749674443272e-05,0.0,0.0,0.0
1631,1.650178777319005e-05,5.6679985911094784e-08,0.0,0.0
1632,1.9751509691039765e-05,5.6679985911094784e-08,0.0,0.0
1633,2.1297291433646543e-05,5.6679985911094784e-08,0.0,0.0
1634,2.4541603774455973e-05,5.6679985911094784e-08,0.0,0.0
1635,2.504928787467569e-05,5.6679985911094784e-08,0.0,0.0
1636,2.7211224733036943e-05,5.6679985911094784e-08,0.0,0.0
1637,2.4905649167651844e-05,5.6679985911094784e-08,0.0,0.0
1638,2.6502143165479148e-05,0.0,0.0,0.0
1639,2.4705983378225937e-05,0.0,0.0,0.0
1640,2.5151130882607375e-05,0.0,0.0,0.0
1641,2.37699114222778e-05,0.0,0.0,0.0
1642,2.442000654160178e-05,1.0794983446820489e-07,0.0,0.0
1643,2.1946733275919022e-05,1.0794983446820489e-07,0.0,0.0
1644,2.713781512803897e-05,1.0794983446820489e-07,0.0,0.0
1645,2.51289980691841e-05,1.0794983446820489e-07,0.0,0.0
1646,2.6584480110614095e-05,1.0794983446820489e-07,0.0,0.0
1647,2.48590180750138e-05,1.0794983446820489e-07,0.0,0.0
1648,2.497865820519759e-05,1.0794983446820489e-07,0.0,0.0
1649,2.6285219584159286e-05,7.822777498794104e-08,0.0,0.0
1650,3.060104492241018e-05,7.822777498794104e-08,0.0,0.0
1651,3.5445102574677935e-05,7.822777498794104e-08,0.0,0.0
1652,3.661786065224858e-05,7.822777498794104e-08,0.0,0.0
