ngram,luck,luk
1615,1.297625772167521e-06,0.0
1616,1.469376327025072e-06,0.0
1617,1.3380211336360453e-06,0.0
1618,1.2316737151455267e-06,0.0
1619,1.681811714401452e-06,0.0
1620,1.6644074938605108e-06,0.0
1621,1.3347977463646593e-06,0.0
1622,1.3347977463646593e-06,0.0
1623,1.5132015960261924e-06,0.0
1624,1.3896602614035406e-06,0.0
1625,2.5371534450511845e-06,0.0
1626,3.0055027114680603e-06,0.0
1627,2.7032859699310004e-06,0.0
1628,2.7687975960231725e-06,6.55116260921724e-08
1629,2.9338562837568005e-06,6.55116260921724e-08
1630,2.5675258988095654e-06,6.55116260921724e-08
1631,2.680885870631755e-06,1.7887159791436196e-07
1632,1.7097939511196664e-06,1.7887159791436196e-07
1633,1.0654922805640256e-06,1.7887159791436196e-07
1634,1.4357467616069438e-06,1.7887159791436196e-07
1635,2.522711091452428e-06,1.1335997182218957e-07
1636,2.531341221713644e-06,1.1335997182218957e-07
1637,2.870964099851595e-06,1.1335997182218957e-07
1638,3.0269442764360325e-06,0.0
1639,2.829936103613103e-06,0.0
1640,3.069790774848765e-06,0.0
1641,2.7592583811448482e-06,0.0
1642,2.3624312908460913e-06,0.0
1643,2.279064919516064e-06,0.0
1644,1.9502669772464287e-06,0.0
1645,2.073861476706692e-06,4.9116830983361326e-08
1646,2.096729657198791e-06,4.9116830983361326e-08
1647,1.8948260560591734e-06,4.9116830983361326e-08
1648,2.1101993833586415e-06,4.9116830983361326e-08
1649,1.4327782927076832e-06,4.9116830983361326e-08
1650,3.7580633797266013e-06,4.9116830983361326e-08
1651,3.875741031476666e-06,9.211691219336768e-08
1652,3.7611633761766176e-06,4.300008121000636e-08
1653,3.886552308683479e-06,4.300008121000636e-08
1654,4.1551802415337335e-06,4.300008121000636e-08
1655,4.577321395312797e-06,4.300008121000636e-08
1656,4.952166916284893e-06,4.300008121000636e-08
1657,2.842408126265842e-06,4.300008121000636e-08
1658,2.809485717339807e-06,0.0
1659,4.17165512901972e-06,0.0
1660,4.7472758199416735e-06,0.0
1661,5.241477765594027e-06,0.0
1662,5.802836864989201e-06,0.0
1663,5.5468485048290205e-06,0.0
1664,5.909150429163544e-06,3.9302981187055204e-08
1665,6.743362681455827e-06,3.9302981187055204e-08
1666,5.34252665472325e-06,3.9302981187055204e-08
1667,4.962658717236731e-06,3.9302981187055204e-08
1668,4.675250076096356e-06,3.9302981187055204e-08
1669,3.8659658067834764e-06,3.9302981187055204e-08
1670,5.292145975285426e-06,3.9302981187055204e-08
1671,5.523529742796589e-06,1.1733058207547791e-07
1672,4.7902483402140206e-06,1.1733058207547791e-07
1673,4.946443888392034e-06,1.1733058207547791e-07
1674,5.2077048167120665e-06,1.1733058207547791e-07
1675,5.278109386251474e-06,1.1733058207547791e-07
1676,5.515942153319234e-06,1.1733058207547791e-07
1677,4.833090607852293e-06,1.1733058207547791e-07
1678,4.272171898784498e-06,0.0
1679,4.572244214224546e-06,0.0
1680,4.5927026479018555e-06,3.620385768954293e-08
1681,4.647964585404095e-06,3.620385768954293e-08
1682,4.47547722615127e-06,7.652592362969049e-08
1683,4.582753295575717e-06,7.652592362969049e-08
1684,4.548208672921257e-06,7.652592362969049e-08
1685,4.7349445659555e-06,7.652592362969049e-08
1686,4.646076539367121e-06,7.652592362969049e-08
1687,4.47693271001169e-06,4.032206594014756e-08
1688,4.57717819049971e-06,4.032206594014756e-08
1689,4.1127012601854015e-06,0.0
1690,3.6506056793379164e-06,2.0770290884034433e-08
1691,3.5276504409661617e-06,2.0770290884034433e-08
1692,3.6886721253332714e-06,2.0770290884034433e-08
1693,3.7668339051119152e-06,2.0770290884034433e-08
1694,3.958573285802101e-06,4.515584147871518e-08
1695,3.49208812622237e-06,4.515584147871518e-08
1696,3.6962304810523553e-06,4.515584147871518e-08
1697,3.782689093765969e-06,3.1732625416225346e-08
1698,3.497596383437797e-06,3.1732625416225346e-08
1699,3.2947960854861388e-06,3.1732625416225346e-08
1700,2.8963780453393284e-06,4.4730478115135545e-08
1701,3.047110453735513e-06,2.0344927520454803e-08
1702,3.0225168075048714e-06,2.0344927520454803e-08
1703,3.0059010214245063e-06,2.0344927520454803e-08
1704,2.8989413587104148e-06,1.29978526989102e-08
1705,2.9689042711262507e-06,1.29978526989102e-08
1706,3.2606080659596567e-06,1.29978526989102e-08
1707,3.316614798417764e-06,4.860981204858815e-08
1708,3.1610065239614675e-06,4.860981204858815e-08
1709,3.1020372911630796e-06,4.860981204858815e-08
1710,3.0722430567818393e-06,4.860981204858815e-08
1711,3.312882199679734e-06,5.830214076598038e-08
1712,3.0384106334427737e-06,5.830214076598038e-08
1713,2.522766197086769e-06,5.830214076598038e-08
1714,2.407806229192439e-06,1.926393926916197e-08
1715,2.18886689903489e-06,1.926393926916197e-08
1716,2.5024036338956127e-06,2.8118897432705126e-08
1717,2.536309011702542e-06,2.8118897432705126e-08
1718,2.4328681515076563e-06,5.713534940403926e-08
