ngram,food,fod,fod,foodd
1728,1.3357582637192017e-05,7.635051651228813e-08,7.635051651228813e-08,0.0
1729,1.3391115706846385e-05,7.499490653880717e-08,7.499490653880717e-08,0.0
1730,1.4211265546951576e-05,4.411902513165192e-08,4.411902513165192e-08,8.18323796027341e-09
1731,1.439136537685824e-05,6.72108814317848e-08,6.72108814317848e-08,8.18323796027341e-09
1732,1.4200691761548764e-05,7.346940528967544e-08,7.346940528967544e-08,8.18323796027341e-09
1733,1.510853274209824e-05,6.835645141986138e-08,6.835645141986138e-08,8.18323796027341e-09
1734,1.56577059117678e-05,8.732239363342029e-08,8.732239363342029e-08,8.18323796027341e-09
1735,1.5492558434613913e-05,1.1319009780257667e-07,1.1319009780257667e-07,8.18323796027341e-09
1736,1.3777395581980403e-05,1.0681812107853667e-07,1.0681812107853667e-07,8.18323796027341e-09
1737,1.2699042534742538e-05,1.1373974930149546e-07,1.1373974930149546e-07,0.0
1738,1.2364894181311164e-05,8.988968604382665e-08,8.988968604382665e-08,0.0
1739,1.2004015908522498e-05,1.4178765996218446e-07,1.4178765996218446e-07,0.0
1740,1.1878776669098962e-05,1.5019995609171539e-07,1.5019995609171539e-07,0.0
1741,1.12741488789782e-05,1.243912980239007e-07,1.243912980239007e-07,0.0
1742,1.4542484352984633e-05,1.2403308297897248e-07,1.2403308297897248e-07,0.0
1743,1.5322320775469833e-05,1.4329587015384148e-07,1.4329587015384148e-07,0.0
1744,1.6424787645519245e-05,1.4530236264980495e-07,1.4530236264980495e-07,0.0
1745,1.7470313650846947e-05,1.5956503420154279e-07,1.5956503420154279e-07,0.0
1746,1.849952695920365e-05,1.1136449070850826e-07,1.1136449070850826e-07,0.0
1747,2.025945767465081e-05,9.722095890245847e-08,9.722095890245847e-08,0.0
1748,2.0618605308949816e-05,1.2997854627526196e-07,1.2997854627526196e-07,0.0
1749,1.8483718771936504e-05,1.1437961790404318e-07,1.1437961790404318e-07,4.955280376504691e-09
1750,2.0269693257952376e-05,1.0171429362263293e-07,1.0171429362263293e-07,4.955280376504691e-09
1751,2.0939877556104746e-05,1.0706272744544418e-07,1.0706272744544418e-07,4.955280376504691e-09
1752,2.3276591101811e-05,1.2080232382670276e-07,1.2080232382670276e-07,4.955280376504691e-09
1753,2.6816768565497894e-05,1.2593442682324557e-07,1.2593442682324557e-07,4.955280376504691e-09
1754,2.7630481261959566e-05,1.4690460352945983e-07,1.4690460352945983e-07,4.955280376504691e-09
1755,3.2443786039948463e-05,1.1414701615665632e-07,1.1414701615665632e-07,4.955280376504691e-09
1756,3.499050165243846e-05,1.1334286652088719e-07,1.1334286652088719e-07,0.0
1757,3.834690245899505e-05,1.1588077342139513e-07,1.1588077342139513e-07,3.045123264655558e-09
1758,3.7771752561509076e-05,1.0471180367233046e-07,1.0471180367233046e-07,3.045123264655558e-09
1759,3.848209754713545e-05,8.311987771086088e-08,8.311987771086088e-08,3.045123264655558e-09
1760,3.614001356514304e-05,8.133865568384278e-08,8.133865568384278e-08,3.045123264655558e-09
1761,3.849153550358356e-05,6.870357971422436e-08,6.870357971422436e-08,3.045123264655558e-09
1762,3.8898382107228304e-05,9.01642359504454e-08,9.01642359504454e-08,3.045123264655558e-09
1763,3.818310662089581e-05,1.0092854628242418e-07,1.0092854628242418e-07,3.045123264655558e-09
1764,4.085181041903395e-05,1.1427861400038961e-07,1.1427861400038961e-07,0.0
1765,4.544336843537167e-05,1.2296066285801187e-07,1.2296066285801187e-07,0.0
1766,4.602016062043341e-05,1.259730006657784e-07,1.259730006657784e-07,0.0
1767,5.116014290251769e-05,1.5388919954213115e-07,1.5388919954213115e-07,0.0
1768,5.414363736885467e-05,1.5332907058304306e-07,1.5332907058304306e-07,0.0
1769,5.700664665450209e-05,1.4405345284883098e-07,1.4405345284883098e-07,0.0
1770,6.134190230763384e-05,1.3283149615160384e-07,1.3283149615160384e-07,0.0
1771,6.166458063359772e-05,2.1301916725795828e-07,2.1301916725795828e-07,0.0
1772,6.468151799968577e-05,2.3022643347303529e-07,2.3022643347303529e-07,0.0
1773,6.811325874878094e-05,2.202008845740368e-07,2.202008845740368e-07,0.0
1774,6.841867954270648e-05,1.896677030036439e-07,1.896677030036439e-07,0.0
1775,6.800798083921629e-05,1.880178735242615e-07,1.880178735242615e-07,0.0
1776,6.629868793035192e-05,2.5449154808906573e-07,2.5449154808906573e-07,0.0
1777,6.473529824039101e-05,2.9836768991994435e-07,2.9836768991994435e-07,0.0
1778,6.520941315102391e-05,1.9847572499795012e-07,1.9847572499795012e-07,0.0
1779,5.9520703091818306e-05,1.7460219657396336e-07,1.7460219657396336e-07,0.0
1780,5.696891197918116e-05,1.759671349585038e-07,1.759671349585038e-07,0.0
1781,5.679476401253071e-05,1.7292734989991588e-07,1.7292734989991588e-07,0.0
1782,5.9117313087751556e-05,1.714327049841456e-07,1.714327049841456e-07,0.0
1783,5.8827078776500586e-05,2.406467215974674e-07,2.406467215974674e-07,0.0
1784,5.879560506270666e-05,1.931152312347909e-07,1.931152312347909e-07,0.0
1785,5.684335649545703e-05,2.032790667223188e-07,2.032790667223188e-07,0.0
1786,6.105027828847856e-05,2.075363840146695e-07,2.075363840146695e-07,1.3400983180287896e-09
1787,6.40371664693313e-05,2.2930836353550278e-07,2.2930836353550278e-07,1.3400983180287896e-09
1788,6.54413556081376e-05,2.582417540760876e-07,2.582417540760876e-07,1.3400983180287896e-09
1789,6.309760231358399e-05,2.639071102602689e-07,2.639071102602689e-07,2.503483135082466e-09
1790,6.207284968695603e-05,1.381313481374491e-07,1.381313481374491e-07,2.503483135082466e-09
1791,6.32637259384085e-05,1.733186810578705e-07,1.733186810578705e-07,2.503483135082466e-09
1792,6.250621247870316e-05,1.788741558682107e-07,1.788741558682107e-07,2.503483135082466e-09
1793,6.2396633438766e-05,1.9513004190230276e-07,1.9513004190230276e-07,1.163384817053676e-09
1794,6.201726916645254e-05,1.795761010368681e-07,1.795761010368681e-07,1.163384817053676e-09
1795,6.216469150136359e-05,1.7404389447100194e-07,1.7404389447100194e-07,1.163384817053676e-09
1796,6.287960630808291e-05,1.8956355672474145e-07,1.8956355672474145e-07,0.0
1797,6.705903173756919e-05,1.861750697733961e-07,1.861750697733961e-07,0.0
1798,6.945902922390295e-05,1.6277536474262888e-07,1.6277536474262888e-07,0.0
1799,7.193018141801335e-05,1.8092185476754302e-07,1.8092185476754302e-07,0.0
1800,7.230047776829451e-05,1.6187190254868256e-07,1.6187190254868256e-07,0.0
1801,7.256574047330235e-05,1.5133760961865456e-07,1.5133760961865456e-07,0.0
1802,7.243677620343598e-05,1.2679826001869644e-07,1.2679826001869644e-07,0.0
1803,7.0980992209765e-05,9.863144003117799e-08,9.863144003117799e-08,0.0
