ngram,discipline,dicipline,discpline,discipine
1802,2.9714675162852344e-05,4.791168433421993e-08,1.2799175053146428e-09,2.3225646802619136e-09
1803,3.065460311648037e-05,4.941590533594617e-08,1.9819174238274886e-09,2.6735646395183365e-09
1804,3.173547208591897e-05,5.385991671705678e-08,1.9819174238274886e-09,2.978642190041926e-09
1805,3.207160391736709e-05,7.067965209931312e-08,2.7609499448593463e-09,2.978642190041926e-09
1806,3.209954723258436e-05,7.098345378153681e-08,3.01950004682234e-09,3.6706231387739763e-09
1807,3.228208853605403e-05,7.479010680607903e-08,3.2354998363055235e-09,4.102622717740343e-09
1808,3.143370252343759e-05,7.53693935199148e-08,3.941589372351879e-09,3.873645436160343e-09
1809,3.1612178125734704e-05,6.951030481364537e-08,3.0733357763474648e-09,4.163217897407938e-09
1810,3.238591904976472e-05,6.78193755123045e-08,2.589273509886628e-09,4.248093242255533e-09
1811,3.278854819654953e-05,7.212371500031622e-08,2.823657450713922e-09,4.1773996325592375e-09
1812,3.363992722630168e-05,6.140915433304275e-08,2.522041448698482e-09,4.1773996325592375e-09
1813,3.3913359792287725e-05,5.940853193513769e-08,3.0394089626081413e-09,3.4665872712074427e-09
1814,3.4356145209000844e-05,6.169917909915057e-08,2.4117452638147287e-09,2.2112598736206176e-09
1815,3.4092032105296054e-05,5.998602909634038e-08,1.7056557277683737e-09,1.9758966843649463e-09
1816,3.318345807201695e-05,5.638081366855983e-08,1.7056557277683737e-09,1.6325428627997747e-09
1817,3.2174691763689876e-05,5.3848385052544604e-08,1.4877180757163648e-09,1.368015129748252e-09
1818,3.174741167250821e-05,5.178408279959967e-08,1.253334134889071e-09,1.3126660552182606e-09
1819,3.209041434664479e-05,5.261512343273418e-08,7.759176158726535e-10,2.0641532451546952e-09
1820,3.1825247008652824e-05,5.1310129478565614e-08,5.895877437061309e-10,1.6296120008973958e-09
1821,3.155307370304529e-05,5.1998751970927515e-08,5.895877437061309e-10,2.015274772456824e-09
1822,3.1411449266930246e-05,5.6468028221599657e-08,1.213432275294833e-09,2.140043674016466e-09
1823,3.2223840857373686e-05,6.160448151604214e-08,1.3538950436954777e-09,2.1810865573940977e-09
1824,3.3209736232363086e-05,6.220928178939695e-08,1.488015060375452e-09,2.4120990363815255e-09
1825,3.382423658747159e-05,5.806897718230175e-08,1.8678654654737313e-09,2.6129145751825026e-09
1826,3.388088095692053e-05,6.216693344234564e-08,2.223360210226336e-09,1.97992562821016e-09
1827,3.438499645978611e-05,6.14656967863019e-08,1.8429136788051486e-09,2.250811116853514e-09
1828,3.4792682397112783e-05,5.6733292349723085e-08,2.3945602167785296e-09,2.3064655820169223e-09
1829,3.397751554855079e-05,5.0212467580682385e-08,2.051812799029408e-09,2.2519709589171757e-09
1830,3.385617284428528e-05,4.5085178003643837e-08,1.9113500306287635e-09,2.0211917219268928e-09
1831,3.376875117412835e-05,4.494446719555916e-08,1.7772300139487891e-09,1.6188316718869699e-09
1832,3.376837594259996e-05,4.532714571934905e-08,1.8231269192727139e-09,1.4092801846134405e-09
1833,3.397324248258623e-05,3.9735230724805403e-08,1.7150669614654897e-09,1.8681297619949078e-09
1834,3.399275192350615e-05,3.9518425865026074e-08,1.5059257491805462e-09,1.6990279183559664e-09
1835,3.4042070962771375e-05,4.0692195264162885e-08,9.542792112071652e-10,1.341494082485184e-09
1836,3.575594850449956e-05,4.048748942458198e-08,6.731820973675845e-10,1.7215868809903968e-09
1837,3.646565788325721e-05,4.23702459784181e-08,9.829477390762724e-10,2.2279504986931288e-09
1838,3.641225183465784e-05,3.755384853881034e-08,1.1355992336957245e-09,2.4569277485524718e-09
1839,3.638990061257833e-05,3.751286900158643e-08,1.0129776699991616e-09,2.6655360220649372e-09
1840,3.635321575399887e-05,3.882379446500701e-08,1.2190586793993573e-09,3.1463917582463807e-09
1841,3.7145339904652375e-05,3.7108141321644846e-08,1.4289915124215164e-09,3.107144010337594e-09
1842,3.773508797166869e-05,3.60328435026044e-08,1.7330687202792611e-09,3.3882532335383075e-09
1843,3.745464502052138e-05,3.651283745195347e-08,1.7330687202792611e-09,3.0690352164392768e-09
1844,3.696499697980471e-05,3.623704993214817e-08,1.5568687926150103e-09,2.4388453716867834e-09
1845,3.657223299212221e-05,3.861825094629369e-08,1.4709560633033698e-09,2.4768231830586883e-09
1846,3.659593078607161e-05,3.561738992630126e-08,1.4939328266524603e-09,2.4240185017962037e-09
1847,3.6253530457283235e-05,3.2285511914713945e-08,1.2828388906704902e-09,1.7294477516749396e-09
1848,3.547167839964719e-05,3.0169678564919063e-08,1.3463444406954954e-09,2.1757669872129223e-09
1849,3.474717440050361e-05,3.00080869359525e-08,1.4721835258793954e-09,2.1333115829413885e-09
1850,3.4137409654379424e-05,2.848972588001938e-08,1.5671233437914672e-09,2.2395120599253258e-09
1851,3.37319439235476e-05,2.664068229510771e-08,1.8514149975017752e-09,2.497729356676359e-09
1852,3.36802274562485e-05,2.4946074158752448e-08,2.3408534951688662e-09,2.4835821494611262e-09
1853,3.306363994072724e-05,2.6268470065815563e-08,2.1595290159278792e-09,2.3022576702201393e-09
1854,3.237228884245269e-05,2.555113022749213e-08,2.2201183272737725e-09,2.1406323063339575e-09
1855,3.150339866156823e-05,2.7003770901907435e-08,2.0516834421867104e-09,1.851892480634173e-09
1856,3.098500591087421e-05,2.6419895858355502e-08,1.6217671491450654e-09,1.5294552608529394e-09
1857,3.089661809748837e-05,2.521690107520109e-08,1.6712300115224415e-09,1.4365084042923725e-09
1858,3.061992122508984e-05,2.5085206293137422e-08,1.4261831874203983e-09,1.3419223034359463e-09
1859,3.016303760107673e-05,2.329466803579245e-08,9.918647014828252e-10,1.1500438379385969e-09
1860,2.9934850057803226e-05,2.3052741683825062e-08,8.470866706490807e-10,1.127256224872245e-09
1861,3.00287216045295e-05,2.163418117666944e-08,5.440754989395811e-10,1.0947088156600314e-09
1862,3.0068490429714855e-05,2.0072099157378683e-08,4.3907200097947907e-10,9.500696578663386e-10
1863,2.9595890477399473e-05,1.858248640676915e-08,6.777614025565981e-10,9.500696578663386e-10
1864,2.9373350116657093e-05,1.8627838573235878e-08,7.217392080808135e-10,1.0411425848439698e-09
1865,2.889786732599272e-05,1.9421472176515764e-08,5.931552154209945e-10,1.3414471438417358e-09
1866,2.855484984008529e-05,2.1546807259044598e-08,5.155360582875801e-10,1.5017158627728122e-09
1867,2.8106693987086017e-05,2.1166083235308568e-08,8.61235717662469e-10,1.4229379024272809e-09
1868,2.7784883838778895e-05,2.225959480231917e-08,9.060474156655626e-10,1.3431012651261248e-09
1869,2.7446910670343122e-05,2.156292186076111e-08,9.4563330182191e-10,1.27857172468485e-09
1870,2.7366668291506357e-05,2.2385998832419318e-08,7.491803606057041e-10,1.4897540344195802e-09
1871,2.6743254628464846e-05,2.263462991639439e-08,6.419519994947467e-10,1.8629193743180394e-09
1872,2.6406263714306988e-05,2.0996691115929674e-08,8.434357101627654e-10,1.7826695675182691e-09
1873,2.6089465661373523e-05,2.0010730088821608e-08,9.552311005681498e-10,1.8345327162145558e-09
1874,2.6019634398315767e-05,2.069563162113549e-08,6.890128705678527e-10,2.0695052576386833e-09
1875,2.538998497974327e-05,2.1468757438469765e-08,6.843162029098896e-10,2.5414923023246517e-09
1876,2.506130606759273e-05,2.0898969285302168e-08,6.83062301165549e-10,2.6514726604785567e-09
1877,2.472903673021522e-05,2.100940716636452e-08,7.806325308390427e-10,2.8247587443733633e-09
1878,2.4180816970848745e-05,2.1573656258258974e-08,8.083364890141911e-10,2.6515421287192406e-09
1879,2.3474363323267816e-05,2.161695901646356e-08,5.975400412567516e-10,2.5851252884377475e-09
1880,2.285316570903108e-05,2.0295058586076005e-08,5.401650793324109e-10,2.509384129061638e-09
1881,2.2205845587970024e-05,1.9788432226164332e-08,6.500772301417815e-10,2.5152895004915924e-09
1882,2.183756155968045e-05,1.8391224035748825e-08,6.747813577742282e-10,2.2453652588032877e-09
1883,2.1571035696459668e-05,2.010961517941366e-08,8.934303971245125e-10,2.298267639691939e-09
1884,2.1191006973302657e-05,1.923007898950248e-08,8.146455216755705e-10,2.0358428752333323e-09
1885,2.104204577335622e-05,1.863456322581669e-08,7.348127166263905e-10,1.600418543721917e-09
1886,2.101718044806538e-05,1.936547569921946e-08,7.826647524522556e-10,1.2439551948041837e-09
1887,2.1024125869319376e-05,2.0112279334024867e-08,6.840047040672965e-10,1.3229747793306957e-09
1888,2.097101293786961e-05,2.0457337411374154e-08,4.946111238833342e-10,1.308912821383425e-09
1889,2.069584843411576e-05,2.1578405855799635e-08,4.2979196590575697e-10,1.148081092496232e-09
1890,2.0475843224890662e-05,2.2144830731057093e-08,3.751764633091221e-10,9.786289576326927e-10
1891,2.0372828138144022e-05,2.2699749128004702e-08,3.3975970053263486e-10,1.0358206851769835e-09
1892,2.0324390529172627e-05,2.3500518102943195e-08,4.006227512430373e-10,1.3054796787243766e-09
1893,2.032864930307759e-05,2.3054912645648074e-08,4.3316526754377804e-10,1.3240144100138247e-09
1894,2.006570451028113e-05,2.4058124635319344e-08,4.552570403992817e-10,1.20231713870592e-09
1895,1.9869135680242573e-05,2.2715205208864323e-08,4.552570403992817e-10,1.1228295951745286e-09
1896,2.0015138683707585e-05,2.0946744275615207e-08,4.552570403992817e-10,1.282681504661503e-09
1897,1.994042083554502e-05,2.0170522775840383e-08,3.086217848740398e-10,1.3352516592401997e-09
1898,1.968553156724998e-05,1.8635823297228982e-08,3.7320757198929956e-10,1.3905124869000624e-09
1899,1.9427060448963728e-05,1.784176209948133e-08,3.1974905659711995e-10,1.339420372234049e-09
1900,1.908057155170744e-05,1.6282508167161528e-08,2.947937172148585e-10,1.5101442794675434e-09
