ngram,wave,wve,wav,wavee
1562,2.182279539348591e-05,0.0,0.0,0.0
1563,2.046145969610994e-06,0.0,0.0,0.0
1564,2.113108673386575e-05,0.0,0.0,0.0
1565,1.908494076425476e-05,0.0,0.0,0.0
1566,1.908494076425476e-05,0.0,0.0,0.0
1567,1.908494076425476e-05,0.0,0.0,0.0
1568,1.908494076425476e-05,0.0,0.0,0.0
1569,1.908494076425476e-05,0.0,0.0,0.0
1570,1.908494076425476e-05,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,5.199607845237811e-07,0.0,0.0,0.0
1573,5.199607845237811e-07,0.0,0.0,0.0
1574,1.0646723304879352e-06,0.0,0.0,0.0
1575,2.321951959467177e-06,0.0,0.0,0.0
1576,2.7726324073488025e-06,0.0,0.0,0.0
1577,2.7726324073488025e-06,0.0,0.0,0.0
1578,3.2544586312204567e-06,0.0,0.0,0.0
1579,2.7344978466966755e-06,0.0,0.0,0.0
1580,2.7344978466966755e-06,0.0,0.0,0.0
1581,2.1897863007325213e-06,0.0,0.0,0.0
1582,9.325066717532796e-07,0.0,0.0,0.0
1583,4.81826223871654e-07,0.0,0.0,0.0
1584,1.3809378093096062e-06,0.0,0.0,0.0
1585,1.6539839374932593e-06,0.0,0.0,0.0
1586,2.372877783532853e-06,0.0,0.0,0.0
1587,2.718957343209435e-06,0.0,0.0,0.0
1588,2.718957343209435e-06,0.0,0.0,0.0
1589,3.092410289744813e-06,0.0,0.0,0.0
1590,4.652264124160865e-06,0.0,0.0,0.0
1591,4.552752930716711e-06,0.0,0.0,0.0
1592,3.797880578661404e-06,0.0,0.0,0.0
1593,3.525540185884373e-06,0.0,0.0,0.0
1594,3.347092209488827e-06,0.0,0.0,0.0
1595,3.347092209488827e-06,0.0,0.0,0.0
1596,2.9736392629534488e-06,0.0,0.0,0.0
1597,2.0190958593957475e-06,0.0,2.4212418533612177e-07,0.0
1598,4.227401810957028e-06,0.0,2.4212418533612177e-07,0.0
1599,4.345312959230796e-06,0.0,2.4212418533612177e-07,0.0
1600,5.070326405335176e-06,1.0650608471353604e-07,4.5513635476319383e-07,0.0
1601,4.90269482205414e-06,1.0650608471353604e-07,4.5513635476319383e-07,0.0
1602,5.215896992792425e-06,1.0650608471353604e-07,5.595370729289633e-07,0.0
1603,5.62800710213196e-06,1.0650608471353604e-07,5.595370729289633e-07,0.0
1604,5.022696671273609e-06,1.0650608471353604e-07,6.579535270897654e-07,0.0
1605,2.014790327718531e-06,1.0650608471353604e-07,6.579535270897654e-07,0.0
1606,3.0980807943186458e-06,1.0650608471353604e-07,6.579535270897654e-07,0.0
1607,1.926513894951703e-06,0.0,4.449413576626934e-07,0.0
1608,1.926513894951703e-06,0.0,4.449413576626934e-07,0.0
1609,1.6133117242134176e-06,0.0,3.4054063949692394e-07,0.0
1610,1.201201614873883e-06,0.0,3.4054063949692394e-07,0.0
1611,1.201201614873883e-06,0.0,0.0,0.0
1612,1.201201614873883e-06,0.0,0.0,0.0
1613,3.196209620780012e-07,0.0,1.598104810390006e-07,0.0
1614,3.6157183720726086e-06,0.0,1.598104810390006e-07,0.0
1615,3.6157183720726086e-06,0.0,1.598104810390006e-07,0.0
1616,3.6157183720726086e-06,0.0,1.598104810390006e-07,0.0
1617,3.862801041317912e-06,0.0,2.8335181566165245e-07,0.0
1618,3.862801041317912e-06,0.0,2.8335181566165245e-07,0.0
