ngram,nail,naill,naill,naill
1801,3.6714147232227593e-06,1.0631209690359356e-08,1.0631209690359356e-08,1.0631209690359356e-08
1802,3.5636336243831986e-06,9.717937565767443e-09,9.717937565767443e-09,9.717937565767443e-09
1803,3.495454263559493e-06,8.523614258848511e-09,8.523614258848511e-09,8.523614258848511e-09
1804,3.484530257732591e-06,1.035407956199005e-08,1.035407956199005e-08,1.035407956199005e-08
1805,3.444487772087866e-06,1.1652467118190252e-08,1.1652467118190252e-08,1.1652467118190252e-08
1806,3.5573487886202722e-06,1.1911017220153245e-08,1.1911017220153245e-08,1.1911017220153245e-08
1807,3.665154054033337e-06,4.507845335106302e-09,4.507845335106302e-09,4.507845335106302e-09
1808,3.6604933809160556e-06,5.4492980921289865e-09,5.4492980921289865e-09,5.4492980921289865e-09
1809,3.486406317928673e-06,5.992072552426667e-09,5.992072552426667e-09,5.992072552426667e-09
1810,3.6086136593179878e-06,6.379760846592879e-09,6.379760846592879e-09,6.379760846592879e-09
1811,3.5035711139893725e-06,4.54929554345134e-09,4.54929554345134e-09,4.54929554345134e-09
1812,3.477093806785498e-06,3.728324506267557e-09,3.728324506267557e-09,3.728324506267557e-09
1813,3.3094642536265643e-06,4.0517125844883955e-09,4.0517125844883955e-09,4.0517125844883955e-09
1814,3.2686931652798582e-06,3.842228265707856e-09,3.842228265707856e-09,3.842228265707856e-09
1815,3.416364149545968e-06,3.480197606288625e-09,3.480197606288625e-09,3.480197606288625e-09
1816,3.7102214654234037e-06,3.5079413183782192e-09,3.5079413183782192e-09,3.5079413183782192e-09
1817,3.6122496892078615e-06,2.5896006767516563e-09,2.5896006767516563e-09,2.5896006767516563e-09
1818,3.6397946132638026e-06,3.305740141940865e-09,3.305740141940865e-09,3.305740141940865e-09
1819,3.6715769380992114e-06,3.4295133875618588e-09,3.4295133875618588e-09,3.4295133875618588e-09
1820,3.7695276984907522e-06,2.8475752073780266e-09,2.8475752073780266e-09,2.8475752073780266e-09
1821,3.899380901982243e-06,3.024279842429272e-09,3.024279842429272e-09,3.024279842429272e-09
1822,3.8848860900283654e-06,2.8191644574349084e-09,2.8191644574349084e-09,2.8191644574349084e-09
1823,3.823979893370831e-06,2.8104973586502116e-09,2.8104973586502116e-09,2.8104973586502116e-09
1824,3.930119386755645e-06,2.9073898209576653e-09,2.9073898209576653e-09,2.9073898209576653e-09
1825,4.020211300875027e-06,3.3308015393426362e-09,3.3308015393426362e-09,3.3308015393426362e-09
1826,4.14721109466752e-06,3.08510651945783e-09,3.08510651945783e-09,3.08510651945783e-09
1827,4.181719662353446e-06,3.712530156312661e-09,3.712530156312661e-09,3.712530156312661e-09
1828,4.327591893473125e-06,4.209501858198905e-09,4.209501858198905e-09,4.209501858198905e-09
1829,4.328279081684221e-06,5.10013212614727e-09,5.10013212614727e-09,5.10013212614727e-09
1830,4.461519210963161e-06,6.634981009057128e-09,6.634981009057128e-09,6.634981009057128e-09
1831,4.434357021766898e-06,6.831214260927254e-09,6.831214260927254e-09,6.831214260927254e-09
1832,4.481079453658562e-06,6.117410387775278e-09,6.117410387775278e-09,6.117410387775278e-09
1833,4.3518305119505385e-06,6.421741741543688e-09,6.421741741543688e-09,6.421741741543688e-09
1834,4.27231426718728e-06,6.70798026648965e-09,6.70798026648965e-09,6.70798026648965e-09
1835,4.074351051843093e-06,6.076696003530304e-09,6.076696003530304e-09,6.076696003530304e-09
1836,4.145324023089156e-06,5.036942561455402e-09,5.036942561455402e-09,5.036942561455402e-09
1837,4.000614256126157e-06,4.179305171777717e-09,4.179305171777717e-09,4.179305171777717e-09
1838,3.99498526348907e-06,4.554415083164136e-09,4.554415083164136e-09,4.554415083164136e-09
1839,3.999667407177705e-06,4.734919266193214e-09,4.734919266193214e-09,4.734919266193214e-09
1840,4.07135488395787e-06,4.4530229820998505e-09,4.4530229820998505e-09,4.4530229820998505e-09
1841,4.093158687672778e-06,4.029204097350763e-09,4.029204097350763e-09,4.029204097350763e-09
1842,4.232614108851911e-06,4.021115646806501e-09,4.021115646806501e-09,4.021115646806501e-09
1843,4.235958905545496e-06,4.320528347788257e-09,4.320528347788257e-09,4.320528347788257e-09
1844,4.263550830988347e-06,3.2818143440899964e-09,3.2818143440899964e-09,3.2818143440899964e-09
1845,4.2704529862801015e-06,2.7759249819427266e-09,2.7759249819427266e-09,2.7759249819427266e-09
1846,4.181659928040712e-06,3.604524456690683e-09,3.604524456690683e-09,3.604524456690683e-09
1847,4.190223210441348e-06,3.9538602550745085e-09,3.9538602550745085e-09,3.9538602550745085e-09
1848,4.267655965252613e-06,3.792143012302875e-09,3.792143012302875e-09,3.792143012302875e-09
1849,4.283608567285617e-06,4.677411537455458e-09,4.677411537455458e-09,4.677411537455458e-09
1850,4.327053764947257e-06,4.532574569639434e-09,4.532574569639434e-09,4.532574569639434e-09
1851,4.450250928909684e-06,5.214369317282522e-09,5.214369317282522e-09,5.214369317282522e-09
1852,4.476275210306215e-06,5.2851680492389215e-09,5.2851680492389215e-09,5.2851680492389215e-09
1853,4.564656462337423e-06,4.960281899509969e-09,4.960281899509969e-09,4.960281899509969e-09
1854,4.697454122443949e-06,4.637031171737606e-09,4.637031171737606e-09,4.637031171737606e-09
1855,4.788524685344393e-06,4.466410384397688e-09,4.466410384397688e-09,4.466410384397688e-09
1856,4.754504906096761e-06,4.232458605812894e-09,4.232458605812894e-09,4.232458605812894e-09
1857,4.8102072988902885e-06,4.526578508848697e-09,4.526578508848697e-09,4.526578508848697e-09
1858,4.766361533776424e-06,4.220470354151676e-09,4.220470354151676e-09,4.220470354151676e-09
