ngram,structure,strcture,strucure,sturcture
1707,1.4651071873166593e-06,0.0,0.0,0.0
1708,1.3489389394700474e-06,0.0,0.0,0.0
1709,1.2532569379735442e-06,0.0,0.0,0.0
1710,1.6628565049359167e-06,0.0,0.0,0.0
1711,1.610468635655187e-06,0.0,0.0,0.0
1712,1.338962152073821e-06,0.0,0.0,0.0
1713,1.1360021078741868e-06,0.0,0.0,0.0
1714,5.8890080205336356e-06,0.0,0.0,0.0
1715,6.038288144541834e-06,0.0,0.0,0.0
1716,6.172972153503256e-06,0.0,0.0,0.0
1717,5.998539937276551e-06,0.0,0.0,0.0
1718,6.393248440872412e-06,0.0,0.0,0.0
1719,6.250385853588471e-06,0.0,0.0,0.0
1720,6.5972956844819104e-06,0.0,0.0,0.0
1721,2.391922046334522e-06,0.0,0.0,0.0
1722,6.678385614934866e-06,0.0,0.0,0.0
1723,7.199896957997355e-06,0.0,0.0,0.0
1724,7.4379063294470275e-06,0.0,0.0,0.0
1725,7.377424574477638e-06,0.0,0.0,0.0
1726,8.033757857057416e-06,0.0,0.0,0.0
1727,7.993857772297425e-06,0.0,0.0,0.0
1728,7.654351845433536e-06,0.0,0.0,0.0
1729,3.3899482981983705e-06,0.0,0.0,0.0
1730,3.058240054087946e-06,0.0,0.0,0.0
1731,3.0802296870595976e-06,0.0,0.0,0.0
1732,4.439626504141156e-06,0.0,0.0,0.0
1733,4.166149957589889e-06,0.0,0.0,0.0
1734,4.874239298910002e-06,0.0,0.0,0.0
1735,4.990024925583774e-06,0.0,0.0,0.0
1736,5.006109436830489e-06,0.0,0.0,0.0
1737,5.500544018234775e-06,0.0,0.0,0.0
1738,6.174846638324587e-06,0.0,0.0,0.0
1739,4.878629169979831e-06,0.0,0.0,0.0
1740,5.2666941233578e-06,0.0,0.0,0.0
1741,5.900372083747893e-06,0.0,0.0,0.0
1742,6.034674178018966e-06,0.0,0.0,0.0
1743,6.328703388395038e-06,0.0,0.0,0.0
1744,5.9674876281081064e-06,0.0,0.0,0.0
1745,9.64059540820017e-06,0.0,0.0,0.0
1746,1.0549528334584985e-05,0.0,0.0,0.0
1747,1.0811466251782673e-05,0.0,0.0,0.0
1748,1.0121355184570088e-05,0.0,0.0,0.0
