ngram,politics,poltics,politcs,politis
1693,4.485106087161382e-07,0.0,0.0,0.0
1694,7.974793285419375e-07,0.0,0.0,0.0
1695,7.662522177400075e-07,0.0,0.0,0.0
1696,9.078864532544426e-07,0.0,0.0,0.0
1697,1.3758359074245163e-06,0.0,0.0,0.0
1698,1.4750258381062459e-06,0.0,0.0,0.0
1699,1.4513577935661357e-06,0.0,0.0,0.0
1700,1.48499586316575e-06,0.0,0.0,0.0
1701,1.094827053650858e-06,0.0,0.0,0.0
1702,9.862794294284477e-07,0.0,0.0,0.0
1703,8.572388635132353e-07,0.0,0.0,0.0
1704,3.062082458070238e-07,0.0,0.0,1.732353333799048e-08
1705,2.46521178074285e-07,0.0,0.0,1.732353333799048e-08
1706,5.344811354137034e-07,0.0,0.0,1.732353333799048e-08
1707,4.816443249312994e-07,0.0,0.0,1.732353333799048e-08
1708,5.877488677340028e-07,0.0,0.0,1.732353333799048e-08
1709,5.877488677340028e-07,0.0,0.0,1.732353333799048e-08
1710,9.395295584064505e-07,0.0,0.0,1.732353333799048e-08
1711,1.0267605188931026e-06,0.0,0.0,0.0
1712,9.111202834739223e-07,0.0,0.0,0.0
1713,6.23160326134504e-07,0.0,0.0,0.0
1714,6.78009145969684e-07,0.0,0.0,0.0
1715,6.851281345429275e-07,0.0,0.0,0.0
1716,7.382578835241864e-07,0.0,0.0,0.0
1717,4.110850052744094e-07,0.0,0.0,0.0
1718,7.109418760364861e-07,0.0,0.0,0.0
1719,7.484788763382053e-07,0.0,0.0,0.0
1720,8.843958028137422e-07,0.0,0.0,0.0
1721,8.349146461179251e-07,0.0,0.0,0.0
1722,9.071531954824812e-07,0.0,0.0,0.0
1723,1.0084028474466322e-06,0.0,0.0,0.0
1724,1.0276939933971465e-06,0.0,0.0,0.0
1725,6.62665022283753e-07,0.0,0.0,0.0
1726,9.483260734149164e-07,0.0,0.0,0.0
1727,9.218926006074721e-07,0.0,0.0,0.0
1728,1.1117184044451278e-06,0.0,0.0,0.0
1729,1.0345799280133048e-06,0.0,0.0,0.0
1730,9.211167163617315e-07,0.0,0.0,0.0
1731,1.2092568592184501e-06,0.0,0.0,0.0
1732,1.1871979990831148e-06,0.0,0.0,0.0
1733,9.687189625700349e-07,0.0,0.0,0.0
1734,1.1534542189955182e-06,0.0,0.0,0.0
1735,1.0754468178220122e-06,0.0,0.0,0.0
1736,1.0442957635145182e-06,0.0,0.0,0.0
1737,1.2317933055783215e-06,0.0,0.0,0.0
1738,1.8825590148350914e-06,0.0,0.0,0.0
1739,2.0279502531853462e-06,0.0,0.0,0.0
1740,2.0213008562158004e-06,0.0,0.0,0.0
1741,2.0657391246459156e-06,0.0,0.0,0.0
1742,2.1723633868272633e-06,0.0,0.0,0.0
1743,2.4226582045879956e-06,0.0,0.0,0.0
1744,2.4219115581607705e-06,0.0,0.0,0.0
1745,1.6347818002161927e-06,0.0,0.0,0.0
1746,1.9025626686795607e-06,0.0,0.0,0.0
1747,2.236113752067987e-06,0.0,0.0,0.0
1748,2.9129419739807157e-06,0.0,0.0,0.0
1749,4.991095173474085e-06,0.0,0.0,0.0
1750,6.5801907892039575e-06,0.0,0.0,0.0
1751,7.466094984920346e-06,0.0,0.0,1.0707416160065414e-08
