ngram,paper,pper,papr,papper
1792,8.311435106276934e-05,5.986696040492592e-08,1.3400983180287896e-09,0.0
1793,9.181129696246768e-05,6.760272443427442e-08,0.0,0.0
1794,9.52366618938478e-05,7.541996995184621e-08,9.979855672018596e-10,9.979855672018596e-10
1795,9.935628934597065e-05,8.871262886194537e-08,9.979855672018596e-10,9.979855672018596e-10
1796,0.00010242399730486795,9.849673736945469e-08,1.9461471799177487e-09,2.8943087926336375e-09
1797,0.00010307990097706872,1.0947127902584595e-07,1.9461471799177487e-09,2.8943087926336375e-09
1798,0.00010502130524920566,1.0887686333457428e-07,2.5248038580473674e-09,2.8943087926336375e-09
1799,0.00010909542054702927,1.2228596395808771e-07,3.1255734508509445e-09,2.8943087926336375e-09
1800,0.00010389678729032832,1.3203277201715276e-07,3.948901269471403e-09,2.8943087926336375e-09
1801,0.00010406451058640544,1.297387908851176e-07,2.9509157022695423e-09,1.8963232254317776e-09
1802,0.00010379739043336096,1.2031989931366687e-07,2.9509157022695423e-09,1.8963232254317776e-09
1803,0.00010355625584322427,1.2670163381959094e-07,2.0027540895536535e-09,0.0
1804,0.00010348763836580994,1.3331459009740293e-07,2.3078316400772435e-09,3.0507755052358986e-10
1805,0.00010081649608244854,1.3678839089996992e-07,1.7291749619476248e-09,2.642175177060478e-09
1806,9.976055402408488e-05,1.2868896094784888e-07,1.1284053691440477e-09,2.9007252790234718e-09
1807,0.00010280087008140981,1.2450636331452968e-07,9.327412493170024e-10,3.109946506667833e-09
1808,0.00010511895067923303,1.2818368690302252e-07,1.4034676278283443e-09,3.109946506667833e-09
1809,0.00011009549988167626,1.2706501451020813e-07,1.7653172574532456e-09,3.2908713214802835e-09
1810,0.00011164321352095743,1.3290772216123514e-07,1.9832549095052545e-09,3.5088089735322926e-09
1811,0.00011484506415269737,1.2164932172709086e-07,1.6781773589816647e-09,4.141267186317878e-09
1812,0.00011547670042740979,1.1165893149771883e-07,2.3943021692269487e-09,1.8041695597809898e-09
1813,0.00011584077167624076,1.113400876257791e-07,2.5882815731951123e-09,1.7395988617861592e-09
1814,0.00011784575534485546,1.0901471268555594e-07,2.587492299786577e-09,1.530377634141798e-09
1815,0.00011879131281083184,1.0798426736917982e-07,2.309906631049939e-09,4.0412067660509726e-09
1816,0.00011932481720577925,1.075183279551441e-07,2.7087478767942994e-09,3.860281951238522e-09
1817,0.00011977892323297315,9.212912946817856e-08,3.004852937899776e-09,3.813691870239008e-09
1818,0.00011846275031400313,9.185177723176302e-08,3.3629226704943805e-09,2.8761561069298327e-09
1819,0.00011863266679158966,9.541468719882168e-08,2.6467978602490963e-09,2.8761561069298327e-09
1820,0.0001192991143657959,9.621914744327245e-08,2.452818456280933e-09,2.6821767029616694e-09
1821,0.00011636323220695235,8.697408101657597e-08,1.9544982854391435e-09,2.8107309575047576e-09
1822,0.00011405986567427005,8.400319119670843e-08,1.8861264772240816e-09,2.999018255955832e-10
1823,0.00011187643082978736,8.109401302850269e-08,1.2658983702554645e-09,2.999018255955832e-10
1824,0.00011152450939074956,8.34576679510844e-08,7.518556570979789e-10,1.2855425454308796e-10
1825,0.0001108812409386571,7.916824427768785e-08,1.2801035469729121e-09,6.350214719143463e-10
1826,0.00011108692810272,7.766469727649955e-08,1.2801035469729121e-09,1.227512670874477e-09
1827,0.00010868411897847961,7.293093671835647e-08,1.6983859715427992e-09,1.3320832770169488e-09
1828,0.00010847095005114429,7.121485318910864e-08,1.7904903353611295e-09,1.7551755604472419e-09
1829,0.00010862672934308648,7.322730713862516e-08,1.7359957122613829e-09,1.7551755604472419e-09
1830,0.00010735084236200367,7.20676262793469e-08,1.7861420279327182e-09,2.4223073705595e-09
1831,0.00010933524650421791,7.269261154923307e-08,2.0648260244472893e-09,3.165464652304146e-09
1832,0.00010974894186282265,7.213704427450856e-08,1.6042557123999553e-09,2.6589974349328874e-09
