ngram,patient,patint,patiant,patent
1762,3.6488994477882185e-05,0.0,0.0,1.725734156415066e-05
1763,3.8951637439562804e-05,0.0,0.0,1.8321619271383887e-05
1764,4.3627954125570666e-05,0.0,0.0,1.7900351329964387e-05
1765,5.085606712132825e-05,0.0,0.0,1.7700000041388974e-05
1766,5.467178769842056e-05,0.0,0.0,1.8394940005756716e-05
1767,5.848447783916656e-05,0.0,0.0,1.815327349114731e-05
1768,6.119789915309022e-05,0.0,0.0,1.8490616509682566e-05
1769,6.901229114321592e-05,0.0,0.0,1.5399662255991382e-05
1770,7.372995345836639e-05,0.0,0.0,1.5832269907280405e-05
1771,7.470039469938326e-05,0.0,0.0,1.7012860683150522e-05
1772,7.165982658209811e-05,0.0,0.0,1.8194426567268757e-05
1773,7.154159227086763e-05,0.0,0.0,1.7844589949943058e-05
1774,7.069836127422085e-05,0.0,0.0,1.9159927692921235e-05
1775,6.569615548609622e-05,0.0,0.0,1.8598024975550027e-05
1776,6.212848529685289e-05,0.0,0.0,1.989726375281212e-05
1777,6.234723592310079e-05,2.9180503093227473e-09,0.0,1.8912901526034276e-05
1778,6.348035614272314e-05,2.9180503093227473e-09,0.0,1.844865866067786e-05
1779,6.095651873952842e-05,2.9180503093227473e-09,0.0,1.7034803152325496e-05
1780,6.196204049047083e-05,5.267190620169718e-09,0.0,1.8079422521363347e-05
1781,6.86910342275431e-05,5.267190620169718e-09,0.0,1.751455121328555e-05
1782,7.682984921432632e-05,5.267190620169718e-09,0.0,1.6962344489002135e-05
1783,7.624866027202058e-05,5.267190620169718e-09,0.0,1.588146213699864e-05
1784,7.20395271075956e-05,2.349140310846971e-09,0.0,1.6114982177636455e-05
1785,6.747886800440028e-05,2.349140310846971e-09,0.0,1.5428395922104494e-05
1786,6.744544537338828e-05,2.349140310846971e-09,1.3400983180287896e-09,1.6027008444195546e-05
1787,6.344627607696956e-05,0.0,1.3400983180287896e-09,1.5836857008772703e-05
1788,5.8444019876852895e-05,0.0,1.3400983180287896e-09,1.5136787234431332e-05
1789,5.03371271146794e-05,0.0,1.3400983180287896e-09,1.6161096287500447e-05
1790,4.6785268620754194e-05,0.0,1.3400983180287896e-09,1.820373290684074e-05
1791,4.594637305542294e-05,1.0859662375699892e-09,1.3400983180287896e-09,1.959773726412095e-05
1792,4.459594284916031e-05,1.0859662375699892e-09,1.3400983180287896e-09,2.027885940541247e-05
1793,4.789619457109698e-05,1.0859662375699892e-09,0.0,1.9226220891661277e-05
1794,4.751371203123459e-05,1.0859662375699892e-09,0.0,1.9850467651849613e-05
1795,4.625522810134238e-05,1.0859662375699892e-09,0.0,2.2097196311473715e-05
1796,4.765127908155721e-05,1.0859662375699892e-09,0.0,2.1583511105356073e-05
1797,4.7511677881370164e-05,1.0859662375699892e-09,0.0,1.9933749561979702e-05
1798,4.8520893739935544e-05,0.0,0.0,1.9081598501153557e-05
1799,4.708308240099411e-05,0.0,6.00769592803577e-10,1.928647049810804e-05
1800,4.420934575526709e-05,0.0,6.00769592803577e-10,2.045767489887242e-05
1801,4.307731121246304e-05,0.0,6.00769592803577e-10,1.9501673835163403e-05
1802,4.289113764701012e-05,0.0,6.00769592803577e-10,1.804666732953462e-05
1803,4.012835623663185e-05,0.0,6.00769592803577e-10,1.925123017697063e-05
1804,3.9367153866416107e-05,0.0,6.00769592803577e-10,1.987155207773737e-05
1805,3.801151927161429e-05,0.0,6.00769592803577e-10,1.9620332490636167e-05
1806,3.997991526765483e-05,0.0,0.0,2.005497247280021e-05
1807,3.9554206783317826e-05,2.092212276443612e-10,4.184424552887224e-10,1.9519325308335412e-05
1808,3.955546292542879e-05,2.092212276443612e-10,4.184424552887224e-10,1.9736022295546718e-05
1809,3.6629170998432005e-05,2.092212276443612e-10,4.184424552887224e-10,2.068272052773474e-05
1810,3.71519459544548e-05,4.271588796963702e-10,4.184424552887224e-10,1.9720508394779506e-05
1811,3.758247580013371e-05,4.271588796963702e-10,4.184424552887224e-10,2.0347958395307485e-05
1812,3.8195063098100945e-05,4.271588796963702e-10,1.3732754933215574e-09,2.024978311965242e-05
1813,3.54644434992224e-05,4.271588796963702e-10,1.5672548972897209e-09,2.1506436886349028e-05
1814,3.5747014667971856e-05,2.17937652052009e-10,1.3577705785091813e-09,2.1308129102440683e-05
1815,3.750456484600103e-05,4.1107836182671266e-10,1.3577705785091813e-09,2.1912446495012512e-05
1816,4.0747876482782885e-05,4.1107836182671266e-10,1.3577705785091813e-09,2.171685290314989e-05
1817,4.111475677096418e-05,1.9314070977470366e-10,1.3577705785091813e-09,2.2415278311070453e-05
1818,4.1081851772365295e-05,1.9314070977470366e-10,1.3577705785091813e-09,2.187524322445305e-05
1819,4.171143362847423e-05,1.9314070977470366e-10,4.0293754047634623e-10,2.2481289696380763e-05
1820,4.3507764660587e-05,1.9314070977470366e-10,2.0895813650818289e-10,2.1177944550540167e-05
1821,4.482197411042372e-05,3.216949643177916e-10,1.2855425454308796e-10,2.1366321691727664e-05
1822,4.4581104573028695e-05,1.2855425454308796e-10,1.2855425454308796e-10,2.095461890608671e-05
1823,4.536834395756679e-05,1.2855425454308796e-10,8.308680806859822e-10,2.0719290270270513e-05
1824,4.681407673550504e-05,1.2855425454308796e-10,8.308680806859822e-10,2.0889042778955108e-05
