ngram,ideal,idal,idle,idle
1531,3.81389691028744e-06,0.0,2.915794019437661e-06,2.915794019437661e-06
1532,5.166646717823044e-06,0.0,2.915794019437661e-06,2.915794019437661e-06
1533,1.3527498075356043e-06,0.0,2.915794019437661e-06,2.915794019437661e-06
1534,1.3527498075356043e-06,0.0,2.915794019437661e-06,2.915794019437661e-06
1535,1.3527498075356043e-06,0.0,4.79834177115533e-06,4.79834177115533e-06
1536,1.3527498075356043e-06,0.0,4.79834177115533e-06,4.79834177115533e-06
1537,1.3527498075356043e-06,0.0,1.8825477517176686e-06,1.8825477517176686e-06
1538,1.3527498075356043e-06,0.0,1.8825477517176686e-06,1.8825477517176686e-06
1539,0.0,0.0,5.202992334878738e-06,5.202992334878738e-06
1540,0.0,0.0,5.202992334878738e-06,5.202992334878738e-06
1541,0.0,0.0,5.202992334878738e-06,5.202992334878738e-06
1542,3.009292673336209e-06,0.0,6.329737256497278e-06,6.329737256497278e-06
1543,3.009292673336209e-06,0.0,6.329737256497278e-06,6.329737256497278e-06
1544,3.009292673336209e-06,0.0,9.807360454163114e-06,9.807360454163114e-06
1545,3.009292673336209e-06,0.0,1.3826162103214301e-05,1.3826162103214301e-05
1546,3.009292673336209e-06,0.0,1.190424856239198e-05,1.190424856239198e-05
1547,3.009292673336209e-06,0.0,1.190424856239198e-05,1.190424856239198e-05
1548,3.901018447192785e-06,0.0,1.5471151657818283e-05,1.5471151657818283e-05
1549,2.104383513921805e-06,0.0,1.4887174464612534e-05,1.4887174464612534e-05
1550,2.104383513921805e-06,0.0,1.4887174464612534e-05,1.4887174464612534e-05
1551,2.104383513921805e-06,0.0,1.1409551266946697e-05,1.1409551266946697e-05
1552,2.104383513921805e-06,0.0,2.2534080666706098e-05,2.2534080666706098e-05
1553,2.104383513921805e-06,0.0,2.113554962436735e-05,2.113554962436735e-05
1554,2.104383513921805e-06,0.0,2.113554962436735e-05,2.113554962436735e-05
1555,1.2126577400652292e-06,0.0,1.7568646528941046e-05,1.7568646528941046e-05
1556,2.0817525572575894e-06,0.0,1.5143331048810588e-05,1.5143331048810588e-05
1557,2.0817525572575894e-06,0.0,1.5143331048810588e-05,1.5143331048810588e-05
1558,2.0817525572575894e-06,0.0,1.5143331048810588e-05,1.5143331048810588e-05
1559,2.0817525572575894e-06,0.0,1.7192232917295769e-06,1.7192232917295769e-06
1560,2.0817525572575894e-06,0.0,4.411364768332403e-06,4.411364768332403e-06
1561,2.0817525572575894e-06,0.0,4.411364768332403e-06,4.411364768332403e-06
1562,2.0817525572575894e-06,0.0,4.411364768332403e-06,4.411364768332403e-06
1563,0.0,0.0,4.411364768332403e-06,4.411364768332403e-06
1564,0.0,0.0,1.7134658264694735e-05,1.7134658264694735e-05
1565,0.0,0.0,1.9158259549710366e-05,1.9158259549710366e-05
1566,0.0,0.0,1.9342706764291506e-05,1.9342706764291506e-05
1567,2.0471920184458474e-06,0.0,1.665056528768868e-05,1.665056528768868e-05
1568,2.0471920184458474e-06,0.0,1.665056528768868e-05,1.665056528768868e-05
1569,3.5326026720992687e-06,0.0,2.556302920960921e-05,2.556302920960921e-05
1570,3.5326026720992687e-06,0.0,2.556302920960921e-05,2.556302920960921e-05
1571,1.0888157703448087e-05,0.0,1.2839735713246877e-05,1.2839735713246877e-05
1572,1.0888157703448087e-05,0.0,1.4975820704421494e-05,1.4975820704421494e-05
1573,1.0888157703448087e-05,0.0,1.810578760341741e-05,1.810578760341741e-05
1574,8.84096568500224e-06,0.0,1.919521069534572e-05,1.919521069534572e-05
1575,8.84096568500224e-06,0.0,2.1709769953304203e-05,2.1709769953304203e-05
1576,8.256915927112069e-06,0.0,2.1810915118944e-05,2.1810915118944e-05
1577,8.256915927112069e-06,0.0,2.4362391026703074e-05,2.4362391026703074e-05
1578,2.3468395348962597e-06,0.0,2.8217000817676308e-05,2.8217000817676308e-05
1579,3.640349145176255e-06,0.0,2.5997578956906053e-05,2.5997578956906053e-05
1580,3.640349145176255e-06,0.0,2.2944863238600582e-05,2.2944863238600582e-05
1581,3.640349145176255e-06,0.0,2.5415284523790304e-05,2.5415284523790304e-05
1582,3.640349145176255e-06,0.0,2.7928501887280227e-05,2.7928501887280227e-05
1583,1.2111129503214865e-05,0.0,2.3721119110372717e-05,2.3721119110372717e-05
1584,1.5707575844966675e-05,0.0,2.5665201194767307e-05,2.5665201194767307e-05
1585,1.4262097205833665e-05,0.0,3.2190085871012085e-05,3.2190085871012085e-05
1586,1.2968587595553669e-05,0.0,3.3844290555862244e-05,3.3844290555862244e-05
1587,1.331466715523025e-05,0.0,3.7746721188471254e-05,3.7746721188471254e-05
1588,1.3984172970335099e-05,0.0,3.5525888441562916e-05,3.5525888441562916e-05
1589,1.3984172970335099e-05,0.0,3.5726452811754174e-05,3.5726452811754174e-05
1590,4.612031716533238e-06,0.0,4.26191306490052e-05,4.26191306490052e-05
1591,1.2821188387793621e-06,0.0,4.452037579280191e-05,4.452037579280191e-05
1592,1.8790906324284151e-06,0.0,4.190151438316596e-05,4.190151438316596e-05
1593,1.8790906324284151e-06,0.0,4.746139113974225e-05,4.746139113974225e-05
1594,1.5330110727518331e-06,0.0,4.694224948512523e-05,4.694224948512523e-05
1595,8.635052576469857e-07,0.0,6.047954229870811e-05,6.047954229870811e-05
1596,1.073923483220694e-06,0.0,5.777622001395295e-05,5.777622001395295e-05
1597,2.2845443449373955e-06,0.0,5.261466867523268e-05,5.261466867523268e-05
1598,3.3450283548778055e-06,0.0,4.758911693768043e-05,4.758911693768043e-05
1599,2.98387885777629e-06,0.0,4.442701850036558e-05,4.442701850036558e-05
1600,2.98387885777629e-06,0.0,4.02784587225012e-05,4.02784587225012e-05
1601,2.98387885777629e-06,0.0,3.8430077568461585e-05,3.8430077568461585e-05
1602,2.98387885777629e-06,0.0,2.491098244458304e-05,2.491098244458304e-05
1603,2.773460632202581e-06,0.0,3.0216055685221882e-05,3.0216055685221882e-05
1604,1.5628397704858799e-06,0.0,4.581384356632563e-05,4.581384356632563e-05
1605,6.855698627207727e-07,0.0,5.231317481957376e-05,5.231317481957376e-05
1606,4.213512608787694e-06,0.0,5.3960888700593e-05,5.3960888700593e-05
1607,4.213512608787694e-06,0.0,5.3434084942896985e-05,5.3434084942896985e-05
1608,4.213512608787694e-06,0.0,5.1116320979157793e-05,5.1116320979157793e-05
1609,7.232296249120347e-06,0.0,5.466463504230238e-05,5.466463504230238e-05
1610,7.232296249120347e-06,0.0,5.15501286437419e-05,5.15501286437419e-05
1611,7.334708527650946e-06,0.0,3.4638014377768354e-05,3.4638014377768354e-05
1612,6.884960961477711e-06,0.0,3.510645456117345e-05,3.510645456117345e-05
1613,3.281006399902253e-06,0.0,3.5732056988178685e-05,3.5732056988178685e-05
1614,3.281006399902253e-06,0.0,3.850448891690965e-05,3.850448891690965e-05
1615,3.281006399902253e-06,0.0,4.1877742270506655e-05,4.1877742270506655e-05
