ngram,decision,decison,decsion,deision
1727,3.231362273124562e-06,0.0,0.0,0.0
1728,3.313642732142138e-06,0.0,0.0,0.0
1729,2.6939489024308775e-06,0.0,0.0,0.0
1730,2.774422374126776e-06,0.0,0.0,0.0
1731,2.84314684709638e-06,0.0,0.0,0.0
1732,2.489451211269105e-06,0.0,0.0,0.0
1733,2.2556037525386534e-06,0.0,0.0,0.0
1734,2.468541327159203e-06,0.0,0.0,0.0
1735,3.146519962423814e-06,0.0,0.0,0.0
1736,3.2931809528236045e-06,0.0,0.0,0.0
1737,3.440306987353584e-06,0.0,0.0,0.0
1738,3.6272181530096404e-06,0.0,0.0,0.0
1739,3.696941251161791e-06,0.0,0.0,0.0
1740,3.867037224024118e-06,0.0,0.0,0.0
1741,3.8204191891314366e-06,0.0,0.0,0.0
1742,2.9426378205243964e-06,0.0,0.0,0.0
1743,3.3052372795542136e-06,0.0,0.0,0.0
1744,3.3508421373491208e-06,0.0,0.0,0.0
1745,3.5148685973191666e-06,0.0,0.0,0.0
1746,3.950176505895797e-06,0.0,0.0,0.0
1747,4.282025299419599e-06,8.318303506322472e-09,0.0,0.0
1748,4.868984011149483e-06,8.318303506322472e-09,0.0,0.0
1749,5.650876573781716e-06,8.318303506322472e-09,0.0,0.0
1750,5.777620052478076e-06,8.318303506322472e-09,0.0,0.0
1751,7.402177743642824e-06,1.1887442141755855e-08,0.0,0.0
1752,7.636327089650357e-06,1.1887442141755855e-08,0.0,0.0
1753,8.212504326365888e-06,1.1887442141755855e-08,0.0,0.0
1754,8.790580458090907e-06,3.569138635433384e-09,0.0,0.0
1755,8.909685350642707e-06,3.569138635433384e-09,0.0,0.0
1756,1.0020862841234443e-05,3.569138635433384e-09,0.0,0.0
1757,1.0819741549182385e-05,3.569138635433384e-09,0.0,0.0
1758,1.1223031898615382e-05,0.0,0.0,0.0
1759,1.1948974783341068e-05,0.0,0.0,0.0
1760,1.164643884164564e-05,0.0,0.0,0.0
1761,1.245557755932428e-05,0.0,0.0,0.0
1762,1.2411639545462094e-05,0.0,0.0,0.0
1763,1.1875257509278267e-05,2.8386745652499356e-09,0.0,0.0
1764,1.1708133570209611e-05,2.8386745652499356e-09,0.0,0.0
1765,1.0909008778980933e-05,2.8386745652499356e-09,5.8948168251455564e-09,0.0
1766,1.1402178643038496e-05,2.8386745652499356e-09,5.8948168251455564e-09,0.0
1767,1.2472225989768049e-05,2.8386745652499356e-09,5.8948168251455564e-09,0.0
1768,1.2572632645710005e-05,2.8386745652499356e-09,5.8948168251455564e-09,0.0
1769,1.3461891545115837e-05,2.8386745652499356e-09,5.8948168251455564e-09,0.0
1770,1.3727589508302376e-05,0.0,5.8948168251455564e-09,0.0
1771,1.4067756897670084e-05,0.0,5.8948168251455564e-09,0.0
1772,1.4650094531784166e-05,2.6360818290121254e-09,0.0,0.0
1773,1.4263925290184229e-05,2.6360818290121254e-09,0.0,0.0
1774,1.4523735964238377e-05,2.6360818290121254e-09,0.0,0.0
1775,1.3932295067726435e-05,2.6360818290121254e-09,0.0,0.0
1776,1.3727410207918314e-05,2.6360818290121254e-09,0.0,0.0
1777,1.4183169176768778e-05,2.6360818290121254e-09,0.0,0.0
