ngram,growth,gowth,grwth,growh
1625,1.3468317255111678e-05,0.0,0.0,0.0
1626,1.3500186988884317e-05,0.0,0.0,0.0
1627,1.3083122082337337e-05,0.0,0.0,0.0
1628,1.5812288308682453e-05,0.0,0.0,0.0
1629,1.5808319013948286e-05,0.0,0.0,0.0
1630,1.5722981385936562e-05,0.0,0.0,0.0
1631,1.423616842138082e-05,0.0,0.0,0.0
1632,1.4682275702528256e-05,0.0,0.0,0.0
1633,1.3897479740470381e-05,0.0,0.0,0.0
1634,1.637256575902159e-05,0.0,0.0,0.0
1635,1.6277278518828098e-05,0.0,0.0,0.0
1636,1.687170099882808e-05,0.0,0.0,0.0
1637,1.6923368743196727e-05,0.0,0.0,0.0
1638,1.7788950831995214e-05,0.0,0.0,0.0
1639,1.8952099448402544e-05,0.0,0.0,0.0
1640,1.905481518146449e-05,0.0,0.0,0.0
1641,1.569868085685552e-05,0.0,0.0,0.0
1642,1.7283835534596748e-05,0.0,0.0,0.0
1643,1.5828348880729338e-05,0.0,0.0,0.0
1644,1.526495017450153e-05,0.0,0.0,0.0
1645,1.465981631554314e-05,0.0,0.0,0.0
1646,1.199369704149181e-05,0.0,0.0,0.0
1647,1.4189791142728478e-05,0.0,0.0,0.0
1648,1.626992934689042e-05,0.0,0.0,0.0
1649,1.2466715361370007e-05,0.0,0.0,0.0
1650,1.600935333304473e-05,0.0,0.0,0.0
1651,1.7461114111938514e-05,0.0,0.0,0.0
1652,1.8165433305382195e-05,0.0,0.0,0.0
1653,1.8390136444525395e-05,0.0,0.0,0.0
1654,1.7674794695007483e-05,0.0,0.0,0.0
1655,1.7085907009979045e-05,0.0,0.0,0.0
1656,1.82274044553716e-05,0.0,0.0,0.0
1657,1.6116946556264467e-05,0.0,0.0,0.0
1658,1.637749444073831e-05,0.0,0.0,0.0
1659,1.624278138478985e-05,0.0,0.0,0.0
1660,1.7177493386303206e-05,0.0,0.0,0.0
1661,1.6787030809999643e-05,0.0,0.0,0.0
1662,1.6568508336994065e-05,0.0,0.0,0.0
1663,1.5517362693831922e-05,0.0,0.0,0.0
1664,1.7827272781037857e-05,0.0,0.0,0.0
1665,1.6893574866116978e-05,0.0,0.0,0.0
1666,1.596378089223955e-05,0.0,0.0,0.0
1667,1.6244431208178867e-05,0.0,0.0,0.0
1668,1.799164549863365e-05,0.0,0.0,0.0
1669,1.7979222450646504e-05,0.0,0.0,0.0
1670,1.984231896910517e-05,0.0,0.0,0.0
1671,1.7670244493014513e-05,0.0,0.0,0.0
1672,1.7572043491652168e-05,0.0,0.0,0.0
1673,1.7653024640042402e-05,0.0,0.0,0.0
1674,2.0032679978092866e-05,0.0,0.0,0.0
1675,1.9152657322203076e-05,0.0,0.0,0.0
1676,2.2200428767454078e-05,0.0,0.0,0.0
1677,2.084299701112156e-05,0.0,0.0,0.0
1678,2.3053376545638976e-05,0.0,0.0,0.0
1679,2.226824329097456e-05,0.0,0.0,0.0
1680,2.2669806380041075e-05,0.0,0.0,0.0
1681,2.2541817868061897e-05,0.0,0.0,0.0
1682,2.185661651310511e-05,0.0,0.0,0.0
1683,1.8773791063202744e-05,0.0,0.0,0.0
1684,1.8473963141981846e-05,0.0,0.0,0.0
1685,1.621262799744727e-05,0.0,0.0,0.0
1686,1.63892297808031e-05,0.0,0.0,0.0
1687,1.6134070522509448e-05,0.0,0.0,0.0
1688,1.509931839141895e-05,0.0,0.0,0.0
1689,1.5111747805869008e-05,0.0,0.0,0.0
1690,1.4976847004228538e-05,0.0,0.0,0.0
1691,1.4393167215790267e-05,0.0,0.0,0.0
1692,1.3965267498861067e-05,0.0,0.0,0.0
1693,1.603458518470039e-05,0.0,0.0,0.0
1694,1.7248142934736927e-05,0.0,0.0,0.0
1695,1.5987109951051286e-05,0.0,0.0,0.0
1696,1.618625758835281e-05,0.0,0.0,0.0
1697,1.7207866221724544e-05,0.0,0.0,0.0
1698,1.803142744652827e-05,0.0,0.0,0.0
1699,1.7496173833413714e-05,0.0,0.0,0.0
1700,1.488855260894135e-05,0.0,0.0,0.0
1701,1.2339531817165802e-05,0.0,0.0,9.666759329515377e-09
1702,1.2268764943915553e-05,0.0,0.0,9.666759329515377e-09
1703,1.1471651954967196e-05,0.0,0.0,9.666759329515377e-09
1704,9.86433717896164e-06,0.0,0.0,9.666759329515377e-09
1705,9.54529111498102e-06,0.0,0.0,9.666759329515377e-09
1706,9.831872505726227e-06,0.0,0.0,9.666759329515377e-09
1707,9.651486834627576e-06,0.0,0.0,9.666759329515377e-09
1708,9.215500735341006e-06,0.0,0.0,0.0
1709,7.863090818968235e-06,0.0,0.0,0.0
1710,7.0773953666503076e-06,0.0,0.0,0.0
1711,6.563626227164475e-06,0.0,0.0,0.0
1712,5.316538168439625e-06,0.0,0.0,0.0
1713,6.40944092213301e-06,0.0,0.0,1.0818015182069627e-08
1714,7.986625567874789e-06,0.0,0.0,1.0818015182069627e-08
1715,8.020130995386612e-06,0.0,0.0,2.214036852267652e-08
1716,8.38155574456323e-06,0.0,0.0,2.214036852267652e-08
1717,8.281168123046103e-06,0.0,0.0,2.214036852267652e-08
1718,8.626507029215905e-06,0.0,0.0,2.214036852267652e-08
1719,8.769466636035109e-06,0.0,0.0,2.214036852267652e-08
1720,6.781441990304822e-06,0.0,0.0,1.132235334060689e-08
1721,5.037428276669484e-06,0.0,0.0,1.132235334060689e-08
1722,6.358822377348718e-06,0.0,0.0,0.0
1723,6.630531320947089e-06,0.0,0.0,0.0
1724,8.188385501333479e-06,0.0,0.0,0.0
1725,7.782566496773922e-06,0.0,0.0,0.0
1726,8.47361778661642e-06,0.0,0.0,0.0
1727,9.010724235330209e-06,0.0,0.0,0.0
1728,9.400042342479407e-06,0.0,0.0,0.0
1729,8.343680292455247e-06,0.0,0.0,0.0
1730,8.197166737643005e-06,0.0,0.0,0.0
1731,6.944456475009377e-06,0.0,0.0,0.0
1732,7.2737262988604404e-06,0.0,0.0,0.0
1733,8.449145947711908e-06,7.024769591420668e-09,0.0,7.024769591420668e-09
1734,1.006038337436621e-05,7.024769591420668e-09,0.0,1.218650120498361e-08
1735,9.573152965458576e-06,7.024769591420668e-09,0.0,1.8653427247272703e-08
1736,9.852064522419823e-06,7.024769591420668e-09,0.0,1.8653427247272703e-08
1737,9.90262573655595e-06,7.024769591420668e-09,0.0,1.8653427247272703e-08
1738,1.0107206890097586e-05,7.024769591420668e-09,0.0,1.8653427247272703e-08
1739,1.0138923114157348e-05,7.024769591420668e-09,0.0,1.8653427247272703e-08
1740,8.429444083698659e-06,0.0,0.0,1.1628657655852034e-08
1741,7.395963945912497e-06,0.0,0.0,6.466926042289092e-09
1742,8.356369107787032e-06,0.0,0.0,0.0
1743,8.30796644939775e-06,0.0,0.0,0.0
1744,8.18906976616875e-06,0.0,0.0,0.0
1745,7.868589688899061e-06,0.0,0.0,0.0
1746,7.796403484202788e-06,0.0,0.0,4.977977141606971e-09
1747,8.275456366391154e-06,0.0,0.0,4.977977141606971e-09
1748,8.582150842682625e-06,0.0,0.0,4.977977141606971e-09
1749,8.749043380313587e-06,0.0,0.0,4.977977141606971e-09
1750,1.1276491477474337e-05,0.0,0.0,4.977977141606971e-09
1751,1.2254739691083419e-05,0.0,0.0,8.547115777040354e-09
1752,1.3499380072192122e-05,0.0,0.0,8.547115777040354e-09
1753,1.4892110552214685e-05,0.0,0.0,3.569138635433384e-09
1754,1.737229545791966e-05,0.0,0.0,3.569138635433384e-09
1755,2.0474589811263805e-05,0.0,0.0,7.4224464035361444e-09
1756,2.287437148749762e-05,0.0,0.0,1.0457916945126402e-08
1757,2.1575280698016286e-05,0.0,0.0,1.0457916945126402e-08
1758,2.1963311415415126e-05,0.0,0.0,9.99636310236188e-09
1759,2.1685520550818183e-05,0.0,0.0,9.99636310236188e-09
