ngram,cup,cup,cup,cupp
1576,1.9144191225807716e-05,1.9144191225807716e-05,1.9144191225807716e-05,0.0
1577,1.0078117286736545e-05,1.0078117286736545e-05,1.0078117286736545e-05,0.0
1578,8.349004929186776e-06,8.349004929186776e-06,8.349004929186776e-06,0.0
1579,6.7891225106515255e-06,6.7891225106515255e-06,6.7891225106515255e-06,0.0
1580,1.3722348220263874e-05,1.3722348220263874e-05,1.3722348220263874e-05,0.0
1581,1.0502674675600637e-05,1.0502674675600637e-05,1.0502674675600637e-05,0.0
1582,1.3854525669947698e-05,1.3854525669947698e-05,1.3854525669947698e-05,0.0
1583,1.2562368608217054e-05,1.2562368608217054e-05,1.2562368608217054e-05,0.0
1584,1.3461480193655007e-05,1.3461480193655007e-05,1.3461480193655007e-05,0.0
1585,2.085361848003231e-05,2.085361848003231e-05,2.085361848003231e-05,0.0
1586,2.1572512326071903e-05,2.1572512326071903e-05,2.1572512326071903e-05,0.0
1587,1.533144573581272e-05,1.533144573581272e-05,1.533144573581272e-05,0.0
1588,1.5407644176385865e-05,1.5407644176385865e-05,1.5407644176385865e-05,0.0
1589,1.4296510861251071e-05,1.4296510861251071e-05,1.4296510861251071e-05,0.0
1590,1.4895119485507685e-05,1.4895119485507685e-05,1.4895119485507685e-05,0.0
1591,1.639480901108722e-05,1.639480901108722e-05,1.639480901108722e-05,0.0
1592,1.0667818579739624e-05,1.0667818579739624e-05,1.0667818579739624e-05,0.0
1593,1.3074798776610155e-05,1.3074798776610155e-05,1.3074798776610155e-05,0.0
1594,1.2885534423341077e-05,1.2885534423341077e-05,1.2885534423341077e-05,0.0
1595,1.582240533285325e-05,1.582240533285325e-05,1.582240533285325e-05,0.0
1596,1.5896288264879592e-05,1.5896288264879592e-05,1.5896288264879592e-05,0.0
1597,1.760511083505532e-05,1.760511083505532e-05,1.760511083505532e-05,0.0
1598,1.5515947130292522e-05,1.5515947130292522e-05,1.5515947130292522e-05,0.0
1599,1.3245971103970078e-05,1.3245971103970078e-05,1.3245971103970078e-05,0.0
1600,1.171768829928104e-05,1.171768829928104e-05,1.171768829928104e-05,0.0
1601,1.3168032150393369e-05,1.3168032150393369e-05,1.3168032150393369e-05,0.0
1602,1.1127666149539956e-05,1.1127666149539956e-05,1.1127666149539956e-05,0.0
1603,1.0049395866319952e-05,1.0049395866319952e-05,1.0049395866319952e-05,0.0
1604,8.142882019715866e-06,8.142882019715866e-06,8.142882019715866e-06,1.7027031974846197e-07
1605,9.744671810299873e-06,9.744671810299873e-06,9.744671810299873e-06,1.7027031974846197e-07
1606,1.68339703512694e-05,1.68339703512694e-05,1.68339703512694e-05,1.7027031974846197e-07
1607,1.896886455402377e-05,1.896886455402377e-05,1.896886455402377e-05,1.7027031974846197e-07
1608,2.021046748268418e-05,2.021046748268418e-05,2.021046748268418e-05,1.7027031974846197e-07
1609,1.9587826630283545e-05,1.9587826630283545e-05,1.9587826630283545e-05,1.7027031974846197e-07
1610,2.5488599021628033e-05,2.5488599021628033e-05,2.5488599021628033e-05,2.9771858375430125e-07
1611,2.52529715518384e-05,2.52529715518384e-05,2.52529715518384e-05,1.2744826400583926e-07
1612,2.4417547267928186e-05,2.4417547267928186e-05,2.4417547267928186e-05,1.2744826400583926e-07
1613,2.072616812906095e-05,2.072616812906095e-05,2.072616812906095e-05,1.2744826400583926e-07
1614,1.83121216780689e-05,1.83121216780689e-05,1.83121216780689e-05,1.2744826400583926e-07
1615,1.778388299758912e-05,1.778388299758912e-05,1.778388299758912e-05,1.2744826400583926e-07
1616,1.8642635820599806e-05,1.8642635820599806e-05,1.8642635820599806e-05,1.2744826400583926e-07
1617,1.4346983724473311e-05,1.4346983724473311e-05,1.4346983724473311e-05,0.0
1618,1.4106742907772838e-05,1.4106742907772838e-05,1.4106742907772838e-05,0.0
1619,1.550649890954706e-05,1.550649890954706e-05,1.550649890954706e-05,0.0
1620,1.4811358076778041e-05,1.4811358076778041e-05,1.4811358076778041e-05,0.0
1621,1.6704443104182637e-05,1.6704443104182637e-05,1.6704443104182637e-05,0.0
1622,2.7615082737091662e-05,2.7615082737091662e-05,2.7615082737091662e-05,0.0
1623,2.7429445253801532e-05,2.7429445253801532e-05,2.7429445253801532e-05,0.0
1624,2.6678645294201226e-05,2.6678645294201226e-05,2.6678645294201226e-05,0.0
1625,2.9530261989358613e-05,2.9530261989358613e-05,2.9530261989358613e-05,0.0
1626,2.751374670749231e-05,2.751374670749231e-05,2.751374670749231e-05,0.0
1627,2.900688312885385e-05,2.900688312885385e-05,2.900688312885385e-05,1.5977134028487073e-07
1628,2.8808893927946754e-05,2.8808893927946754e-05,2.8808893927946754e-05,2.9079459246921555e-07
1629,1.944064791002477e-05,1.944064791002477e-05,1.944064791002477e-05,3.7332393633602935e-07
1630,1.9894138599089013e-05,1.9894138599089013e-05,1.9894138599089013e-05,4.595729348823495e-07
1631,2.109092721574208e-05,2.109092721574208e-05,2.109092721574208e-05,4.595729348823495e-07
1632,1.8910660531089108e-05,1.8910660531089108e-05,1.8910660531089108e-05,4.595729348823495e-07
1633,1.9273973651122234e-05,1.9273973651122234e-05,1.9273973651122234e-05,4.595729348823495e-07
1634,1.7675347018147087e-05,1.7675347018147087e-05,1.7675347018147087e-05,2.998015945974787e-07
1635,1.770764161587327e-05,1.770764161587327e-05,1.770764161587327e-05,1.6877834241313394e-07
1636,1.5930288619918948e-05,1.5930288619918948e-05,1.5930288619918948e-05,8.624899854632012e-08
1637,1.8835201444744598e-05,1.8835201444744598e-05,1.8835201444744598e-05,7.316012735308114e-08
1638,1.8779843880370857e-05,1.8779843880370857e-05,1.8779843880370857e-05,7.316012735308114e-08
1639,1.9013214893805396e-05,1.9013214893805396e-05,1.9013214893805396e-05,7.316012735308114e-08
1640,2.0658051523371667e-05,2.0658051523371667e-05,2.0658051523371667e-05,7.316012735308114e-08
1641,1.9495626345035688e-05,1.9495626345035688e-05,1.9495626345035688e-05,7.316012735308114e-08
1642,2.1955238610514372e-05,2.1955238610514372e-05,2.1955238610514372e-05,7.316012735308114e-08
1643,2.078810939565301e-05,2.078810939565301e-05,2.078810939565301e-05,7.316012735308114e-08
1644,1.7279804134367233e-05,1.7279804134367233e-05,1.7279804134367233e-05,0.0
1645,1.5766811494748773e-05,1.5766811494748773e-05,1.5766811494748773e-05,0.0
1646,1.9516408818682457e-05,1.9516408818682457e-05,1.9516408818682457e-05,0.0
1647,1.923397199529323e-05,1.923397199529323e-05,1.923397199529323e-05,0.0
1648,1.9102524025324135e-05,1.9102524025324135e-05,1.9102524025324135e-05,0.0
1649,1.5318093444095992e-05,1.5318093444095992e-05,1.5318093444095992e-05,0.0
1650,1.8050311544876812e-05,1.8050311544876812e-05,1.8050311544876812e-05,0.0
1651,1.826073119965648e-05,1.826073119965648e-05,1.826073119965648e-05,0.0
1652,2.0215954204364346e-05,2.0215954204364346e-05,2.0215954204364346e-05,0.0
1653,1.6032105642287725e-05,1.6032105642287725e-05,1.6032105642287725e-05,0.0
1654,1.6668005628162064e-05,1.6668005628162064e-05,1.6668005628162064e-05,0.0
1655,1.803562554414384e-05,1.803562554414384e-05,1.803562554414384e-05,1.743091421043833e-07
1656,1.830813705185262e-05,1.830813705185262e-05,1.830813705185262e-05,1.743091421043833e-07
1657,2.003911803123109e-05,2.003911803123109e-05,2.003911803123109e-05,1.743091421043833e-07
1658,2.1793515510840473e-05,2.1793515510840473e-05,2.1793515510840473e-05,1.743091421043833e-07
1659,2.3265952872212176e-05,2.3265952872212176e-05,2.3265952872212176e-05,2.064763273373111e-07
1660,2.3031635984287796e-05,2.3031635984287796e-05,2.3031635984287796e-05,6.875251281306711e-07
1661,2.2495083222955664e-05,2.2495083222955664e-05,2.2495083222955664e-05,9.562667640596243e-07
1662,2.1045932304072528e-05,2.1045932304072528e-05,2.1045932304072528e-05,9.03757201139602e-07
1663,1.9446579569505828e-05,1.9446579569505828e-05,1.9446579569505828e-05,9.694521797395543e-07
1664,1.4465622890773894e-05,1.4465622890773894e-05,1.4465622890773894e-05,9.694521797395543e-07
1665,1.213651272077446e-05,1.213651272077446e-05,1.213651272077446e-05,9.694521797395543e-07
1666,8.66759598596088e-06,8.66759598596088e-06,8.66759598596088e-06,9.372849945066264e-07
1667,8.25909975381884e-06,8.25909975381884e-06,8.25909975381884e-06,4.562361937132664e-07
1668,1.170646744087987e-05,1.170646744087987e-05,1.170646744087987e-05,2.3124777369178317e-07
1669,1.1325203039242687e-05,1.1325203039242687e-05,1.1325203039242687e-05,1.0944819450742216e-07
1670,1.2322403238483406e-05,1.2322403238483406e-05,1.2322403238483406e-05,4.3753215907470026e-08
1671,1.2709842199650925e-05,1.2709842199650925e-05,1.2709842199650925e-05,4.3753215907470026e-08
1672,1.5494446805470424e-05,1.5494446805470424e-05,1.5494446805470424e-05,4.3753215907470026e-08
1673,1.594450090384011e-05,1.594450090384011e-05,1.594450090384011e-05,1.9221044210228554e-07
1674,2.0045067750678364e-05,2.0045067750678364e-05,2.0045067750678364e-05,1.9221044210228554e-07
1675,1.6715691149979e-05,1.6715691149979e-05,1.6715691149979e-05,1.484572261948155e-07
1676,1.7131448527964365e-05,1.7131448527964365e-05,1.7131448527964365e-05,1.484572261948155e-07
1677,1.7587319364663146e-05,1.7587319364663146e-05,1.7587319364663146e-05,1.484572261948155e-07
1678,1.7568563764923185e-05,1.7568563764923185e-05,1.7568563764923185e-05,1.484572261948155e-07
1679,1.4396893545511244e-05,1.4396893545511244e-05,1.4396893545511244e-05,1.484572261948155e-07
1680,1.3861976445436344e-05,1.3861976445436344e-05,1.3861976445436344e-05,0.0
1681,1.065851964605307e-05,1.065851964605307e-05,1.065851964605307e-05,0.0
1682,1.0171522912319883e-05,1.0171522912319883e-05,1.0171522912319883e-05,1.0080516079012471e-07
1683,9.459251422023434e-06,9.459251422023434e-06,9.459251422023434e-06,1.0080516079012471e-07
1684,8.7516520709739e-06,8.7516520709739e-06,8.7516520709739e-06,1.0080516079012471e-07
1685,8.08074033946988e-06,8.08074033946988e-06,8.08074033946988e-06,1.412168241391295e-07
1686,8.58120058312904e-06,8.58120058312904e-06,8.58120058312904e-06,1.412168241391295e-07
1687,7.977032997327374e-06,7.977032997327374e-06,7.977032997327374e-06,1.412168241391295e-07
1688,7.344395174056574e-06,7.344395174056574e-06,7.344395174056574e-06,1.412168241391295e-07
1689,6.028949266172796e-06,6.028949266172796e-06,6.028949266172796e-06,4.041166334900481e-08
1690,6.737771562776678e-06,6.737771562776678e-06,6.737771562776678e-06,4.041166334900481e-08
1691,6.5033739896794685e-06,6.5033739896794685e-06,6.5033739896794685e-06,4.041166334900481e-08
1692,7.052903583826264e-06,7.052903583826264e-06,7.052903583826264e-06,0.0
1693,6.213432860542005e-06,6.213432860542005e-06,6.213432860542005e-06,0.0
1694,5.541642914457563e-06,5.541642914457563e-06,5.541642914457563e-06,0.0
1695,5.447107566526808e-06,5.447107566526808e-06,5.447107566526808e-06,0.0
1696,5.8707418182686e-06,5.8707418182686e-06,5.8707418182686e-06,0.0
1697,6.064829676688532e-06,6.064829676688532e-06,6.064829676688532e-06,0.0
1698,6.725647608618601e-06,6.725647608618601e-06,6.725647608618601e-06,0.0
1699,6.280510433498421e-06,6.280510433498421e-06,6.280510433498421e-06,0.0
1700,6.918128617274176e-06,6.918128617274176e-06,6.918128617274176e-06,0.0
1701,7.239122559050364e-06,7.239122559050364e-06,7.239122559050364e-06,0.0
1702,6.918537240250901e-06,6.918537240250901e-06,6.918537240250901e-06,0.0
1703,6.6458530584766e-06,6.6458530584766e-06,6.6458530584766e-06,0.0
1704,5.366764363705963e-06,5.366764363705963e-06,5.366764363705963e-06,0.0
1705,4.3501707490837105e-06,4.3501707490837105e-06,4.3501707490837105e-06,0.0
1706,4.4103960590291535e-06,4.4103960590291535e-06,4.4103960590291535e-06,0.0
1707,3.785442036782375e-06,3.785442036782375e-06,3.785442036782375e-06,0.0
1708,3.301769798521751e-06,3.301769798521751e-06,3.301769798521751e-06,0.0
1709,3.3998432107702163e-06,3.3998432107702163e-06,3.3998432107702163e-06,0.0
1710,4.1123178432046966e-06,4.1123178432046966e-06,4.1123178432046966e-06,0.0
1711,4.359557611418755e-06,4.359557611418755e-06,4.359557611418755e-06,0.0
1712,4.5379384313751614e-06,4.5379384313751614e-06,4.5379384313751614e-06,0.0
1713,4.999775878137111e-06,4.999775878137111e-06,4.999775878137111e-06,0.0
1714,5.137335977321657e-06,5.137335977321657e-06,5.137335977321657e-06,0.0
1715,5.798211564719427e-06,5.798211564719427e-06,5.798211564719427e-06,0.0
1716,5.99576661183424e-06,5.99576661183424e-06,5.99576661183424e-06,0.0
1717,5.411251322584576e-06,5.411251322584576e-06,5.411251322584576e-06,0.0
1718,5.211068777758296e-06,5.211068777758296e-06,5.211068777758296e-06,0.0
1719,4.746614503606647e-06,4.746614503606647e-06,4.746614503606647e-06,0.0
1720,4.482071468763544e-06,4.482071468763544e-06,4.482071468763544e-06,0.0
1721,4.227194673538699e-06,4.227194673538699e-06,4.227194673538699e-06,8.760058075755036e-09
1722,3.991554210967609e-06,3.991554210967609e-06,3.991554210967609e-06,8.760058075755036e-09
1723,3.688389093830275e-06,3.688389093830275e-06,3.688389093830275e-06,8.760058075755036e-09
1724,3.361493895681633e-06,3.361493895681633e-06,3.361493895681633e-06,8.760058075755036e-09
1725,3.6535993623536863e-06,3.6535993623536863e-06,3.6535993623536863e-06,1.6113011115846476e-08
1726,4.508016640361997e-06,4.508016640361997e-06,4.508016640361997e-06,1.6113011115846476e-08
1727,4.3995332167209455e-06,4.3995332167209455e-06,4.3995332167209455e-06,1.6113011115846476e-08
1728,4.94439596617927e-06,4.94439596617927e-06,4.94439596617927e-06,7.352953040091441e-09
1729,4.944676870114303e-06,4.944676870114303e-06,4.944676870114303e-06,7.352953040091441e-09
1730,5.387266095827467e-06,5.387266095827467e-06,5.387266095827467e-06,7.352953040091441e-09
1731,5.385772055888083e-06,5.385772055888083e-06,5.385772055888083e-06,7.352953040091441e-09
1732,6.356694679457828e-06,6.356694679457828e-06,6.356694679457828e-06,0.0
1733,6.397969497941501e-06,6.397969497941501e-06,6.397969497941501e-06,0.0
1734,6.825269987790047e-06,6.825269987790047e-06,6.825269987790047e-06,0.0
1735,6.959483536255513e-06,6.959483536255513e-06,6.959483536255513e-06,0.0
1736,6.87574288349424e-06,6.87574288349424e-06,6.87574288349424e-06,0.0
1737,6.306528770697436e-06,6.306528770697436e-06,6.306528770697436e-06,1.3843256445917568e-08
1738,6.327305267664737e-06,6.327305267664737e-06,6.327305267664737e-06,1.3843256445917568e-08
1739,5.358179480806159e-06,5.358179480806159e-06,5.358179480806159e-06,2.3536005398584947e-08
1740,5.090078697581443e-06,5.090078697581443e-06,5.090078697581443e-06,2.3536005398584947e-08
1741,4.725314088968194e-06,4.725314088968194e-06,4.725314088968194e-06,2.3536005398584947e-08
1742,5.796303022569711e-06,5.796303022569711e-06,5.796303022569711e-06,2.3536005398584947e-08
1743,6.3500156427055894e-06,6.3500156427055894e-06,6.3500156427055894e-06,2.3536005398584947e-08
1744,7.465439531577951e-06,7.465439531577951e-06,7.465439531577951e-06,9.69274895266738e-09
1745,8.156605872500222e-06,8.156605872500222e-06,8.156605872500222e-06,9.69274895266738e-09
1746,8.152055215759901e-06,8.152055215759901e-06,8.152055215759901e-06,0.0
1747,7.959806550518675e-06,7.959806550518675e-06,7.959806550518675e-06,0.0
1748,7.916340824262339e-06,7.916340824262339e-06,7.916340824262339e-06,0.0
1749,6.860993445505821e-06,6.860993445505821e-06,6.860993445505821e-06,0.0
1750,6.879960567727851e-06,6.879960567727851e-06,6.879960567727851e-06,0.0
1751,7.369804799444475e-06,7.369804799444475e-06,7.369804799444475e-06,0.0
1752,7.6201425664684005e-06,7.6201425664684005e-06,7.6201425664684005e-06,0.0
1753,8.999577598193095e-06,8.999577598193095e-06,8.999577598193095e-06,3.017611455951348e-08
1754,9.530956244166841e-06,9.530956244166841e-06,9.530956244166841e-06,3.017611455951348e-08
1755,1.0528651013633602e-05,1.0528651013633602e-05,1.0528651013633602e-05,3.017611455951348e-08
1756,1.0752275751916126e-05,1.0752275751916126e-05,1.0752275751916126e-05,3.017611455951348e-08
1757,1.1635410763639292e-05,1.1635410763639292e-05,1.1635410763639292e-05,3.017611455951348e-08
1758,1.1711051748924156e-05,1.1711051748924156e-05,1.1711051748924156e-05,3.017611455951348e-08
1759,1.1596874303774842e-05,1.1596874303774842e-05,1.1596874303774842e-05,8.931562587934292e-08
1760,1.0947166499266001e-05,1.0947166499266001e-05,1.0947166499266001e-05,5.913951131982945e-08
1761,1.137961524883784e-05,1.137961524883784e-05,1.137961524883784e-05,6.19150787782376e-08
1762,1.1655369235086255e-05,1.1655369235086255e-05,1.1655369235086255e-05,6.728024283729286e-08
1763,1.1890479462246211e-05,1.1890479462246211e-05,1.1890479462246211e-05,6.728024283729286e-08
1764,1.2226448624070535e-05,1.2226448624070535e-05,1.2226448624070535e-05,7.009092252628437e-08
1765,1.2777908263420354e-05,1.2777908263420354e-05,1.2777908263420354e-05,7.009092252628437e-08
1766,1.363433018143821e-05,1.363433018143821e-05,1.363433018143821e-05,1.4352463344786365e-08
1767,1.4620290650262696e-05,1.4620290650262696e-05,1.4620290650262696e-05,1.7296965637569883e-08
1768,1.5098131370905321e-05,1.5098131370905321e-05,1.5098131370905321e-05,1.7203610726466778e-08
1769,1.547764532006113e-05,1.547764532006113e-05,1.547764532006113e-05,1.4884706292913767e-08
1770,1.6762576966097447e-05,1.6762576966097447e-05,1.6762576966097447e-05,1.4884706292913767e-08
1771,1.696779742945052e-05,1.696779742945052e-05,1.696779742945052e-05,1.2074026603922254e-08
1772,2.1320901266465497e-05,2.1320901266465497e-05,2.1320901266465497e-05,1.4710108432934379e-08
1773,2.0646474955096244e-05,2.0646474955096244e-05,2.0646474955096244e-05,1.130905629460293e-08
1774,2.0240730918885674e-05,2.0240730918885674e-05,2.0240730918885674e-05,8.36455400181941e-09
1775,1.984509357758465e-05,1.984509357758465e-05,1.984509357758465e-05,5.682341454514374e-09
1776,1.9661273524564293e-05,1.9661273524564293e-05,1.9661273524564293e-05,2.162266886175855e-08
1777,2.0187445053514758e-05,2.0187445053514758e-05,2.0187445053514758e-05,3.621292091590281e-08
1778,1.9660599978773723e-05,1.9660599978773723e-05,1.9660599978773723e-05,3.621292091590281e-08
1779,1.4418672955278972e-05,1.4418672955278972e-05,1.4418672955278972e-05,1.5909944295344758e-07
1780,1.4449712060533265e-05,1.4449712060533265e-05,1.4449712060533265e-05,1.637977235751415e-07
1781,1.4347799931004244e-05,1.4347799931004244e-05,1.4347799931004244e-05,1.637977235751415e-07
1782,1.4871229853140124e-05,1.4871229853140124e-05,1.4871229853140124e-05,1.637977235751415e-07
1783,1.4624802393622563e-05,1.4624802393622563e-05,1.4624802393622563e-05,2.2309670504634077e-07
1784,1.3237913143322138e-05,1.3237913143322138e-05,1.3237913143322138e-05,2.118353972235809e-07
1785,1.2994944881938864e-05,1.2994944881938864e-05,1.2994944881938864e-05,2.1992600934035117e-07
1786,1.2610600216638496e-05,1.2610600216638496e-05,1.2610600216638496e-05,9.574350379182306e-08
1787,1.4522313904308248e-05,1.4522313904308248e-05,1.4522313904308248e-05,1.0522578135813937e-07
1788,1.468191398349258e-05,1.468191398349258e-05,1.468191398349258e-05,1.1567819794119519e-07
1789,1.4412410954329452e-05,1.4412410954329452e-05,1.4412410954329452e-05,1.249852764776246e-07
1790,1.4078013269421977e-05,1.4078013269421977e-05,1.4078013269421977e-05,5.111910158664809e-08
1791,1.4024972837692726e-05,1.4024972837692726e-05,1.4024972837692726e-05,4.996208983040365e-08
1792,1.4491255829593033e-05,1.4491255829593033e-05,1.4491255829593033e-05,5.0577574128851666e-08
1793,1.5885468331232134e-05,1.5885468331232134e-05,1.5885468331232134e-05,5.4167586225974314e-08
1794,1.5097722747928596e-05,1.5097722747928596e-05,1.5097722747928596e-05,3.998702803796407e-08
1795,1.6214795843032853e-05,1.6214795843032853e-05,1.6214795843032853e-05,5.236641418905817e-08
1796,1.7025503568999867e-05,1.7025503568999867e-05,1.7025503568999867e-05,4.590382042733511e-08
1797,1.8268950173348587e-05,1.8268950173348587e-05,1.8268950173348587e-05,4.2051350465247394e-08
1798,1.981566180932402e-05,1.981566180932402e-05,1.981566180932402e-05,4.161538808793759e-08
1799,2.0092838375213823e-05,2.0092838375213823e-05,2.0092838375213823e-05,3.35100612655229e-08
1800,1.92825657774977e-05,1.92825657774977e-05,1.92825657774977e-05,3.1049934433115463e-08
1801,1.9086101149566404e-05,1.9086101149566404e-05,1.9086101149566404e-05,3.6622020210026155e-08
1802,1.8337326114955692e-05,1.8337326114955692e-05,1.8337326114955692e-05,1.7697358753058064e-08
1803,1.8177270898637028e-05,1.8177270898637028e-05,1.8177270898637028e-05,5.9429868772196773e-08
1804,1.8158073804183266e-05,1.8158073804183266e-05,1.8158073804183266e-05,6.00832553234097e-08
1805,1.7642542583676652e-05,1.7642542583676652e-05,1.7642542583676652e-05,6.172309279557047e-08
1806,1.7831350825352793e-05,1.7831350825352793e-05,1.7831350825352793e-05,6.241507374430252e-08
1807,1.8362401013811385e-05,1.8362401013811385e-05,1.8362401013811385e-05,6.580328459904194e-08
1808,1.8215148104770507e-05,1.8215148104770507e-05,1.8215148104770507e-05,6.399700985022199e-08
1809,1.7963478837503188e-05,1.7963478837503188e-05,1.7963478837503188e-05,6.642223710733625e-08
1810,1.7630372505144415e-05,1.7630372505144415e-05,1.7630372505144415e-05,2.5550182414235678e-08
1811,1.70295350991572e-05,1.70295350991572e-05,1.70295350991572e-05,2.7142479502068843e-08
1812,1.6643913243439912e-05,1.6643913243439912e-05,1.6643913243439912e-05,2.543762978035602e-08
1813,1.6027650677382814e-05,1.6027650677382814e-05,1.6027650677382814e-05,2.7054570266622184e-08
1814,1.573467800751262e-05,1.573467800751262e-05,1.573467800751262e-05,2.5375538495861098e-08
