ngram,entertainment,entertinment,enterainment,enterntainment
1631,1.0943337656499352e-05,0.0,0.0,0.0
1632,1.1389444937646789e-05,0.0,0.0,0.0
1633,1.19789784938413e-05,0.0,0.0,0.0
1634,1.1753223459111592e-05,0.0,0.0,0.0
1635,1.3110837893951352e-05,0.0,0.0,0.0
1636,1.2115627604154205e-05,0.0,0.0,0.0
1637,1.3223087989899796e-05,0.0,0.0,0.0
1638,1.3124228644301184e-05,0.0,0.0,0.0
1639,1.343080475635361e-05,0.0,0.0,0.0
1640,1.2642440326869422e-05,0.0,0.0,0.0
1641,1.1925887520192191e-05,0.0,0.0,0.0
1642,1.4092709794307926e-05,0.0,0.0,0.0
1643,1.4426281787954004e-05,0.0,0.0,0.0
1644,1.4230374030635825e-05,0.0,0.0,0.0
1645,1.5337910034369478e-05,0.0,0.0,0.0
1646,1.4132793694443535e-05,0.0,0.0,0.0
1647,1.6222367126569486e-05,0.0,0.0,0.0
1648,1.6142179902089993e-05,0.0,0.0,0.0
1649,1.3053954002576315e-05,0.0,0.0,0.0
1650,1.3792390810911976e-05,0.0,0.0,0.0
1651,1.2876856804463646e-05,0.0,0.0,0.0
1652,1.4524269772664411e-05,0.0,0.0,0.0
1653,1.6104312830326046e-05,0.0,0.0,0.0
1654,1.6447805072467808e-05,0.0,0.0,0.0
1655,1.6555333526671996e-05,0.0,0.0,0.0
1656,1.621831623716779e-05,0.0,0.0,0.0
1657,1.6307942522481816e-05,0.0,0.0,0.0
1658,1.7451874815118833e-05,0.0,0.0,0.0
1659,1.665528322649022e-05,0.0,0.0,0.0
1660,1.6351798097145676e-05,0.0,0.0,0.0
1661,1.4408413335331716e-05,0.0,0.0,0.0
1662,1.6088342558110264e-05,0.0,0.0,0.0
1663,1.6321657702584552e-05,0.0,0.0,0.0
1664,1.6387334913555867e-05,0.0,0.0,0.0
1665,1.86292944428195e-05,0.0,0.0,0.0
1666,2.0976311524074326e-05,0.0,0.0,0.0
1667,2.128179182493893e-05,0.0,0.0,0.0
1668,2.3135179747311797e-05,0.0,0.0,0.0
1669,2.2689516949217898e-05,0.0,0.0,0.0
1670,2.338929932323351e-05,0.0,0.0,0.0
1671,2.263251774690746e-05,0.0,0.0,0.0
1672,1.902685159750815e-05,0.0,0.0,0.0
1673,1.638774379638822e-05,0.0,0.0,0.0
1674,1.64920612795478e-05,0.0,0.0,0.0
1675,1.476775755041412e-05,0.0,0.0,0.0
1676,1.4304023222523807e-05,0.0,0.0,0.0
1677,1.40471655478385e-05,0.0,0.0,0.0
1678,1.3905699753585005e-05,0.0,0.0,0.0
1679,1.4018418759016121e-05,0.0,0.0,0.0
1680,1.2956082173332106e-05,0.0,0.0,0.0
1681,1.2566960582002398e-05,0.0,0.0,0.0
1682,1.3244642364692741e-05,0.0,0.0,0.0
1683,1.356290665301328e-05,0.0,0.0,0.0
1684,1.2778074960806407e-05,0.0,0.0,0.0
1685,1.256289475090203e-05,0.0,0.0,0.0
1686,1.250963253239336e-05,0.0,0.0,0.0
1687,1.2539685225679672e-05,0.0,0.0,0.0
1688,1.1524520752053441e-05,0.0,0.0,0.0
1689,1.0139840859275345e-05,0.0,0.0,0.0
1690,9.363674312875706e-06,0.0,0.0,0.0
1691,8.690264556727406e-06,0.0,0.0,0.0
1692,7.699553797075559e-06,0.0,0.0,0.0
1693,7.612511775992711e-06,0.0,0.0,0.0
1694,7.194701733429351e-06,0.0,0.0,0.0
1695,6.24650933137413e-06,0.0,0.0,0.0
1696,6.654318375305073e-06,0.0,0.0,0.0
1697,6.560877799139624e-06,0.0,0.0,0.0
1698,6.403963847593072e-06,0.0,0.0,0.0
1699,6.005120440022438e-06,0.0,0.0,0.0
1700,6.072279867502013e-06,0.0,0.0,0.0
1701,5.541091435848752e-06,0.0,0.0,0.0
1702,5.813344192314876e-06,0.0,0.0,0.0
1703,5.27096621486375e-06,0.0,0.0,0.0
1704,4.573995673646485e-06,0.0,0.0,0.0
1705,4.521930285201441e-06,0.0,0.0,0.0
1706,5.264410999318768e-06,0.0,0.0,0.0
1707,4.250895325900014e-06,0.0,0.0,0.0
1708,4.095495942887542e-06,0.0,0.0,0.0
1709,3.7134056550972413e-06,0.0,0.0,0.0
1710,3.870722090531282e-06,0.0,0.0,0.0
1711,3.399673736177127e-06,0.0,0.0,0.0
1712,3.056610418233114e-06,0.0,0.0,0.0
1713,2.3727762936687213e-06,0.0,0.0,0.0
1714,2.8509306438146657e-06,0.0,0.0,0.0
1715,2.886962972427552e-06,0.0,0.0,0.0
1716,2.6577264407023904e-06,0.0,0.0,0.0
1717,2.4314742696723054e-06,0.0,0.0,0.0
1718,4.656896391809694e-06,0.0,0.0,0.0
1719,4.74681059716074e-06,0.0,0.0,0.0
1720,5.216135653946756e-06,0.0,0.0,0.0
1721,5.186418694133213e-06,0.0,0.0,0.0
1722,5.4928086521093585e-06,0.0,0.0,0.0
1723,6.388325995690788e-06,0.0,0.0,0.0
1724,6.7060140866358e-06,0.0,0.0,0.0
1725,5.2379505502488295e-06,0.0,0.0,0.0
1726,5.6442561669557885e-06,0.0,0.0,0.0
1727,5.677251400421872e-06,0.0,0.0,0.0
1728,5.636167186042128e-06,0.0,0.0,0.0
1729,5.663428964908235e-06,0.0,0.0,0.0
1730,5.4807702066942255e-06,0.0,0.0,0.0
1731,5.571172161061051e-06,0.0,0.0,0.0
1732,5.013644925254214e-06,0.0,0.0,0.0
1733,5.069695264735076e-06,0.0,0.0,0.0
1734,5.0367520673587156e-06,0.0,0.0,0.0
1735,5.087337772887882e-06,0.0,0.0,0.0
1736,4.953330160008461e-06,0.0,0.0,0.0
1737,4.756656868007017e-06,0.0,0.0,0.0
1738,5.095896767670638e-06,0.0,0.0,0.0
1739,5.497025150751662e-06,0.0,0.0,0.0
1740,5.382255949371029e-06,0.0,0.0,0.0
1741,5.487611750660497e-06,0.0,0.0,0.0
1742,6.275917452772514e-06,0.0,0.0,0.0
1743,6.444252968711746e-06,0.0,0.0,0.0
1744,7.376105908666172e-06,0.0,0.0,0.0
1745,7.772439663053124e-06,0.0,0.0,0.0
1746,8.81005618274295e-06,0.0,4.977977141606971e-09,0.0
1747,9.538670253407742e-06,0.0,4.977977141606971e-09,0.0
1748,1.072152580101309e-05,0.0,4.977977141606971e-09,0.0
1749,1.1527825855799684e-05,0.0,4.977977141606971e-09,0.0
1750,1.374846942781005e-05,0.0,4.977977141606971e-09,0.0
1751,1.4948508838382882e-05,0.0,4.977977141606971e-09,0.0
1752,1.653868314731101e-05,0.0,4.977977141606971e-09,0.0
1753,1.8956795819186872e-05,0.0,0.0,0.0
1754,2.031228853281521e-05,0.0,0.0,0.0
1755,2.1634114091284573e-05,0.0,0.0,0.0
1756,2.2553136659553275e-05,0.0,0.0,0.0
1757,2.3796190881902085e-05,0.0,0.0,0.0
1758,2.4163907125642125e-05,0.0,0.0,0.0
1759,2.5430656283528412e-05,0.0,0.0,0.0
1760,2.4939877351113993e-05,0.0,0.0,0.0
1761,2.533992924976961e-05,0.0,0.0,0.0
1762,2.4859813752950038e-05,0.0,0.0,0.0
1763,2.6054809235834648e-05,0.0,0.0,0.0
1764,2.6695105719097357e-05,0.0,2.810679688991513e-09,0.0
1765,2.822981774183323e-05,0.0,2.810679688991513e-09,0.0
1766,2.7875772242883352e-05,0.0,2.810679688991513e-09,0.0
1767,2.824837922941827e-05,0.0,2.810679688991513e-09,0.0
1768,2.8336287349312833e-05,0.0,2.810679688991513e-09,0.0
1769,2.9503262859569596e-05,0.0,2.810679688991513e-09,0.0
1770,2.883590423152782e-05,0.0,2.810679688991513e-09,0.0
1771,2.8381542506394908e-05,0.0,0.0,0.0
1772,2.7599947965687272e-05,2.6360818290121254e-09,0.0,0.0
1773,2.816568901055559e-05,2.6360818290121254e-09,0.0,0.0
1774,2.753090224619622e-05,2.6360818290121254e-09,0.0,0.0
1775,2.8486196762449773e-05,2.6360818290121254e-09,0.0,0.0
1776,2.8168351231475492e-05,2.6360818290121254e-09,0.0,0.0
1777,2.989692568787307e-05,2.6360818290121254e-09,5.836100618645495e-09,0.0
1778,2.9624549694874857e-05,2.6360818290121254e-09,5.836100618645495e-09,0.0
1779,2.9440707554126027e-05,0.0,5.836100618645495e-09,0.0
1780,2.8904454146478592e-05,0.0,5.836100618645495e-09,0.0
1781,2.9541479307226837e-05,0.0,5.836100618645495e-09,0.0
1782,2.9431819192333414e-05,0.0,5.836100618645495e-09,0.0
1783,3.0497443211580893e-05,0.0,5.836100618645495e-09,0.0
1784,2.9060472765455154e-05,0.0,0.0,0.0
1785,2.9389817427727394e-05,0.0,0.0,0.0
1786,2.8455493520596065e-05,0.0,0.0,0.0
1787,2.7778083936677183e-05,0.0,0.0,0.0
1788,2.681469751613414e-05,0.0,0.0,0.0
1789,2.6257205328355277e-05,0.0,1.163384817053676e-09,0.0
1790,2.48429984951924e-05,0.0,1.163384817053676e-09,0.0
1791,2.3722736971519354e-05,0.0,1.163384817053676e-09,0.0
1792,2.248489155525541e-05,0.0,1.163384817053676e-09,0.0
1793,2.2892243318243084e-05,0.0,1.163384817053676e-09,0.0
1794,2.292572077879283e-05,0.0,2.1613703842555357e-09,0.0
1795,2.2467630904949537e-05,0.0,2.1613703842555357e-09,0.0
1796,2.190281702496577e-05,0.0,9.979855672018596e-10,0.0
1797,2.1239256186942968e-05,0.0,1.5649092180832928e-09,0.0
1798,2.1658147618706736e-05,0.0,2.1435658962129114e-09,0.0
1799,2.1468443914532793e-05,0.0,6.949722638641528e-09,0.0
1800,2.1083801974392763e-05,0.0,6.949722638641528e-09,0.0
1801,2.0721865699410307e-05,0.0,5.9517370714396685e-09,0.0
1802,2.0873693886512357e-05,0.0,5.9517370714396685e-09,0.0
1803,2.1231335527513045e-05,0.0,7.35573690846536e-09,0.0
1804,2.1283654859871604e-05,3.0507755052358986e-10,6.788813257583927e-09,0.0
1805,2.1434998935936684e-05,3.0507755052358986e-10,6.210156579454309e-09,0.0
1806,2.0933900356924694e-05,3.0507755052358986e-10,1.6625499389886856e-09,0.0
1807,2.0790256582716082e-05,3.0507755052358986e-10,1.871771166633047e-09,0.0
1808,2.0504296376852187e-05,3.0507755052358986e-10,1.871771166633047e-09,0.0
1809,1.9888393321057913e-05,3.0507755052358986e-10,2.0526959814454973e-09,0.0
1810,1.8968932376342957e-05,3.0507755052358986e-10,8.666337964718146e-10,0.0
1811,1.835353318061347e-05,0.0,8.666337964718146e-10,0.0
1812,1.6996722998945707e-05,0.0,1.1053420559800235e-09,0.0
1813,1.6543808799594573e-05,0.0,8.467919540170296e-10,0.0
1814,1.632493552148974e-05,0.0,8.465288628808512e-10,0.0
1815,1.574687472124684e-05,0.0,8.465288628808512e-10,0.0
1816,1.5740353644235127e-05,1.901727188423154e-10,6.656040480684006e-10,0.0
1817,1.604034891248115e-05,1.901727188423154e-10,4.4766639601639165e-10,0.0
1818,1.6394414680170094e-05,1.901727188423154e-10,6.267012623136939e-10,0.0
1819,1.670120231470459e-05,1.901727188423154e-10,3.879930028054852e-10,0.0
1820,1.76754918876603e-05,1.901727188423154e-10,5.353899387320179e-10,0.0
1821,1.7475380445830524e-05,1.901727188423154e-10,4.54986056766923e-10,0.0
1822,1.7562148059369065e-05,1.901727188423154e-10,4.54986056766923e-10,0.0
1823,1.7640062391624918e-05,0.0,5.954488251675676e-10,0.0
1824,1.732296342587298e-05,0.0,7.295688418475419e-10,0.0
1825,1.6765508917160332e-05,0.0,6.771507798930543e-10,0.0
1826,1.6179297615183585e-05,0.0,7.956490228571462e-10,0.0
1827,1.499625731022596e-05,0.0,9.619639053580288e-10,0.0
1828,1.4506503118484812e-05,0.0,9.437389599956499e-10,0.0
1829,1.3486664621658357e-05,0.0,1.1545617953753355e-09,0.0
1830,1.2987261990409544e-05,0.0,1.1094035690106807e-09,0.0
1831,1.2248545967200439e-05,0.0,9.752835523307063e-10,0.0
1832,1.1913148097976642e-05,0.0,1.0189656658126417e-09,0.0
1833,1.1638469524249168e-05,0.0,9.829456851636768e-10,0.0
1834,1.1480556557736626e-05,0.0,6.692338667362613e-10,0.0
1835,1.121377239802054e-05,0.0,5.589045575555523e-10,0.0
1836,1.1610293248460429e-05,0.0,4.231429016700515e-10,0.0
1837,1.146111013180676e-05,0.0,3.2783835963406156e-10,0.0
1838,1.1529376414338393e-05,0.0,3.2783835963406156e-10,0.0
1839,1.1363197830048324e-05,0.0,3.09102315172132e-10,0.0
1840,1.1359283754635336e-05,0.0,3.0221001891460123e-10,0.0
1841,1.1199078211835253e-05,6.997761100738638e-11,3.721876299219876e-10,0.0
1842,1.1056787635815063e-05,6.997761100738638e-11,4.3300306990750366e-10,0.0
1843,1.0688409150004321e-05,6.997761100738638e-11,4.235164203463577e-10,0.0
1844,1.0371824568470142e-05,6.997761100738638e-11,4.235164203463577e-10,0.0
1845,1.0123320082909362e-05,6.997761100738638e-11,4.902551856541696e-10,0.0
1846,9.995556865760591e-06,6.997761100738638e-11,3.386923122913491e-10,0.0
1847,9.889906842935098e-06,6.997761100738638e-11,3.2371181132465464e-10,0.0
1848,9.640146994830242e-06,0.0,4.177972174573037e-10,0.0
1849,9.525519349803549e-06,0.0,3.569817774717876e-10,0.0
1850,9.582937829171506e-06,0.0,2.914072475387489e-10,0.0
1851,9.708015958105015e-06,0.0,2.914072475387489e-10,0.0
1852,9.607788342691492e-06,0.0,4.2691476544374854e-10,0.0
1853,9.579684046912007e-06,4.825934096786e-11,5.234334473794685e-10,0.0
1854,9.52215824716924e-06,4.825934096786e-11,5.638317035483453e-10,0.0
1855,9.525721257627343e-06,4.825934096786e-11,5.57273933348463e-10,0.0
1856,9.624950897497392e-06,4.825934096786e-11,5.57273933348463e-10,9.939760919103996e-11
1857,9.616918500146962e-06,4.825934096786e-11,5.57273933348463e-10,9.939760919103996e-11
1858,9.401625123116122e-06,4.825934096786e-11,5.57273933348463e-10,9.939760919103996e-11
1859,9.33921494704139e-06,4.825934096786e-11,4.768864271729813e-10,9.939760919103996e-11
1860,9.256807970814407e-06,0.0,7.463389985394388e-10,9.939760919103996e-11
1861,9.076609785552137e-06,0.0,7.01821957692163e-10,9.939760919103996e-11
1862,9.07384440194749e-06,0.0,5.443167107520099e-10,9.939760919103996e-11
1863,8.874570214954605e-06,0.0,5.920545918604501e-10,0.0
1864,8.774215660066278e-06,0.0,6.391497133138659e-10,0.0
1865,8.716395963607024e-06,0.0,6.391497133138659e-10,0.0
1866,8.716754304519522e-06,0.0,5.17290936276536e-10,0.0
1867,8.67091447227202e-06,0.0,3.24169512661803e-10,0.0
1868,8.729898451877358e-06,0.0,3.1249453025239404e-10,2.688701959487259e-10
1869,8.576811264252423e-06,0.0,6.687675096246031e-10,2.688701959487259e-10
