ngram,thanks,thnks,thaks,thankss
1555,2.874944428705411e-05,0.0,0.0,0.0
1556,2.1129934923789862e-05,0.0,0.0,0.0
1557,1.950889782165177e-05,0.0,0.0,0.0
1558,2.019094647818877e-05,0.0,0.0,0.0
1559,1.4364842952220766e-05,0.0,0.0,0.0
1560,1.9300435789253762e-05,0.0,0.0,0.0
1561,1.9300435789253762e-05,0.0,0.0,0.0
1562,1.807322535439328e-05,0.0,0.0,0.0
1563,1.6446094507825493e-05,0.0,0.0,0.0
1564,1.6446094507825493e-05,0.0,0.0,0.0
1565,1.5764045851288495e-05,0.0,0.0,0.0
1566,7.1679291327849825e-06,0.0,0.0,0.0
1567,7.009117325651459e-06,0.0,0.0,0.0
1568,7.009117325651459e-06,0.0,0.0,0.0
1569,8.20222404789612e-06,0.0,0.0,0.0
1570,9.258614617075572e-06,0.0,0.0,0.0
1571,9.258614617075572e-06,0.0,0.0,0.0
1572,1.4458222332385568e-05,0.0,0.0,0.0
1573,1.5716631683712228e-05,0.0,0.0,0.0
1574,1.6386966178418205e-05,0.0,0.0,0.0
1575,1.8901525436376687e-05,0.0,0.0,0.0
1576,1.863478675139569e-05,0.0,0.0,0.0
1577,1.7123774471526432e-05,0.0,0.0,0.0
1578,2.6037559499465196e-05,0.0,0.0,0.0
1579,2.277821619957519e-05,0.0,0.0,0.0
1580,2.1519806848248534e-05,0.0,0.0,0.0
1581,1.9632535700761116e-05,0.0,5.933073745317026e-07,0.0
1582,2.088880877896112e-05,0.0,5.933073745317026e-07,0.0
1583,2.082815041960982e-05,0.0,5.933073745317026e-07,0.0
1584,2.172726200504777e-05,0.0,5.933073745317026e-07,0.0
1585,1.4323221681219625e-05,0.0,5.933073745317026e-07,0.0
1586,1.382074495787882e-05,0.0,5.933073745317026e-07,0.0
1587,1.7973699673997805e-05,0.0,9.393869342082845e-07,0.0
1588,2.1778419522888726e-05,0.0,3.46079559676582e-07,0.0
1589,2.0248304865942502e-05,0.0,3.46079559676582e-07,0.0
1590,1.916473443738401e-05,0.0,3.46079559676582e-07,0.0
1591,2.2796691674947006e-05,0.0,3.46079559676582e-07,0.0
1592,2.665969285382224e-05,0.0,3.46079559676582e-07,0.0
1593,2.8794332787843553e-05,0.0,3.46079559676582e-07,0.0
1594,2.7994009672381382e-05,0.0,0.0,0.0
1595,2.2883430834294165e-05,0.0,0.0,0.0
1596,2.3798986668615335e-05,0.0,0.0,0.0
1597,2.453931249744658e-05,0.0,0.0,0.0
1598,2.102562374212929e-05,0.0,0.0,0.0
1599,1.694990045767294e-05,0.0,0.0,0.0
1600,1.955482580992144e-05,0.0,0.0,0.0
1601,1.9522699858498527e-05,0.0,0.0,0.0
1602,2.0713938088842303e-05,0.0,0.0,0.0
1603,2.1266655689292486e-05,0.0,0.0,0.0
1604,5.3701621189767525e-05,0.0,0.0,0.0
1605,5.650709551576126e-05,0.0,0.0,0.0
1606,6.201688198156521e-05,0.0,0.0,0.0
