ngram,towel,towl,towl,towel
1751,1.977130728343062e-07,3.569138635433384e-09,3.569138635433384e-09,1.977130728343062e-07
1752,2.318730046064437e-07,3.569138635433384e-09,3.569138635433384e-09,2.318730046064437e-07
1753,3.9327465880692867e-07,3.569138635433384e-09,3.569138635433384e-09,3.9327465880692867e-07
1754,3.7265331798153056e-07,3.569138635433384e-09,3.569138635433384e-09,3.7265331798153056e-07
1755,3.9191985682204435e-07,3.569138635433384e-09,3.569138635433384e-09,3.9191985682204435e-07
1756,4.002221183035155e-07,3.569138635433384e-09,3.569138635433384e-09,4.002221183035155e-07
1757,4.443773166583144e-07,6.614261900088942e-09,6.614261900088942e-09,4.443773166583144e-07
1758,4.209929776217385e-07,3.045123264655558e-09,3.045123264655558e-09,4.209929776217385e-07
1759,3.9160386831684134e-07,3.045123264655558e-09,3.045123264655558e-09,3.9160386831684134e-07
1760,1.9604588784107234e-07,3.045123264655558e-09,3.045123264655558e-09,1.9604588784107234e-07
1761,2.194931911146471e-07,3.045123264655558e-09,3.045123264655558e-09,2.194931911146471e-07
1762,2.297350535838762e-07,8.41028732371082e-09,8.41028732371082e-09,2.297350535838762e-07
1763,2.4842499917505325e-07,8.41028732371082e-09,8.41028732371082e-09,2.4842499917505325e-07
1764,2.406910054121779e-07,5.3651640590552625e-09,5.3651640590552625e-09,2.406910054121779e-07
1765,2.417162982786587e-07,5.3651640590552625e-09,5.3651640590552625e-09,2.417162982786587e-07
1766,2.4472863608642523e-07,5.3651640590552625e-09,5.3651640590552625e-09,2.4472863608642523e-07
1767,3.1652923634542927e-07,5.3651640590552625e-09,5.3651640590552625e-09,3.1652923634542927e-07
1768,3.228021268699065e-07,5.3651640590552625e-09,5.3651640590552625e-09,3.228021268699065e-07
1769,3.8468151534029206e-07,0.0,0.0,3.8468151534029206e-07
1770,3.852567260764772e-07,0.0,0.0,3.852567260764772e-07
1771,3.7379807541323575e-07,0.0,0.0,3.7379807541323575e-07
1772,3.802951563817e-07,0.0,0.0,3.802951563817e-07
1773,4.429349514469193e-07,0.0,0.0,4.429349514469193e-07
1774,4.21955535655018e-07,0.0,0.0,4.21955535655018e-07
1775,4.0049982073599365e-07,0.0,0.0,4.0049982073599365e-07
1776,3.660717920541044e-07,0.0,0.0,3.660717920541044e-07
1777,4.4823387871214694e-07,0.0,0.0,4.4823387871214694e-07
1778,4.5910180850634266e-07,2.7811436962922797e-09,2.7811436962922797e-09,4.5910180850634266e-07
1779,5.141941617888993e-07,5.342829416982957e-09,5.342829416982957e-09,5.141941617888993e-07
1780,4.6403601824554895e-07,7.691969727829928e-09,7.691969727829928e-09,4.6403601824554895e-07
1781,4.714199742953237e-07,7.691969727829928e-09,7.691969727829928e-09,4.714199742953237e-07
1782,6.00043293275121e-07,7.691969727829928e-09,7.691969727829928e-09,6.00043293275121e-07
1783,5.930993093475731e-07,7.691969727829928e-09,7.691969727829928e-09,5.930993093475731e-07
1784,5.183999921395557e-07,7.691969727829928e-09,7.691969727829928e-09,5.183999921395557e-07
1785,5.161751569663206e-07,8.147070827492695e-09,8.147070827492695e-09,5.161751569663206e-07
1786,4.497718707950428e-07,5.585385106802018e-09,5.585385106802018e-09,4.497718707950428e-07
1787,4.929432597983967e-07,3.236244795955047e-09,3.236244795955047e-09,4.929432597983967e-07
1788,4.6720887171756787e-07,3.236244795955047e-09,3.236244795955047e-09,4.6720887171756787e-07
1789,3.4524121466412385e-07,4.399629613008724e-09,4.399629613008724e-09,3.4524121466412385e-07
1790,3.4936300811036093e-07,5.504478016251011e-09,5.504478016251011e-09,3.4936300811036093e-07
