ngram,candidate,candiate,candate,candiate
1685,2.97888027895559e-07,0.0,0.0,0.0
1686,3.300746718488361e-07,0.0,0.0,0.0
1687,2.757688853145217e-07,0.0,0.0,0.0
1688,2.533930378539091e-07,0.0,0.0,0.0
1689,2.0432007577905358e-07,0.0,0.0,0.0
1690,1.1605116258449146e-07,0.0,0.0,0.0
1691,8.68295830157097e-08,0.0,0.0,0.0
1692,1.1049762755581988e-07,0.0,0.0,0.0
1693,5.523921434554982e-08,0.0,0.0,0.0
1694,1.2839586612959204e-07,0.0,0.0,0.0
1695,1.2839586612959204e-07,0.0,0.0,0.0
1696,1.7555442306209962e-07,0.0,0.0,0.0
1697,4.914786464788839e-07,0.0,0.0,0.0
1698,1.6634322110218948e-06,0.0,0.0,0.0
1699,1.6659032472229488e-06,0.0,0.0,0.0
1700,1.6918989526207691e-06,0.0,0.0,0.0
1701,1.6187423008367269e-06,0.0,0.0,0.0
1702,1.7146235791187792e-06,0.0,0.0,0.0
1703,1.6469350622319974e-06,0.0,0.0,0.0
1704,1.3310108388152133e-06,0.0,0.0,0.0
1705,3.422133636783136e-07,0.0,0.0,0.0
1706,3.825265782860957e-07,0.0,0.0,0.0
1707,3.686833259004223e-07,0.0,0.0,0.0
1708,4.0726679527227005e-07,0.0,0.0,0.0
1709,3.3543554930507267e-07,0.0,0.0,0.0
1710,3.5882438607716593e-07,0.0,0.0,0.0
1711,3.782090435119504e-07,0.0,0.0,0.0
1712,2.0591637398378486e-07,0.0,0.0,0.0
1713,1.827361393631171e-07,0.0,0.0,0.0
1714,3.5206473936812344e-06,0.0,0.0,0.0
1715,3.5047086309906002e-06,0.0,0.0,0.0
1716,3.4806585986757455e-06,0.0,0.0,0.0
1717,3.461511363005749e-06,0.0,0.0,0.0
1718,3.511802509998623e-06,0.0,0.0,0.0
1719,3.5536180586096374e-06,0.0,0.0,0.0
1720,3.845607735237471e-06,0.0,0.0,0.0
1721,5.39344318285982e-07,0.0,0.0,0.0
1722,2.2940445520345875e-06,0.0,0.0,0.0
1723,2.516350896542008e-06,0.0,0.0,0.0
1724,2.5597772841073104e-06,0.0,0.0,0.0
1725,2.9459845620749547e-06,0.0,0.0,0.0
1726,3.123255526458836e-06,0.0,0.0,0.0
1727,2.801679220811236e-06,0.0,0.0,0.0
1728,3.256805051421452e-06,0.0,0.0,0.0
1729,1.7279671951087039e-06,0.0,0.0,0.0
1730,1.5220273265218305e-06,0.0,0.0,0.0
1731,1.470284867569457e-06,0.0,0.0,0.0
1732,1.0269188328899354e-06,0.0,0.0,0.0
1733,8.32092748989258e-07,0.0,0.0,0.0
1734,9.216419495520054e-07,0.0,0.0,0.0
1735,5.067858645751195e-07,0.0,0.0,0.0
1736,3.354513304592339e-07,0.0,0.0,0.0
1737,6.44401364776773e-07,0.0,0.0,0.0
1738,1.1262062703362323e-06,0.0,0.0,0.0
1739,1.3301606226637626e-06,0.0,0.0,0.0
1740,1.4223205084817891e-06,0.0,0.0,0.0
1741,1.4082061414098592e-06,0.0,0.0,0.0
1742,1.5154572809348923e-06,0.0,0.0,0.0
1743,1.7175951338036351e-06,0.0,0.0,0.0
1744,1.4994160762528606e-06,0.0,0.0,0.0
1745,1.1873685577614066e-06,0.0,0.0,0.0
1746,1.11028051768309e-06,0.0,0.0,0.0
1747,1.4820949932722475e-06,0.0,0.0,0.0
1748,1.975331851359182e-06,0.0,0.0,0.0
1749,2.14574614736713e-06,0.0,0.0,0.0
1750,3.1859283191287043e-06,0.0,0.0,0.0
1751,3.4535504320436824e-06,0.0,0.0,0.0
1752,3.658888139008403e-06,0.0,0.0,0.0
1753,4.253790263776734e-06,0.0,0.0,0.0
1754,4.449247431434092e-06,0.0,0.0,0.0
1755,4.267634332271493e-06,0.0,0.0,0.0
1756,4.370325866277978e-06,0.0,0.0,0.0
1757,3.635496958460343e-06,0.0,0.0,0.0
