ngram,pain,pin,pain,pain
1637,1.4093341893125658e-05,1.8172736580319388e-06,1.4093341893125658e-05,1.4093341893125658e-05
1638,1.344218344456749e-05,2.029933820527471e-06,1.344218344456749e-05,1.344218344456749e-05
1639,1.940134916367242e-05,2.4696433911230997e-06,1.940134916367242e-05,1.940134916367242e-05
1640,2.0943377551572796e-05,2.743782813143168e-06,2.0943377551572796e-05,2.0943377551572796e-05
1641,2.2456412027947537e-05,2.676112753111478e-06,2.2456412027947537e-05,2.2456412027947537e-05
1642,2.08232726695964e-05,4.233241319135621e-06,2.08232726695964e-05,2.08232726695964e-05
1643,2.2247670131037012e-05,4.1533529773524994e-06,2.2247670131037012e-05,2.2247670131037012e-05
1644,2.2822056832540382e-05,4.081038079155925e-06,2.2822056832540382e-05,2.2822056832540382e-05
1645,2.3465390248540124e-05,4.597567226483079e-06,2.3465390248540124e-05,2.3465390248540124e-05
1646,1.9648564505457345e-05,4.276820602301866e-06,1.9648564505457345e-05,1.9648564505457345e-05
1647,1.9052753746759015e-05,4.281770592180172e-06,1.9052753746759015e-05,1.9052753746759015e-05
1648,2.3916511054267175e-05,4.46939821228755e-06,2.3916511054267175e-05,2.3916511054267175e-05
1649,2.5970875607786832e-05,2.7312624654639095e-06,2.5970875607786832e-05,2.5970875607786832e-05
1650,2.9178009624177192e-05,4.658784194232014e-06,2.9178009624177192e-05,2.9178009624177192e-05
1651,3.1774869317554734e-05,4.980139627670204e-06,3.1774869317554734e-05,3.1774869317554734e-05
1652,3.8367247335762454e-05,4.5839701020408285e-06,3.8367247335762454e-05,3.8367247335762454e-05
1653,4.0821452005600024e-05,4.432506443663442e-06,4.0821452005600024e-05,4.0821452005600024e-05
1654,4.461142452782951e-05,4.8874711313016765e-06,4.461142452782951e-05,4.461142452782951e-05
1655,4.246213731156396e-05,5.101707675489056e-06,4.246213731156396e-05,4.246213731156396e-05
1656,4.290873299136625e-05,5.10594790219849e-06,4.290873299136625e-05,4.290873299136625e-05
1657,4.190656909486279e-05,3.303630023765436e-06,4.190656909486279e-05,4.190656909486279e-05
1658,4.73608415632043e-05,3.580710118252942e-06,4.73608415632043e-05,4.73608415632043e-05
1659,4.783757270031076e-05,4.960205566411398e-06,4.783757270031076e-05,4.783757270031076e-05
1660,5.414483218503717e-05,7.455222430508002e-06,5.414483218503717e-05,5.414483218503717e-05
1661,6.444184171933947e-05,7.793412838249683e-06,6.444184171933947e-05,6.444184171933947e-05
1662,7.091651475223313e-05,7.821380320040458e-06,7.091651475223313e-05,7.091651475223313e-05
1663,7.368471571161146e-05,7.898398864978975e-06,7.368471571161146e-05,7.368471571161146e-05
1664,7.83014168389075e-05,8.49651866831534e-06,7.83014168389075e-05,7.83014168389075e-05
1665,7.775639668190186e-05,8.016445073215956e-06,7.775639668190186e-05,7.775639668190186e-05
1666,7.521914085373282e-05,6.646733839131359e-06,7.521914085373282e-05,7.521914085373282e-05
1667,7.370938276705732e-05,4.520202472641748e-06,7.370938276705732e-05,7.370938276705732e-05
1668,6.677928260095152e-05,4.0546698138704026e-06,6.677928260095152e-05,6.677928260095152e-05
1669,5.9815302977637786e-05,3.9548914563576024e-06,5.9815302977637786e-05,5.9815302977637786e-05
1670,6.048881446726487e-05,3.8699149302244355e-06,6.048881446726487e-05,6.048881446726487e-05
1671,5.957942266832106e-05,3.513489088748299e-06,5.957942266832106e-05,5.957942266832106e-05
1672,5.550732177133406e-05,3.6188957567771596e-06,5.550732177133406e-05,5.550732177133406e-05
1673,5.4406954274911967e-05,3.39261186711935e-06,5.4406954274911967e-05,5.4406954274911967e-05
1674,5.134228506774109e-05,3.361332687745744e-06,5.134228506774109e-05,5.134228506774109e-05
1675,5.8374730932493026e-05,3.2695795490716203e-06,5.8374730932493026e-05,5.8374730932493026e-05
1676,5.9758435132347844e-05,3.3616111555342546e-06,5.9758435132347844e-05,5.9758435132347844e-05
1677,6.060270659093346e-05,3.354693603796477e-06,6.060270659093346e-05,6.060270659093346e-05
1678,5.678764448800523e-05,3.165685175840086e-06,5.678764448800523e-05,5.678764448800523e-05
1679,7.84545430048768e-05,2.8521319401469166e-06,7.84545430048768e-05,7.84545430048768e-05
1680,7.93346828556553e-05,3.004766572952836e-06,7.93346828556553e-05,7.93346828556553e-05
1681,7.751788455477384e-05,2.785318867738949e-06,7.751788455477384e-05,7.751788455477384e-05
1682,6.970483965622927e-05,2.415521830049069e-06,6.970483965622927e-05,6.970483965622927e-05
1683,7.080747881056075e-05,2.564556439210719e-06,7.080747881056075e-05,7.080747881056075e-05
1684,6.621314137841441e-05,2.4960532820322053e-06,6.621314137841441e-05,6.621314137841441e-05
1685,6.546053867038739e-05,2.50122398678546e-06,6.546053867038739e-05,6.546053867038739e-05
1686,4.215236393585136e-05,2.666430061383705e-06,4.215236393585136e-05,4.215236393585136e-05
1687,4.015457411047204e-05,2.5877958640713975e-06,4.015457411047204e-05,4.015457411047204e-05
1688,4.48423348383845e-05,2.7852014779585133e-06,4.48423348383845e-05,4.48423348383845e-05
1689,4.3674506222097466e-05,2.723945190804703e-06,4.3674506222097466e-05,4.3674506222097466e-05
1690,4.020367902869891e-05,2.181362333431025e-06,4.020367902869891e-05,4.020367902869891e-05
1691,4.181600161246024e-05,2.1677841784496976e-06,4.181600161246024e-05,4.181600161246024e-05
1692,4.1617685513171766e-05,2.2774400706891484e-06,4.1617685513171766e-05,4.1617685513171766e-05
1693,4.050434732302425e-05,2.0234799324368524e-06,4.050434732302425e-05,4.050434732302425e-05
1694,3.919880094014973e-05,2.1420626451020197e-06,3.919880094014973e-05,3.919880094014973e-05
1695,3.2530369415845985e-05,1.986282930894439e-06,3.2530369415845985e-05,3.2530369415845985e-05
1696,2.980454623216896e-05,2.190425285724424e-06,2.980454623216896e-05,2.980454623216896e-05
1697,2.955631160667898e-05,2.195787536558263e-06,2.955631160667898e-05,2.955631160667898e-05
1698,2.6296947128555204e-05,2.5148991166393638e-06,2.6296947128555204e-05,2.6296947128555204e-05
1699,2.819739451557065e-05,2.2245118153867745e-06,2.819739451557065e-05,2.819739451557065e-05
1700,3.040583916507395e-05,2.5823144856726036e-06,3.040583916507395e-05,3.040583916507395e-05
1701,3.114021378028805e-05,2.4582002262312538e-06,3.114021378028805e-05,3.114021378028805e-05
1702,3.1580272012173995e-05,2.387767348669253e-06,3.1580272012173995e-05,3.1580272012173995e-05
1703,3.096142453224664e-05,2.2276158558400183e-06,3.096142453224664e-05,3.096142453224664e-05
1704,3.0062822978444664e-05,2.2137713325979088e-06,3.0062822978444664e-05,3.0062822978444664e-05
1705,3.2171940152433566e-05,1.9949884192880873e-06,3.2171940152433566e-05,3.2171940152433566e-05
1706,3.080385119704131e-05,2.2439547657476008e-06,3.080385119704131e-05,3.080385119704131e-05
1707,2.6615793623412693e-05,1.9897038003234357e-06,2.6615793623412693e-05,2.6615793623412693e-05
1708,2.601874647163121e-05,2.104931906745021e-06,2.601874647163121e-05,2.601874647163121e-05
1709,2.3507641994261314e-05,2.0456039594916675e-06,2.3507641994261314e-05,2.3507641994261314e-05
1710,2.2973788353348417e-05,2.090485346733268e-06,2.2973788353348417e-05,2.2973788353348417e-05
1711,2.302104283964062e-05,2.0851112887092834e-06,2.302104283964062e-05,2.302104283964062e-05
1712,2.0001881499151102e-05,2.003583371593517e-06,2.0001881499151102e-05,2.0001881499151102e-05
1713,1.9921865714422893e-05,1.896183903227211e-06,1.9921865714422893e-05,1.9921865714422893e-05
1714,2.0847127416345757e-05,1.9012449489049947e-06,2.0847127416345757e-05,2.0847127416345757e-05
1715,1.951412689647571e-05,1.6915384516583539e-06,1.951412689647571e-05,1.951412689647571e-05
1716,2.280011592249918e-05,1.927346228772616e-06,2.280011592249918e-05,2.280011592249918e-05
1717,2.3858336135162972e-05,1.9689804600732586e-06,2.3858336135162972e-05,2.3858336135162972e-05
1718,2.6536344843667132e-05,2.2318975132813127e-06,2.6536344843667132e-05,2.6536344843667132e-05
1719,2.6360514961457477e-05,2.236542513855966e-06,2.6360514961457477e-05,2.6360514961457477e-05
1720,2.432798763558302e-05,2.2200804323802004e-06,2.432798763558302e-05,2.432798763558302e-05
1721,2.6128861723658963e-05,2.0985616759259884e-06,2.6128861723658963e-05,2.6128861723658963e-05
1722,2.738746089952266e-05,3.0641435679561776e-06,2.738746089952266e-05,2.738746089952266e-05
1723,2.6698993419163992e-05,3.018471115215756e-06,2.6698993419163992e-05,2.6698993419163992e-05
1724,2.4773018334859182e-05,3.089672661969546e-06,2.4773018334859182e-05,2.4773018334859182e-05
1725,2.3214055025683983e-05,2.9932037283028227e-06,2.3214055025683983e-05,2.3214055025683983e-05
1726,2.410756704713484e-05,3.0817133977377253e-06,2.410756704713484e-05,2.410756704713484e-05
1727,2.4685199345445392e-05,3.054186371238237e-06,2.4685199345445392e-05,2.4685199345445392e-05
1728,2.2578156858799048e-05,3.196483638540875e-06,2.2578156858799048e-05,2.2578156858799048e-05
1729,2.2694806310547782e-05,2.466029757540257e-06,2.2694806310547782e-05,2.2694806310547782e-05
1730,2.350091407216886e-05,3.0120418159640394e-06,2.350091407216886e-05,2.350091407216886e-05
1731,2.538730768719688e-05,2.8471049680384956e-06,2.538730768719688e-05,2.538730768719688e-05
1732,2.442159088137227e-05,3.062594471105383e-06,2.442159088137227e-05,2.442159088137227e-05
1733,2.4514870736831134e-05,3.0254848785002e-06,2.4514870736831134e-05,2.4514870736831134e-05
1734,2.541148855276073e-05,3.0959312847958894e-06,2.541148855276073e-05,2.541148855276073e-05
1735,2.5548833686376122e-05,3.7872732881234176e-06,2.5548833686376122e-05,2.5548833686376122e-05
1736,2.6158665735108245e-05,3.967211845130285e-06,2.6158665735108245e-05,2.6158665735108245e-05
1737,2.4735244941049522e-05,3.5144382926383903e-06,2.4735244941049522e-05,2.4735244941049522e-05
1738,2.330889193607228e-05,3.5751942765013415e-06,2.330889193607228e-05,2.330889193607228e-05
1739,2.216056639424226e-05,3.5518967901485406e-06,2.216056639424226e-05,2.216056639424226e-05
1740,2.3461549972125795e-05,3.6087585613131523e-06,2.3461549972125795e-05,2.3461549972125795e-05
1741,2.246228840314351e-05,3.548887012324745e-06,2.246228840314351e-05,2.246228840314351e-05
1742,2.356694195831161e-05,2.941821029318297e-06,2.356694195831161e-05,2.356694195831161e-05
1743,2.396920574808194e-05,2.6973998501489405e-06,2.396920574808194e-05,2.396920574808194e-05
1744,2.4222847709357404e-05,2.907723878057108e-06,2.4222847709357404e-05,2.4222847709357404e-05
1745,2.583004100285637e-05,3.220356152918872e-06,2.583004100285637e-05,2.583004100285637e-05
1746,2.9118798140968594e-05,3.3398963686132836e-06,2.9118798140968594e-05,2.9118798140968594e-05
1747,3.129773852249075e-05,3.387272857123337e-06,3.129773852249075e-05,3.129773852249075e-05
1748,3.399535593676514e-05,3.631187220370131e-06,3.399535593676514e-05,3.399535593676514e-05
1749,3.73718430637382e-05,3.7645830356528416e-06,3.73718430637382e-05,3.73718430637382e-05
1750,4.041052462915624e-05,3.859088500186252e-06,4.041052462915624e-05,4.041052462915624e-05
1751,4.5198851304511276e-05,3.5098069994481714e-06,4.5198851304511276e-05,4.5198851304511276e-05
1752,4.890837226412259e-05,3.5141195634683494e-06,4.890837226412259e-05,4.890837226412259e-05
1753,5.4036470308866615e-05,3.5160258643632654e-06,5.4036470308866615e-05,5.4036470308866615e-05
1754,5.809157352944437e-05,3.7652779545689034e-06,5.809157352944437e-05,5.809157352944437e-05
1755,6.504620302751261e-05,4.0664051864171465e-06,6.504620302751261e-05,6.504620302751261e-05
1756,6.618145250415961e-05,4.0594067870967725e-06,6.618145250415961e-05,6.618145250415961e-05
1757,6.732854048355616e-05,4.1982326430505575e-06,6.732854048355616e-05,6.732854048355616e-05
1758,6.764931354804762e-05,4.439021495272755e-06,6.764931354804762e-05,6.764931354804762e-05
1759,7.199481011152134e-05,4.151430792782256e-06,7.199481011152134e-05,7.199481011152134e-05
1760,7.416644958928893e-05,3.863395769647988e-06,7.416644958928893e-05,7.416644958928893e-05
1761,7.754384828980878e-05,4.003126248010501e-06,7.754384828980878e-05,7.754384828980878e-05
1762,7.772656213741616e-05,3.915398857705961e-06,7.772656213741616e-05,7.772656213741616e-05
1763,7.876800581081105e-05,3.886833707968305e-06,7.876800581081105e-05,7.876800581081105e-05
1764,8.41538141165594e-05,4.235083906678483e-06,8.41538141165594e-05,8.41538141165594e-05
1765,9.023165330290794e-05,4.963415709166189e-06,9.023165330290794e-05,9.023165330290794e-05
1766,8.830607839627191e-05,5.387575031688487e-06,8.830607839627191e-05,8.830607839627191e-05
1767,8.650692117433729e-05,5.908583554108711e-06,8.650692117433729e-05,8.650692117433729e-05
1768,8.43032861926726e-05,6.346093511768101e-06,8.43032861926726e-05,8.43032861926726e-05
1769,8.66678258587074e-05,6.139887318568071e-06,8.66678258587074e-05,8.66678258587074e-05
1770,9.06301211216487e-05,6.977956185697362e-06,9.06301211216487e-05,9.06301211216487e-05
1771,8.856457446069856e-05,7.092106540897346e-06,8.856457446069856e-05,8.856457446069856e-05
1772,8.460350571632651e-05,6.623287877768494e-06,8.460350571632651e-05,8.460350571632651e-05
1773,8.651860740168818e-05,6.915277318902164e-06,8.651860740168818e-05,8.651860740168818e-05
1774,8.488224037656826e-05,6.753987788345382e-06,8.488224037656826e-05,8.488224037656826e-05
1775,8.179752902443787e-05,6.4208216242280154e-06,8.179752902443787e-05,8.179752902443787e-05
1776,8.418607207464188e-05,6.469883958613666e-06,8.418607207464188e-05,8.418607207464188e-05
1777,8.160205938371032e-05,6.033885905968159e-06,8.160205938371032e-05,8.160205938371032e-05
1778,8.379549555164496e-05,5.7990382629213855e-06,8.379549555164496e-05,8.379549555164496e-05
1779,8.155548597902193e-05,5.770628896633363e-06,8.155548597902193e-05,8.155548597902193e-05
1780,8.18722759764309e-05,5.256299508411237e-06,8.18722759764309e-05,8.18722759764309e-05
1781,8.64431084275046e-05,5.363664838244274e-06,8.64431084275046e-05,8.64431084275046e-05
1782,9.276355558540672e-05,5.373159703075154e-06,9.276355558540672e-05,9.276355558540672e-05
1783,8.769017897845645e-05,5.819146930921956e-06,8.769017897845645e-05,8.769017897845645e-05
1784,8.920857882393258e-05,5.706429159805079e-06,8.920857882393258e-05,8.920857882393258e-05
1785,8.729249072660293e-05,5.668809015852665e-06,8.729249072660293e-05,8.729249072660293e-05
1786,8.658013757667504e-05,5.883898990889845e-06,8.658013757667504e-05,8.658013757667504e-05
1787,8.357757958167764e-05,6.146359347829795e-06,8.357757958167764e-05,8.357757958167764e-05
1788,8.011236942755724e-05,5.998914925190288e-06,8.011236942755724e-05,8.011236942755724e-05
1789,7.687934235686303e-05,5.748310611254835e-06,7.687934235686303e-05,7.687934235686303e-05
1790,7.431032021746173e-05,5.5672843310666006e-06,7.431032021746173e-05,7.431032021746173e-05
1791,7.217462708857576e-05,5.644925620020201e-06,7.217462708857576e-05,7.217462708857576e-05
1792,7.06872061917758e-05,5.703698142107376e-06,7.06872061917758e-05,7.06872061917758e-05
1793,7.396577711915597e-05,5.816975122538029e-06,7.396577711915597e-05,7.396577711915597e-05
