ngram,child,chld,cild,childd
1780,8.854533059223156e-05,0.0,1.1025797671696376e-08,0.0
1781,9.114033829454067e-05,0.0,1.1025797671696376e-08,0.0
1782,9.83654463198036e-05,0.0,8.137108510806814e-09,0.0
1783,0.00010054931044578552,0.0,0.0,0.0
1784,0.00010015372598510501,0.0,0.0,0.0
1785,9.358377220840859e-05,0.0,0.0,0.0
1786,9.662694875649842e-05,0.0,0.0,0.0
1787,9.609822258685849e-05,0.0,0.0,1.2891416188511228e-09
1788,9.926665890296655e-05,0.0,0.0,1.2891416188511228e-09
1789,9.525136036765096e-05,0.0,1.163384817053676e-09,1.2891416188511228e-09
1790,9.653548477217555e-05,0.0,2.2682332202959644e-09,1.2891416188511228e-09
1791,9.513605618849397e-05,0.0,3.3541994578659538e-09,1.2891416188511228e-09
1792,9.726329049694218e-05,0.0,4.442461509768236e-09,1.2891416188511228e-09
1793,9.609212949206787e-05,0.0,4.442461509768236e-09,1.2891416188511228e-09
1794,9.893228603427165e-05,0.0,4.442461509768236e-09,0.0
1795,9.375162335345522e-05,0.0,6.269005758952062e-09,0.0
1796,9.62892164742308e-05,0.0,5.105620941898386e-09,0.0
1797,9.867132030194625e-05,0.0,4.567696189537531e-09,0.0
1798,9.988943306130491e-05,5.786566781296187e-10,3.4817299519675414e-09,0.0
1799,9.800481971719169e-05,5.786566781296187e-10,2.393467900065259e-09,0.0
1800,9.855847643588536e-05,5.786566781296187e-10,2.8051318093754875e-09,0.0
1801,9.629916790540196e-05,1.0429971489652905e-09,2.8051318093754875e-09,4.643404708356716e-10
1802,9.648845402157999e-05,1.4771239469674973e-09,2.7150947522004897e-09,4.643404708356716e-10
1803,9.245549777655729e-05,1.4771239469674973e-09,4.470094580203263e-09,4.643404708356716e-10
1804,8.637666386286063e-05,1.4771239469674973e-09,6.038713719545643e-09,4.643404708356716e-10
1805,8.681691126964455e-05,8.984672688378786e-10,1.1232263944346447e-08,4.643404708356716e-10
1806,8.874252463491368e-05,8.984672688378786e-10,1.149081404630944e-08,4.643404708356716e-10
1807,8.857944755748446e-05,1.1076884964822398e-09,1.1288371364643573e-08,4.643404708356716e-10
1808,9.000451973406598e-05,6.433480256465682e-10,1.1523734553899243e-08,0.0
1809,8.83320317370817e-05,2.092212276443612e-10,1.0149076991515317e-08,0.0
1810,9.001799584698997e-05,4.271588796963702e-10,8.394077163512544e-09,0.0
1811,8.951225858514331e-05,4.271588796963702e-10,6.492918314116025e-09,2.343839408272938e-10
1812,8.861814421834424e-05,4.271588796963702e-10,1.299368089315221e-09,2.343839408272938e-10
