ngram,fat,ft,fat,faat
1722,3.5023455503895616e-05,4.3907338944596373e-05,3.5023455503895616e-05,2.0911498564503616e-08
1723,3.3816739492717064e-05,4.0509837292899776e-05,3.3816739492717064e-05,2.708667474442856e-08
1724,3.3338841603836045e-05,3.784603697048234e-05,3.3338841603836045e-05,2.708667474442856e-08
1725,3.2942524869992796e-05,3.72801795102922e-05,3.2942524869992796e-05,1.934491830216497e-08
1726,3.2434229589333495e-05,3.657220128973547e-05,3.2434229589333495e-05,6.175176179924944e-09
1727,3.2321310365140175e-05,3.581041164579801e-05,3.2321310365140175e-05,6.175176179924944e-09
1728,3.1204663693123234e-05,3.6225657303085814e-05,3.1204663693123234e-05,6.175176179924944e-09
1729,3.212082057351446e-05,3.5041379305766895e-05,3.212082057351446e-05,6.175176179924944e-09
1730,3.479376365638538e-05,3.593905785237439e-05,3.479376365638538e-05,8.18323796027341e-09
1731,3.4931792210305245e-05,3.6635986491871465e-05,3.4931792210305245e-05,8.18323796027341e-09
1732,3.563217277197899e-05,3.795189072012103e-05,3.563217277197899e-05,2.070028567605472e-08
1733,3.6159996203163504e-05,3.7082778622529334e-05,3.6159996203163504e-05,2.070028567605472e-08
1734,3.8329196156285305e-05,3.713157639140263e-05,3.8329196156285305e-05,2.070028567605472e-08
1735,3.863230631395709e-05,3.613716970513841e-05,3.863230631395709e-05,2.070028567605472e-08
1736,3.703146960885663e-05,3.641086264646479e-05,3.703146960885663e-05,2.070028567605472e-08
1737,3.4246356725426654e-05,3.48432801859287e-05,3.4246356725426654e-05,1.251704771578131e-08
1738,3.357175592100248e-05,3.339292431649353e-05,3.357175592100248e-05,1.800886398736371e-08
1739,3.166690787890859e-05,3.14429759912725e-05,3.166690787890859e-05,5.491816271582398e-09
1740,3.208883650326503e-05,3.186166733420188e-05,3.208883650326503e-05,5.491816271582398e-09
1741,3.0152716135489754e-05,3.2081025502910574e-05,3.0152716135489754e-05,5.491816271582398e-09
1742,3.1684620937864694e-05,3.1694723085300734e-05,3.1684620937864694e-05,5.491816271582398e-09
1743,3.382840986887459e-05,3.15041392501111e-05,3.382840986887459e-05,5.491816271582398e-09
1744,3.558454227459151e-05,3.2921998613996296e-05,3.558454227459151e-05,5.491816271582398e-09
1745,3.621763737880558e-05,3.410985924087332e-05,3.621763737880558e-05,0.0
1746,3.9215078036899543e-05,3.473959908920473e-05,3.9215078036899543e-05,0.0
1747,3.9455720980186015e-05,3.319846681344123e-05,3.9455720980186015e-05,0.0
1748,3.898633596171359e-05,3.258204716465636e-05,3.898633596171359e-05,0.0
1749,3.7390180815626604e-05,3.151789782610389e-05,3.7390180815626604e-05,0.0
1750,3.516255700170794e-05,3.126921131167494e-05,3.516255700170794e-05,3.298731446729367e-09
1751,3.3704699619972545e-05,2.961543110099488e-05,3.3704699619972545e-05,6.867870082162751e-09
1752,3.4216647431354173e-05,2.8830867709725032e-05,3.4216647431354173e-05,1.0766460231284976e-08
1753,3.422847242161099e-05,2.793379618586706e-05,3.422847242161099e-05,1.0766460231284976e-08
1754,3.5605744155223616e-05,2.8019754868832285e-05,3.5605744155223616e-05,1.0766460231284976e-08
1755,3.711884554442284e-05,2.690146512967268e-05,3.711884554442284e-05,1.0766460231284976e-08
1756,3.833456113560325e-05,2.7431468749585163e-05,3.833456113560325e-05,1.3801930772875234e-08
1757,4.0958129050393056e-05,2.773694463290407e-05,4.0958129050393056e-05,1.0503199326145868e-08
1758,4.0991689664744104e-05,2.808717856948663e-05,4.0991689664744104e-05,1.0041645483381347e-08
1759,4.087012816203891e-05,2.704324755801021e-05,4.087012816203891e-05,6.1430553342591205e-09
1760,3.8415994692643706e-05,2.7504273540606456e-05,3.8415994692643706e-05,8.804422334053795e-09
1761,3.639222606060295e-05,2.7581819657435907e-05,3.639222606060295e-05,8.804422334053795e-09
1762,3.568482523925403e-05,2.8225853384356014e-05,3.568482523925403e-05,1.1487004363581427e-08
1763,3.624473512380584e-05,2.795278981336326e-05,3.624473512380584e-05,8.45153382199117e-09
1764,3.573222862282169e-05,2.7510236967438167e-05,3.573222862282169e-05,8.45153382199117e-09
1765,3.878652543270229e-05,2.8265937934130697e-05,3.878652543270229e-05,5.343949029322305e-09
1766,3.9544642796889616e-05,2.9026952948437872e-05,3.9544642796889616e-05,8.745001167653754e-09
1767,4.154346554839451e-05,2.8637841751333326e-05,4.154346554839451e-05,6.08363416785908e-09
1768,4.330447284571294e-05,2.8877613398695496e-05,4.330447284571294e-05,6.08363416785908e-09
1769,4.4567562976486185e-05,2.852093634178995e-05,4.4567562976486185e-05,9.493571389335947e-09
1770,4.515896840270476e-05,2.9045269652020318e-05,4.515896840270476e-05,9.493571389335947e-09
1771,4.4797698917266515e-05,2.824709606232188e-05,4.4797698917266515e-05,9.493571389335947e-09
1772,4.379016796260008e-05,2.7326618302530342e-05,4.379016796260008e-05,1.4765735047360197e-08
1773,4.370931648216876e-05,2.6302750484319404e-05,4.370931648216876e-05,1.3959873764893667e-08
1774,4.191985499346629e-05,2.6052189631237915e-05,4.191985499346629e-05,1.3959873764893667e-08
1775,4.0194636052807e-05,2.5439600774136905e-05,4.0194636052807e-05,2.2625941247562357e-08
1776,3.948349123155432e-05,2.4848440131920923e-05,3.948349123155432e-05,1.6533421996557862e-08
1777,3.9169861078594946e-05,2.355731937443904e-05,3.9169861078594946e-05,1.6533421996557862e-08
1778,3.762909026201149e-05,2.4027187464525923e-05,3.762909026201149e-05,1.931456569285014e-08
1779,3.569273498474753e-05,2.4478621136430384e-05,3.569273498474753e-05,1.404240203482589e-08
1780,3.4838917989483366e-05,2.5441761473692687e-05,3.4838917989483366e-05,1.144721117896097e-08
1781,3.7930751984406796e-05,2.509556283517408e-05,3.7930751984406796e-05,1.144721117896097e-08
1782,4.0811565538336125e-05,2.520296402508393e-05,4.0811565538336125e-05,7.0974106591847885e-09
1783,4.078989150002599e-05,2.53178586717695e-05,4.078989150002599e-05,7.0974106591847885e-09
1784,4.004879571896579e-05,2.6073730103754705e-05,4.004879571896579e-05,7.0974106591847885e-09
1785,4.1047942171904393e-05,2.529101974297581e-05,4.1047942171904393e-05,4.316266962892509e-09
1786,4.085133748178903e-05,2.3745018552290276e-05,4.085133748178903e-05,4.316266962892509e-09
1787,4.223743287314262e-05,2.328621901272397e-05,4.223743287314262e-05,5.605408581743632e-09
1788,4.075050778088293e-05,2.3712751499260776e-05,4.075050778088293e-05,5.605408581743632e-09
1789,3.8513023485263276e-05,2.2997540976835546e-05,3.8513023485263276e-05,1.2891416188511228e-09
1790,3.7922412177847165e-05,2.3550946415135904e-05,3.7922412177847165e-05,4.603686955460619e-09
1791,3.7990734978978124e-05,2.3675801068228403e-05,3.7990734978978124e-05,7.861585795053218e-09
1792,3.741608452401124e-05,2.436185630878234e-05,3.741608452401124e-05,1.0038109898857783e-08
1793,3.829591514659114e-05,2.465624207356346e-05,3.829591514659114e-05,1.0038109898857783e-08
1794,3.669806756079197e-05,2.444599132494269e-05,3.669806756079197e-05,1.074493941441038e-08
1795,3.548579739539751e-05,2.3675092701783535e-05,3.548579739539751e-05,1.1658211539002293e-08
1796,3.419464649466265e-05,2.3463580873794854e-05,3.419464649466265e-05,1.3554534764434071e-08
1797,3.279279059954986e-05,2.213313668367586e-05,3.279279059954986e-05,1.0806913078706008e-08
1798,3.1722907286686155e-05,2.052117828757868e-05,3.1722907286686155e-05,1.0442297566320186e-08
1799,3.0625417691356104e-05,1.898152562976715e-05,3.0625417691356104e-05,9.467312648122776e-09
1800,2.852970413057067e-05,1.7641678173926527e-05,2.852970413057067e-05,1.0702304439494777e-08
1801,2.7416035144207334e-05,1.5749074529074797e-05,2.7416035144207334e-05,9.17067377592673e-09
1802,2.6088128704161916e-05,1.4255479202672308e-05,2.6088128704161916e-05,8.691528449337023e-09
1803,2.4816150211596062e-05,1.2855605226442484e-05,2.4816150211596062e-05,7.497205142418092e-09
1804,2.469617564721765e-05,1.2029169088886452e-05,2.469617564721765e-05,7.84551414310743e-09
