ngram,drama,draam,draama
1753,3.655934148939975e-06,4.159151753161236e-09,0.0
1754,3.640692885450595e-06,0.0,0.0
1755,3.6956623879242604e-06,0.0,0.0
1756,4.0245870585360014e-06,0.0,0.0
1757,3.5214428960119093e-06,0.0,0.0
1758,3.7233410726652697e-06,0.0,0.0
1759,4.404348747552181e-06,0.0,0.0
1760,4.1526089944454725e-06,0.0,0.0
1761,4.5733350881554154e-06,0.0,0.0
1762,5.5407079539041404e-06,0.0,0.0
1763,6.243787376141492e-06,0.0,0.0
1764,6.239978152474837e-06,0.0,0.0
1765,6.350251039423581e-06,0.0,0.0
1766,6.792347708791827e-06,0.0,0.0
1767,7.108147786181819e-06,0.0,0.0
1768,7.225591096877386e-06,0.0,0.0
1769,6.5794377275908896e-06,0.0,0.0
1770,6.2347222800391525e-06,0.0,0.0
1771,6.388934252754552e-06,0.0,0.0
1772,7.124156452066797e-06,0.0,0.0
1773,7.806956741010903e-06,0.0,0.0
1774,7.362658217451619e-06,0.0,0.0
1775,8.046080340916109e-06,0.0,0.0
1776,8.181225601739633e-06,0.0,0.0
1777,8.438882787231705e-06,0.0,0.0
1778,9.037784268782292e-06,0.0,0.0
1779,8.910406417531444e-06,0.0,0.0
1780,7.934746950663144e-06,0.0,0.0
1781,8.228614920621372e-06,0.0,0.0
1782,7.888470528476838e-06,2.1581334814462546e-09,0.0
1783,8.516612849364589e-06,2.1581334814462546e-09,0.0
1784,8.476442287376682e-06,2.1581334814462546e-09,0.0
1785,8.421428512000212e-06,2.1581334814462546e-09,0.0
1786,8.856613541346242e-06,2.1581334814462546e-09,0.0
1787,9.186015047037341e-06,2.1581334814462546e-09,0.0
1788,9.689386518272971e-06,2.1581334814462546e-09,0.0
1789,9.791695447347593e-06,0.0,0.0
1790,9.769263670023065e-06,0.0,0.0
1791,9.512975274057161e-06,0.0,0.0
1792,9.261082141165389e-06,0.0,0.0
1793,1.006507441811014e-05,0.0,0.0
1794,9.875082923826994e-06,0.0,0.0
1795,1.0030098500075318e-05,0.0,0.0
1796,1.138439717708804e-05,0.0,0.0
1797,1.1609309500012646e-05,5.66923650881433e-10,0.0
1798,1.1955026561086665e-05,5.66923650881433e-10,0.0
1799,1.1704733034483589e-05,5.66923650881433e-10,0.0
1800,1.0294244800336725e-05,5.66923650881433e-10,0.0
1801,1.0085755872881106e-05,5.66923650881433e-10,0.0
1802,1.0026142133158697e-05,5.66923650881433e-10,0.0
1803,9.045915378789817e-06,5.66923650881433e-10,0.0
1804,8.914994525964306e-06,0.0,0.0
1805,9.440244606854062e-06,0.0,0.0
1806,9.566996790713997e-06,2.5855010196299387e-10,0.0
1807,9.749997973683224e-06,4.677713296073551e-10,0.0
1808,1.008354151313792e-05,4.677713296073551e-10,0.0
1809,1.0376385944255162e-05,6.486961444198056e-10,0.0
1810,1.0023879440268502e-05,6.486961444198056e-10,0.0
1811,9.872434800074967e-06,6.486961444198056e-10,0.0
1812,9.039421651583065e-06,6.486961444198056e-10,0.0
1813,9.02598815498225e-06,3.901460424568118e-10,0.0
1814,9.558967901414559e-06,1.809248148124506e-10,0.0
1815,9.506230201493184e-06,3.7406552458715426e-10,0.0
1816,9.286425340958107e-06,1.9314070977470366e-10,0.0
1817,9.6924180590057e-06,1.9314070977470366e-10,0.0
1818,1.0292600498879828e-05,1.9314070977470366e-10,0.0
1819,1.0684105161219901e-05,1.9314070977470366e-10,0.0
1820,1.1722999391037905e-05,1.9314070977470366e-10,0.0
1821,1.1680527937382326e-05,1.9314070977470366e-10,0.0
1822,1.2016779432347643e-05,0.0,0.0
1823,1.2293562706742836e-05,0.0,0.0
1824,1.2538764687113663e-05,0.0,0.0
1825,1.1932838268486584e-05,0.0,0.0
1826,1.1655301412767066e-05,1.1849824296409191e-10,0.0
1827,1.0857609465477123e-05,1.1849824296409191e-10,0.0
1828,1.072632130671991e-05,1.1849824296409191e-10,0.0
1829,1.0359161413881729e-05,1.8877252142398707e-10,0.0
1830,1.049164607788303e-05,1.8877252142398707e-10,0.0
1831,1.0030470938155694e-05,2.816671816420678e-10,0.0
1832,1.0282577932230197e-05,3.668166405544428e-10,0.0
1833,1.0713280322046817e-05,3.3079665990547776e-10,0.0
1834,1.1173904827696138e-05,3.3079665990547776e-10,0.0
1835,1.1107677242502437e-05,3.3079665990547776e-10,0.0
1836,1.1708227378091709e-05,3.3558356093976727e-10,0.0
1837,1.16107031707153e-05,4.1302497136693917e-10,0.0
1838,1.1891056341742764e-05,3.201303111488585e-10,0.0
1839,1.1776477809429967e-05,2.349808522364835e-10,0.0
1840,1.197775743224026e-05,2.2808855597895265e-10,0.0
1841,1.1629390038641369e-05,2.2808855597895265e-10,6.997761100738638e-11
1842,1.1483756549880906e-05,2.2808855597895265e-10,6.997761100738638e-11
1843,1.126408226679944e-05,2.8417643635084543e-10,6.997761100738638e-11
1844,1.1119230943482502e-05,2.0673502592367347e-10,6.997761100738638e-11
1845,1.0906913563043677e-05,2.0673502592367347e-10,6.997761100738638e-11
1846,1.1073648498235603e-05,2.719555255595704e-10,6.997761100738638e-11
1847,1.0976660373021982e-05,2.569750245928759e-10,1.3058307609828797e-10
1848,1.0933781465740009e-05,3.116626996162759e-10,6.060546509090159e-11
1849,1.0952956342537488e-05,6.340999193975096e-10,6.060546509090159e-11
1850,1.0733017656353436e-05,5.978906774435038e-10,6.060546509090159e-11
1851,1.0639170795911923e-05,6.443192725390037e-10,6.060546509090159e-11
1852,1.0555642672573282e-05,6.443192725390037e-10,6.060546509090159e-11
1853,1.0360778495461481e-05,7.238768037368512e-10,6.060546509090159e-11
1854,1.011544190987479e-05,7.137731992758387e-10,2.020074425195568e-10
1855,1.0101837947981299e-05,6.590855242524388e-10,3.0701094047965883e-10
1856,1.0237915505838049e-05,3.366483044712051e-10,3.0701094047965883e-10
1857,1.023886644751266e-05,2.8984271332228266e-10,3.551451672428081e-10
1858,1.0055564546616682e-05,2.4341411822678284e-10,3.551451672428081e-10
1859,1.0041991897326494e-05,2.4341411822678284e-10,3.551451672428081e-10
1860,1.0305552288108239e-05,1.5963129627673466e-10,3.551451672428081e-10
1861,1.0343524861257589e-05,1.65616116059348e-10,1.5313772472325127e-10
1862,1.0394834784424997e-05,1.65616116059348e-10,4.8134226763149204e-11
1863,1.034384461360917e-05,2.610918782762285e-10,4.8134226763149204e-11
1864,1.0374603074784058e-05,2.6005277296649506e-10,0.0
1865,1.0444823211790727e-05,3.92732425945143e-10,0.0
1866,1.0481363330784785e-05,3.92732425945143e-10,0.0
1867,1.0117723702153722e-05,3.749496744833079e-10,0.0
1868,1.0235673341542548e-05,3.6327469207389894e-10,4.4811698003093574e-11
1869,1.0122159307814269e-05,3.6327469207389894e-10,4.4811698003093574e-11
1870,1.0160868181888613e-05,3.1003539021793157e-10,4.4811698003093574e-11
1871,1.0384670011782354e-05,2.629402687645158e-10,4.4811698003093574e-11
1872,1.1234710785044757e-05,2.1216403633950165e-10,4.4811698003093574e-11
1873,1.1409116398551436e-05,2.9018154149415155e-10,8.382045058041854e-11
1874,1.164456547745171e-05,2.8670979875958634e-10,8.382045058041854e-11
1875,1.1536787237024068e-05,2.4189810075649273e-10,3.900875257732496e-11
1876,1.1800359581164749e-05,3.1856206958050647e-10,3.900875257732496e-11
1877,1.2061692749349667e-05,4.161322992540002e-10,3.900875257732496e-11
1878,1.1876353710249532e-05,4.524176588915907e-10,3.900875257732496e-11
1879,1.1103579189304063e-05,4.0542805224141887e-10,3.900875257732496e-11
1880,1.1056699284901178e-05,3.2741054708676897e-10,0.0
1881,1.0684401526564865e-05,3.192354277751061e-10,0.0
1882,1.0588555206985412e-05,3.192354277751061e-10,0.0
1883,1.0591768971478035e-05,3.0681671489166517e-10,0.0
1884,1.0242358907167467e-05,3.500754606834887e-10,0.0
1885,1.0315358849766199e-05,3.7183665670324576e-10,0.0
1886,1.026810787152499e-05,3.3692284279978375e-10,0.0
1887,1.036973117152229e-05,3.3692284279978375e-10,0.0
1888,1.0739707509596233e-05,3.323600898465427e-10,0.0
1889,1.089579602973702e-05,3.323600898465427e-10,0.0
