ngram,agent,agnt,agt,agentt
1701,1.0261779331293447e-05,0.0,1.2181990476684795e-07,0.0
1702,1.0392934898715924e-05,0.0,9.926981395632798e-08,0.0
1703,1.2359413160213859e-05,0.0,8.352386820271412e-08,0.0
1704,1.0296199871869963e-05,0.0,7.617679338116951e-08,0.0
1705,4.651592899814919e-06,0.0,1.494392307677117e-07,0.0
1706,4.91139019130417e-06,0.0,1.2130599255247683e-07,0.0
1707,4.891100598821854e-06,0.0,1.204605928657137e-07,0.0
1708,4.774911456958567e-06,0.0,1.301064602086756e-07,0.0
1709,4.58330832994339e-06,0.0,1.0613614063816255e-07,0.0
1710,2.2309407238399866e-06,0.0,1.2335116394979195e-07,0.0
1711,2.251355943323168e-06,0.0,1.2335116394979195e-07,1.9384657434784458e-08
1712,2.3245138131804718e-06,0.0,5.008872656324976e-08,1.9384657434784458e-08
1713,2.2699261360717822e-06,0.0,6.064937403087762e-08,1.9384657434784458e-08
1714,2.724852884788171e-06,0.0,6.764014212227007e-08,1.9384657434784458e-08
1715,1.0563687179602052e-05,0.0,6.931662811991504e-08,1.9384657434784458e-08
1716,1.0657266445589033e-05,0.0,6.931662811991504e-08,1.9384657434784458e-08
1717,1.060342682787255e-05,0.0,5.210160480828563e-08,1.9384657434784458e-08
1718,1.1154981588593468e-05,0.0,6.75851176928128e-08,0.0
1719,1.0566718787328813e-05,0.0,1.1367921461312238e-07,0.0
1720,9.94971849114076e-06,0.0,9.204318424898312e-08,0.0
1721,9.606095541617573e-06,0.0,1.5174048582723897e-07,0.0
1722,3.929176171725755e-06,0.0,1.4814571918415303e-07,0.0
1723,4.540868332014725e-06,0.0,1.6049607154400292e-07,6.175176179924944e-09
1724,4.49539517230083e-06,0.0,1.7223791104470365e-07,6.175176179924944e-09
1725,4.422117184178985e-06,0.0,1.7881325829551186e-07,6.175176179924944e-09
1726,4.720750618097165e-06,0.0,1.3910665939777444e-07,6.175176179924944e-09
1727,6.335287951385128e-06,0.0,1.4594937525203022e-07,6.175176179924944e-09
1728,6.80058635030686e-06,0.0,7.358841256989632e-08,6.175176179924944e-09
1729,5.666954604878681e-06,0.0,7.223280259641537e-08,6.175176179924944e-09
1730,5.396394158196927e-06,0.0,5.988245023656549e-08,8.18323796027341e-09
