ngram,shoulder,shouler,shouler,shouder
1567,1.040884931821243e-05,0.0,0.0,0.0
1568,1.040884931821243e-05,0.0,0.0,0.0
1569,1.040884931821243e-05,0.0,0.0,0.0
1570,1.040884931821243e-05,0.0,0.0,0.0
1571,4.047202570031264e-06,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,1.0894230919283082e-06,0.0,0.0,0.0
1575,1.0894230919283082e-06,0.0,0.0,0.0
1576,2.8921448834548106e-06,0.0,0.0,0.0
1577,2.8921448834548106e-06,0.0,0.0,0.0
1578,3.855797331198119e-06,0.0,0.0,0.0
1579,5.7960617466181115e-06,0.0,0.0,0.0
1580,6.786522590118693e-06,0.0,0.0,0.0
1581,5.697099498190385e-06,0.0,0.0,0.0
1582,5.697099498190385e-06,0.0,0.0,0.0
1583,4.375000311743601e-06,0.0,0.0,0.0
1584,6.173223482619505e-06,0.0,0.0,0.0
1585,5.587007210903851e-06,0.0,0.0,0.0
1586,3.646742795483858e-06,0.0,0.0,0.0
1587,8.193554906808589e-06,0.0,0.0,0.0
1588,8.863060721913435e-06,0.0,0.0,0.0
1589,1.0917051862894109e-05,0.0,0.0,0.0
1590,1.1476331857401029e-05,0.0,0.0,0.0
1591,1.021117561452099e-05,0.0,0.0,0.0
1592,9.833739438493336e-06,0.0,0.0,0.0
1593,1.3629443856189027e-05,0.0,0.0,0.0
1594,8.427434067925788e-06,0.0,0.0,0.0
1595,8.659522433975195e-06,0.0,0.0,0.0
1596,6.815949518568232e-06,0.0,0.0,0.0
1597,7.1077299708122155e-06,0.0,0.0,0.0
1598,9.405633688532231e-06,0.0,0.0,0.0
1599,9.64145598507977e-06,0.0,0.0,0.0
1600,7.443342805605166e-06,0.0,0.0,0.0
1601,8.28002280936094e-06,0.0,0.0,0.0
1602,7.796031500869763e-06,0.0,0.0,0.0
1603,8.821943603314658e-06,0.0,0.0,0.0
1604,8.001071494488445e-06,0.0,0.0,0.0
1605,5.619848414945798e-06,0.0,0.0,0.0
1606,6.585227733272145e-06,0.0,0.0,0.0
1607,5.7341335702533665e-06,0.0,0.0,0.0
1608,6.9583214943642294e-06,0.0,0.0,0.0
1609,7.295414531784315e-06,0.0,0.0,0.0
1610,8.480601114310307e-06,0.0,0.0,0.0
1611,8.481851572079385e-06,0.0,0.0,0.0
1612,8.30110473413827e-06,0.0,0.0,0.0
1613,8.218576535260322e-06,0.0,0.0,0.0
1614,8.131298955049715e-06,0.0,0.0,0.0
1615,6.877997585823843e-06,0.0,0.0,0.0
1616,7.204575240393751e-06,0.0,0.0,0.0
1617,5.277223668339762e-06,0.0,0.0,0.0
1618,5.356025115231335e-06,0.0,0.0,0.0
1619,5.987300385511064e-06,0.0,0.0,0.0
1620,6.379710709682383e-06,0.0,0.0,0.0
1621,6.077327205795362e-06,0.0,0.0,0.0
1622,5.215891113558817e-06,0.0,0.0,0.0
1623,5.212274312985496e-06,0.0,0.0,0.0
1624,5.6141020974921825e-06,0.0,0.0,0.0
1625,6.269209572045449e-06,0.0,0.0,0.0
1626,6.746664472042799e-06,0.0,0.0,0.0
1627,5.555123412445287e-06,0.0,0.0,0.0
1628,5.591357194134616e-06,0.0,0.0,0.0
1629,6.382845023316415e-06,0.0,0.0,0.0
1630,5.995180247607225e-06,0.0,0.0,0.0
1631,6.402826816806087e-06,0.0,0.0,0.0
1632,5.798239434235646e-06,0.0,0.0,0.0
1633,5.517250916195085e-06,0.0,0.0,0.0
1634,6.061635368886138e-06,0.0,0.0,0.0
1635,5.997844449926301e-06,0.0,0.0,0.0
1636,6.5750067343677595e-06,0.0,0.0,0.0
1637,7.201897070834613e-06,0.0,0.0,0.0
1638,6.100262485883182e-06,0.0,0.0,0.0
1639,5.848230687531343e-06,0.0,0.0,0.0
1640,5.162720526641351e-06,0.0,0.0,0.0
1641,4.896014258650082e-06,0.0,0.0,0.0
1642,5.322384270454807e-06,0.0,0.0,0.0
1643,3.762662970530073e-06,0.0,0.0,0.0
1644,2.8124265116145708e-06,0.0,0.0,0.0
1645,3.052472891340585e-06,0.0,0.0,0.0
1646,4.879366745821504e-06,0.0,0.0,0.0
1647,5.404544489400516e-06,0.0,0.0,0.0
1648,5.35751445340793e-06,0.0,0.0,0.0
1649,4.60186558776903e-06,0.0,0.0,0.0
1650,6.663629782061824e-06,0.0,0.0,0.0
1651,7.285985800211035e-06,0.0,0.0,0.0
1652,7.456319703383737e-06,0.0,0.0,0.0
1653,5.692329393371308e-06,0.0,0.0,0.0
1654,5.2952008380608665e-06,0.0,0.0,0.0
1655,5.384143508178697e-06,0.0,0.0,0.0
