ngram,drop,drp,drpp,dropp
1602,1.3970019088966573e-05,0.0,0.0,0.0
1603,1.6013116822120666e-05,0.0,0.0,0.0
1604,1.429951888504937e-05,0.0,0.0,0.0
1605,1.1907399961533624e-05,0.0,0.0,1.1243689154330891e-07
1606,1.4087235025986697e-05,0.0,0.0,1.1243689154330891e-07
1607,1.3128680231082918e-05,0.0,0.0,1.1243689154330891e-07
1608,1.3358833971973841e-05,0.0,0.0,1.1243689154330891e-07
1609,1.3723581365151663e-05,0.0,0.0,1.1243689154330891e-07
1610,1.1476052025370467e-05,0.0,0.0,3.6733341955498743e-07
1611,1.0898633393350923e-05,0.0,0.0,3.6733341955498743e-07
1612,9.501024578639772e-06,0.0,0.0,5.238972562437993e-07
1613,7.017142252152553e-06,0.0,0.0,5.238972562437993e-07
1614,9.983629947133263e-06,0.0,0.0,5.238972562437993e-07
1615,9.529038899407688e-06,0.0,0.0,5.238972562437993e-07
1616,1.0320097901837602e-05,0.0,0.0,5.238972562437993e-07
1617,1.2030141858433905e-05,0.0,0.0,2.6900072823212084e-07
1618,1.3877596562191944e-05,0.0,0.0,2.6900072823212084e-07
1619,1.6627766659179804e-05,0.0,0.0,1.1253449981398132e-07
1620,2.0018081288851264e-05,0.0,0.0,1.1253449981398132e-07
1621,1.8835773516912013e-05,0.0,0.0,1.1253449981398132e-07
1622,1.7763292199950748e-05,0.0,0.0,1.1253449981398132e-07
1623,1.559712827007128e-05,0.0,0.0,1.1253449981398132e-07
1624,1.758047661886459e-05,0.0,0.0,1.1253449981398132e-07
1625,1.5949195163297452e-05,0.0,0.0,1.1253449981398132e-07
1626,1.3271131235472109e-05,0.0,0.0,0.0
1627,1.0200202755835822e-05,0.0,0.0,0.0
1628,9.136650695446796e-06,0.0,0.0,1.310232521843448e-07
1629,1.2037358763856381e-05,0.0,0.0,2.9608193991797247e-07
1630,1.4409662006593343e-05,0.0,0.0,3.8233093846429256e-07
1631,1.2969707638278902e-05,0.0,0.0,3.8233093846429256e-07
1632,1.3330200480205739e-05,0.0,0.0,3.8233093846429256e-07
1633,1.3141740964783821e-05,0.0,0.0,3.8233093846429256e-07
1634,1.835402092962925e-05,0.0,0.0,3.8233093846429256e-07
1635,2.026762389765021e-05,0.0,0.0,3.3362739973849133e-07
1636,1.946767770277802e-05,0.0,0.0,1.6856871200486368e-07
1637,1.9602563822575447e-05,0.0,0.0,8.231971345854358e-08
1638,1.9337951016495936e-05,0.0,0.0,8.231971345854358e-08
1639,2.1495231132056298e-05,0.0,0.0,8.231971345854358e-08
1640,2.3928247303826667e-05,0.0,0.0,8.231971345854358e-08
1641,1.8354560130059587e-05,0.0,0.0,8.231971345854358e-08
1642,1.820317551651637e-05,0.0,0.0,1.0794983446820489e-07
1643,1.7386901942830135e-05,0.0,0.0,1.0794983446820489e-07
