ngram,price,prce,prcie,priice
1753,3.143901111408403e-05,2.0549640972993595e-08,0.0,0.0
1754,3.925112157178644e-05,2.0549640972993595e-08,0.0,0.0
1755,4.041350829148931e-05,2.0549640972993595e-08,0.0,0.0
1756,4.227401145076978e-05,2.1665301679669417e-08,0.0,0.0
1757,4.571848018843282e-05,2.1665301679669417e-08,0.0,0.0
1758,4.718568067931171e-05,2.1665301679669417e-08,0.0,0.0
1759,4.8380720857364524e-05,6.070941083180514e-09,0.0,0.0
1760,4.916115410326581e-05,6.070941083180514e-09,0.0,0.0
1761,4.6630365042282005e-05,6.070941083180514e-09,0.0,0.0
1762,4.7970540825709964e-05,6.070941083180514e-09,0.0,0.0
1763,5.139640935729923e-05,0.0,2.8386745652499356e-09,0.0
1764,6.597370156669058e-05,8.43203906697454e-09,2.8386745652499356e-09,0.0
1765,6.887233549995082e-05,1.1379447479547317e-08,2.8386745652499356e-09,0.0
1766,6.956344077480026e-05,1.1379447479547317e-08,2.8386745652499356e-09,0.0
1767,7.558893568264986e-05,1.1379447479547317e-08,2.8386745652499356e-09,0.0
1768,8.161465510576298e-05,1.1379447479547317e-08,2.8386745652499356e-09,0.0
1769,8.352070238158506e-05,1.4425707105049566e-08,2.8386745652499356e-09,0.0
1770,8.469584541411937e-05,1.730862868904686e-08,0.0,0.0
1771,7.251506810592088e-05,8.876589622072321e-09,0.0,0.0
1772,7.26954463711341e-05,5.929181209499543e-09,0.0,0.0
1773,8.73113697577667e-05,5.929181209499543e-09,0.0,0.0
1774,8.589584675584254e-05,5.929181209499543e-09,0.0,0.0
1775,9.232657404416906e-05,5.929181209499543e-09,0.0,0.0
1776,9.146415894584996e-05,2.8829215839972935e-09,0.0,2.712369503602271e-09
1777,8.997437596138167e-05,0.0,0.0,2.712369503602271e-09
1778,8.659774175612256e-05,2.7811436962922797e-09,0.0,2.712369503602271e-09
1779,8.616308644247641e-05,7.904515137673635e-09,0.0,2.712369503602271e-09
1780,7.39846145734191e-05,1.0253655448520606e-08,0.0,2.712369503602271e-09
1781,7.399514080524179e-05,1.0253655448520606e-08,0.0,2.712369503602271e-09
1782,6.576395597741274e-05,1.4569922411413115e-08,0.0,2.712369503602271e-09
1783,6.697084297359522e-05,1.4569922411413115e-08,0.0,0.0
1784,7.029340538013327e-05,1.7898866642797528e-08,0.0,0.0
1785,7.656717934878543e-05,1.5117722946505248e-08,1.6181223979775235e-09,0.0
1786,7.939558521944232e-05,9.994351505123892e-09,1.6181223979775235e-09,0.0
1787,8.157165159770687e-05,1.1512635923947658e-08,1.6181223979775235e-09,0.0
1788,9.249928552890196e-05,1.1512635923947658e-08,1.6181223979775235e-09,0.0
1789,9.305112637645964e-05,7.196368961055149e-09,1.6181223979775235e-09,0.0
1790,9.650054770255727e-05,7.196368961055149e-09,1.6181223979775235e-09,0.0
1791,9.722397018257263e-05,4.953390967240726e-09,1.6181223979775235e-09,0.0
1792,9.726374056689175e-05,7.1299150710452915e-09,0.0,0.0
1793,0.00010308872879249975,7.1299150710452915e-09,0.0,0.0
1794,0.00010340096092217468,4.260475908576414e-09,0.0,0.0
