ngram,pipe,pip
1760,1.0844180321458094e-05,2.0171292496635423e-07
1761,1.1683353022817755e-05,1.9185341772397025e-07
1762,1.1448764585760987e-05,1.9590052297806843e-07
1763,1.2061674689383445e-05,2.2192571792954497e-07
1764,1.2617359061550815e-05,1.9990387910086481e-07
1765,1.3710754111733487e-05,2.141603922772057e-07
1766,1.3888928931139941e-05,2.1709498858919168e-07
1767,1.3255416888569016e-05,2.5033392197266427e-07
1768,1.4169510775120995e-05,2.684559226346599e-07
1769,1.4141463387724279e-05,2.5490617312178596e-07
1770,1.5224805013401368e-05,2.443479222132997e-07
1771,1.634422694353686e-05,2.4939727844801904e-07
1772,1.698599278045419e-05,2.442705847118175e-07
1773,1.8641634207077523e-05,2.490103189042462e-07
1774,1.844834124702694e-05,2.1847713733385327e-07
1775,1.7086082802312115e-05,1.9536960950615268e-07
1776,1.748025650678236e-05,2.0659422566333368e-07
1777,1.740527438544502e-05,1.8096409044281764e-07
1778,1.5632946737501436e-05,1.476307218695183e-07
1779,1.463333566269804e-05,1.5735669174026562e-07
1780,1.4495286060472218e-05,1.5699927453332358e-07
1781,1.5059247354136979e-05,1.6543459123243209e-07
1782,1.4892268674364978e-05,1.7688874720533931e-07
1783,1.4289489237333847e-05,1.7913389781045096e-07
1784,1.3554906087977412e-05,1.8449641459028499e-07
1785,1.4007123224603544e-05,1.985538773396911e-07
1786,1.3934811769494055e-05,1.7573572717667828e-07
1787,1.3411374441472748e-05,1.7332887734612867e-07
1788,1.2790713559037872e-05,1.8033474954596125e-07
1789,1.2401087587932125e-05,1.8352176921000917e-07
1790,1.2201145831828139e-05,1.9513181825914216e-07
1791,1.2192143003630918e-05,1.8739810465311685e-07
1792,1.2417049090020424e-05,1.816838062852964e-07
1793,1.2785452911755004e-05,1.901277225816297e-07
1794,1.2893761517521593e-05,1.9428445645936726e-07
1795,1.474524703683398e-05,1.8550558524209138e-07
1796,1.5897913337019937e-05,1.8960662068983375e-07
1797,1.68889396913333e-05,1.726830173457269e-07
1798,1.7353841160781614e-05,1.702020579078375e-07
1799,1.831023954374749e-05,1.8422205475384805e-07
1800,1.8368309741033174e-05,1.9676423538125425e-07
1801,1.8134850246756935e-05,1.9050603279018625e-07
1802,1.700810883318939e-05,2.0484511813784983e-07
1803,1.7357411187341703e-05,1.972824585599093e-07
1804,1.7728708501506064e-05,2.0166603625122142e-07
1805,1.7439228551146308e-05,2.1037832961415655e-07
1806,1.730316242693724e-05,1.920123143658462e-07
1807,1.8069312318402808e-05,1.9035392995192524e-07
1808,1.7885935709013472e-05,1.876198894024128e-07
1809,1.730834290875854e-05,1.6750782196238235e-07
1810,1.6704752592236867e-05,1.6847321810636068e-07
1811,1.5582681693818552e-05,1.4468811977102242e-07
1812,1.6234548768677216e-05,1.3032027469859842e-07
1813,1.5022814945301174e-05,1.1952921547780144e-07
1814,1.4593262676498853e-05,1.1406525755676609e-07
1815,1.5051721415407623e-05,1.093417531754832e-07
1816,1.6698397303116508e-05,1.2628847250490643e-07
1817,1.6901683141311097e-05,1.2300334922039318e-07
1818,1.779356534825638e-05,1.3047025707432374e-07
1819,1.8666884248627218e-05,1.3741042538738058e-07
1820,2.0326482366986704e-05,1.6687245667818778e-07
1821,2.123290063796698e-05,1.74001930832089e-07
1822,2.1972985840485698e-05,1.74122837799067e-07
1823,2.1447826189354862e-05,1.6807097275821953e-07
1824,2.2268739225442653e-05,1.69177545623305e-07
1825,2.2437653439867843e-05,1.6657291114695128e-07
1826,2.209729843473594e-05,1.6556317510613943e-07
1827,2.1458283819291474e-05,1.4273035020551106e-07
1828,2.11072794107687e-05,1.3513271162375012e-07
1829,2.2159873749062952e-05,1.3579436089880152e-07
1830,2.168231445206662e-05,1.2933148139739258e-07
1831,2.079040625955843e-05,1.237792537673548e-07
1832,2.080667893876255e-05,1.2765650073528638e-07
1833,2.0303797490279457e-05,1.1949775772076725e-07
1834,1.9961023748952096e-05,1.173450152285633e-07
1835,1.989335214602761e-05,1.119105925389314e-07
1836,1.8087084234658895e-05,1.0931596351935826e-07
1837,1.84926284418907e-05,1.1034191008515596e-07
1838,1.8773860834439154e-05,1.1087103501949969e-07
1839,1.9649442557628e-05,1.134991519182092e-07
1840,1.9251805497333407e-05,1.1320026110135067e-07
1841,1.9422173344147658e-05,1.1478574281552158e-07
1842,1.9692849361620445e-05,1.322976095658695e-07
1843,2.0026689006564474e-05,1.3611558204372288e-07
1844,2.017446890282112e-05,1.4866327749781964e-07
1845,2.0297749610368294e-05,1.4976533740147196e-07
1846,1.9588737943974722e-05,1.4853754594566582e-07
1847,2.0232539879673694e-05,1.5737039100421108e-07
1848,2.0575089365593158e-05,1.624155621422168e-07
1849,2.0742707160284874e-05,1.5458265677027937e-07
1850,2.107757141597436e-05,1.5690740846301715e-07
1851,2.1667112118198668e-05,1.4956190089573544e-07
1852,2.2342999467842412e-05,1.4929772922706824e-07
