ngram,law,lw,la,lwa
1584,0.000269594378551119,0.0,3.4629090220862834e-05,0.0
1585,0.000458284408003757,0.0,3.470542722945018e-05,0.0
1586,0.0003073044754273724,0.0,3.923520729845872e-05,0.0
1587,0.0002987247727495352,6.92159119353164e-07,4.378201940978345e-05,0.0
1588,0.0002790257931337692,6.92159119353164e-07,2.7033296646550298e-05,0.0
1589,0.00028359948295734024,6.92159119353164e-07,2.6386673068502985e-05,0.0
1590,0.00028734207964069877,6.92159119353164e-07,2.9159069656868398e-05,0.0
1591,0.0003298239233637495,6.92159119353164e-07,3.795467442354753e-05,0.0
1592,0.00015065357729326934,6.92159119353164e-07,0.000129068006702125,0.0
1593,0.0001667074596168407,6.92159119353164e-07,0.00012416089923915154,0.0
1594,0.00018609320977702737,1.67631583281036e-07,0.0001248259950443753,0.0
1595,0.0002015139678925542,1.67631583281036e-07,0.00012892330765420672,0.0
1596,0.00017583644408400038,1.67631583281036e-07,0.00014199573654747968,0.0
1597,0.00016139948898593763,1.67631583281036e-07,0.00013817366457910145,0.0
1598,0.00015124007352694337,1.67631583281036e-07,0.00013136858602332983,0.0
1599,0.00018432786289070333,2.855427315548046e-07,3.881571345638284e-05,0.0
1600,0.00019247759857015417,2.855427315548046e-07,4.257808047571286e-05,0.0
1601,0.000188286422469121,1.1791114827376856e-07,5.375953566856749e-05,0.0
1602,0.00017539426439075863,1.1791114827376856e-07,6.913534915448898e-05,0.0
1603,0.00018605775403557345,1.1791114827376856e-07,5.5844095965897266e-05,0.0
1604,0.000209239730403559,1.1791114827376856e-07,7.459341499530378e-05,0.0
1605,0.00021593558631138876,1.1791114827376856e-07,8.294708238411528e-05,0.0
1606,0.0002054301429390242,0.0,8.742466369377715e-05,0.0
1607,0.0001985339736815409,0.0,9.255031857589659e-05,0.0
1608,0.0002295853243724975,0.0,8.11568227488481e-05,0.0
1609,0.00025032424101872105,0.0,8.200560478144325e-05,0.0
1610,0.00024827504031626243,0.0,8.341592261526134e-05,0.0
1611,0.00026328896222236963,0.0,6.954412336719023e-05,0.0
1612,0.00026747303283108134,2.6900072823212084e-07,6.135193559332817e-05,0.0
1613,0.0002586054678041754,2.6900072823212084e-07,5.73430339240336e-05,0.0
1614,0.00024627340358815024,2.6900072823212084e-07,5.216583096106271e-05,0.0
1615,0.00025256789688553127,2.6900072823212084e-07,5.150870856596157e-05,0.0
1616,0.0002642595167604408,2.6900072823212084e-07,3.113443537066425e-05,0.0
1617,0.0002605263393239251,2.6900072823212084e-07,3.239962383564229e-05,0.0
1618,0.0002891695185098797,2.6900072823212084e-07,4.229101900169293e-05,0.0
1619,0.0002715206459730065,1.1253449981398132e-07,4.306491012227655e-05,0.0
1620,0.0002596825828991963,1.1253449981398132e-07,4.41519475446382e-05,0.0
1621,0.0002673487667509887,1.1253449981398132e-07,4.530123961948058e-05,0.0
1622,0.00023244401485758966,1.1253449981398132e-07,4.095291160410852e-05,0.0
1623,0.0002153226305381395,1.1253449981398132e-07,6.0966103969154316e-05,0.0
1624,0.0002069867748234953,1.1253449981398132e-07,6.201811597098381e-05,0.0
1625,0.00014036511545002992,1.1253449981398132e-07,4.4673321683928536e-05,0.0
1626,0.00018429305055178702,0.0,5.345813776459961e-05,0.0
1627,0.0001830232878481703,0.0,5.4287808455098586e-05,0.0
1628,0.00019004387805970118,0.0,5.991889968624621e-05,0.0
1629,0.00018841381617156521,8.252934386681382e-08,6.685683924193395e-05,0.0
1630,0.00018431771396925406,8.252934386681382e-08,6.090501860204053e-05,0.0
1631,0.00023192440754168535,8.252934386681382e-08,7.134277581956537e-05,0.0
1632,0.00023964121542771215,8.252934386681382e-08,7.298002284577316e-05,0.0
1633,0.00021609837442935844,8.252934386681382e-08,6.37369802071979e-05,0.0
1634,0.0002307442170734118,2.059475069212827e-07,6.254496111068875e-05,0.0
1635,0.0002316895843250677,2.059475069212827e-07,5.7076399181304236e-05,0.0
1636,0.00023186429877698953,1.2341816305446889e-07,5.323526914123379e-05,0.0
1637,0.0002349408917195563,1.2341816305446889e-07,3.842827313097327e-05,0.0
1638,0.00020072949908873334,1.2341816305446889e-07,2.7328009829424055e-05,0.0
1639,0.00019597115377629443,2.0128839293777544e-07,2.6443446196416126e-05,0.0
1640,0.00015432802527876838,2.0128839293777544e-07,3.0658299562804e-05,0.0
1641,0.00019080003299417773,7.787022988330656e-08,3.050320187217689e-05,0.0
1642,0.0002173344588040241,7.787022988330656e-08,2.823561797932988e-05,0.0
1643,0.00021258321482621665,7.787022988330656e-08,2.7495861234326314e-05,0.0
1644,0.00025843779855806915,7.787022988330656e-08,2.693499819932705e-05,0.0
1645,0.0002727728382784075,1.269870608666679e-07,2.772263048557631e-05,0.0
1646,0.00028343533007760664,1.4985524135876664e-07,3.36699415908827e-05,0.0
1647,0.0002975048971295889,1.4985524135876664e-07,3.0316875511614073e-05,0.0
1648,0.0002578637920253511,2.415537129049231e-07,3.113202702869395e-05,0.0
1649,0.0002273883645622326,2.415537129049231e-07,3.432389972398856e-05,0.0
1650,0.00022463462872630252,2.854738495118779e-07,3.5066541905897406e-05,0.0
1651,0.00019017079154894288,3.2847393072188424e-07,3.503136446982223e-05,0.0
1652,0.00017146238159122213,2.7935709973852294e-07,4.161097292256143e-05,0.0
1653,0.00016259827992014055,1.786186893631176e-07,3.8149110228654794e-05,0.0
1654,0.00016096265296385224,1.786186893631176e-07,4.133251292971961e-05,0.0
1655,0.00018112404878983007,8.692021781696115e-08,4.31721094043626e-05,0.0
1656,0.0001722805027384311,1.775348802571638e-07,3.856191246346238e-05,0.0
1657,0.00019746024918276817,1.3361474365020903e-07,3.953774648834951e-05,0.0
1658,0.00018282566868167902,9.061466244020266e-08,4.308053913908745e-05,0.0
1659,0.00018797201378869692,9.061466244020266e-08,3.662910291625719e-05,0.0
1660,0.00018225075889079432,9.061466244020266e-08,3.6941039330226234e-05,0.0
1661,0.00016917102974340587,9.061466244020266e-08,3.607175312936306e-05,0.0
1662,0.00013024793120816218,1.31214522168323e-07,3.527905105979049e-05,0.0
1663,0.00022118325900269805,1.719898169280246e-07,3.9277354517253116e-05,0.0
1664,0.00019613542255163857,1.719898169280246e-07,4.211684686846898e-05,0.0
