ngram,bird,bid,brd,bird
1590,1.5292344349810655e-05,3.5845709330065544e-05,1.4377876920791875e-06,1.5292344349810655e-05
1591,2.2488747682863114e-05,3.841153271163681e-05,1.4377876920791875e-06,2.2488747682863114e-05
1592,2.2550382709596306e-05,4.5036044736791935e-05,1.4377876920791875e-06,2.2550382709596306e-05
1593,2.6024682873477495e-05,4.675115347449069e-05,0.0,2.6024682873477495e-05
1594,2.4878280133374835e-05,5.196393483077243e-05,0.0,2.4878280133374835e-05
1595,2.60119626805785e-05,5.964086475224966e-05,0.0,2.60119626805785e-05
1596,2.4239465087053498e-05,5.548145963985007e-05,0.0,2.4239465087053498e-05
1597,2.1721169365004505e-05,5.953621985099744e-05,0.0,2.1721169365004505e-05
1598,1.4701701697309286e-05,6.1025483384063204e-05,0.0,1.4701701697309286e-05
1599,1.4922691889296402e-05,5.4045731563486955e-05,0.0,1.4922691889296402e-05
1600,1.0969158828239805e-05,5.1212442225992815e-05,0.0,1.0969158828239805e-05
1601,1.0546385153377611e-05,4.369375736652208e-05,0.0,1.0546385153377611e-05
1602,1.0726810452459696e-05,3.5826223730899596e-05,0.0,1.0726810452459696e-05
1603,1.3594128664148489e-05,2.755882854086979e-05,0.0,1.3594128664148489e-05
1604,1.2194508826723904e-05,2.1638536964019295e-05,0.0,1.2194508826723904e-05
1605,1.3029505160894977e-05,2.0956940326349078e-05,0.0,1.3029505160894977e-05
1606,1.4417375236267357e-05,2.0277912621427925e-05,0.0,1.4417375236267357e-05
1607,1.3458820441363578e-05,2.753368906789027e-05,0.0,1.3458820441363578e-05
1608,1.3124771352782513e-05,2.5992866864856167e-05,0.0,1.3124771352782513e-05
1609,1.566933328181871e-05,2.5976502846398425e-05,0.0,1.566933328181871e-05
1610,1.4636755622632336e-05,2.6915180114883697e-05,0.0,1.4636755622632336e-05
1611,1.4127195137397003e-05,2.7228669166236485e-05,0.0,1.4127195137397003e-05
1612,1.4729267507261414e-05,2.3763069488528083e-05,0.0,1.4729267507261414e-05
1613,1.3844189360107911e-05,2.2316731506829717e-05,0.0,1.3844189360107911e-05
1614,1.714028677010252e-05,1.4173040848878113e-05,0.0,1.714028677010252e-05
1615,1.4544477932888964e-05,1.5079369144846819e-05,0.0,1.4544477932888964e-05
1616,1.0737151407218854e-05,1.6109872376546264e-05,0.0,1.0737151407218854e-05
1617,9.91385796364089e-06,1.5745581809564362e-05,0.0,9.91385796364089e-06
1618,1.1075907877966529e-05,1.3173469467022056e-05,0.0,1.1075907877966529e-05
1619,1.3288076518490146e-05,1.9906278664296095e-05,0.0,1.3288076518490146e-05
