ngram,wind,wnd,wind,wid
1758,5.3344523101778964e-05,2.5343843595188835e-08,5.3344523101778964e-05,2.6135631563712583e-07
1759,5.3697412762890705e-05,2.7983048005759363e-08,5.3697412762890705e-05,2.575781589290013e-07
1760,5.14845633006189e-05,3.064441500555404e-08,5.14845633006189e-05,2.744265046317196e-07
1761,5.338751881416621e-05,2.505184504286717e-08,5.338751881416621e-05,2.32461511627337e-07
1762,5.128781465048503e-05,2.7734427072394803e-08,5.128781465048503e-05,2.3197304597845557e-07
1763,5.072728994751482e-05,2.4502160554464225e-08,5.072728994751482e-05,1.8829567949296688e-07
1764,5.196649466857447e-05,3.293419962143876e-08,5.196649466857447e-05,1.8454458228234216e-07
1765,5.4772986394319947e-05,3.277402324134268e-08,5.4772986394319947e-05,2.1616519266639704e-07
1766,5.6347937580929806e-05,3.2540794693756784e-08,5.6347937580929806e-05,2.1546550702363936e-07
1767,5.799331276128734e-05,3.576843227952915e-08,5.799331276128734e-05,2.3947464861911225e-07
1768,5.997436008848516e-05,4.1039502463036115e-08,5.997436008848516e-05,2.3595224263317505e-07
1769,5.8097363632571485e-05,4.444943968451298e-08,5.8097363632571485e-05,2.5677554609566347e-07
1770,6.382727224263363e-05,4.449368670326034e-08,6.382727224263363e-05,2.6857271555919784e-07
1771,6.231277438928373e-05,3.8694291453517897e-08,6.231277438928373e-05,2.5519356532705775e-07
1772,6.484058394562453e-05,3.838296486995725e-08,6.484058394562453e-05,2.4494017785465463e-07
1773,6.540812942798116e-05,2.817980870872816e-08,6.540812942798116e-05,2.3509223621788677e-07
1774,6.653344826190732e-05,2.2290804123161123e-08,6.653344826190732e-05,2.3794087919018887e-07
1775,6.579158330818505e-05,1.4244166481246014e-08,6.579158330818505e-05,2.5114744874242335e-07
1776,7.283158785347561e-05,8.151647230241516e-09,7.283158785347561e-05,2.386697661092642e-07
1777,7.212199696888482e-05,8.18677595556697e-09,7.212199696888482e-05,2.477752047980175e-07
1778,7.023761957368282e-05,1.1116419530919432e-08,7.023761957368282e-05,2.467760599042127e-07
1779,6.664401631236874e-05,8.480337701907307e-09,6.664401631236874e-05,2.48296199093342e-07
1780,6.580309855053201e-05,8.480337701907307e-09,6.580309855053201e-05,2.580734965411986e-07
1781,6.688271501583845e-05,1.4217888073224977e-08,6.688271501583845e-05,2.1266692686237677e-07
1782,7.029994750545094e-05,1.637602155467123e-08,7.029994750545094e-05,1.974258582647183e-07
1783,6.525114700447634e-05,2.0725219635713595e-08,6.525114700447634e-05,1.9639735374507188e-07
1784,6.223417273888896e-05,1.7807169326390848e-08,6.223417273888896e-05,1.900876692876149e-07
1785,6.381949060596526e-05,1.7099249000856228e-08,6.381949060596526e-05,1.9023941482438594e-07
1786,6.390859042377477e-05,1.8439347318885017e-08,6.390859042377477e-05,1.7057550597395936e-07
1787,6.728129093452091e-05,1.972848893773614e-08,6.728129093452091e-05,1.7097607951654936e-07
1788,6.657466968005923e-05,1.7910594785064404e-08,6.657466968005923e-05,2.0331778216586827e-07
1789,6.211376915286695e-05,2.156938538888653e-08,6.211376915286695e-05,2.30429973514999e-07
1790,6.128284439910203e-05,2.6058974533782475e-08,6.128284439910203e-05,2.507384177111557e-07
1791,6.109902980304989e-05,3.257477221296767e-08,6.109902980304989e-05,2.7666965861174374e-07
1792,6.004348376466494e-05,3.098519117474195e-08,6.004348376466494e-05,2.9272060178949945e-07
1793,6.179645996391108e-05,3.950531368701604e-08,6.179645996391108e-05,3.242463516731472e-07
1794,6.148738144215063e-05,4.320610003105685e-08,6.148738144215063e-05,3.5917400152486933e-07
1795,6.39029276499059e-05,4.293953231077856e-08,6.39029276499059e-05,3.4906229221373254e-07
1796,6.627759181096085e-05,3.8070769838226074e-08,6.627759181096085e-05,3.414015249550825e-07
1797,6.883138121338561e-05,3.603506642286496e-08,6.883138121338561e-05,3.8627259511615974e-07
1798,7.174653884638766e-05,3.356986555402841e-08,7.174653884638766e-05,3.634357840707837e-07
1799,7.346569691435434e-05,3.090584911800777e-08,7.346569691435434e-05,3.5448899942431513e-07
1800,7.356541391345672e-05,2.4338939562186723e-08,7.356541391345672e-05,3.8529966315893815e-07
1801,7.297244311692859e-05,2.1670714048635124e-08,7.297244311692859e-05,3.6911704423151346e-07
1802,7.310157369439756e-05,2.62660344902648e-08,7.310157369439756e-05,3.773462416185274e-07
1803,7.398333036690019e-05,3.233787218956e-08,7.398333036690019e-05,4.1463860611656855e-07
1804,7.45083780202549e-05,3.438203715384296e-08,7.45083780202549e-05,4.2525980705119893e-07
1805,7.32748163240363e-05,3.6563700511749175e-08,7.32748163240363e-05,4.4948719895338787e-07
1806,7.321740901846039e-05,4.190958335925643e-08,7.321740901846039e-05,4.7084669014501354e-07
1807,7.488783220261601e-05,4.342836033645524e-08,7.488783220261601e-05,4.2615339371617924e-07
1808,7.33549625562903e-05,4.72261006174384e-08,7.33549625562903e-05,4.1742215931403083e-07
1809,6.969024824294528e-05,4.295803763503565e-08,6.969024824294528e-05,4.150071341817758e-07
1810,6.831477626941965e-05,4.073266650956546e-08,6.831477626941965e-05,3.7806892042421427e-07
1811,6.631501465952689e-05,3.58699447287693e-08,6.631501465952689e-05,3.277374836281004e-07
1812,6.785024795265469e-05,3.5844099244286554e-08,6.785024795265469e-05,3.2297746851587104e-07
1813,6.439962609355072e-05,3.4358973063522824e-08,6.439962609355072e-05,3.151740364566129e-07
1814,6.298628691833333e-05,3.414396384674287e-08,6.298628691833333e-05,3.679946668658626e-07
1815,6.385446769335041e-05,3.227361666802153e-08,6.385446769335041e-05,3.5833026653822995e-07
1816,6.543091045127117e-05,3.323776149548914e-08,6.543091045127117e-05,3.691959794390901e-07
1817,6.424227259620758e-05,3.204143236449194e-08,6.424227259620758e-05,3.7297544557597053e-07
1818,6.520004639501817e-05,3.235374203468057e-08,6.520004639501817e-05,3.8013441537389424e-07
