ngram,angle,angl,anglee,anggle
1767,2.671623834820431e-05,2.6451375946732825e-08,0.0,0.0
1768,2.7796218091680203e-05,3.1722446130239794e-08,0.0,0.0
1769,3.278340539379444e-05,3.4768705755742046e-08,0.0,0.0
1770,3.599864196855508e-05,3.485719979323676e-08,0.0,0.0
1771,3.451764756131784e-05,3.2046520104245246e-08,0.0,0.0
1772,3.638749850714313e-05,2.3204294866526913e-08,0.0,0.0
1773,3.266113812320067e-05,1.9803242728195462e-08,0.0,0.0
1774,3.1770399800734594e-05,3.556598266689954e-08,0.0,0.0
1775,2.8753285732818767e-05,4.485147999032181e-08,0.0,0.0
1776,2.4427962541397263e-05,4.722995937202411e-08,0.0,0.0
1777,2.122273430619056e-05,4.7300216822675015e-08,0.0,0.0
1778,3.9770442786643147e-05,5.564364816531711e-08,0.0,0.0
1779,3.882913993688167e-05,5.820533388600779e-08,0.0,0.0
1780,3.613863178283542e-05,5.820533388600779e-08,0.0,0.0
1781,3.924350351423657e-05,4.141060852954784e-08,0.0,0.0
1782,4.041451744082484e-05,2.6236607045656716e-08,0.0,0.0
1783,4.1086711462412495e-05,2.2986467078973353e-08,0.0,0.0
1784,4.171237833361374e-05,2.547272716567152e-08,0.0,0.0
1785,2.2708119623920148e-05,1.8747418221006943e-08,0.0,0.0
1786,2.1823926804894916e-05,2.556642123404832e-08,0.0,0.0
1787,2.2774798188558115e-05,2.685556285289944e-08,0.0,0.0
1788,2.0648319540279253e-05,2.4943045977871795e-08,0.0,0.0
1789,1.9119911095393555e-05,9.258799745940191e-08,0.0,0.0
1790,1.8988539263123778e-05,1.1472006252891528e-07,0.0,0.0
1791,2.028063551863722e-05,1.074836680611416e-07,0.0,0.0
1792,2.1488076007309636e-05,1.1021859387077321e-07,0.0,0.0
1793,2.1913007003604434e-05,1.0379597143688507e-07,0.0,0.0
1794,2.195114315587229e-05,1.055007863927569e-07,0.0,0.0
1795,2.4135486455634236e-05,1.0824060263965001e-07,0.0,0.0
1796,2.5037540191468516e-05,4.0333840902105426e-08,0.0,0.0
1797,2.4686242665796143e-05,1.7727947744715167e-08,0.0,0.0
1798,2.489313607968922e-05,2.2428548161558737e-08,0.0,0.0
1799,2.5270043417029748e-05,2.0478578325163913e-08,0.0,0.0
1800,2.8611485114587204e-05,1.9578831508429824e-08,0.0,0.0
1801,2.9771407623359535e-05,1.9370917822162222e-08,0.0,0.0
1802,2.822982839591402e-05,1.8367608767277943e-08,4.341267980022069e-10,0.0
1803,2.9591361453640275e-05,2.068328492604061e-08,4.341267980022069e-10,0.0
1804,3.112904284664962e-05,2.203328960551484e-08,1.0442818990493867e-09,0.0
1805,3.0051616184729418e-05,1.988220800695574e-08,1.0442818990493867e-09,0.0
1806,3.381910781692048e-05,2.1098830999782033e-08,1.0442818990493867e-09,0.0
1807,3.305058635305613e-05,3.096612173030573e-08,1.0442818990493867e-09,0.0
1808,3.3687941530453304e-05,4.065432752347371e-08,1.0442818990493867e-09,0.0
1809,3.2522380154529985e-05,4.181261736846409e-08,6.101551010471797e-10,0.0
1810,3.230353701967813e-05,4.631812368570211e-08,6.101551010471797e-10,0.0
1811,3.4171809602412395e-05,4.772064318306743e-08,0.0,0.0
1812,3.922582358687318e-05,4.7904490279344307e-08,0.0,0.0
1813,3.527965912196253e-05,4.6030603582737836e-08,0.0,0.0
1814,3.31378430148886e-05,3.661249107064382e-08,0.0,0.0
1815,3.201401990996341e-05,2.645593077943431e-08,0.0,0.0
1816,3.6077140196409475e-05,2.6223551837948174e-08,0.0,0.0
1817,3.424351702311209e-05,1.9219521847040662e-08,0.0,0.0
1818,3.252524506284057e-05,1.691464504968313e-08,3.580697325946046e-10,0.0
1819,3.0246611588933903e-05,1.5199477105503386e-08,3.580697325946046e-10,0.0
1820,3.1257177137636715e-05,1.6991188773423412e-08,3.580697325946046e-10,0.0
1821,3.17568815911987e-05,1.6540559144573308e-08,3.580697325946046e-10,0.0
1822,3.326060063305444e-05,1.6094404285484287e-08,7.323764452036943e-10,0.0
1823,3.144505899399519e-05,1.624124149454279e-08,8.728392136043389e-10,0.0
1824,3.3721141465191196e-05,1.6137205984177527e-08,1.1410792469642876e-09,0.0
1825,3.382276112720969e-05,1.51283388356254e-08,9.096263187124976e-10,0.0
1826,3.323106102470774e-05,1.4683150060891746e-08,9.096263187124976e-10,0.0
1827,3.3652211641310714e-05,1.3341606549691472e-08,9.096263187124976e-10,0.0
1828,3.3615454542866375e-05,1.4815276370784756e-08,9.096263187124976e-10,0.0
1829,3.3149252236138894e-05,1.6598005255933198e-08,6.05593884563303e-10,0.0
1830,3.3466663288501354e-05,1.5408927213554435e-08,4.651311161626584e-10,0.0
1831,3.3193019200033245e-05,2.2438690905346448e-08,1.9689108280270976e-10,0.0
1832,3.322336462068571e-05,2.2746680475701656e-08,7.027427845989515e-11,0.0
1833,3.2712887592164665e-05,2.2407357239525742e-08,7.027427845989515e-11,0.0
1834,3.150437260046601e-05,3.491302840481174e-08,1.5333447210354378e-10,0.0
1835,3.2487811560193745e-05,3.5152743446279344e-08,1.5333447210354378e-10,0.0
1836,3.238997331728959e-05,3.2924643456055946e-08,8.306019364364862e-11,0.0
1837,3.098494432509012e-05,4.4624388628733413e-08,8.306019364364862e-11,0.0
1838,3.102909119791418e-05,3.735904817249645e-08,8.306019364364862e-11,0.0
1839,3.211475190515297e-05,3.8715420456826773e-08,1.5884163032505886e-10,0.0
1840,3.1478905709393856e-05,4.0721550829760286e-08,4.611854945554431e-10,0.0
1841,3.084478469515618e-05,2.7489426608034203e-08,3.781253009117945e-10,6.997761100738638e-11
1842,3.209844050746012e-05,2.6030160376373194e-08,4.389407408973105e-10,6.997761100738638e-11
1843,3.167300149341047e-05,2.624336113500801e-08,5.045152708303493e-10,6.997761100738638e-11
1844,3.230867410560937e-05,1.3991964412493222e-08,5.045152708303493e-10,6.997761100738638e-11
1845,3.134707159395995e-05,1.3552443675227518e-08,6.37992801445973e-10,6.997761100738638e-11
1846,2.9556016150828717e-05,1.2248602069117202e-08,5.622113647645627e-10,6.997761100738638e-11
1847,3.0137424151429775e-05,1.074098340428772e-08,6.23500306939917e-10,6.997761100738638e-11
1848,3.119676070387608e-05,1.0529270217623271e-08,7.875633240799524e-10,0.0
1849,2.9804657970089465e-05,1.004542779118164e-08,9.417060306152587e-10,0.0
1850,3.0297224969087567e-05,9.925101692890133e-09,9.710713185942917e-10,0.0
1851,3.019387596785756e-05,1.1688720404277677e-08,1.0639285087852913e-09,0.0
1852,3.0776205156663696e-05,1.267571736462969e-08,9.810125489728705e-10,0.0
1853,3.139049087102259e-05,1.387816909012177e-08,1.0292718899407305e-09,0.0
1854,3.1667714210925624e-05,1.8625246995489827e-08,8.171446693897419e-10,0.0
1855,3.1900615015599343e-05,1.86274723899617e-08,8.630886481699105e-10,0.0
1856,3.201219650301417e-05,1.998105160692733e-08,7.972269194007303e-10,0.0
1857,3.252923332703566e-05,2.125379960915552e-08,7.022871014886586e-10,0.0
1858,3.315899292439488e-05,2.1013813292622023e-08,6.670334245268655e-10,0.0
1859,3.4323055712905314e-05,2.0981284646178925e-08,6.774012422423275e-10,0.0
1860,3.517584471930084e-05,2.2731411546723327e-08,6.291419012744675e-10,0.0
1861,3.517419723461249e-05,1.8256176887681315e-08,4.776363154197177e-10,0.0
1862,3.5864999517798424e-05,2.0450667825855362e-08,3.7906586203284576e-10,0.0
1863,3.584451561826947e-05,1.879755652721217e-08,3.7318309157160657e-10,0.0
1864,3.6005870372589144e-05,1.81250519355152e-08,4.2027821302502236e-10,0.0
1865,3.628166554595477e-05,1.7390408985867064e-08,3.626746997958159e-10,0.0
