ngram,introduction,intoduction,introduction
1539,9.051634216510657e-06,0.0,9.051634216510657e-06
1540,9.051634216510657e-06,0.0,9.051634216510657e-06
1541,9.051634216510657e-06,0.0,9.051634216510657e-06
1542,1.5070219563183076e-05,0.0,1.5070219563183076e-05
1543,1.4175690791619542e-05,0.0,1.4175690791619542e-05
1544,1.5566740070685876e-05,0.0,1.5566740070685876e-05
1545,1.2926141705195602e-05,0.0,1.2926141705195602e-05
1546,8.504887221403936e-06,0.0,8.504887221403936e-06
1547,8.504887221403936e-06,0.0,8.504887221403936e-06
1548,8.802129156850111e-06,0.0,8.802129156850111e-06
1549,5.208859290308153e-06,0.0,5.208859290308153e-06
1550,1.655611952498605e-05,0.0,1.655611952498605e-05
1551,1.5165070245919715e-05,0.0,1.5165070245919715e-05
1552,2.6167006028897178e-05,0.0,2.6167006028897178e-05
1553,2.560759363794724e-05,0.0,2.560759363794724e-05
1554,2.560759363794724e-05,0.0,2.560759363794724e-05
1555,2.5310351702501066e-05,0.0,2.5310351702501066e-05
1556,2.3925912500999402e-05,0.0,2.3925912500999402e-05
1557,1.2578652266321505e-05,0.0,1.2578652266321505e-05
1558,2.2127333197983846e-05,0.0,2.2127333197983846e-05
1559,1.0589557210291137e-05,0.0,1.0589557210291137e-05
1560,1.2833008310865677e-05,0.0,1.2833008310865677e-05
1561,1.2833008310865677e-05,0.0,1.2833008310865677e-05
1562,1.2833008310865677e-05,0.0,1.2833008310865677e-05
1563,1.1792132032236882e-05,0.0,1.1792132032236882e-05
1564,1.815377878041805e-05,0.0,1.815377878041805e-05
1565,9.616898491263523e-06,0.0,9.616898491263523e-06
1566,2.1038921269272188e-05,0.0,2.1038921269272188e-05
1567,2.15250594400069e-05,0.0,2.15250594400069e-05
1568,2.15250594400069e-05,0.0,2.15250594400069e-05
1569,2.4495880747313743e-05,0.0,2.4495880747313743e-05
1570,2.4495880747313743e-05,0.0,2.4495880747313743e-05
1571,3.03934929044252e-05,0.0,3.03934929044252e-05
1572,2.9381692261917385e-05,0.0,2.9381692261917385e-05
1573,2.425171598068638e-05,0.0,2.425171598068638e-05
1574,2.206683825534128e-05,0.0,2.206683825534128e-05
1575,2.206683825534128e-05,0.0,2.206683825534128e-05
1576,2.2701460531087442e-05,0.0,2.2701460531087442e-05
1577,6.607654966371359e-05,0.0,6.607654966371359e-05
1578,5.405820387035679e-05,0.0,5.405820387035679e-05
1579,5.535171348063679e-05,0.0,5.535171348063679e-05
1580,5.0050127827359703e-05,0.0,5.0050127827359703e-05
1581,5.0098723655927256e-05,0.0,5.0098723655927256e-05
1582,5.345057465027432e-05,0.0,5.345057465027432e-05
1583,5.032575367230103e-05,0.0,5.032575367230103e-05
1584,6.9506645396748875e-06,0.0,6.9506645396748875e-06
1585,7.4646237797943674e-06,0.0,7.4646237797943674e-06
1586,1.1922264937831123e-05,0.0,1.1922264937831123e-05
1587,1.1970042773360287e-05,0.0,1.1970042773360287e-05
1588,1.9410805180086754e-05,0.0,1.9410805180086754e-05
1589,1.6058954185739693e-05,0.0,1.6058954185739693e-05
1590,1.661823418024661e-05,0.0,1.661823418024661e-05
1591,1.795090143527237e-05,0.0,1.795090143527237e-05
1592,1.838997267051517e-05,0.0,1.838997267051517e-05
1593,1.308537535546098e-05,0.0,1.308537535546098e-05
1594,1.2717663009555378e-05,0.0,1.2717663009555378e-05
1595,6.0359845649925e-06,0.0,6.0359845649925e-06
1596,1.1506858170053289e-05,0.0,1.1506858170053289e-05
1597,1.1798638622297273e-05,0.0,1.1798638622297273e-05
1598,1.3120006315148203e-05,0.0,1.3120006315148203e-05
1599,1.2279796172671403e-05,0.0,1.2279796172671403e-05
1600,1.3750352309216396e-05,0.0,1.3750352309216396e-05
1601,1.3665797561251175e-05,0.0,1.3665797561251175e-05
1602,1.4714622693645651e-05,0.0,1.4714622693645651e-05
1603,9.24374908858486e-06,0.0,9.24374908858486e-06
1604,9.61476926672081e-06,0.0,9.61476926672081e-06
1605,7.1856081019307434e-06,0.0,7.1856081019307434e-06
1606,9.234277886857204e-06,0.0,9.234277886857204e-06
1607,7.317168297049648e-06,0.0,7.317168297049648e-06
1608,7.5299070983549295e-06,0.0,7.5299070983549295e-06
1609,5.128690629265163e-06,0.0,5.128690629265163e-06
1610,5.63848368528852e-06,0.0,5.63848368528852e-06
1611,5.471964690124358e-06,0.0,5.471964690124358e-06
1612,5.516091635269861e-06,0.0,5.516091635269861e-06
1613,5.351035237513965e-06,0.0,5.351035237513965e-06
1614,5.680644985009817e-06,0.0,5.680644985009817e-06
1615,5.643821103668805e-06,0.0,5.643821103668805e-06
1616,6.364670168425489e-06,0.0,6.364670168425489e-06
1617,5.854877112402132e-06,0.0,5.854877112402132e-06
1618,5.795849996762367e-06,0.0,5.795849996762367e-06
1619,6.764728725881598e-06,0.0,6.764728725881598e-06
1620,4.829598635426789e-06,0.0,4.829598635426789e-06
1621,4.6784068834832785e-06,0.0,4.6784068834832785e-06
1622,5.464185424638604e-06,0.0,5.464185424638604e-06
1623,6.090407282499655e-06,0.0,6.090407282499655e-06
1624,9.823712048273592e-06,0.0,9.823712048273592e-06
1625,8.346554929110945e-06,0.0,8.346554929110945e-06
1626,7.797540921014193e-06,0.0,7.797540921014193e-06
1627,7.4953241794771334e-06,0.0,7.4953241794771334e-06
1628,7.382417810016964e-06,0.0,7.382417810016964e-06
1629,6.412458146444676e-06,0.0,6.412458146444676e-06
1630,7.825355177309185e-06,0.0,7.825355177309185e-06
1631,4.8288902121385036e-06,0.0,4.8288902121385036e-06
1632,5.836777688728034e-06,0.0,5.836777688728034e-06
1633,5.833376243507311e-06,0.0,5.833376243507311e-06
1634,7.93148502355377e-06,0.0,7.93148502355377e-06
1635,8.524531105129946e-06,0.0,8.524531105129946e-06
1636,9.162647464628598e-06,0.0,9.162647464628598e-06
1637,6.475839638499435e-06,0.0,6.475839638499435e-06
1638,6.2776801347094335e-06,0.0,6.2776801347094335e-06
1639,5.58127357765313e-06,0.0,5.58127357765313e-06
1640,5.204233746423727e-06,0.0,5.204233746423727e-06
1641,3.285291232454516e-06,0.0,3.285291232454516e-06
1642,5.2175294870591775e-06,0.0,5.2175294870591775e-06
1643,4.543642441084168e-06,0.0,4.543642441084168e-06
1644,6.9453418681015525e-06,0.0,6.9453418681015525e-06
1645,7.143414060400184e-06,0.0,7.143414060400184e-06
1646,7.436363570637436e-06,0.0,7.436363570637436e-06
1647,7.2319849501972e-06,0.0,7.2319849501972e-06
1648,8.290748033752087e-06,0.0,8.290748033752087e-06
1649,7.264507603719851e-06,0.0,7.264507603719851e-06
1650,7.381374944413567e-06,0.0,7.381374944413567e-06
1651,5.422516364563178e-06,0.0,5.422516364563178e-06
1652,5.019792240545939e-06,0.0,5.019792240545939e-06
1653,4.792240693924603e-06,0.0,4.792240693924603e-06
1654,5.268959739623824e-06,0.0,5.268959739623824e-06
1655,4.2634425686368815e-06,0.0,4.2634425686368815e-06
1656,3.4691116590173417e-06,0.0,3.4691116590173417e-06
1657,4.283944528132062e-06,0.0,4.283944528132062e-06
1658,4.1968686283715736e-06,0.0,4.1968686283715736e-06
1659,4.409682398025845e-06,0.0,4.409682398025845e-06
1660,4.433677531778812e-06,0.0,4.433677531778812e-06
1661,4.121654569644306e-06,0.0,4.121654569644306e-06
1662,4.417040551223701e-06,0.0,4.417040551223701e-06
1663,4.303765714601988e-06,0.0,4.303765714601988e-06
1664,4.048523172579215e-06,0.0,4.048523172579215e-06
1665,4.236880727148673e-06,0.0,4.236880727148673e-06
1666,3.969677387820931e-06,0.0,3.969677387820931e-06
1667,3.7959695841241877e-06,0.0,3.7959695841241877e-06
1668,3.6584875959176444e-06,0.0,3.6584875959176444e-06
1669,3.43023034637164e-06,0.0,3.43023034637164e-06
1670,3.1211230780822267e-06,0.0,3.1211230780822267e-06
1671,2.4502734195916024e-06,0.0,2.4502734195916024e-06
1672,2.3250028026008555e-06,0.0,2.3250028026008555e-06
1673,2.317535575002694e-06,0.0,2.317535575002694e-06
1674,3.912078674212742e-06,0.0,3.912078674212742e-06
1675,4.226959504194383e-06,0.0,4.226959504194383e-06
1676,4.185097655603645e-06,0.0,4.185097655603645e-06
1677,4.038772333712716e-06,0.0,4.038772333712716e-06
1678,3.7103339179468875e-06,0.0,3.7103339179468875e-06
1679,3.5413266752064894e-06,0.0,3.5413266752064894e-06
1680,3.848416830416161e-06,0.0,3.848416830416161e-06
1681,2.384721077370549e-06,0.0,2.384721077370549e-06
1682,2.160351966397554e-06,0.0,2.160351966397554e-06
1683,2.1233451954166024e-06,0.0,2.1233451954166024e-06
1684,2.7692537807005076e-06,0.0,2.7692537807005076e-06
1685,2.994677791840721e-06,0.0,2.994677791840721e-06
1686,2.865077460358277e-06,0.0,2.865077460358277e-06
1687,2.3682159167037753e-06,0.0,2.3682159167037753e-06
1688,2.3829349840655467e-06,0.0,2.3829349840655467e-06
1689,2.445304151673814e-06,0.0,2.445304151673814e-06
1690,2.556956514711471e-06,0.0,2.556956514711471e-06
1691,2.0031233540456535e-06,0.0,2.0031233540456535e-06
1692,1.653267231306797e-06,0.0,1.653267231306797e-06
1693,1.5539163769062725e-06,0.0,1.5539163769062725e-06
1694,1.690986152880214e-06,0.0,1.690986152880214e-06
1695,1.364773936529673e-06,0.0,1.364773936529673e-06
1696,1.348314486092152e-06,0.0,1.348314486092152e-06
1697,3.5948132059664724e-06,0.0,3.5948132059664724e-06
1698,3.446418377604589e-06,0.0,3.446418377604589e-06
1699,3.404024360926477e-06,0.0,3.404024360926477e-06
1700,3.4919407231167758e-06,0.0,3.4919407231167758e-06
1701,3.2918042864236796e-06,0.0,3.2918042864236796e-06
1702,3.36513547186509e-06,0.0,3.36513547186509e-06
1703,3.3182785809263545e-06,0.0,3.3182785809263545e-06
1704,9.473375988428805e-07,0.0,9.473375988428805e-07
1705,1.3790814737798688e-06,0.0,1.3790814737798688e-06
1706,1.924873970438057e-06,0.0,1.924873970438057e-06
1707,1.8279711915576108e-06,0.0,1.8279711915576108e-06
1708,1.8858046116422753e-06,0.0,1.8858046116422753e-06
1709,1.9222782319567548e-06,0.0,1.9222782319567548e-06
1710,2.045754497105788e-06,0.0,2.045754497105788e-06
1711,2.0511033328927752e-06,0.0,2.0511033328927752e-06
1712,1.56106902490397e-06,0.0,1.56106902490397e-06
1713,1.200994696708741e-06,0.0,1.200994696708741e-06
1714,1.6710809518372116e-06,0.0,1.6710809518372116e-06
1715,1.6958151962041614e-06,0.0,1.6958151962041614e-06
1716,1.7254440974414007e-06,0.0,1.7254440974414007e-06
1717,1.533971750892046e-06,0.0,1.533971750892046e-06
1718,1.5142844387940256e-06,0.0,1.5142844387940256e-06
1719,1.5656593664711442e-06,0.0,1.5656593664711442e-06
1720,1.75353607443997e-06,0.0,1.75353607443997e-06
1721,1.5049846849381408e-06,0.0,1.5049846849381408e-06
1722,1.967197330746525e-06,0.0,1.967197330746525e-06
1723,2.182629665575015e-06,0.0,2.182629665575015e-06
1724,2.3820567451236585e-06,0.0,2.3820567451236585e-06
1725,2.7473372321245345e-06,0.0,2.7473372321245345e-06
1726,2.953979836612624e-06,0.0,2.953979836612624e-06
1727,3.000254179953897e-06,0.0,3.000254179953897e-06
1728,3.4388015462484745e-06,0.0,3.4388015462484745e-06
1729,3.1614266780317327e-06,6.371976724039996e-09,3.1614266780317327e-06
1730,3.1446524124995837e-06,6.371976724039996e-09,3.1446524124995837e-06
1731,3.0850002791079793e-06,6.371976724039996e-09,3.0850002791079793e-06
1732,2.7639997759771565e-06,6.371976724039996e-09,2.7639997759771565e-06
1733,2.7773381329357756e-06,6.371976724039996e-09,2.7773381329357756e-06
1734,3.3426987816450752e-06,6.371976724039996e-09,3.3426987816450752e-06
1735,2.9661641747225076e-06,6.371976724039996e-09,2.9661641747225076e-06
1736,2.894405887283418e-06,0.0,2.894405887283418e-06
1737,2.8420318553149367e-06,0.0,2.8420318553149367e-06
1738,3.1864794891589554e-06,0.0,3.1864794891589554e-06
1739,3.3202109729505277e-06,0.0,3.3202109729505277e-06
1740,3.381235338955386e-06,0.0,3.381235338955386e-06
1741,2.8368594290181396e-06,0.0,2.8368594290181396e-06
1742,2.780735875213785e-06,0.0,2.780735875213785e-06
1743,2.8932225697125043e-06,0.0,2.8932225697125043e-06
1744,3.0029264053155202e-06,0.0,3.0029264053155202e-06
1745,3.0096564712169183e-06,0.0,3.0096564712169183e-06
1746,3.758145892009322e-06,0.0,3.758145892009322e-06
1747,4.224757568798461e-06,0.0,4.224757568798461e-06
1748,4.954575290737141e-06,0.0,4.954575290737141e-06
1749,5.890814691156265e-06,0.0,5.890814691156265e-06
1750,6.9883993611646086e-06,3.298731446729367e-09,6.9883993611646086e-06
1751,8.216814291829775e-06,3.298731446729367e-09,8.216814291829775e-06
1752,8.921945664042141e-06,3.298731446729367e-09,8.921945664042141e-06
1753,9.662761320734197e-06,3.298731446729367e-09,9.662761320734197e-06
1754,1.0450489493710588e-05,3.298731446729367e-09,1.0450489493710588e-05
1755,1.1500991344551689e-05,3.298731446729367e-09,1.1500991344551689e-05
1756,1.2319416133063246e-05,3.298731446729367e-09,1.2319416133063246e-05
1757,1.2423016024903128e-05,0.0,1.2423016024903128e-05
1758,1.2088920552092272e-05,0.0,1.2088920552092272e-05
1759,1.256985459414344e-05,0.0,1.256985459414344e-05
1760,1.2388316723185458e-05,0.0,1.2388316723185458e-05
1761,1.3234904534848673e-05,2.7755674584081393e-09,1.3234904534848673e-05
1762,1.2817799610534816e-05,2.7755674584081393e-09,1.2817799610534816e-05
1763,1.2939262368100962e-05,2.7755674584081393e-09,1.2939262368100962e-05
1764,1.3760338593523816e-05,2.7755674584081393e-09,1.3760338593523816e-05
1765,1.4950006126517629e-05,2.7755674584081393e-09,1.4950006126517629e-05
1766,1.5701558498091928e-05,2.7755674584081393e-09,1.5701558498091928e-05
1767,1.6896070259723013e-05,2.7755674584081393e-09,1.6896070259723013e-05
1768,1.648407409707683e-05,0.0,1.648407409707683e-05
1769,1.7628293010472718e-05,0.0,1.7628293010472718e-05
1770,1.840043530267264e-05,0.0,1.840043530267264e-05
1771,1.8880799221473614e-05,0.0,1.8880799221473614e-05
1772,1.8998860208999497e-05,0.0,1.8998860208999497e-05
1773,1.9492762865931062e-05,2.5951908558649197e-09,1.9492762865931062e-05
1774,1.9374238036107272e-05,2.5951908558649197e-09,1.9374238036107272e-05
1775,2.0221147808894913e-05,2.5951908558649197e-09,2.0221147808894913e-05
1776,1.9501685008955455e-05,2.5951908558649197e-09,1.9501685008955455e-05
1777,1.9555270617794512e-05,2.5951908558649197e-09,1.9555270617794512e-05
1778,1.9906806950790008e-05,5.3763345521572e-09,1.9906806950790008e-05
1779,2.0631433601790506e-05,5.3763345521572e-09,2.0631433601790506e-05
1780,2.1486244025124635e-05,2.7811436962922797e-09,2.1486244025124635e-05
1781,2.2116089374841457e-05,2.7811436962922797e-09,2.2116089374841457e-05
1782,2.33714789439026e-05,2.7811436962922797e-09,2.33714789439026e-05
1783,2.519384439178144e-05,2.7811436962922797e-09,2.519384439178144e-05
1784,2.594120529205871e-05,2.7811436962922797e-09,2.594120529205871e-05
1785,2.685666290095209e-05,0.0,2.685666290095209e-05
1786,2.6764586696767117e-05,0.0,2.6764586696767117e-05
1787,2.662455153767951e-05,0.0,2.662455153767951e-05
1788,2.6614220717289883e-05,0.0,2.6614220717289883e-05
1789,2.570189826656133e-05,0.0,2.570189826656133e-05
1790,2.524884907221089e-05,1.1048484032422883e-09,2.524884907221089e-05
1791,2.6356614658392834e-05,1.1048484032422883e-09,2.6356614658392834e-05
1792,2.6295892634412405e-05,1.1048484032422883e-09,2.6295892634412405e-05
1793,2.7163603070740855e-05,3.076892645432443e-09,2.7163603070740855e-05
1794,2.6832544660594847e-05,3.076892645432443e-09,2.6832544660594847e-05
1795,2.689710345293861e-05,3.076892645432443e-09,2.689710345293861e-05
1796,2.813965329551138e-05,4.0250542581483324e-09,2.813965329551138e-05
1797,2.8764405474898274e-05,2.920205854906044e-09,2.8764405474898274e-05
1798,2.8194930564495735e-05,2.920205854906044e-09,2.8194930564495735e-05
1799,2.820655208779499e-05,3.520975447709621e-09,2.820655208779499e-05
1800,2.7804326236946508e-05,1.548931205519466e-09,2.7804326236946508e-05
1801,2.8524372412773247e-05,1.548931205519466e-09,2.8524372412773247e-05
1802,2.972493686164463e-05,1.983058003521673e-09,2.972493686164463e-05
1803,2.960152570657166e-05,1.034896390805784e-09,2.960152570657166e-05
1804,2.9847298719687387e-05,1.3399739413293738e-09,2.9847298719687387e-05
1805,2.9569965200997622e-05,1.5996514430532167e-09,2.9569965200997622e-05
1806,2.9816238436199327e-05,1.5159820541756274e-09,2.9816238436199327e-05
1807,2.984626293514988e-05,1.7252032818199886e-09,2.984626293514988e-05
1808,2.968649589872387e-05,1.9605664710756596e-09,2.968649589872387e-05
1809,2.930117651495883e-05,1.5264396730734526e-09,2.930117651495883e-05
1810,2.938577979096278e-05,1.5264396730734526e-09,2.938577979096278e-05
1811,2.9646033518864507e-05,1.6901300042044503e-09,2.9646033518864507e-05
1812,2.9914150218246505e-05,1.6691607619888161e-09,2.9914150218246505e-05
1813,2.965058956760913e-05,2.121957609624303e-09,2.965058956760913e-05
1814,3.062377046652338e-05,1.9127363819799417e-09,3.062377046652338e-05
1815,3.149363718486191e-05,2.0636546122736784e-09,3.149363718486191e-05
1816,3.197526062389703e-05,2.444000049958309e-09,3.197526062389703e-05
1817,3.212026890001393e-05,2.9580427631157947e-09,3.212026890001393e-05
1818,3.183374116945613e-05,2.6683097477585095e-09,3.183374116945613e-05
1819,3.17598556388735e-05,2.880493827588688e-09,3.17598556388735e-05
1820,3.199394060564893e-05,2.057993711953746e-09,3.199394060564893e-05
1821,3.189324706909247e-05,2.057993711953746e-09,3.189324706909247e-05
1822,3.156525989262653e-05,2.420325717622518e-09,3.156525989262653e-05
1823,3.159575291127632e-05,2.0399802799378872e-09,3.159575291127632e-05
1824,3.167009968560056e-05,1.5259375667804014e-09,3.167009968560056e-05
1825,3.20238401140419e-05,1.3469027004830991e-09,3.20238401140419e-05
1826,3.2970031887608843e-05,1.014508604108804e-09,3.2970031887608843e-05
1827,3.373122568258883e-05,9.716822743247429e-10,3.373122568258883e-05
1828,3.427194574864448e-05,1.0820115835054521e-09,3.427194574864448e-05
1829,3.4440508898114786e-05,1.1766894998060146e-09,3.4440508898114786e-05
1830,3.496450101790417e-05,1.2719940418420045e-09,3.496450101790417e-05
1831,3.543174638512677e-05,1.2719940418420045e-09,3.543174638512677e-05
1832,3.589708753029949e-05,1.3571435007543796e-09,3.589708753029949e-05
1833,3.595800860369179e-05,1.4860800447356682e-09,3.595800860369179e-05
1834,3.59968762495555e-05,1.4645696322368451e-09,3.59968762495555e-05
1835,3.629507513583771e-05,1.354240323056136e-09,3.629507513583771e-05
1836,3.663143953807386e-05,1.261560744758583e-09,3.663143953807386e-05
1837,3.624955934355967e-05,1.4760218444312807e-09,3.624955934355967e-05
1838,3.632383387801903e-05,1.5523475917410069e-09,3.632383387801903e-05
1839,3.611570459075405e-05,2.2250125155030632e-09,3.611570459075405e-05
1840,3.596631151075209e-05,2.128749660672875e-09,3.596631151075209e-05
1841,3.5731461788860285e-05,2.325599911058772e-09,3.5731461788860285e-05
1842,3.5047012975805304e-05,2.7513079830272194e-09,3.5047012975805304e-05
1843,3.493375282102663e-05,2.7220160490694566e-09,3.493375282102663e-05
1844,3.5299473113679725e-05,2.5458161214052056e-09,3.5299473113679725e-05
1845,3.517981635273567e-05,2.869922950082022e-09,3.517981635273567e-05
1846,3.531766092887015e-05,2.2425495666793846e-09,3.531766092887015e-05
1847,3.538857085264421e-05,3.121670564900013e-09,3.538857085264421e-05
1848,3.5802576998581313e-05,2.841760120870467e-09,3.5802576998581313e-05
1849,3.608706122447204e-05,3.16840553000424e-09,3.608706122447204e-05
1850,3.615624882513657e-05,2.6369653365649573e-09,3.615624882513657e-05
1851,3.593138535507023e-05,2.5962568127115203e-09,3.593138535507023e-05
1852,3.58760376652104e-05,2.2463858075281807e-09,3.58760376652104e-05
1853,3.5719925238351736e-05,2.2607228390901314e-09,3.5719925238351736e-05
1854,3.5548984929586626e-05,1.6849466504582316e-09,3.5548984929586626e-05
1855,3.5558571523454573e-05,2.1574623912786907e-09,3.5558571523454573e-05
1856,3.568749109815274e-05,1.6536029291889876e-09,3.568749109815274e-05
1857,3.589543588792107e-05,1.5599917468911428e-09,3.589543588792107e-05
1858,3.600319593845468e-05,1.6399451003528448e-09,3.600319593845468e-05
1859,3.601852845999279e-05,1.9549598606616314e-09,3.601852845999279e-05
1860,3.607941315359702e-05,2.1761530831300645e-09,3.607941315359702e-05
1861,3.619117134283962e-05,1.8910963747334873e-09,3.619117134283962e-05
1862,3.579866876991998e-05,1.474298905179694e-09,3.579866876991998e-05
1863,3.5423298998336706e-05,1.2735427672756166e-09,3.5423298998336706e-05
1864,3.529249962801779e-05,1.5069401639232284e-09,3.529249962801779e-05
1865,3.513479376644162e-05,1.5110358242420574e-09,3.513479376644162e-05
1866,3.5147655060947205e-05,1.1896991130339834e-09,3.5147655060947205e-05
1867,3.519994840774286e-05,9.101527745755281e-10,3.519994840774286e-05
1868,3.5092857225598504e-05,8.751278392425479e-10,3.5092857225598504e-05
1869,3.520728257301796e-05,1.5715413851210717e-09,3.520728257301796e-05
1870,3.55334798639108e-05,1.6082764247344577e-09,3.55334798639108e-05
1871,3.556753966092531e-05,1.4814908902823935e-09,3.556753966092531e-05
1872,3.569042174993748e-05,1.3045846863108628e-09,3.569042174993748e-05
1873,3.5776743711072155e-05,1.5724150870255471e-09,3.5776743711072155e-05
1874,3.5697000774754474e-05,1.6052123122786303e-09,3.5697000774754474e-05
1875,3.5948388228592065e-05,1.751582434650345e-09,3.5948388228592065e-05
1876,3.6283199213877583e-05,1.1144465667760934e-09,3.6283199213877583e-05
1877,3.627928215012487e-05,1.0649253185628688e-09,3.627928215012487e-05
1878,3.6344176935797024e-05,8.983303624786134e-10,3.6344176935797024e-05
1879,3.642131144131001e-05,1.4569513849340053e-09,3.642131144131001e-05
1880,3.640896622008378e-05,1.999935106411499e-09,3.640896622008378e-05
1881,3.6583968072331376e-05,2.4488937068665807e-09,3.6583968072331376e-05
1882,3.660342138443541e-05,2.36254595252307e-09,3.660342138443541e-05
1883,3.661816455340678e-05,2.4402857671087676e-09,3.661816455340678e-05
1884,3.669930499329764e-05,2.5883995304263964e-09,3.669930499329764e-05
1885,3.6684295212450835e-05,2.6391840062573682e-09,3.6684295212450835e-05
1886,3.6885644866353164e-05,2.3840377529259017e-09,3.6885644866353164e-05
1887,3.7042148116077965e-05,1.9158595583006796e-09,3.7042148116077965e-05
1888,3.713625898983862e-05,1.4826930239131286e-09,3.713625898983862e-05
1889,3.742808881465213e-05,1.5761154048554715e-09,3.742808881465213e-05
1890,3.77725222538824e-05,1.788110683330148e-09,3.77725222538824e-05
1891,3.803689053581495e-05,2.1939614648834394e-09,3.803689053581495e-05
1892,3.84325862147047e-05,2.421493783266726e-09,3.84325862147047e-05
1893,3.868280795619025e-05,2.4408824326828592e-09,3.868280795619025e-05
1894,3.897266599649031e-05,2.1202822037784993e-09,3.897266599649031e-05
1895,3.9190254028653726e-05,2.620404258659091e-09,3.9190254028653726e-05
1896,3.8930544438439286e-05,2.4294265408921133e-09,3.8930544438439286e-05
1897,3.8544814222924674e-05,2.0618490089877437e-09,3.8544814222924674e-05
1898,3.831447091735234e-05,1.5450854643336446e-09,3.831447091735234e-05
1899,3.8209096341493674e-05,1.5036919090835203e-09,3.8209096341493674e-05
1900,3.804099469562061e-05,1.5422405971346871e-09,3.804099469562061e-05
1901,3.783964036431696e-05,1.6816055135672669e-09,3.783964036431696e-05
1902,3.773494297222767e-05,1.2186521553785618e-09,3.773494297222767e-05
1903,3.785406027288575e-05,1.360837204827143e-09,3.785406027288575e-05
1904,3.793286772893875e-05,1.6724659673046055e-09,3.793286772893875e-05
1905,3.8107411195856654e-05,1.7680287868669454e-09,3.8107411195856654e-05
1906,3.7741253306324196e-05,1.61894007723516e-09,3.7741253306324196e-05
1907,3.7680527124653705e-05,1.4186798878514294e-09,3.7680527124653705e-05
1908,3.780535865059521e-05,1.2130396528523387e-09,3.780535865059521e-05
1909,3.7598317638704816e-05,1.2337908789865943e-09,3.7598317638704816e-05
1910,3.737763680484412e-05,1.0773470369786408e-09,3.737763680484412e-05
1911,3.696754096641338e-05,7.844764917029425e-10,3.696754096641338e-05
1912,3.6227441471835065e-05,7.464879666788501e-10,3.6227441471835065e-05
1913,3.591978176180939e-05,8.368368696411364e-10,3.591978176180939e-05
1914,3.5201936823016566e-05,8.072333595216768e-10,3.5201936823016566e-05
1915,3.425848314821321e-05,9.188044135046068e-10,3.425848314821321e-05
1916,3.355418136509668e-05,1.0269075431271597e-09,3.355418136509668e-05
1917,3.321837097506172e-05,9.721956751545286e-10,3.321837097506172e-05
1918,3.2919581696790245e-05,1.0025653819039399e-09,3.2919581696790245e-05
1919,3.298439280894984e-05,1.0433073710514051e-09,3.298439280894984e-05
1920,3.313718376115763e-05,8.984435437683505e-10,3.313718376115763e-05
1921,3.3252152206841856e-05,9.636763946353965e-10,3.3252152206841856e-05
1922,3.366990858921781e-05,9.487105248221335e-10,3.366990858921781e-05
1923,3.42831746300882e-05,9.91421502433936e-10,3.42831746300882e-05
1924,3.4415907845998716e-05,1.2077053325652643e-09,3.4415907845998716e-05
