ngram,technology,technolgy,technlogy,technolgy
1636,2.8386176771683883e-06,0.0,0.0,0.0
1637,2.8386176771683883e-06,0.0,0.0,0.0
1638,2.8386176771683883e-06,0.0,0.0,0.0
1639,2.916487907051695e-06,0.0,0.0,0.0
1640,2.916487907051695e-06,0.0,0.0,0.0
1641,7.787022988330656e-08,0.0,0.0,0.0
1642,7.787022988330656e-08,0.0,0.0,0.0
1643,7.787022988330656e-08,0.0,0.0,0.0
1644,7.787022988330656e-08,0.0,0.0,0.0
1645,7.787022988330656e-08,0.0,0.0,0.0
1646,0.0,0.0,0.0,0.0
1647,0.0,0.0,0.0,0.0
1648,4.584923577307823e-08,0.0,0.0,0.0
1649,4.584923577307823e-08,0.0,0.0,0.0
1650,4.584923577307823e-08,0.0,0.0,0.0
1651,1.748494794030973e-07,0.0,0.0,0.0
1652,1.748494794030973e-07,0.0,0.0,0.0
1653,1.748494794030973e-07,0.0,0.0,0.0
1654,1.748494794030973e-07,0.0,0.0,0.0
1655,1.290002436300191e-07,0.0,0.0,0.0
1656,2.1961490607022176e-07,0.0,0.0,0.0
1657,3.5863706671079854e-07,0.0,0.0,0.0
1658,6.585618978403675e-07,0.0,0.0,0.0
1659,6.585618978403675e-07,0.0,0.0,0.0
1660,6.585618978403675e-07,0.0,0.0,0.0
1661,6.585618978403675e-07,0.0,0.0,0.0
1662,7.803614770247285e-07,0.0,0.0,0.0
1663,6.897468145845258e-07,0.0,0.0,0.0
1664,5.900276351310043e-07,0.0,0.0,0.0
1665,1.611025603714162e-07,0.0,0.0,0.0
1666,1.611025603714162e-07,0.0,0.0,0.0
1667,5.505303590780386e-07,0.0,0.0,0.0
1668,5.505303590780386e-07,0.0,0.0,0.0
1669,4.287307798936776e-07,0.0,0.0,0.0
1670,4.287307798936776e-07,0.0,0.0,0.0
1671,3.894277987066224e-07,0.0,0.0,0.0
1672,8.568392136762018e-07,0.0,0.0,0.0
1673,8.568392136762018e-07,0.0,0.0,0.0
1674,4.6741141496957947e-07,0.0,0.0,0.0
1675,4.6741141496957947e-07,0.0,0.0,0.0
1676,5.103579253175537e-07,0.0,0.0,0.0
1677,5.103579253175537e-07,0.0,0.0,0.0
1678,5.103579253175537e-07,0.0,0.0,0.0
1679,4.2946510347974254e-08,0.0,0.0,0.0
1680,4.2946510347974254e-08,0.0,0.0,0.0
1681,1.1007405272981227e-07,0.0,0.0,0.0
1682,1.1007405272981227e-07,0.0,0.0,0.0
1683,6.712754238183802e-08,0.0,0.0,0.0
1684,1.2557070151940154e-07,0.0,0.0,0.0
1685,1.2557070151940154e-07,0.0,0.0,0.0
1686,1.2557070151940154e-07,0.0,0.0,0.0
1687,1.2557070151940154e-07,0.0,0.0,0.0
1688,5.844315913756353e-08,0.0,0.0,0.0
1689,5.844315913756353e-08,0.0,0.0,0.0
1690,9.99837409056324e-08,0.0,0.0,0.0
1691,4.1540581768068867e-08,0.0,0.0,0.0
1692,4.1540581768068867e-08,0.0,0.0,0.0
1693,1.0424296955794229e-07,0.0,0.0,0.0
1694,1.0424296955794229e-07,0.0,0.0,0.0
1695,2.4380420070104135e-07,0.0,0.0,0.0
1696,2.4380420070104135e-07,0.0,0.0,0.0
1697,2.463460678622401e-07,0.0,0.0,0.0
1698,2.6708860900725995e-07,0.0,0.0,0.0
1699,2.6708860900725995e-07,0.0,0.0,0.0
1700,2.1738407391629672e-07,0.0,0.0,0.0
1701,2.1738407391629672e-07,0.0,0.0,0.0
1702,7.782284277319767e-08,0.0,0.0,0.0
1703,7.782284277319767e-08,0.0,0.0,0.0
1704,3.3740393843930046e-08,0.0,0.0,0.0
1705,4.0471267733924576e-08,0.0,0.0,0.0
