ngram,duty,dut,dutty,dut
1610,7.167296774111622e-05,0.0,0.0,0.0
1611,6.184684882880122e-05,1.0241227853059951e-07,0.0,1.0241227853059951e-07
1612,7.223690616748562e-05,3.7141300676272036e-07,0.0,3.7141300676272036e-07
1613,6.589658888905043e-05,3.7141300676272036e-07,0.0,3.7141300676272036e-07
1614,6.493653511695032e-05,3.7141300676272036e-07,0.0,3.7141300676272036e-07
1615,8.312975153655446e-05,7.523562593243176e-07,0.0,7.523562593243176e-07
1616,6.642993308300252e-05,7.523562593243176e-07,0.0,7.523562593243176e-07
1617,7.402307840363522e-05,7.523562593243176e-07,0.0,7.523562593243176e-07
1618,7.988468184651407e-05,6.499439807937181e-07,0.0,6.499439807937181e-07
1619,7.827543855195731e-05,3.809432525615973e-07,0.0,3.809432525615973e-07
1620,7.984139353668849e-05,5.824210802529706e-07,0.0,5.824210802529706e-07
1621,7.919144523579494e-05,5.824210802529706e-07,0.0,5.824210802529706e-07
1622,6.308166043059568e-05,2.0147782769137329e-07,0.0,2.0147782769137329e-07
1623,6.538282546638843e-05,2.0147782769137329e-07,0.0,2.0147782769137329e-07
1624,6.0849686633446254e-05,2.0147782769137329e-07,0.0,2.0147782769137329e-07
1625,5.569902064702806e-05,2.0147782769137329e-07,0.0,2.0147782769137329e-07
1626,5.916413101658691e-05,2.0147782769137329e-07,0.0,2.0147782769137329e-07
1627,6.414723533712927e-05,1.5977134028487073e-07,0.0,1.5977134028487073e-07
1628,6.887928118106044e-05,1.5977134028487073e-07,0.0,1.5977134028487073e-07
1629,8.006700227269903e-05,1.5977134028487073e-07,0.0,1.5977134028487073e-07
1630,7.362513081586388e-05,1.5977134028487073e-07,0.0,1.5977134028487073e-07
1631,7.610698178593469e-05,1.5977134028487073e-07,0.0,1.5977134028487073e-07
1632,8.993724155256391e-05,1.5977134028487073e-07,0.0,1.5977134028487073e-07
1633,9.027028707870548e-05,2.968641378434508e-07,0.0,2.968641378434508e-07
1634,0.00010287636905559339,1.3709279755858006e-07,0.0,1.3709279755858006e-07
1635,0.0001057841680968912,3.840519379342108e-07,0.0,3.840519379342108e-07
1636,0.00010736405498131976,5.577407559290545e-07,0.0,5.577407559290545e-07
1637,0.00011670334060909227,5.577407559290545e-07,0.0,5.577407559290545e-07
1638,0.0001258286221335376,7.597458631737806e-07,0.0,7.597458631737806e-07
1639,0.00011708561942214146,8.376160930570872e-07,0.0,8.376160930570872e-07
1640,0.00011190913106215053,7.005232954985072e-07,0.0,7.005232954985072e-07
1641,0.00010356153195191707,8.796895615757551e-07,0.0,8.796895615757551e-07
1642,0.00012429596556882774,8.486300901365342e-07,0.0,8.486300901365342e-07
1643,0.00011819652094605512,7.652637188065065e-07,0.0,7.652637188065065e-07
1644,0.0001208717013858924,7.652637188065065e-07,0.0,7.652637188065065e-07
1645,0.00012068854786256062,7.10609096391376e-07,0.0,7.10609096391376e-07
1646,0.00012355081500053139,8.3421568725888e-07,0.0,8.3421568725888e-07
1647,0.00012846932284966378,8.3421568725888e-07,0.0,8.3421568725888e-07
1648,0.0001319932156807876,7.008986569547102e-07,0.0,7.008986569547102e-07
1649,0.0001085951818302939,7.979100879700647e-07,0.0,7.979100879700647e-07
1650,0.00011725951065143039,8.832681877330677e-07,0.0,8.832681877330677e-07
1651,0.00011683789593267388,9.692683501530804e-07,0.0,9.692683501530804e-07
1652,0.00012145376448253436,1.1002748578903265e-06,0.0,1.1002748578903265e-06
1653,0.00013787544178610136,8.987980371395159e-07,0.0,8.987980371395159e-07
1654,0.00014999910594529605,9.402812232955122e-07,0.0,9.402812232955122e-07
1655,0.0001547824888673079,1.0106380768450305e-06,0.0,1.0106380768450305e-06
1656,0.00016712705006024668,7.430343081133677e-07,0.0,7.430343081133677e-07
1657,0.00016503651152431433,6.785714918221077e-07,0.0,6.785714918221077e-07
1658,0.0001648639445193112,6.461869637470434e-07,0.0,6.461869637470434e-07
1659,0.00015794403485155532,4.964987121119131e-07,0.0,4.964987121119131e-07
1660,0.00014094379834464883,5.766735122441397e-07,0.0,5.766735122441397e-07
1661,0.00012969751696800813,5.351903260881434e-07,0.0,5.351903260881434e-07
1662,0.00011283804997219704,4.1898423676554687e-07,0.0,4.1898423676554687e-07
1663,9.620792064067376e-05,4.3937188414539765e-07,0.0,4.3937188414539765e-07
1664,9.488207277692189e-05,4.4606309350975995e-07,0.0,4.4606309350975995e-07
1665,0.00010458285968135377,5.247223059866104e-07,0.0,5.247223059866104e-07
1666,0.00010917183525244971,5.558471554780096e-07,0.0,5.558471554780096e-07
1667,0.0001127838586398866,6.703862546990942e-07,0.0,6.703862546990942e-07
1668,0.00011659527133036005,7.578926865140342e-07,0.0,7.578926865140342e-07
1669,0.00012562041540929516,8.477549613417068e-07,0.0,8.477549613417068e-07
1670,0.00013216467466138835,9.753058277185898e-07,0.0,9.753058277185898e-07
1671,0.00014683075174356678,9.747274702931463e-07,0.0,9.747274702931463e-07
1672,0.00014093961674786572,8.91653826329275e-07,0.0,8.91653826329275e-07
1673,0.00013821065658703446,8.555745856548518e-07,0.0,8.555745856548518e-07
1674,0.00014365420793183148,7.259217349136244e-07,0.0,7.259217349136244e-07
1675,0.00014380913385788778,7.756893012356159e-07,0.0,7.756893012356159e-07
1676,0.00015164644615392068,8.146665574518661e-07,0.0,8.146665574518661e-07
1677,0.0001534276265634357,6.550069104248126e-07,0.0,6.550069104248126e-07
1678,0.0001419667397775421,6.173506140580034e-07,0.0,6.173506140580034e-07
1679,0.00013130634969067096,7.757953345130122e-07,0.0,7.757953345130122e-07
1680,0.00013233280541109188,7.78794482617481e-07,0.0,7.78794482617481e-07
1681,0.00012681357163403715,7.584851289266226e-07,0.0,7.584851289266226e-07
