ngram,lan,loon
1672,2.4646555922507626e-06,8.210820376624335e-07
1673,2.457188364652601e-06,7.793346229943512e-07
1674,2.2953178131501772e-06,9.745959711641002e-07
1675,2.2756219907803043e-06,9.900450379518588e-07
1676,2.34563797870838e-06,1.1878159154678412e-06
1677,2.4445419869932394e-06,1.3120347749203835e-06
1678,2.2725443581553658e-06,1.3533258181398975e-06
1679,2.371086046488407e-06,1.3841810430546632e-06
1680,2.31613762480265e-06,1.4939708746299272e-06
1681,2.3101159415870953e-06,1.4452639902629016e-06
1682,2.1642405921998683e-06,1.6648850191813835e-06
1683,1.999582244544789e-06,1.5837437834826623e-06
1684,1.8054635445098808e-06,1.9958797484572903e-06
1685,1.808623405200446e-06,2.0380149732903064e-06
1686,1.5776211382347225e-06,2.009816609773095e-06
1687,1.648798632101846e-06,2.0728846103728368e-06
1688,1.725125587524547e-06,1.987060987370829e-06
1689,1.51133196725693e-06,2.0117673134986295e-06
1690,1.7242419322168904e-06,2.08447296959743e-06
1691,1.7201748180793532e-06,1.8622766577079477e-06
1692,1.6872550239505863e-06,1.842638279673078e-06
1693,1.6745137583841694e-06,1.9701897469661034e-06
1694,1.629968624326596e-06,1.8676300084864903e-06
1695,1.521065160302117e-06,2.2861713822359368e-06
1696,1.5205894945730897e-06,2.332537162276692e-06
1697,1.1824672177291568e-06,2.3918708101129075e-06
1698,1.1564026424691422e-06,2.394522247024205e-06
1699,1.163101395767236e-06,2.905990982071671e-06
1700,1.2976536741656934e-06,3.075686484927636e-06
1701,1.2761336327977396e-06,3.455118303463678e-06
1702,1.3438417616790893e-06,3.266993092308569e-06
1703,1.1880140350837922e-06,3.3149928445449665e-06
1704,1.1696843387198896e-06,3.335562853733011e-06
1705,1.2351160510856322e-06,3.674078925541835e-06
1706,1.1941283081081825e-06,3.3085618724726373e-06
1707,1.0192384211547636e-06,3.0178535520722756e-06
1708,9.12653364691453e-07,2.7753071013389023e-06
1709,8.170909373867679e-07,2.6922080970897307e-06
1710,9.389025227132411e-07,2.577645156114678e-06
1711,9.339457359861367e-07,2.481113905819906e-06
1712,9.623114627694512e-07,2.193889762176176e-06
1713,1.0127983906776144e-06,2.273742325087369e-06
1714,1.2053079347294573e-06,2.3439755523213535e-06
1715,1.214103414375651e-06,2.391743253480984e-06
1716,1.3215673269379685e-06,2.70910529057541e-06
1717,1.2659703786864287e-06,2.7335245087150336e-06
1718,1.2812722941037334e-06,2.802837116178125e-06
1719,1.1673896145631652e-06,2.7196048059912366e-06
1720,1.0796419880015101e-06,2.9045211249467684e-06
1721,9.685063803642282e-07,3.0521295164882237e-06
1722,1.044877746738036e-06,2.9160664455827956e-06
1723,9.585420538574648e-07,2.753415368975506e-06
1724,1.0822987438327151e-06,2.8774552122610786e-06
1725,1.2521599696161241e-06,3.0461157101464257e-06
1726,1.2675723723987176e-06,3.131072682143505e-06
1727,1.2592611580787758e-06,3.1326038164739397e-06
1728,1.1511360956514442e-06,3.0548138251365993e-06
1729,1.0967742980483308e-06,3.1457892808768e-06
1730,1.102194521048919e-06,3.307038176509585e-06
1731,9.48766955031845e-07,3.367932614699904e-06
1732,7.474322509486748e-07,3.623332369378269e-06
1733,7.052540687319768e-07,3.471247802216177e-06
1734,8.538571957420313e-07,3.3608967312050353e-06
1735,9.184127520711627e-07,3.3730599235631028e-06
1736,8.876161246007541e-07,3.433801046932266e-06
1737,9.517515146788875e-07,3.244187187842077e-06
1738,1.0633140651147447e-06,3.048240841962979e-06
1739,1.1247235128004313e-06,2.6905765610406107e-06
1740,1.1686350295089402e-06,2.724976509073583e-06
1741,1.0531408634051331e-06,2.6613140562403714e-06
1742,1.0960809504467761e-06,2.5918984647432808e-06
1743,1.1536872079886962e-06,2.6434460908473867e-06
1744,1.1409015964350796e-06,2.5489074622393152e-06
1745,1.1616420871567762e-06,2.5997325922487235e-06
1746,1.169347472438988e-06,2.6047564136076417e-06
1747,1.1144313702970976e-06,2.653798966483529e-06
1748,1.0883103738836195e-06,2.62296677127389e-06
1749,1.1504415786995587e-06,2.458400834776902e-06
1750,1.2739623278840945e-06,2.2219964941021838e-06
1751,1.2676134864315308e-06,2.2352198974268892e-06
1752,1.4165161701384932e-06,2.1713837311056394e-06
1753,1.6194370411020437e-06,2.1752368703736077e-06
1754,1.6869054044426385e-06,2.3992599348535544e-06
1755,1.805485762166167e-06,2.5006826912691134e-06
1756,1.999473283831321e-06,2.9009518129896605e-06
1757,1.897475336980798e-06,3.1136159707654898e-06
1758,2.0373767353833372e-06,3.303545359553287e-06
1759,2.312686693325564e-06,3.654428805280726e-06
1760,2.153423971711683e-06,3.6870778785669245e-06
1761,2.2040054058639465e-06,3.5480917566539053e-06
1762,2.1916079374152886e-06,3.47818140003905e-06
1763,1.9825781204677436e-06,3.2933758770273665e-06
1764,2.029408684783058e-06,3.3141858628888647e-06
1765,2.090183816757677e-06,3.339784825584502e-06
1766,1.7088764902187644e-06,3.079749246483386e-06
1767,1.7168047991487713e-06,3.2293542062689085e-06
1768,1.7098965372497332e-06,3.256679357426557e-06
1769,1.715711700204078e-06,3.299182805806465e-06
1770,1.8170495487928356e-06,3.495517473441266e-06
1771,2.0281458351486696e-06,3.412738643809072e-06
1772,1.844245519220879e-06,3.4178069004805626e-06
1773,1.941934978536405e-06,3.3238763340445336e-06
1774,1.916187118565306e-06,3.2989134979288792e-06
1775,1.9747967274140265e-06,3.212485093432146e-06
1776,2.0148518322977386e-06,3.366789672197358e-06
1777,2.015762821169379e-06,3.2280182884798184e-06
1778,1.7743150075537933e-06,3.3220493540803934e-06
1779,1.8664513358349462e-06,3.2872718358183713e-06
1780,1.8198778012187437e-06,3.3222914420808332e-06
1781,1.955653423075481e-06,3.4055417797519894e-06
1782,1.961852376552997e-06,3.514761049570682e-06
1783,2.178263392644502e-06,3.2653908224996745e-06
1784,2.192679435860815e-06,3.1435011870988613e-06
1785,2.2919920021584924e-06,2.9662164381859057e-06
1786,2.237786264101617e-06,2.8245304487687202e-06
1787,2.2047794833010163e-06,2.8518544630579915e-06
1788,2.0973344589947374e-06,2.690098166827478e-06
1789,2.063228976112441e-06,2.4475310575715933e-06
1790,1.815835795631366e-06,2.548952644636821e-06
1791,1.7458162509293679e-06,2.6891741526924307e-06
1792,1.7191731558341417e-06,2.8636721773572e-06
1793,1.7530825938852753e-06,3.0142007614943267e-06
1794,1.7815094841872842e-06,3.021662580847208e-06
1795,1.959928811499724e-06,2.8533566234857844e-06
1796,2.01993131148421e-06,2.898973954350887e-06
1797,2.0335360854265413e-06,2.811042869715103e-06
1798,2.055795952011457e-06,2.6112740637732453e-06
1799,2.0493151201402985e-06,2.357191338627932e-06
1800,2.017717861235724e-06,2.0177876162311544e-06
1801,2.059702540334131e-06,1.7861024811541678e-06
1802,1.9726047152549394e-06,1.6325669532437002e-06
1803,2.0035273727054507e-06,1.4422409516815345e-06
1804,2.122439257488752e-06,1.246213059857837e-06
1805,2.1239416128082667e-06,1.0463673528907487e-06
1806,2.1248445136734517e-06,8.24978221609334e-07
1807,2.171226729582746e-06,7.410973483144647e-07
1808,2.2348879805836726e-06,6.167070166286846e-07
1809,2.271140212022666e-06,5.147664511793794e-07
1810,2.3729555453298545e-06,4.128154793241785e-07
1811,2.421271801722469e-06,3.042554591762122e-07
1812,2.513213043390091e-06,2.903986821170942e-07
1813,2.559476115493453e-06,2.846612484777974e-07
1814,2.640419877155052e-06,2.7476865430539223e-07
1815,2.731621894521855e-06,2.6812175438603194e-07
1816,2.8142215536977995e-06,2.771846193841806e-07
1817,2.743728113533247e-06,2.894439847165943e-07
1818,2.6433186966252312e-06,3.2576026650791133e-07
1819,2.5485243375961934e-06,3.4147065061266145e-07
1820,2.577850247169928e-06,3.3271942356805084e-07
1821,2.5419992328222307e-06,3.3056927658695455e-07
1822,2.3619186971960256e-06,3.5099120460862263e-07
1823,2.1998394329005222e-06,3.3823766492397614e-07
1824,2.195508191757004e-06,3.440853260729325e-07
1825,2.14255125488957e-06,3.105129085919803e-07
1826,2.1252808112746735e-06,2.8649511055586376e-07
1827,2.020006832026411e-06,2.920258737049153e-07
1828,1.983227515925786e-06,2.9824290744987335e-07
1829,1.9455340277220657e-06,2.8035179460467976e-07
1830,1.9518322135679355e-06,2.8567096421738825e-07
1831,1.9186206502906444e-06,2.836569937666614e-07
1832,1.9109333412156308e-06,2.736186936707392e-07
