ngram,term,tem,trm,terrm
1570,4.6312022472453206e-05,5.315657030483375e-06,0.0,0.0
1571,7.8186094794676e-05,5.315657030483375e-06,0.0,0.0
1572,0.0001521892500672298,5.315657030483375e-06,0.0,0.0
1573,0.00011411583942130424,3.4119865241726596e-06,0.0,0.0
1574,0.00011397815364944108,0.0,0.0,0.0
1575,0.0001705557381228573,0.0,0.0,0.0
1576,0.0001722250907018211,0.0,0.0,0.0
1577,0.0001722250907018211,0.0,0.0,0.0
1578,0.00014396471497743084,0.0,0.0,0.0
1579,7.423883273207008e-05,0.0,0.0,0.0
1580,7.522929357557067e-05,9.904608435005815e-07,0.0,0.0
1581,7.468458202960651e-05,9.904608435005815e-07,0.0,0.0
1582,1.8106997556190307e-05,9.904608435005815e-07,0.0,0.0
1583,4.6673326518690116e-05,9.904608435005815e-07,0.0,0.0
1584,4.6673326518690116e-05,9.904608435005815e-07,0.0,0.0
1585,4.494681076851391e-05,1.5566151237830387e-06,0.0,0.0
1586,3.531762773231354e-05,1.5566151237830387e-06,0.0,0.0
1587,3.4327166888812955e-05,9.122338399590393e-07,0.0,0.0
1588,3.700519014923235e-05,9.122338399590393e-07,0.0,0.0
1589,5.605128977289756e-05,9.122338399590393e-07,0.0,0.0
1590,2.641000277695379e-05,9.122338399590393e-07,0.0,0.0
1591,2.774267003197955e-05,1.1787673039569718e-06,0.0,0.0
1592,3.122823506730908e-05,3.5974719919197795e-06,0.0,0.0
1593,3.184900158105718e-05,3.5974719919197795e-06,0.0,0.0
1594,3.235189634714126e-05,3.2513924322431975e-06,0.0,0.0
1595,3.0124670177298996e-05,3.2513924322431975e-06,0.0,0.0
1596,2.2651572570404304e-05,3.2513924322431975e-06,0.0,0.0
1597,2.4445754336608972e-05,3.493516617579319e-06,1.2106209266806089e-07,0.0
1598,3.939116816452172e-05,3.315450986260008e-06,1.2106209266806089e-07,0.0
1599,4.7696115611220845e-05,4.485031662885116e-07,1.2106209266806089e-07,0.0
1600,4.9125613518949e-05,5.550092510020477e-07,1.2106209266806089e-07,0.0
1601,5.135725281693989e-05,2.8988955916377435e-06,1.2106209266806089e-07,0.0
1602,5.497808368610484e-05,3.6297006350391063e-06,1.2106209266806089e-07,0.0
1603,4.381719177867386e-05,5.278141072397245e-06,1.2106209266806089e-07,0.0
1604,4.4029692357331184e-05,5.376557526558047e-06,0.0,0.0
1605,2.831379574022971e-05,5.288089693879426e-06,0.0,0.0
1606,1.807954705717358e-05,5.330338759839444e-06,0.0,0.0
1607,1.6803382940062355e-05,5.970329750328217e-06,0.0,0.0
1608,1.4468204069219479e-05,4.225476183299699e-06,0.0,0.0
1609,1.26606639046908e-05,3.494671139898336e-06,0.0,0.0
1610,1.632689824353812e-05,1.9736789665460364e-06,0.0,0.0
1611,2.5861243459855488e-05,2.4524365552939083e-06,0.0,0.0
1612,2.5299058994018458e-05,2.99043801175815e-06,0.0,0.0
