ngram,sense,senese,snse,senes
1761,8.045040574091087e-05,0.0,6.254362361346466e-09,5.8740110172753445e-08
1762,8.493591095819803e-05,2.6825820295276313e-09,6.254362361346466e-09,4.903317371177504e-08
1763,9.125507598842628e-05,2.6825820295276313e-09,6.254362361346466e-09,5.088786687273179e-08
1764,9.663330482518566e-05,2.6825820295276313e-09,6.254362361346466e-09,7.29044172333358e-08
1765,0.00010166920193504276,2.6825820295276313e-09,9.201770773919243e-09,8.174664247105414e-08
1766,0.0001043524794762821,2.6825820295276313e-09,5.7229758709809175e-09,8.50699518447787e-08
1767,0.00010534947068663314,2.6825820295276313e-09,5.7229758709809175e-09,9.741423160189047e-08
1768,0.00010408042726339772,2.6825820295276313e-09,2.9474084125727782e-09,9.454530923237923e-08
1769,0.00010588458202879078,0.0,2.9474084125727782e-09,8.113239908474107e-08
1770,0.00010584063316595607,0.0,2.9474084125727782e-09,7.274911746029439e-08
1771,0.00011214515896946458,0.0,5.580052229804875e-09,4.464232057037927e-08
1772,0.00011209305999467947,0.0,2.6326438172320975e-09,5.688874996475793e-08
1773,0.00011262793642734843,0.0,2.6326438172320975e-09,6.046740911155471e-08
1774,0.00011138231950878565,0.0,2.6326438172320975e-09,5.883517470043184e-08
1775,0.00011112735436264691,0.0,2.6326438172320975e-09,6.770771879668505e-08
1776,0.00010840191160761086,0.0,2.6326438172320975e-09,8.126956580716588e-08
1777,0.00010673306886539129,0.0,2.6326438172320975e-09,7.84569016738195e-08
1778,9.656453559208395e-05,0.0,0.0,9.514376435910371e-08
1779,9.62015297513322e-05,0.0,0.0,1.2016545168437786e-07
1780,9.308195253002591e-05,0.0,2.349140310846971e-09,1.1448296888261211e-07
1781,9.101387279640351e-05,0.0,2.349140310846971e-09,1.0418573990835154e-07
1782,9.266900763447796e-05,0.0,2.349140310846971e-09,1.0773791763491708e-07
1783,8.934989143329273e-05,0.0,2.349140310846971e-09,1.0069986799976505e-07
1784,9.19499185069331e-05,0.0,2.349140310846971e-09,1.1150848879180688e-07
1785,9.833085018077068e-05,0.0,2.349140310846971e-09,1.0129411569843277e-07
1786,9.785543703141489e-05,0.0,2.349140310846971e-09,5.7863970377119197e-08
1787,9.885806918776195e-05,0.0,2.5782832377022456e-09,5.8322256230829746e-08
1788,0.00010006610994293754,0.0,3.8848353105842244e-09,6.30371224425679e-08
1789,9.957158181350678e-05,0.0,3.8848353105842244e-09,5.6073881791819854e-08
1790,0.00010182298761459865,0.0,6.094532117068801e-09,5.507432630581986e-08
1791,0.00010006869082904554,0.0,6.094532117068801e-09,4.385943595609985e-08
1792,9.601373832473265e-05,1.0882620519022827e-09,6.094532117068801e-09,5.044609047948663e-08
1793,9.573945758997329e-05,1.0882620519022827e-09,9.052598416912718e-09,5.170998232780935e-08
1794,9.665320872695052e-05,3.084233186306002e-09,7.472300746412332e-09,5.753125747227321e-08
1795,9.771327937154897e-05,3.084233186306002e-09,7.079020798122266e-09,5.25584733830036e-08
1796,9.830139918319349e-05,3.084233186306002e-09,7.079020798122266e-09,5.200007256535498e-08
1797,0.00010069115108178397,3.084233186306002e-09,4.869323991637689e-09,5.6680456645657225e-08
1798,0.00010881048884974527,3.084233186306002e-09,5.447980669767308e-09,5.81945059760106e-08
1799,0.00011556776943117646,1.9959711344037193e-09,6.048750262570885e-09,4.994151860314235e-08
1800,0.00012136135982083423,1.9959711344037193e-09,3.502347872037197e-09,4.887907754737496e-08
1801,0.0001295446657292944,0.0,3.89738374906301e-09,5.27601309942481e-08
1802,0.00014019920490682125,0.0,3.4182384224733043e-09,5.5094781054825555e-08
1803,0.00014714924327563494,0.0,3.769238381729727e-09,6.611248564476163e-08
1804,0.00015117625714213188,0.0,4.379393482776907e-09,6.658557413378016e-08
1805,0.00015585937528937523,0.0,4.060414306371131e-09,7.080782614212109e-08
1806,0.00015933545156648115,0.0,3.4596447135675542e-09,7.220687159303907e-08
1807,0.0001653600941478674,0.0,3.0479808042573252e-09,7.978628602245408e-08
1808,0.00016896618555100367,2.35363189255671e-10,1.6549593600296524e-09,7.64601867534306e-08
1809,0.0001693071930536202,2.35363189255671e-10,1.2208325620274456e-09,7.696844558527768e-08
1810,0.0001727333999172385,2.35363189255671e-10,1.0877702548230316e-09,6.490357762345411e-08
1811,0.00017488869031824703,2.35363189255671e-10,4.776151537758519e-10,7.250781105686396e-08
1812,0.00017336862219963223,2.35363189255671e-10,2.17937652052009e-10,6.587713536581369e-08
1813,0.0001726620996903096,8.173013694395032e-10,4.1191705602017237e-10,6.432743861393777e-08
1814,0.00017282322265340814,8.173013694395032e-10,4.1191705602017237e-10,6.159782779085227e-08
1815,0.00017253571214886115,5.819381801838322e-10,9.913391536236255e-10,5.470040877396189e-08
1816,0.00017135696335961775,5.819381801838322e-10,9.913391536236255e-10,5.170270357877728e-08
1817,0.0001709687037094097,7.532857512363275e-10,9.447490726241119e-10,5.253251954075365e-08
1818,0.0001719159772619605,7.532857512363275e-10,1.123783938921414e-09,4.481362887125735e-08
1819,0.0001731025445873716,7.532857512363275e-10,1.123783938921414e-09,5.260256230599225e-08
1820,0.00017805246586379196,1.7134757105249524e-10,1.224598406806316e-09,5.6053888134296615e-08
1821,0.00017735788008264665,1.7134757105249524e-10,1.224598406806316e-09,5.5392920980271554e-08
1822,0.00017535308974661997,5.456542836615849e-10,6.45176309202863e-10,5.699598913468305e-08
1823,0.00017612591078172306,6.861170520622295e-10,9.261018460041523e-10,6.304863729513142e-08
1824,0.00017495085194241256,5.147694810097342e-10,7.54754274951657e-10,7.070213367147257e-08
1825,0.00017279853844749077,6.413862853525489e-10,5.757194086543547e-10,6.950872030334462e-08
1826,0.0001721106839665611,6.413862853525489e-10,5.757194086543547e-10,6.950814780891181e-08
1827,0.00016834795574790666,6.413862853525489e-10,3.8549614294376104e-10,6.882582935320767e-08
1828,0.00016758033182538514,6.413862853525489e-10,3.8549614294376104e-10,6.572720069795781e-08
1829,0.0001620711201602327,2.6707957274345924e-10,5.260446998635513e-10,6.30024697808754e-08
1830,0.00016141207015607506,1.266168043428146e-10,2.451191630622621e-10,5.63902123725971e-08
1831,0.00016049295871718123,1.266168043428146e-10,3.3801382328034283e-10,4.796429158610798e-08
1832,0.00016070471818758442,0.0,5.083127411050928e-10,4.634324873060385e-08
1833,0.0001590417169999065,0.0,8.382257903656004e-10,4.210230082029349e-08
1834,0.00015715168930390582,8.306019364364862e-11,8.167153778667771e-10,4.1987085300628935e-08
1835,0.00015490312528397356,1.6684359449570252e-10,1.2356323741968822e-09,4.840437181233678e-08
1836,0.00015902089320921471,1.6684359449570252e-10,1.095083817277092e-09,5.067036872625457e-08
1837,0.00015738772136890993,1.6684359449570252e-10,1.2499666381314357e-09,5.519811097087768e-08
1838,0.00015646160422225615,1.6684359449570252e-10,1.3860492277726978e-09,5.8066982587336365e-08
1839,0.00015395142794919333,1.6684359449570252e-10,1.3673131833107683e-09,5.494104929734281e-08
1840,0.0001525884332035535,1.6684359449570252e-10,1.0374001340502608e-09,5.381208824571461e-08
1841,0.00015258283487388065,8.37834008520539e-11,9.543399404066122e-10,5.301070871155389e-08
1842,0.00015323589780434434,0.0,5.962383840620231e-10,5.21087751995505e-08
1843,0.00015209897537715733,0.0,5.962383840620231e-10,5.387013501945148e-08
1844,0.00015133400613974248,1.3356571404443685e-10,5.081384202298977e-10,5.1255451438692035e-08
1845,0.0001514827786845022,1.3356571404443685e-10,4.126387009861787e-10,4.559516827587881e-08
1846,0.00015178469142743519,1.3356571404443685e-10,3.9151682689515203e-10,4.814675566170276e-08
1847,0.00015182791685219854,1.3356571404443685e-10,5.127277570769553e-10,4.8101870169554265e-08
1848,0.00015106833598110825,1.3356571404443685e-10,6.221031071237551e-10,4.826584871458246e-08
