ngram,tone,toe,tne,tnne
1542,7.69037771013765e-06,0.0,3.009292673336209e-06,0.0
1543,7.69037771013765e-06,0.0,3.009292673336209e-06,0.0
1544,9.359636741075e-06,1.391049246584381e-07,3.009292673336209e-06,0.0
1545,6.451118273227101e-06,4.0702502701606136e-07,3.009292673336209e-06,0.0
1546,9.527886358487844e-06,4.0702502701606136e-07,3.288998868811177e-06,0.0
1547,1.2805027560196841e-05,4.0702502701606136e-07,3.288998868811177e-06,0.0
1548,1.3399511431089195e-05,7.042669624622379e-07,4.180724642667753e-06,0.0
1549,1.737417634168586e-05,7.042669624622379e-07,1.171431969331544e-06,0.0
1550,1.737417634168586e-05,7.042669624622379e-07,1.7117776808715592e-06,0.0
1551,1.5704917310748507e-05,5.651620378037998e-07,1.7117776808715592e-06,0.0
1552,1.615810820762168e-05,1.018352934676971e-06,2.4328886801023534e-06,0.0
1553,1.3081340122360935e-05,1.018352934676971e-06,2.1531824846273854e-06,0.0
1554,9.804198920651938e-06,1.018352934676971e-06,2.1531824846273854e-06,0.0
1555,9.209715049759584e-06,7.211109992307943e-07,1.2614567107708093e-06,0.0
1556,4.8846161137459736e-06,7.211109992307943e-07,1.2614567107708093e-06,0.0
1557,9.833469571926148e-05,3.810114367297501e-05,7.211109992307943e-07,0.0
1558,9.833469571926148e-05,3.810114367297501e-05,7.211109992307943e-07,0.0
1559,0.00013371727306678492,3.90992559654738e-05,0.0,0.0
1560,0.0001355120340511868,4.224008781810491e-05,0.0,0.0
1561,0.0001355120340511868,4.224008781810491e-05,0.0,0.0
1562,0.000137289748636249,4.224008781810491e-05,0.0,0.0
1563,0.0001331262435217338,4.224008781810491e-05,0.0,0.0
1564,3.96761639162183e-05,4.860055144360688e-06,0.0,0.0
1565,3.96761639162183e-05,4.860055144360688e-06,0.0,0.0
1566,3.572475569464067e-06,3.140831852631111e-06,1.9036705063107156e-06,0.0
1567,4.507303856371436e-06,1.3647946356546266e-06,1.9036705063107156e-06,0.0
1568,4.507303856371436e-06,1.3647946356546266e-06,1.9036705063107156e-06,0.0
1569,4.957705251789386e-06,2.1074999624813373e-06,1.9036705063107156e-06,0.0
1570,9.490742221324971e-06,2.1074999624813373e-06,1.9036705063107156e-06,0.0
1571,1.1942593898441243e-05,2.1074999624813373e-06,4.355522183426988e-06,0.0
1572,1.2982515467488806e-05,2.6274607470051185e-06,4.355522183426988e-06,0.0
1573,1.4240924818815464e-05,2.6274607470051185e-06,2.4518516771162728e-06,0.0
1574,1.260075863943452e-05,1.2626661113504918e-06,2.996563223080427e-06,0.0
1575,1.260075863943452e-05,1.2626661113504918e-06,4.253842852059668e-06,0.0
1576,1.1274003554717638e-05,1.8720020956867041e-06,4.253842852059668e-06,0.0
1577,6.7409665851820525e-06,1.8720020956867041e-06,4.253842852059668e-06,0.0
1578,5.252767355809088e-06,3.3174807348197125e-06,1.2402168554867135e-05,2.40913111935827e-07
1579,4.212845786761525e-06,2.7975199502959313e-06,1.6282697385707123e-05,2.40913111935827e-07
1580,2.9544364354348673e-06,2.7975199502959313e-06,1.6282697385707123e-05,2.40913111935827e-07
1581,1.8650133435065591e-06,3.390827324827634e-06,1.811121533786978e-05,2.40913111935827e-07
1582,6.05482702147648e-06,4.2287900734144e-06,1.8948842547875495e-05,2.40913111935827e-07
1583,1.2843427806988725e-05,3.8379939724109136e-06,1.9189153850415357e-05,2.40913111935827e-07
1584,1.2843427806988725e-05,3.8379939724109136e-06,1.9189153850415357e-05,2.40913111935827e-07
1585,1.2634647711300723e-05,2.958669613560362e-06,9.721285031056531e-06,0.0
1586,1.3353541557340318e-05,2.958669613560362e-06,5.840756200216544e-06,0.0
1587,1.4391780236370063e-05,3.304749173236944e-06,5.840756200216544e-06,0.0
1588,1.4391780236370063e-05,2.711441798705242e-06,3.467526702089734e-06,0.0
1589,1.0388693031667831e-05,1.8734790501184762e-06,1.7460728096401518e-06,0.0
1590,3.478658267600362e-06,9.122338399590393e-07,1.7657371569969525e-06,0.0
1591,5.0778590515879585e-06,9.122338399590393e-07,2.0322706209948852e-06,0.0
1592,5.516930286830757e-06,9.430513533256349e-07,8.999620604299707e-07,0.0
1593,5.021313167422445e-06,1.612881533219479e-06,1.5697922403238148e-06,0.0
1594,4.150706071673735e-06,1.266801973542897e-06,2.5755817724919846e-06,0.0
1595,5.953894433982246e-06,2.168396154697153e-06,3.0263788630691124e-06,0.0
1596,7.240095539730516e-06,3.0100690569919867e-06,3.494598818828568e-06,0.0
1597,7.670789484239191e-06,3.49431742766423e-06,4.082057850090288e-06,0.0
1598,6.292758290068637e-06,3.538551344003541e-06,4.080927884128219e-06,0.0
1599,5.806281592413143e-06,3.2953129951757935e-06,4.434661328949525e-06,0.0
1600,7.926138664515747e-06,3.3710253757947484e-06,4.403867657336897e-06,0.0
1601,8.344478666393635e-06,4.347644684392955e-06,6.132612189243705e-06,0.0
1602,8.94250677317489e-06,3.550451221404468e-06,6.725822247842318e-06,0.0
1603,7.881689303498465e-06,2.7087783191096345e-06,6.2962594548870195e-06,0.0
1604,7.352149720775612e-06,2.394800268185853e-06,5.959635716733049e-06,0.0
1605,7.468290797468009e-06,3.13762461701117e-06,6.256416684534218e-06,0.0
1606,8.682746543594736e-06,4.705813807959203e-06,7.1839649535831995e-06,0.0
1607,6.33961274486085e-06,4.706768322648713e-06,6.544928445301983e-06,0.0
1608,5.953318756317978e-06,4.12950420728261e-06,3.810394381227005e-06,0.0
1609,3.7407762647490017e-06,4.025103489116841e-06,2.7663872320512643e-06,0.0
1610,3.4561144194153063e-06,5.681930896831286e-06,2.9915184183794608e-06,0.0
