ngram,year,yer,yea,yaer
1577,0.00013738500560326168,5.447115459641541e-07,5.3253560508892406e-05,2.4518516771162728e-06
1578,0.0001675810778708962,5.447115459641541e-07,5.561997113545658e-05,0.0
1579,0.00016930505574107104,5.447115459641541e-07,5.404730407982632e-05,0.0
1580,0.00016724280093123007,5.447115459641541e-07,6.702857600820218e-05,0.0
1581,0.00016936289362742433,0.0,5.9694189336109306e-05,0.0
1582,0.00015217895400253058,0.0,6.849246295002689e-05,0.0
1583,0.00018948089694146932,0.0,5.5992404668359086e-05,0.0
1584,0.0001674167245775087,0.0,5.642998075927608e-05,0.0
1585,0.00010969006370942225,7.548723520553072e-07,7.180455473384686e-05,0.0
1586,0.00011401091608474547,7.548723520553072e-07,7.281200461355703e-05,0.0
1587,0.00011657680644410513,7.548723520553072e-07,5.37905034434516e-05,0.0
1588,0.00012135582587039348,1.4243781671601546e-06,6.027324655276191e-05,0.0
1589,0.00018662826154728203,1.984557586963222e-06,5.320531688214812e-05,0.0
1590,0.0001286805570868767,2.764484504171248e-06,5.313764579893489e-05,0.0
1591,0.00015816626026727526,3.2975514321671132e-06,4.824404329286024e-05,0.0
1592,0.00021697385818697512,2.542679080111806e-06,3.939367135379663e-05,0.0
1593,0.00020017193985820216,2.542679080111806e-06,4.60699315486376e-05,0.0
1594,0.00020938624584232457,2.710310663392842e-06,4.7156821373001936e-05,0.0
1595,0.00020904248594888486,2.9423990294422505e-06,5.469531944462298e-05,0.0
1596,0.00016714502323468748,2.5926378352128917e-06,5.6547315190463064e-05,0.0
1597,0.0001737839478924538,2.175897196009048e-06,7.17894433494491e-05,0.0
1598,0.00020461887418475402,1.6428302680131829e-06,6.916608266952348e-05,0.0
1599,0.000271926088836543,1.7607414162869515e-06,6.147886402426852e-05,0.0
1600,0.000307393931767105,2.1867657551410957e-06,6.452139509097574e-05,0.0
1601,0.00032760532485553995,2.214458033579701e-06,8.566732308931282e-05,0.0
1602,0.0003943891258261699,1.4172645705912146e-06,7.038305336339233e-05,0.0
1603,0.00036764855940418784,2.4431766730361104e-06,8.98579298466627e-05,0.0
1604,0.00036995914056855587,2.2502607147803895e-06,7.460496310938782e-05,0.0
1605,0.0003130120013728239,2.4751344978670076e-06,0.00010382569832602582,0.0
1606,0.00021937173655065374,2.6775437780608106e-06,0.00012195224163796021,0.0
1607,0.00018519378318160307,2.2515194392066666e-06,0.000127301407181741,0.0
1608,0.00018317761532671284,2.255873174103077e-06,0.00011807448260827056,0.0
1609,0.00011772326797654387,3.0948423273002845e-06,0.00013162628134263547,0.0
