ngram,daughter,daughtr,daughtr,daugter
1658,5.0068329333693585e-05,0.0,0.0,0.0
1659,5.301065227415945e-05,0.0,0.0,0.0
1660,6.401603916726475e-05,0.0,0.0,0.0
1661,6.358322571031749e-05,0.0,0.0,0.0
1662,6.966506615364259e-05,0.0,0.0,0.0
1663,7.00205891916994e-05,0.0,0.0,0.0
1664,7.468997656750227e-05,0.0,0.0,0.0
1665,7.34705580336075e-05,0.0,0.0,0.0
1666,6.804562430521141e-05,0.0,0.0,0.0
1667,5.170526154480675e-05,0.0,0.0,0.0
1668,5.214960687486122e-05,0.0,0.0,0.0
1669,4.163862182135095e-05,0.0,0.0,0.0
1670,2.926885671123663e-05,0.0,0.0,0.0
1671,2.1865822418476455e-05,0.0,0.0,0.0
1672,1.980525731986355e-05,0.0,0.0,2.4600601428963794e-08
1673,1.8217672082495744e-05,0.0,0.0,2.4600601428963794e-08
1674,2.0660589663228685e-05,0.0,0.0,2.4600601428963794e-08
1675,1.6488699787130046e-05,0.0,0.0,2.4600601428963794e-08
1676,1.4963579815230332e-05,0.0,0.0,2.4600601428963794e-08
1677,1.6363072583252297e-05,0.0,0.0,2.4600601428963794e-08
1678,1.4603549841142791e-05,0.0,0.0,2.4600601428963794e-08
1679,1.9464605819458874e-05,0.0,0.0,0.0
1680,1.941308502344847e-05,0.0,0.0,0.0
1681,1.8200545647622285e-05,0.0,0.0,0.0
1682,2.0202404552297333e-05,0.0,0.0,0.0
1683,1.946025388731089e-05,0.0,0.0,0.0
1684,1.7255700251033496e-05,0.0,0.0,0.0
1685,1.75341753155018e-05,0.0,0.0,0.0
1686,1.284234940612805e-05,0.0,0.0,0.0
1687,1.4581590806171465e-05,0.0,0.0,0.0
1688,1.368382520792823e-05,0.0,0.0,0.0
1689,1.0855528736491188e-05,0.0,0.0,0.0
1690,1.1078872051127422e-05,0.0,0.0,0.0
1691,1.1802029153581575e-05,0.0,0.0,0.0
1692,1.1280082227520844e-05,0.0,0.0,0.0
1693,1.2584230067399663e-05,0.0,0.0,0.0
1694,1.2653428841856242e-05,0.0,0.0,0.0
1695,1.2030665792346034e-05,0.0,0.0,0.0
1696,1.3508723571119066e-05,0.0,0.0,0.0
1697,1.7398389835372135e-05,7.347074821544603e-09,7.347074821544603e-09,0.0
1698,1.736086278469884e-05,7.347074821544603e-09,7.347074821544603e-09,0.0
1699,1.7959532215172658e-05,7.347074821544603e-09,7.347074821544603e-09,0.0
1700,1.6628827389857698e-05,7.347074821544603e-09,7.347074821544603e-09,0.0
1701,1.345695656190011e-05,7.347074821544603e-09,7.347074821544603e-09,0.0
1702,1.3527678675018251e-05,7.347074821544603e-09,7.347074821544603e-09,0.0
1703,1.2343932732099866e-05,7.347074821544603e-09,7.347074821544603e-09,0.0
1704,7.343280328443923e-06,0.0,0.0,0.0
1705,7.158169962297377e-06,0.0,0.0,0.0
1706,7.822849089019915e-06,0.0,0.0,0.0
1707,7.0654855660125444e-06,0.0,0.0,0.0
1708,7.421964807820457e-06,0.0,0.0,0.0
1709,6.920501261577426e-06,0.0,0.0,0.0
1710,7.4924112790800535e-06,0.0,0.0,0.0
1711,8.240560483890086e-06,0.0,0.0,0.0
1712,1.002877466557298e-05,0.0,0.0,0.0
1713,8.670637596099238e-06,0.0,0.0,0.0
1714,8.643449941051326e-06,0.0,0.0,0.0
1715,1.017694850296331e-05,0.0,0.0,0.0
1716,1.0458678648969258e-05,0.0,0.0,0.0
1717,1.1904582541839253e-05,0.0,0.0,0.0
1718,1.307201383886942e-05,0.0,0.0,0.0
1719,1.0742090515642693e-05,0.0,0.0,0.0
1720,1.7768338628749397e-05,0.0,0.0,0.0
1721,2.2338774020421886e-05,0.0,0.0,0.0
1722,2.275919912010847e-05,0.0,0.0,0.0
1723,2.627229287099908e-05,0.0,0.0,0.0
1724,2.5652070494938277e-05,0.0,0.0,0.0
1725,3.182223885492671e-05,0.0,0.0,0.0
1726,3.504379778210672e-05,0.0,0.0,0.0
1727,3.0188970933003085e-05,0.0,0.0,0.0
1728,2.7324473714023562e-05,6.479559999661433e-09,6.479559999661433e-09,0.0
1729,2.7248458666560638e-05,6.479559999661433e-09,6.479559999661433e-09,0.0
1730,2.9120244497400044e-05,6.479559999661433e-09,6.479559999661433e-09,0.0
1731,2.9408120099105872e-05,6.479559999661433e-09,6.479559999661433e-09,0.0
1732,2.2195311040767202e-05,6.479559999661433e-09,6.479559999661433e-09,0.0
1733,2.2193831162959604e-05,6.479559999661433e-09,6.479559999661433e-09,0.0
1734,2.47469077813938e-05,6.479559999661433e-09,6.479559999661433e-09,0.0
1735,2.560181643015572e-05,0.0,0.0,0.0
1736,2.5312875550298486e-05,0.0,0.0,0.0
1737,2.378961536513608e-05,0.0,0.0,0.0
1738,5.3143569337927534e-05,0.0,0.0,0.0
1739,5.4973526987721145e-05,0.0,0.0,3.2309164867326346e-09
1740,5.653948119288543e-05,0.0,0.0,3.2309164867326346e-09
1741,5.472947707728183e-05,0.0,0.0,3.2309164867326346e-09
1742,5.755057710692719e-05,0.0,0.0,3.2309164867326346e-09
1743,6.109431732121655e-05,0.0,0.0,1.2862310074167129e-08
1744,6.968559500819538e-05,0.0,0.0,1.2862310074167129e-08
