ngram,tree,tree,tret,tre
1604,4.944992997479858e-05,4.944992997479858e-05,1.1791114827376856e-07,4.2620620856074054e-06
1605,5.4476468773957875e-05,5.4476468773957875e-05,1.1791114827376856e-07,4.486935868694023e-06
1606,6.572689017048106e-05,6.572689017048106e-05,0.0,3.392322517876372e-06
1607,7.074412964617036e-05,7.074412964617036e-05,0.0,3.285816433162836e-06
1608,6.979917400583093e-05,6.979917400583093e-05,0.0,1.9185494011253468e-06
1609,6.639665817991565e-05,6.639665817991565e-05,0.0,1.5852198040582671e-06
1610,7.499900519698193e-05,7.499900519698193e-05,0.0,1.7126680680641066e-06
1611,7.531374467362184e-05,7.531374467362184e-05,1.0241227853059951e-07,1.1685532805521298e-06
1612,7.4152475333124e-05,7.4152475333124e-05,1.0241227853059951e-07,2.0196824103939955e-06
1613,6.164878738802924e-05,6.164878738802924e-05,1.0241227853059951e-07,2.8180353979223582e-06
1614,5.895340785043247e-05,5.895340785043247e-05,1.0241227853059951e-07,2.8180353979223582e-06
1615,4.60607170680305e-05,4.60607170680305e-05,1.0241227853059951e-07,3.5799219030455528e-06
1616,5.140190764255489e-05,5.140190764255489e-05,1.0241227853059951e-07,3.391247925524762e-06
1617,4.291851733536792e-05,4.291851733536792e-05,2.2595361315325135e-07,3.75796500000953e-06
1618,4.278865786285938e-05,4.278865786285938e-05,1.2354133462265183e-07,3.6476824496795805e-06
1619,4.946909601650467e-05,4.946909601650467e-05,1.2354133462265183e-07,2.79674853637906e-06
1620,5.0701712357944674e-05,5.0701712357944674e-05,1.2354133462265183e-07,2.081030775765872e-06
1621,5.6749968540056474e-05,5.6749968540056474e-05,1.2354133462265183e-07,2.437866766870554e-06
1622,5.252508240768553e-05,5.252508240768553e-05,1.2354133462265183e-07,1.6759802617473594e-06
1623,4.548414498068658e-05,4.548414498068658e-05,1.2354133462265183e-07,1.945394452767297e-06
1624,4.067685871892276e-05,4.067685871892276e-05,0.0,1.749893499436439e-06
1625,4.1165024023419914e-05,4.1165024023419914e-05,0.0,1.5529392222950783e-06
1626,3.7259471875066606e-05,3.7259471875066606e-05,0.0,2.0167356719217163e-06
1627,3.8581944733908e-05,3.8581944733908e-05,0.0,1.9333226971087114e-06
1628,3.0856917094622206e-05,3.0856917094622206e-05,1.310232521843448e-07,2.6246727234787874e-06
1629,3.661111441033427e-05,3.661111441033427e-05,2.1355259605115862e-07,3.1198488029206473e-06
1630,4.560416735850075e-05,4.560416735850075e-05,2.1355259605115862e-07,3.19543060608599e-06
1631,5.408652318042836e-05,5.408652318042836e-05,2.1355259605115862e-07,3.01012619274843e-06
1632,5.511317119401481e-05,5.511317119401481e-05,3.968048645219824e-07,3.5598829981609015e-06
1633,5.228933514445089e-05,5.228933514445089e-05,3.968048645219824e-07,4.379038370773612e-06
1634,4.9063364193508665e-05,4.9063364193508665e-05,3.968048645219824e-07,4.306332016312808e-06
1635,6.0035976015829616e-05,6.0035976015829616e-05,3.4810132579618115e-07,3.6697445823717445e-06
1636,5.854396035179629e-05,5.854396035179629e-05,3.524163909267892e-07,3.7824793740323263e-06
1637,5.455832381682869e-05,5.455832381682869e-05,3.524163909267892e-07,4.022764398671695e-06
1638,5.225884004695607e-05,5.225884004695607e-05,4.19751428028446e-07,4.380749698741836e-06
1639,5.2945197239750996e-05,5.2945197239750996e-05,3.9223961932423534e-07,4.4539547323958165e-06
1640,5.397277033937696e-05,5.397277033937696e-05,3.9223961932423534e-07,3.665590302911629e-06
1641,5.287415349032797e-05,5.287415349032797e-05,3.9223961932423534e-07,3.5381981514806933e-06
1642,4.5735814897592976e-05,4.5735814897592976e-05,3.0991990586569174e-07,3.3424992368834083e-06
1643,4.653860248384133e-05,4.653860248384133e-05,2.230754968682699e-07,2.8249108124457834e-06
1644,4.170083047938533e-05,4.170083047938533e-05,2.230754968682699e-07,2.3312912601016123e-06
1645,3.893631946993992e-05,3.893631946993992e-05,1.557404597666131e-07,2.203763796972323e-06
1646,3.6507555705611594e-05,3.6507555705611594e-05,1.007384103754053e-07,2.1852323876763487e-06
1647,3.6678425853356854e-05,3.6678425853356854e-05,1.007384103754053e-07,1.673667100021703e-06
1648,3.778136514093993e-05,3.778136514093993e-05,1.4658764614848353e-07,2.0585645026065843e-06
1649,3.569772785080464e-05,3.569772785080464e-05,1.4658764614848353e-07,2.7813981010435133e-06
