ngram,television,televsion,telvision,televison
1727,1.1169553561428205e-07,0.0,0.0,0.0
1728,6.789524523550686e-08,0.0,0.0,0.0
1729,4.4712485142944e-08,0.0,0.0,0.0
1730,4.4712485142944e-08,0.0,0.0,0.0
1731,4.4712485142944e-08,0.0,0.0,0.0
1732,5.097100900083465e-08,0.0,0.0,0.0
1733,6.258523857890655e-09,0.0,0.0,0.0
1734,6.258523857890655e-09,0.0,0.0,0.0
1735,5.236125991205296e-07,0.0,0.0,0.0
1736,5.236125991205296e-07,0.0,0.0,0.0
1737,5.236125991205296e-07,0.0,0.0,0.0
1738,5.236125991205296e-07,0.0,0.0,0.0
1739,5.17354075262639e-07,0.0,0.0,0.0
1740,5.248413538692733e-07,0.0,0.0,0.0
1741,5.248413538692733e-07,0.0,0.0,0.0
1742,7.48727860663426e-09,0.0,0.0,0.0
1743,2.6750065781503248e-08,0.0,0.0,0.0
1744,2.6750065781503248e-08,0.0,0.0,0.0
1745,2.6750065781503248e-08,0.0,0.0,0.0
1746,2.6750065781503248e-08,0.0,0.0,0.0
1747,2.3421938928030224e-08,0.0,0.0,0.0
1748,1.580920131313438e-07,0.0,0.0,0.0
1749,1.580920131313438e-07,0.0,0.0,0.0
1750,2.641810234698434e-07,0.0,0.0,0.0
1751,2.855958557899742e-07,0.0,0.0,0.0
1752,3.089873976997686e-07,0.0,0.0,0.0
1753,3.6933962681879553e-07,0.0,0.0,0.0
1754,3.6518047506563433e-07,0.0,0.0,0.0
1755,2.3051040086232077e-07,0.0,0.0,0.0
1756,2.547941651950428e-07,0.0,0.0,0.0
1757,1.4466798400495202e-07,0.0,0.0,0.0
1758,1.232531516848212e-07,0.0,0.0,0.0
1759,1.1725558428971844e-07,0.0,0.0,0.0
1760,5.690335517069148e-08,0.0,0.0,0.0
1761,6.245449008750776e-08,0.0,0.0,0.0
1762,6.51370721170354e-08,0.0,0.0,0.0
1763,9.194945097387322e-08,0.0,0.0,0.0
1764,7.672383465059543e-08,0.0,0.0,0.0
1765,7.672383465059543e-08,0.0,0.0,0.0
1766,7.633512108132631e-08,0.0,0.0,0.0
1767,7.633512108132631e-08,0.0,0.0,0.0
1768,7.346619871181506e-08,0.0,0.0,0.0
1769,7.078361668228744e-08,0.0,0.0,0.0
1770,2.8336238244719425e-08,0.0,0.0,0.0
1771,2.8336238244719425e-08,0.0,0.0,0.0
1772,3.8880565560767925e-08,0.0,0.0,0.0
1773,2.1875304615345418e-08,0.0,0.0,0.0
1774,2.1875304615345418e-08,0.0,0.0,0.0
1775,6.252342948138384e-08,0.0,0.0,0.0
1776,6.794816848858837e-08,0.0,0.0,0.0
1777,5.9299403736596494e-08,0.0,0.0,0.0
1778,5.9299403736596494e-08,0.0,0.0,0.0
1779,4.8755076420547994e-08,0.0,0.0,0.0
1780,5.8151637663935874e-08,0.0,0.0,0.0
1781,5.8151637663935874e-08,0.0,0.0,0.0
1782,1.4821300250592425e-08,0.0,0.0,0.0
1783,9.396561243387883e-09,0.0,0.0,0.0
1784,9.396561243387883e-09,0.0,0.0,0.0
1785,9.396561243387883e-09,0.0,0.0,0.0
1786,8.429377363735771e-07,0.0,0.0,0.0
1787,8.45143449826732e-07,0.0,0.0,0.0
1788,8.45143449826732e-07,0.0,0.0,0.0
1789,8.48633604277893e-07,0.0,0.0,0.0
1790,8.48633604277893e-07,0.0,0.0,0.0
1791,8.48633604277893e-07,0.0,0.0,0.0
1792,8.48633604277893e-07,0.0,0.0,0.0
1793,1.5092429147703764e-08,0.0,0.0,0.0
1794,1.1474038988775907e-08,0.0,0.0,0.0
1795,1.238731111336782e-08,0.0,0.0,0.0
1796,8.89715666220679e-09,0.0,0.0,0.0
1797,1.5700240472783988e-08,0.0,0.0,0.0
1798,2.9588001255425363e-08,0.0,0.0,0.0
1799,3.018877084822894e-08,0.0,0.0,0.0
1800,3.018877084822894e-08,0.0,0.0,0.0
1801,2.2204886310614062e-08,0.0,0.0,0.0
1802,5.992889803455423e-08,0.0,0.0,0.0
1803,6.343889769055977e-08,0.0,0.0,0.0
1804,7.21947691470096e-08,0.0,0.0,0.0
1805,5.882636336781591e-08,0.0,0.0,0.0
1806,5.822559377501234e-08,0.0,0.0,0.0
1807,5.96901423843832e-08,0.0,0.0,0.0
1808,7.098757496112487e-08,0.0,0.0,0.0
1809,5.876531417037256e-08,0.0,0.0,0.0
1810,5.569118981847103e-08,0.0,0.0,0.0
1811,4.224169001888965e-08,0.0,0.0,0.0
1812,4.1722335015441965e-08,0.0,0.0,0.0
1813,4.657182014636671e-08,0.0,0.0,0.0
1814,6.537621158716636e-08,0.0,0.0,0.0
1815,5.407877901042468e-08,0.0,0.0,0.0
1816,4.059550077048105e-08,0.0,0.0,0.0
1817,4.084501575058701e-08,0.0,0.0,0.0
1818,3.873556028314137e-08,0.0,0.0,0.0
1819,3.918645262247976e-08,0.0,0.0,0.0
1820,3.74323030349899e-08,0.0,0.0,0.0
1821,1.7163362984819386e-08,0.0,0.0,0.0
1822,1.9409203323915236e-08,0.0,0.0,0.0
1823,1.9259570129191517e-08,0.0,0.0,1.4046276840064464e-10
1824,1.8842419878341487e-08,0.0,0.0,1.4046276840064464e-10
1825,2.074167193555354e-08,0.0,0.0,1.4046276840064464e-10
1826,2.1001769085720364e-08,0.0,0.0,1.4046276840064464e-10
1827,1.98932750907131e-08,0.0,0.0,1.4046276840064464e-10
1828,2.4196118378735524e-08,0.0,0.0,1.4046276840064464e-10
1829,5.524508068788236e-07,1.405485569197903e-10,7.027427845989515e-11,3.512856037803301e-10
1830,5.400499134238552e-07,1.405485569197903e-10,7.027427845989515e-11,2.1082283537968546e-10
1831,5.591966567892419e-07,1.405485569197903e-10,7.027427845989515e-11,2.1082283537968546e-10
1832,5.589152444355047e-07,1.405485569197903e-10,7.027427845989515e-11,2.1082283537968546e-10
1833,5.582042549459995e-07,1.405485569197903e-10,7.027427845989515e-11,2.1082283537968546e-10
1834,5.567988347847981e-07,1.405485569197903e-10,7.027427845989515e-11,2.1082283537968546e-10
1835,5.550094935381975e-07,1.405485569197903e-10,7.027427845989515e-11,2.1082283537968546e-10
1836,2.5184515298600933e-08,0.0,0.0,0.0
1837,2.7668629229030524e-08,0.0,0.0,0.0
1838,9.627509265998567e-09,0.0,0.0,0.0
1839,8.085450999205181e-09,0.0,0.0,0.0
1840,8.312208897377969e-09,0.0,0.0,0.0
1841,8.080675565188703e-09,0.0,0.0,0.0
1842,1.256094924105357e-08,0.0,0.0,0.0
1843,1.1950973171399276e-08,0.0,0.0,0.0
1844,3.085685320750439e-08,0.0,0.0,0.0
1845,2.961646730240527e-08,0.0,0.0,0.0
1846,2.980156786426745e-08,0.0,0.0,0.0
1847,3.0180864601143346e-08,0.0,0.0,0.0
1848,3.1198168366180264e-08,0.0,0.0,0.0
1849,2.420439264889345e-08,0.0,0.0,0.0
1850,2.4850866761231113e-08,0.0,0.0,0.0
1851,6.0046560739530315e-09,0.0,0.0,0.0
1852,6.2756711097630304e-09,0.0,0.0,0.0
1853,6.352604505924628e-09,0.0,0.0,0.0
1854,9.231178329674857e-09,0.0,0.0,0.0
1855,9.491540727982591e-09,0.0,0.0,0.0
1856,3.682588224838769e-08,0.0,0.0,0.0
1857,3.6450773193459033e-08,0.0,0.0,0.0
1858,5.023079082836343e-08,0.0,0.0,5.7603513229206473e-11
1859,5.0313733370087125e-08,0.0,0.0,5.7603513229206473e-11
1860,5.107383173528847e-08,0.0,0.0,5.7603513229206473e-11
1861,4.815407009647491e-08,0.0,0.0,5.7603513229206473e-11
1862,4.970245741959494e-08,0.0,0.0,5.7603513229206473e-11
1863,2.609167069701966e-08,0.0,0.0,5.7603513229206473e-11
1864,2.669663353874593e-08,0.0,0.0,5.7603513229206473e-11
1865,1.3087473010082412e-08,0.0,0.0,0.0
1866,2.494289200579861e-08,0.0,0.0,0.0
1867,2.544383922601209e-08,0.0,0.0,0.0
1868,2.667144029442982e-08,0.0,0.0,0.0
1869,2.3891357622421846e-08,0.0,0.0,0.0
1870,2.3124355160878248e-08,0.0,0.0,0.0
1871,2.8350014431260158e-08,0.0,0.0,0.0
1872,2.5991286678461734e-08,0.0,0.0,0.0
1873,1.3921493830742243e-08,0.0,0.0,0.0
1874,2.0906627572005376e-08,0.0,0.0,0.0
1875,2.328612277605454e-08,0.0,0.0,0.0
1876,3.082498446969696e-08,0.0,0.0,0.0
1877,2.860241726005646e-08,0.0,0.0,0.0
1878,3.647728931608997e-08,3.6285359637590526e-11,0.0,0.0
1879,4.370050784733134e-08,3.6285359637590526e-11,0.0,0.0
1880,5.23397374330159e-08,3.6285359637590526e-11,0.0,0.0
1881,5.663450540284641e-08,3.6285359637590526e-11,0.0,0.0
1882,5.712952149445576e-08,3.6285359637590526e-11,0.0,0.0
1883,5.966677774082996e-08,3.6285359637590526e-11,0.0,0.0
1884,5.9268412590439216e-08,3.6285359637590526e-11,0.0,0.0
1885,4.850560911659077e-08,0.0,0.0,0.0
1886,4.313858977969939e-08,0.0,0.0,0.0
1887,6.061673924711336e-08,0.0,0.0,0.0
1888,6.024029269064662e-08,2.700284242239194e-11,0.0,2.700284242239194e-11
1889,6.284882246378385e-08,2.700284242239194e-11,0.0,2.700284242239194e-11
1890,6.52017603717882e-08,2.700284242239194e-11,0.0,2.700284242239194e-11
1891,7.638841407039568e-08,2.700284242239194e-11,0.0,2.700284242239194e-11
1892,7.96030708016815e-08,2.700284242239194e-11,0.0,2.700284242239194e-11
1893,8.081491691720138e-08,2.700284242239194e-11,0.0,5.006451602491373e-11
1894,5.6191818436397105e-08,2.700284242239194e-11,0.0,5.006451602491373e-11
1895,4.593365028020864e-08,0.0,0.0,2.3061673602521792e-11
1896,6.265110893569467e-08,0.0,0.0,2.3061673602521792e-11
1897,8.58836760439122e-08,0.0,0.0,4.163842881599322e-11
1898,7.798707406842758e-08,0.0,0.0,4.163842881599322e-11
1899,7.781301241444843e-08,0.0,0.0,4.163842881599322e-11
1900,7.803758122244225e-08,0.0,0.0,1.857675521347143e-11
1901,7.800104473432157e-08,0.0,0.0,1.857675521347143e-11
1902,8.192104480489856e-08,0.0,0.0,3.5795045499093754e-11
1903,6.717278124211492e-08,0.0,0.0,5.1734190344353086e-11
1904,3.319213932278282e-08,0.0,0.0,3.315743513088165e-11
1905,3.269207431750536e-08,0.0,0.0,3.315743513088165e-11
1906,3.138318963432799e-08,0.0,0.0,3.315743513088165e-11
1907,3.5396390072963054e-08,0.0,0.0,3.315743513088165e-11
1908,3.796133883428508e-08,0.0,1.372445411286703e-11,3.315743513088165e-11
1909,3.8150236113056376e-08,0.0,1.372445411286703e-11,1.5939144845259332e-11
1910,1.389589140897231e-07,2.7547779533700277e-11,1.372445411286703e-11,6.886944982552125e-11
