ngram,driver,drver,diver,driver
1776,2.6363999917780996e-06,0.0,1.0913099686149508e-06,2.6363999917780996e-06
1777,2.3522178805381244e-06,0.0,1.1601464393606875e-06,2.3522178805381244e-06
1778,2.3178175752036623e-06,0.0,1.0299314599901014e-06,2.3178175752036623e-06
1779,2.1530537099222002e-06,0.0,9.164633719852386e-07,2.1530537099222002e-06
1780,2.195478129708915e-06,2.349140310846971e-09,8.888357488753432e-07,2.195478129708915e-06
1781,2.1229918242430098e-06,2.349140310846971e-09,8.856310630887622e-07,2.1229918242430098e-06
1782,2.0613568624737255e-06,2.349140310846971e-09,9.924047828592717e-07,2.0613568624737255e-06
1783,2.1733635873845614e-06,2.349140310846971e-09,1.016022776769075e-06,2.1733635873845614e-06
1784,2.0733001682466627e-06,5.678084542231383e-09,9.257651397222486e-07,2.0733001682466627e-06
1785,2.1390366100604297e-06,5.678084542231383e-09,8.81519797855747e-07,2.1390366100604297e-06
1786,2.286775384163775e-06,5.678084542231383e-09,8.604428346968364e-07,2.286775384163775e-06
1787,2.39969876604716e-06,3.328944231384412e-09,8.587794257307126e-07,2.39969876604716e-06
1788,2.6065851313563016e-06,3.328944231384412e-09,8.578876905370894e-07,2.6065851313563016e-06
1789,2.7890208035127477e-06,3.328944231384412e-09,7.594075717471631e-07,2.7890208035127477e-06
1790,2.855754100242588e-06,3.328944231384412e-09,7.383818163881577e-07,2.855754100242588e-06
1791,3.148701044405503e-06,0.0,7.412540087768451e-07,3.148701044405503e-06
1792,3.3747382336254565e-06,0.0,7.561149491916044e-07,3.3747382336254565e-06
1793,3.1346978630608646e-06,0.0,7.770676607573737e-07,3.1346978630608646e-06
1794,3.2094366945654784e-06,9.979855672018596e-10,8.103270780728573e-07,3.2094366945654784e-06
1795,3.14475005325221e-06,9.979855672018596e-10,8.559465283854349e-07,3.14475005325221e-06
1796,3.2192373445078763e-06,9.979855672018596e-10,9.000625758354934e-07,3.2192373445078763e-06
1797,3.4041705540792985e-06,9.979855672018596e-10,8.792386633363744e-07,3.4041705540792985e-06
