x_sums,y_sums,x_ture,y_ture
237,1.658030375852247e-07,237,1.951067354509308e-05
238,1.7088421446130406e-07,238,1.951666334727114e-05
239,1.737928241953211e-07,239,1.93989110682326e-05
240,1.7316151814026984e-07,240,1.954882723761589e-05
241,1.709441458148347e-07,241,1.9470090982005267e-05
242,1.6224133198810317e-07,242,1.9552405709483927e-05
243,1.5904141318198333e-07,243,2.006570451028113e-05
244,1.6442679878769797e-07,244,1.9869135680242573e-05
245,1.5845335710196198e-07,245,1.999824014222083e-05
246,1.6880878764676972e-07,246,1.994042083554502e-05
247,1.6335233863985978e-07,247,1.998177659905715e-05
248,1.735533433791911e-07,248,2.045127933212955e-05
249,1.6106914735303238e-07,249,2.0465187065253432e-05
250,1.62002395752227e-07,250,2.0572206527244168e-05
251,1.6096350462037533e-07,251,2.109201549111666e-05
252,1.5123123299685762e-07,252,2.1731022051036624e-05
253,1.573223824229737e-07,253,2.197674777042785e-05
254,1.5735669174026562e-07,254,2.260081471052088e-05
255,1.569992745333236e-07,255,2.290862175868824e-05
256,1.564462746652039e-07,256,2.3644594226165543e-05
257,1.7688874720533937e-07,257,2.355019023525529e-05
258,1.7913389781045096e-07,258,2.3993918668046327e-05
259,1.7197559287751576e-07,259,2.43627156513477e-05
260,1.7775255020272397e-07,260,2.470259018342144e-05
261,1.7573572717667828e-07,261,2.459387022619402e-05
262,1.801876291348695e-07,262,2.5164359353116845e-05
263,1.8229122770005042e-07,263,2.5682563708479783e-05
264,1.7184723840760595e-07,264,2.594819280992461e-05
265,1.6910753077224528e-07,265,2.6029282058256547e-05
266,1.65956372961367e-07,266,2.6104847295625533e-05
267,1.6014419174885986e-07,267,2.676823480994374e-05
268,1.56901916221435e-07,268,2.691337509272021e-05
269,1.621904307366354e-07,269,2.7024455838337807e-05
270,1.662172513913366e-07,270,2.6468380643304302e-05
271,1.685740908133734e-07,271,2.6776060881924684e-05
272,1.687419303968747e-07,272,2.689635247017057e-05
273,1.702020579078375e-07,273,2.73205491144576e-05
274,1.6811787008551094e-07,274,2.7865020456374623e-05
275,1.689567175690497e-07,275,2.8471817651214743e-05
276,1.669433302708967e-07,276,2.8356065740808845e-05
277,1.8285356873093408e-07,277,2.907503923259875e-05
278,1.750680801596413e-07,278,2.886298586547907e-05
279,1.7196472918661654e-07,279,2.909689205158169e-05
280,1.759975852674448e-07,280,2.9346682952434223e-05
281,1.766046930997055e-07,281,2.898528821658277e-05
282,1.7375305245386538e-07,282,2.9266912731275496e-05
283,1.762334278510025e-07,283,2.961892382050532e-05
284,1.7620069352781397e-07,284,2.9855780927131752e-05
285,1.785878916495319e-07,285,3.0264724045991898e-05
286,1.7480843287184404e-07,286,3.0184140476714155e-05
287,1.7134272312091525e-07,287,3.040056461551493e-05
288,1.7263053412161104e-07,288,3.0520682880056226e-05
289,1.6791606741569813e-07,289,3.037001754689429e-05
290,1.7890524541184866e-07,290,3.1160104429415825e-05
291,1.7256900925704294e-07,291,3.073324790290956e-05
292,1.738428748256281e-07,292,3.050099413875224e-05
293,1.7751592018555584e-07,293,3.0864654555833635e-05
294,1.847767974817925e-07,294,3.085210924577301e-05
295,1.9538108318530238e-07,295,3.068293543557437e-05
296,1.9411623445161506e-07,296,3.056451844583664e-05
297,1.967965323479426e-07,297,3.0739542905523975e-05
298,2.0607261417916946e-07,298,3.060157359868754e-05
299,2.047900804174369e-07,299,3.1450575209289256e-05
300,2.01399435541459e-07,300,3.121122089006738e-05
301,1.919512892126615e-07,301,3.2263502362184227e-05
302,1.8115056107540338e-07,302,3.189367193304601e-05
303,1.8512832663678379e-07,303,3.231709966452659e-05
304,1.7174999048360666e-07,304,3.205946839963352e-05
305,1.7283083256610816e-07,305,3.240185417650666e-05
306,1.7630109524649893e-07,306,3.112638920096548e-05
307,1.8380589938971078e-07,307,3.273459801026287e-05
308,1.87731568956906e-07,308,3.256238025122522e-05
309,1.954044458859653e-07,309,3.267482497903984e-05
310,1.841039226148565e-07,310,3.2986604959920184e-05
311,1.812789017547572e-07,311,3.2236444115239594e-05
312,1.841503764714909e-07,312,3.238592658557796e-05
313,1.7968467577337117e-07,313,3.261795843302805e-05
314,1.789375147101932e-07,314,3.285787793824316e-05
315,1.753391846952874e-07,315,3.326450938142703e-05
316,1.7124621276565224e-07,316,3.40501667648953e-05
317,1.717130068928137e-07,317,3.429296183250179e-05
318,1.7647584016344808e-07,318,3.243802426108492e-05
319,1.737465078794592e-07,319,3.3806986331390885e-05
320,1.7361438280667185e-07,320,3.437474697420839e-05
321,1.73667495305198e-07,321,3.3957201854458875e-05
322,1.6964436730382284e-07,322,3.4256139770150185e-05
