ngram,Platform,Platorm
1661,1.2554279058869206e-06,0.0
1662,1.3191244404099831e-06,0.0
1663,1.042748424749464e-06,0.0
1664,1.891108106682233e-06,0.0
1665,2.4642991474723075e-06,0.0
1666,3.1989327453629812e-06,0.0
1667,3.836532836690562e-06,0.0
1668,3.6552976325765485e-06,0.0
1669,3.563452145678119e-06,0.0
1670,3.6639571894576354e-06,0.0
1671,3.4639721024275005e-06,0.0
1672,2.939982264495354e-06,0.0
1673,2.28947152233364e-06,0.0
1674,1.2509974141039493e-06,0.0
1675,1.6096314599930598e-06,0.0
1676,2.266821533274716e-06,0.0
1677,3.0425124464272812e-06,0.0
1678,2.6173889945571967e-06,0.0
1679,2.683546637984234e-06,0.0
1680,2.7161087083576215e-06,0.0
1681,2.917491331442891e-06,0.0
1682,2.85441046798951e-06,0.0
1683,2.6086108846357092e-06,0.0
1684,2.2731212863748496e-06,0.0
1685,2.1154962723812787e-06,0.0
1686,2.1659126657271244e-06,0.0
1687,2.1084936341659547e-06,0.0
1688,2.3730267944951526e-06,0.0
1689,2.4319635453399054e-06,0.0
1690,2.0944704195764122e-06,0.0
1691,1.5936364710406842e-06,0.0
1692,1.8274221490953226e-06,0.0
1693,2.0065100524594267e-06,0.0
1694,2.10237974280452e-06,0.0
1695,1.8690660112952173e-06,0.0
1696,1.7104966819455773e-06,0.0
1697,1.8931811415054004e-06,0.0
1698,1.8982303799930378e-06,0.0
1699,2.0267827137234107e-06,0.0
1700,2.0458594625389585e-06,0.0
1701,2.1067255277427776e-06,0.0
1702,2.077871191171913e-06,0.0
1703,1.9048562519076638e-06,0.0
1704,1.8695115662532252e-06,0.0
1705,1.9313028799063303e-06,0.0
1706,1.7024636836790056e-06,0.0
1707,1.5208105829905044e-06,0.0
1708,1.443037774606637e-06,0.0
1709,1.3475152026590616e-06,0.0
1710,1.2371031061775284e-06,0.0
1711,1.1216044738050966e-06,0.0
1712,9.921357510782919e-07,0.0
1713,9.321262187508442e-07,0.0
1714,8.934135930108564e-07,0.0
1715,8.946527470600683e-07,0.0
1716,9.103970179629479e-07,0.0
1717,1.124356377398986e-06,0.0
1718,1.1589824160702328e-06,0.0
1719,1.1886305060215818e-06,0.0
1720,1.1932510476851479e-06,0.0
1721,1.3650389730303556e-06,0.0
1722,1.2926055806669216e-06,0.0
1723,1.3230155673227273e-06,0.0
1724,1.2206036866960597e-06,0.0
1725,1.1238145784123584e-06,0.0
1726,1.1068947531254838e-06,0.0
1727,1.0170333877925129e-06,0.0
1728,8.377420580732828e-07,0.0
1729,8.083247118000665e-07,0.0
1730,1.2431384561750747e-06,0.0
1731,1.291825981297734e-06,0.0
1732,1.4185692163794426e-06,0.0
1733,1.3534049116969982e-06,0.0
1734,1.4658759092916235e-06,0.0
1735,1.5690814133709604e-06,0.0
1736,1.5939132660085825e-06,0.0
1737,1.5792152469527667e-06,0.0
1738,1.545292020312315e-06,0.0
1739,1.422561248481153e-06,0.0
1740,1.7781634206975078e-06,0.0
1741,1.7285081444892318e-06,0.0
1742,1.693307792395769e-06,0.0
1743,1.6243126716679917e-06,0.0
1744,1.2239158958696602e-06,0.0
1745,1.179654605363924e-06,0.0
1746,1.1469144080170475e-06,0.0
1747,8.182971141325522e-07,0.0
1748,7.042336481585412e-07,0.0
1749,5.348446978002488e-07,0.0
1750,5.595246242202328e-07,0.0
1751,4.3182507576083093e-07,0.0
1752,4.706308841053085e-07,0.0
1753,4.560052043903592e-07,0.0
1754,4.439513381677378e-07,0.0
1755,4.3195532230453993e-07,0.0
1756,4.610132395198109e-07,0.0
1757,3.8463520013465313e-07,0.0
1758,3.413439829204533e-07,0.0
1759,3.039787654606536e-07,0.0
1760,3.2170725537485267e-07,0.0
