ngram,Qt,Q,Q,Q
1583,2.40913111935827e-07,6.520321546434259e-06,6.520321546434259e-06,6.520321546434259e-06
1584,2.40913111935827e-07,6.520321546434259e-06,6.520321546434259e-06,6.520321546434259e-06
1585,0.0,5.3478890030029495e-06,5.3478890030029495e-06,5.3478890030029495e-06
1586,7.188938460395937e-07,9.086636444927925e-06,9.086636444927925e-06,9.086636444927925e-06
1587,7.188938460395937e-07,8.143953436956508e-06,8.143953436956508e-06,8.143953436956508e-06
1588,7.188938460395937e-07,8.813459252061356e-06,8.813459252061356e-06,8.813459252061356e-06
1589,7.188938460395937e-07,8.348949450009968e-06,8.348949450009968e-06,8.348949450009968e-06
1590,7.188938460395937e-07,8.388278144723569e-06,8.388278144723569e-06,8.388278144723569e-06
1591,7.188938460395937e-07,8.921345072719436e-06,8.921345072719436e-06,8.921345072719436e-06
1592,7.188938460395937e-07,8.166472720664128e-06,8.166472720664128e-06,8.166472720664128e-06
1593,0.0,3.3574923950904382e-06,3.3574923950904382e-06,3.3574923950904382e-06
1594,0.0,1.3718201314207232e-05,1.3718201314207232e-05,1.3718201314207232e-05
1595,0.0,1.8007463300559072e-05,1.8007463300559072e-05,1.8007463300559072e-05
1596,0.0,1.99486109652623e-05,1.99486109652623e-05,1.99486109652623e-05
1597,0.0,2.0639280527185682e-05,2.0639280527185682e-05,2.0639280527185682e-05
1598,0.0,2.3954564247625448e-05,2.3954564247625448e-05,2.3954564247625448e-05
1599,0.0,2.536949802691067e-05,2.536949802691067e-05,2.536949802691067e-05
1600,0.0,2.6104776095183168e-05,2.6104776095183168e-05,2.6104776095183168e-05
1601,0.0,1.9198277056732748e-05,1.9198277056732748e-05,1.9198277056732748e-05
1602,0.0,1.7789133770358084e-05,1.7789133770358084e-05,1.7789133770358084e-05
1603,0.0,1.8771414033835754e-05,1.8771414033835754e-05,1.8771414033835754e-05
1604,0.0,1.7901333811615977e-05,1.7901333811615977e-05,1.7901333811615977e-05
1605,0.0,2.1361381154097865e-05,2.1361381154097865e-05,2.1361381154097865e-05
1606,0.0,2.379029264635132e-05,2.379029264635132e-05,2.379029264635132e-05
1607,0.0,2.357823492664985e-05,2.357823492664985e-05,2.357823492664985e-05
1608,0.0,1.9285463963569782e-05,1.9285463963569782e-05,1.9285463963569782e-05
1609,0.0,1.6490535358570924e-05,1.6490535358570924e-05,1.6490535358570924e-05
1610,0.0,1.3448551011866325e-05,1.3448551011866325e-05,1.3448551011866325e-05
1611,1.0241227853059951e-07,1.5873141917057054e-05,1.5873141917057054e-05,1.5873141917057054e-05
1612,1.0241227853059951e-07,9.371746110835894e-06,9.371746110835894e-06,9.371746110835894e-06
1613,1.0241227853059951e-07,1.4637098339725136e-05,1.4637098339725136e-05,1.4637098339725136e-05
1614,1.0241227853059951e-07,2.081240579952594e-05,2.081240579952594e-05,2.081240579952594e-05
1615,1.0241227853059951e-07,2.0993671455471485e-05,2.0993671455471485e-05,2.0993671455471485e-05
1616,1.0241227853059951e-07,2.0959824610145006e-05,2.0959824610145006e-05,2.0959824610145006e-05
1617,1.0241227853059951e-07,2.638782932860652e-05,2.638782932860652e-05,2.638782932860652e-05
1618,0.0,2.401660633820159e-05,2.401660633820159e-05,2.401660633820159e-05
1619,0.0,2.433494910292211e-05,2.433494910292211e-05,2.433494910292211e-05
1620,0.0,1.7341268760771656e-05,1.7341268760771656e-05,1.7341268760771656e-05
1621,0.0,1.2738898151708003e-05,1.2738898151708003e-05,1.2738898151708003e-05
1622,0.0,1.2498651715629552e-05,1.2498651715629552e-05,1.2498651715629552e-05
1623,0.0,1.33942878619564e-05,1.33942878619564e-05,1.33942878619564e-05
1624,0.0,2.0404623130941347e-05,2.0404623130941347e-05,2.0404623130941347e-05
1625,0.0,2.0841361479792147e-05,2.0841361479792147e-05,2.0841361479792147e-05
1626,0.0,2.0864125612466262e-05,2.0864125612466262e-05,2.0864125612466262e-05
1627,0.0,2.0186550500511657e-05,2.0186550500511657e-05,2.0186550500511657e-05
1628,6.55116260921724e-08,2.0487581553295187e-05,2.0487581553295187e-05,2.0487581553295187e-05
1629,1.4804096995898623e-07,2.2327589054579482e-05,2.2327589054579482e-05,2.2327589054579482e-05
1630,1.4804096995898623e-07,2.57997947820903e-05,2.57997947820903e-05,2.57997947820903e-05
1631,2.04720955870081e-07,1.4523557898168552e-05,1.4523557898168552e-05,1.4523557898168552e-05
1632,2.963470901054929e-07,1.506730300856621e-05,1.506730300856621e-05,1.506730300856621e-05
1633,4.3343988766407294e-07,1.570140024601382e-05,1.570140024601382e-05,1.570140024601382e-05
1634,4.3343988766407294e-07,1.981727564270841e-05,1.981727564270841e-05,1.981727564270841e-05
1635,3.6792826157190053e-07,1.8760885203456773e-05,1.8760885203456773e-05,1.8760885203456773e-05
1636,2.8539891770508673e-07,1.7561780558545642e-05,1.7561780558545642e-05,1.7561780558545642e-05
1637,2.8539891770508673e-07,1.3643651657600588e-05,1.3643651657600588e-05,1.3643651657600588e-05
1638,2.960539688956487e-07,1.3573352784338308e-05,1.3573352784338308e-05,1.3573352784338308e-05
1639,2.822980645435434e-07,1.4379327240021667e-05,1.4379327240021667e-05,1.4379327240021667e-05
1640,1.4520526698496334e-07,1.4858898079442692e-05,1.4858898079442692e-05,1.4858898079442692e-05
1641,1.4520526698496334e-07,1.276896162900292e-05,1.276896162900292e-05,1.276896162900292e-05
1642,2.5315510145316823e-07,1.2392335325525242e-05,1.2392335325525242e-05,1.2392335325525242e-05
1643,3.434775481179843e-07,1.7210727362128508e-05,1.7210727362128508e-05,1.7210727362128508e-05
1644,3.434775481179843e-07,1.998160847246514e-05,1.998160847246514e-05,1.998160847246514e-05
1645,3.2525934199968886e-07,2.2564254322787747e-05,2.2564254322787747e-05,2.2564254322787747e-05
1646,5.496043270016214e-07,2.5017854828287716e-05,2.5017854828287716e-05,2.5017854828287716e-05
1647,7.576954317300988e-07,2.5981489670812152e-05,2.5981489670812152e-05,2.5981489670812152e-05
1648,8.03544667503177e-07,2.3709688840816462e-05,2.3709688840816462e-05,2.3709688840816462e-05
1649,7.738226080229132e-07,2.3695657286485323e-05,2.3695657286485323e-05,2.3695657286485323e-05
1650,6.835001613580971e-07,2.1170075212596983e-05,2.1170075212596983e-05,2.1170075212596983e-05
1651,6.835001613580971e-07,1.998063726205146e-05,1.998063726205146e-05,1.998063726205146e-05
1652,6.343833303747357e-07,1.8166803783969954e-05,1.8166803783969954e-05,1.8166803783969954e-05
1653,3.3216811548949667e-07,1.6773995282294762e-05,1.6773995282294762e-05,1.6773995282294762e-05
1654,1.6556019691701555e-07,1.6950204423795056e-05,1.6950204423795056e-05,1.6950204423795056e-05
1655,1.197109611439373e-07,1.814034918165167e-05,1.814034918165167e-05,1.814034918165167e-05
1656,8.67905173760976e-08,2.099928510038548e-05,2.099928510038548e-05,2.099928510038548e-05
1657,1.4239938244437716e-07,1.9509728060386677e-05,1.9509728060386677e-05,1.9509728060386677e-05
1658,1.4239938244437716e-07,1.8527038784148836e-05,1.8527038784148836e-05,1.8527038784148836e-05
1659,1.7456656767730498e-07,2.052892536344838e-05,2.052892536344838e-05,2.052892536344838e-05
1660,1.7456656767730498e-07,1.8490388876151493e-05,1.8490388876151493e-05,1.8490388876151493e-05
1661,1.330833815213087e-07,1.6701217516258892e-05,1.6701217516258892e-05,1.6701217516258892e-05
1662,1.7368324124942903e-07,1.5090389946895552e-05,1.5090389946895552e-05,1.5090389946895552e-05
1663,1.283759100293277e-07,2.2094794011146795e-05,2.2094794011146795e-05,2.2094794011146795e-05
1664,7.276704496104815e-08,2.1964151723555654e-05,2.1964151723555654e-05,2.1964151723555654e-05
1665,2.0504189178284703e-07,2.3016699287836673e-05,2.3016699287836673e-05,2.3016699287836673e-05
1666,2.5277150176147447e-07,2.209517145144803e-05,2.209517145144803e-05,2.209517145144803e-05
1667,2.8522381764365233e-07,2.5241159879182567e-05,2.5241159879182567e-05,2.5241159879182567e-05
1668,2.8522381764365233e-07,2.494130662203783e-05,2.494130662203783e-05,2.494130662203783e-05
1669,3.3448623274320456e-07,2.5637659746280406e-05,2.5637659746280406e-05,2.5637659746280406e-05
1670,3.7313540092652276e-07,1.8156626668184928e-05,1.8156626668184928e-05,1.8156626668184928e-05
1671,4.513557862700119e-07,2.061343561113712e-05,2.061343561113712e-05,2.061343561113712e-05
1672,3.1908093944821303e-07,2.1703067691955118e-05,2.1703067691955118e-05,2.1703067691955118e-05
1673,2.8866988494818155e-07,2.056085408444882e-05,2.056085408444882e-05,2.056085408444882e-05
1674,2.8874809337204557e-07,1.8131544623299434e-05,1.8131544623299434e-05,1.8131544623299434e-05
1675,3.573850924405113e-07,1.8878058134370284e-05,1.8878058134370284e-05,1.8878058134370284e-05
1676,2.675228176128387e-07,1.8827542459933155e-05,1.8827542459933155e-05,1.8827542459933155e-05
1677,4.6397703913823663e-07,1.950367979069207e-05,1.950367979069207e-05,1.950367979069207e-05
1678,3.857566537947475e-07,1.7425169062335044e-05,1.7425169062335044e-05,1.7425169062335044e-05
1679,4.088284230517404e-07,1.5174840882536955e-05,1.5174840882536955e-05,1.5174840882536955e-05
1680,4.136484688745311e-07,1.6089898833472815e-05,1.6089898833472815e-05,1.6089898833472815e-05
1681,4.258696394897145e-07,1.638580683252907e-05,1.638580683252907e-05,1.638580683252907e-05
1682,3.7739367339132255e-07,1.771375043192945e-05,1.771375043192945e-05,1.771375043192945e-05
1683,4.6566258658588466e-07,1.7664683842407874e-05,1.7664683842407874e-05,1.7664683842407874e-05
1684,2.597807764459503e-07,1.696863403464834e-05,1.696863403464834e-05,1.696863403464834e-05
1685,4.0122159207710085e-07,1.7581031248222905e-05,1.7581031248222905e-05,1.7581031248222905e-05
1686,3.781498228201079e-07,1.7411841067119633e-05,1.7411841067119633e-05,1.7411841067119633e-05
1687,4.062442156639788e-07,1.8027532600431835e-05,1.8027532600431835e-05,1.8027532600431835e-05
1688,3.614925207427534e-07,1.8048719409437452e-05,1.8048719409437452e-05,1.8048719409437452e-05
1689,4.676161669944382e-07,2.0123478212294037e-05,2.0123478212294037e-05,2.0123478212294037e-05
1690,4.2088783556794495e-07,2.0188460049601936e-05,2.0188460049601936e-05,2.0188460049601936e-05
1691,3.9166625599916317e-07,1.8316340564134797e-05,1.8316340564134797e-05,1.8316340564134797e-05
1692,2.97561529448233e-07,2.1291417267223422e-05,2.1291417267223422e-05,2.1291417267223422e-05
1693,3.6026391723810646e-07,2.199402375221585e-05,2.199402375221585e-05,2.199402375221585e-05
1694,3.266348390492827e-07,1.9970291240107535e-05,1.9970291240107535e-05,1.9970291240107535e-05
1695,3.266348390492827e-07,1.9455150712539243e-05,1.9455150712539243e-05,1.9455150712539243e-05
1696,2.1609610558113802e-07,1.6685894999162493e-05,1.6685894999162493e-05,1.6685894999162493e-05
1697,2.0394382309924757e-07,1.8118104110596634e-05,1.8118104110596634e-05,1.8118104110596634e-05
1698,2.8691398767932697e-07,2.043698038635609e-05,2.043698038635609e-05,2.043698038635609e-05
1699,3.310646852534254e-07,1.8036061711817248e-05,1.8036061711817248e-05,1.8036061711817248e-05
1700,3.5934727041616756e-07,1.9389891869130743e-05,1.9389891869130743e-05,1.9389891869130743e-05
1701,3.492432065448676e-07,2.201492329082352e-05,2.201492329082352e-05,2.201492329082352e-05
1702,4.2115416728652886e-07,2.3961126966501718e-05,2.3961126966501718e-05,2.3961126966501718e-05
1703,4.716554826700303e-07,2.559672455910394e-05,2.559672455910394e-05,2.559672455910394e-05
1704,4.769142500598329e-07,2.4264498149152913e-05,2.4264498149152913e-05,2.4264498149152913e-05
1705,4.5804871920803893e-07,2.331316357283088e-05,2.331316357283088e-05,2.331316357283088e-05
1706,5.216172991952459e-07,2.2741759494238067e-05,2.2741759494238067e-05,2.2741759494238067e-05
1707,4.549372322669244e-07,2.1781818239625344e-05,2.1781818239625344e-05,2.1781818239625344e-05
1708,4.452077969777487e-07,1.9515639126309126e-05,1.9515639126309126e-05,1.9515639126309126e-05
1709,3.9734686855094227e-07,1.8385458653418546e-05,1.8385458653418546e-05,1.8385458653418546e-05
1710,4.343897513438476e-07,1.6656772978811724e-05,1.6656772978811724e-05,1.6656772978811724e-05
1711,4.385119995374355e-07,1.750795308907982e-05,1.750795308907982e-05,1.750795308907982e-05
1712,3.9613420556504154e-07,1.76271114469273e-05,1.76271114469273e-05,1.76271114469273e-05
1713,2.843508996517942e-07,1.8057043884514963e-05,1.8057043884514963e-05,1.8057043884514963e-05
1714,2.887608242677483e-07,1.7373321757726705e-05,1.7373321757726705e-05,1.7373321757726705e-05
1715,3.164349879268359e-07,1.8918434242160792e-05,1.8918434242160792e-05,1.8918434242160792e-05
1716,3.4551470459324006e-07,2.0711230458151215e-05,2.0711230458151215e-05,2.0711230458151215e-05
1717,3.109972124905523e-07,1.9915133504712556e-05,1.9915133504712556e-05,1.9915133504712556e-05
1718,3.2642019220929797e-07,2.0070116858862874e-05,2.0070116858862874e-05,2.0070116858862874e-05
1719,3.442025778050655e-07,1.8638376526983586e-05,1.8638376526983586e-05,1.8638376526983586e-05
1720,3.7341954290630905e-07,1.962082491705327e-05,1.962082491705327e-05,1.962082491705327e-05
1721,3.534647703418159e-07,1.9546926523617003e-05,1.9546926523617003e-05,1.9546926523617003e-05
1722,3.432185248389682e-07,2.000017294838991e-05,2.000017294838991e-05,2.000017294838991e-05
1723,3.3949018529710884e-07,1.8381000570246086e-05,1.8381000570246086e-05,1.8381000570246086e-05
1724,3.235558097003377e-07,1.8485677823524122e-05,1.8485677823524122e-05,1.8485677823524122e-05
1725,2.84069421192206e-07,1.8461091583178912e-05,1.8461091583178912e-05,1.8461091583178912e-05
1726,2.637226888932024e-07,1.904832710611767e-05,1.904832710611767e-05,1.904832710611767e-05
1727,2.049190947721919e-07,1.7679035279018406e-05,1.7679035279018406e-05,1.7679035279018406e-05
1728,2.609546387231733e-07,1.7908683340855142e-05,1.7908683340855142e-05,1.7908683340855142e-05
1729,2.3370504871016757e-07,1.5889645900253007e-05,1.5889645900253007e-05,1.5889645900253007e-05
1730,2.0885335365911877e-07,1.7237629565767876e-05,1.7237629565767876e-05,1.7237629565767876e-05
1731,1.7691529612713047e-07,1.926578845866191e-05,1.926578845866191e-05,1.926578845866191e-05
1732,1.9976053420935257e-07,2.055626087634924e-05,2.055626087634924e-05,2.055626087634924e-05
1733,2.1572189012886156e-07,2.1544991016396254e-05,2.1544991016396254e-05,2.1544991016396254e-05
1734,2.6397723778310525e-07,2.16815635992264e-05,2.16815635992264e-05,2.16815635992264e-05
1735,2.4445011855992303e-07,2.264111779887961e-05,2.264111779887961e-05,2.264111779887961e-05
1736,2.694327889685155e-07,2.5273399972190547e-05,2.5273399972190547e-05,2.5273399972190547e-05
1737,2.5180470280312353e-07,2.3256394342752174e-05,2.3256394342752174e-05,2.3256394342752174e-05
1738,2.473799329192973e-07,2.145101123980047e-05,2.145101123980047e-05,2.145101123980047e-05
1739,2.4536886960342077e-07,2.0014090685955515e-05,2.0014090685955515e-05,2.0014090685955515e-05
1740,2.4019413505779343e-07,2.2110314343340826e-05,2.2110314343340826e-05,2.2110314343340826e-05
1741,2.0201875880080218e-07,2.254873002779537e-05,2.254873002779537e-05,2.254873002779537e-05
1742,1.9501450866852922e-07,2.2462266965054107e-05,2.2462266965054107e-05,2.2462266965054107e-05
1743,1.9907287704005023e-07,2.1697010587169124e-05,2.1697010587169124e-05,2.1697010587169124e-05
1744,2.2339967184084992e-07,2.3159417781114045e-05,2.3159417781114045e-05,2.3159417781114045e-05
1745,3.015978628744571e-07,2.667745372621409e-05,2.667745372621409e-05,2.667745372621409e-05
1746,3.1583755344399833e-07,2.6972409614245407e-05,2.6972409614245407e-05,2.6972409614245407e-05
1747,3.3995741180855734e-07,2.455536248037658e-05,2.455536248037658e-05,2.455536248037658e-05
1748,3.598687905131166e-07,2.4867296555644964e-05,2.4867296555644964e-05,2.4867296555644964e-05
1749,3.6124680085387287e-07,2.5189324462969254e-05,2.5189324462969254e-05,2.5189324462969254e-05
1750,3.295834888815209e-07,2.4369216719475973e-05,2.4369216719475973e-05,2.4369216719475973e-05
1751,3.2331903554450037e-07,2.2842232023581994e-05,2.2842232023581994e-05,2.2842232023581994e-05
1752,2.559355272475321e-07,1.9415567814056495e-05,1.9415567814056495e-05,1.9415567814056495e-05
1753,2.2627316553780474e-07,1.989066601838983e-05,1.989066601838983e-05,1.989066601838983e-05
1754,2.014926729592454e-07,1.927668719352888e-05,1.927668719352888e-05,1.927668719352888e-05
1755,1.732291222213332e-07,1.7405659491487313e-05,1.7405659491487313e-05,1.7405659491487313e-05
1756,1.4876423242477748e-07,1.6715012861823197e-05,1.6715012861823197e-05,1.6715012861823197e-05
1757,1.7794742542979032e-07,1.651899206730637e-05,1.651899206730637e-05,1.651899206730637e-05
1758,1.7471654903796923e-07,1.6614448343586575e-05,1.6614448343586575e-05,1.6614448343586575e-05
1759,1.578628021953981e-07,1.5616787745135037e-05,1.5616787745135037e-05,1.5616787745135037e-05
1760,1.6169769472591205e-07,1.3865044041137611e-05,1.3865044041137611e-05,1.3865044041137611e-05
1761,1.5738932087775277e-07,1.3753438906860538e-05,1.3753438906860538e-05,1.3753438906860538e-05
1762,1.76849657204262e-07,1.402266492992307e-05,1.402266492992307e-05,1.402266492992307e-05
1763,1.815430254379992e-07,1.3379475084158393e-05,1.3379475084158393e-05,1.3379475084158393e-05
1764,1.6397297234301993e-07,1.3541593034460675e-05,1.3541593034460675e-05,1.3541593034460675e-05
1765,1.5106210428582146e-07,1.284822103895879e-05,1.284822103895879e-05,1.284822103895879e-05
1766,1.678341366836581e-07,1.3640509028586426e-05,1.3640509028586426e-05,1.3640509028586426e-05
1767,1.7038235406679242e-07,1.3755632997864658e-05,1.3755632997864658e-05,1.3755632997864658e-05
1768,1.722243731754653e-07,1.3258908178873493e-05,1.3258908178873493e-05,1.3258908178873493e-05
1769,1.6476714189853476e-07,1.2905642116883037e-05,1.2905642116883037e-05,1.2905642116883037e-05
1770,1.6507687153729682e-07,1.2318652157513757e-05,1.2318652157513757e-05,1.2318652157513757e-05
1771,1.4750064991631007e-07,1.052039624482859e-05,1.052039624482859e-05,1.052039624482859e-05
1772,1.6501924347624352e-07,1.0580309857946954e-05,1.0580309857946954e-05,1.0580309857946954e-05
1773,1.7673868971509625e-07,1.0818706739103487e-05,1.0818706739103487e-05,1.0818706739103487e-05
1774,1.7963526387023065e-07,1.1380152110567515e-05,1.1380152110567515e-05,1.1380152110567515e-05
1775,1.6436789504073852e-07,1.0674372853307951e-05,1.0674372853307951e-05,1.0674372853307951e-05
1776,1.830618399724569e-07,1.2832097321994037e-05,1.2832097321994037e-05,1.2832097321994037e-05
1777,1.891438421759111e-07,1.3198527930009213e-05,1.3198527930009213e-05,1.3198527930009213e-05
1778,2.1198699227755113e-07,1.3895444226363907e-05,1.3895444226363907e-05,1.3895444226363907e-05
1779,1.9587291636266206e-07,1.4134047692745558e-05,1.4134047692745558e-05,1.4134047692745558e-05
1780,1.757381755039335e-07,1.331650082647684e-05,1.331650082647684e-05,1.331650082647684e-05
1781,1.6546625098661544e-07,1.2419994488612116e-05,1.2419994488612116e-05,1.2419994488612116e-05
1782,1.7117656219462723e-07,1.2550471702914884e-05,1.2550471702914884e-05,1.2550471702914884e-05
1783,1.4246307346508858e-07,1.007918945106212e-05,1.007918945106212e-05,1.007918945106212e-05
1784,1.44496646774834e-07,9.453215105687767e-06,9.453215105687767e-06,9.453215105687767e-06
1785,1.3054038967246534e-07,9.1345993626289e-06,9.1345993626289e-06,9.1345993626289e-06
1786,1.4173521987816328e-07,8.345180374038006e-06,8.345180374038006e-06,8.345180374038006e-06
1787,1.4743578853020673e-07,8.81543603879566e-06,8.81543603879566e-06,8.81543603879566e-06
1788,1.4137614000121956e-07,8.764596324389068e-06,8.764596324389068e-06,8.764596324389068e-06
1789,1.392350747713473e-07,8.83672549077476e-06,8.83672549077476e-06,8.83672549077476e-06
1790,1.3951585689905448e-07,8.9927313768255e-06,8.9927313768255e-06,8.9927313768255e-06
1791,1.4705671499573976e-07,1.0654117366876953e-05,1.0654117366876953e-05,1.0654117366876953e-05
1792,1.5919884686711937e-07,1.3024450514162059e-05,1.3024450514162059e-05,1.3024450514162059e-05
1793,1.5353362771617996e-07,1.348977366433246e-05,1.348977366433246e-05,1.348977366433246e-05
1794,1.470036770407595e-07,1.2699587906744065e-05,1.2699587906744065e-05,1.2699587906744065e-05
1795,1.5950977529298272e-07,1.398843791581125e-05,1.398843791581125e-05,1.398843791581125e-05
1796,1.614526823345841e-07,1.3981269538427504e-05,1.3981269538427504e-05,1.3981269538427504e-05
1797,1.6758590045843187e-07,1.4354627507730453e-05,1.4354627507730453e-05,1.4354627507730453e-05
