ngram,Quality Control,Qualty Control,Quality Contol
1808,1.61589065937408e-09,0.0,0.0
1809,1.96160164302382e-09,0.0,0.0
1810,1.96160164302382e-09,0.0,0.0
1811,1.7610949841286227e-09,0.0,0.0
1812,1.0179040784866596e-09,0.0,0.0
1813,1.0179040784866596e-09,0.0,0.0
1814,1.0179040784866596e-09,0.0,0.0
1815,1.0179040784866596e-09,0.0,0.0
1816,6.721930948369195e-10,0.0,0.0
1817,6.721930948369195e-10,0.0,0.0
1818,0.0,0.0,0.0
1819,0.0,0.0,0.0
1820,2.81569022066362e-10,0.0,0.0
1821,2.81569022066362e-10,0.0,0.0
1822,2.81569022066362e-10,0.0,0.0
1823,1.7578118960415168e-09,0.0,0.0
1824,1.7578118960415168e-09,0.0,0.0
1825,1.7578118960415168e-09,0.0,0.0
1826,1.7578118960415168e-09,0.0,0.0
1827,1.4762428739751548e-09,0.0,0.0
1828,1.4762428739751548e-09,0.0,0.0
1829,8.133915636270622e-09,0.0,0.0
1830,6.657672762295468e-09,0.0,0.0
1831,6.746527043371182e-09,0.0,0.0
1832,6.827934765204649e-09,0.0,0.0
1833,6.827934765204649e-09,0.0,0.0
1834,6.986646729410597e-09,0.0,0.0
1835,8.028123412083334e-09,0.0,0.0
1836,1.585781212692134e-09,0.0,0.0
1837,1.585781212692134e-09,0.0,0.0
1838,2.1538099240611277e-09,0.0,0.0
1839,2.07240220222766e-09,0.0,0.0
1840,2.07240220222766e-09,0.0,0.0
1841,1.9136902380217133e-09,0.0,0.0
1842,9.303010861660965e-10,0.0,0.0
1843,7.14970523261828e-10,0.0,0.0
1844,1.1618963212191501e-09,0.0,0.0
1845,5.050133287744427e-10,0.0,0.0
1846,5.050133287744427e-10,0.0,0.0
1847,5.050133287744427e-10,0.0,0.0
1848,5.050133287744427e-10,0.0,0.0
1849,4.46925797957322e-10,0.0,0.0
1850,4.46925797957322e-10,0.0,0.0
1851,6.648339656578628e-10,0.0,0.0
1852,6.648339656578628e-10,0.0,0.0
1853,6.648339656578628e-10,0.0,0.0
1854,6.648339656578628e-10,0.0,0.0
1855,7.650076921145959e-10,0.0,0.0
1856,1.475704336506567e-09,0.0,0.0
