ngram,Replication,Replicaton
1651,1.0495506249493961e-06,0.0
1652,1.1052220218386668e-06,0.0
1653,1.1052220218386668e-06,0.0
1654,1.2085924043146536e-06,0.0
1655,6.6156755857654e-07,0.0
1656,1.489486375508672e-06,0.0
1657,1.457254967363042e-06,0.0
1658,1.457254967363042e-06,0.0
1659,1.4659179409396269e-06,0.0
1660,1.6262675412040802e-06,0.0
1661,1.4188516063638547e-06,0.0
1662,1.1864394277186615e-06,0.0
1663,2.8029283579858853e-07,0.0
1664,3.0328993310441934e-07,0.0
1665,3.473815500651004e-07,0.0
1666,1.002118312141777e-06,0.0
1667,8.742210277595015e-07,0.0
1668,1.3117532030751785e-06,0.0
1669,1.3117532030751785e-06,0.0
1670,1.5436482040545992e-06,0.0
1671,1.5041524343522333e-06,0.0
1672,1.7306674371703984e-06,0.0
1673,1.0610820453393899e-06,0.0
1674,1.1912823489572993e-06,0.0
1675,7.880686731758553e-07,0.0
1676,9.16908204219778e-07,0.0
1677,8.19357995039484e-07,0.0
1678,8.798406554433313e-07,0.0
1679,7.707364204634359e-07,0.0
1680,8.479641776050682e-07,0.0
1681,7.076874055655935e-07,0.0
1682,6.935299390014344e-07,0.0
1683,6.088248645547927e-07,0.0
1684,5.037016523244477e-07,0.0
1685,5.859612904097438e-07,0.0
1686,4.2445890561079326e-07,0.0
1687,4.213456727646709e-07,0.0
1688,7.717024520356322e-07,0.0
1689,7.515414190655585e-07,0.0
1690,7.904881260044152e-07,0.0
1691,1.7399087011783974e-06,0.0
1692,1.5817242545576197e-06,0.0
1693,1.7384802301226695e-06,0.0
1694,1.883121021657124e-06,0.0
1695,1.556908805306583e-06,0.0
1696,1.6513844838885104e-06,0.0
1697,1.6050386964902178e-06,0.0
1698,6.989954377851453e-07,0.0
1699,1.0412745398623104e-06,0.0
1700,9.625056804907217e-07,0.0
1701,7.909322172443873e-07,0.0
1702,8.283079263752111e-07,0.0
1703,1.1644394330038007e-06,0.0
1704,1.2662923235698794e-06,0.0
1705,1.2577980612604733e-06,0.0
1706,9.361524462292437e-07,0.0
1707,1.259196267255902e-06,0.0
1708,1.4519046820688736e-06,0.0
1709,1.5243337786939395e-06,0.0
1710,2.195488085427704e-06,0.0
1711,2.3089003694362224e-06,0.0
1712,2.2556591555858825e-06,0.0
1713,2.384445866912951e-06,0.0
1714,2.136560698521147e-06,0.0
1715,2.900163550074402e-06,0.0
1716,2.841242877796698e-06,0.0
1717,1.938157921139399e-06,0.0
1718,1.8564760070814503e-06,0.0
1719,1.865367199879334e-06,0.0
1720,2.2359466628683677e-06,0.0
1721,3.2303685669278692e-06,0.0
1722,2.556041455445016e-06,0.0
1723,2.625366665906118e-06,0.0
1724,2.9550729010452415e-06,0.0
1725,3.8656383704197395e-06,0.0
1726,3.865046250796565e-06,0.0
1727,3.7524696462501846e-06,0.0
1728,2.8187274584265002e-06,0.0
1729,2.4846795473162534e-06,0.0
1730,2.3915989361609846e-06,0.0
1731,1.995584219522633e-06,0.0
1732,1.3715723688229836e-06,0.0
1733,1.4015832618952118e-06,0.0
1734,9.808156237665701e-07,0.0
1735,9.9333254459972e-07,0.0
1736,1.0424382342729847e-06,0.0
1737,1.1625946813507783e-06,0.0
1738,1.1675220313074014e-06,0.0
1739,1.0143559125351333e-06,0.0
1740,1.0849789841163978e-06,0.0
1741,1.4846087310615985e-06,0.0
1742,1.4177006326982727e-06,0.0
1743,1.381779465451213e-06,0.0
1744,1.2460066614039533e-06,0.0
1745,1.1276459852232229e-06,0.0
1746,8.538077115157908e-07,0.0
1747,1.0667433940625415e-06,0.0
1748,6.931875040956064e-07,0.0
1749,5.833060003266967e-07,0.0
1750,5.749986107567955e-07,0.0
1751,5.169658245612092e-07,0.0
1752,5.331184078321323e-07,0.0
1753,5.133092498356615e-07,0.0
1754,1.9731338442495273e-07,0.0
1755,1.6091606421956124e-07,0.0
1756,2.1456925988364413e-07,0.0
1757,2.625322344280383e-07,0.0
1758,3.060384210178719e-07,0.0
1759,3.3009062150313184e-07,0.0
1760,3.6527515691529645e-07,0.0
1761,5.011950991372162e-07,0.0
1762,5.092428452257991e-07,0.0
1763,5.735186385485187e-07,0.0
1764,5.126135300364305e-07,0.0
1765,5.310029201106252e-07,0.0
1766,5.058739306816408e-07,0.0
1767,5.842997846830908e-07,0.0
1768,5.764830512638193e-07,0.0
1769,7.146557753198326e-07,0.0
1770,5.587056689039725e-07,0.0
1771,5.274321205815471e-07,0.0
1772,5.52527243513623e-07,0.0
1773,8.299396283868126e-07,0.0
1774,7.891168937338275e-07,0.0
1775,8.609291012159506e-07,0.0
1776,7.581065431289906e-07,0.0
1777,7.524109574116469e-07,0.0
1778,8.500479873012929e-07,0.0
1779,7.861124586838741e-07,0.0
1780,6.132888300060455e-07,0.0
1781,5.916430103931296e-07,0.0
1782,4.807398598570347e-07,0.0
1783,4.5256414133681186e-07,0.0
1784,5.615766198729943e-07,0.0
1785,4.6352866941593416e-07,0.0
1786,4.712957602594413e-07,0.0
1787,5.350917139220915e-07,0.0
1788,5.692694772717135e-07,0.0
1789,5.810228042183294e-07,0.0
1790,7.469957483051206e-07,0.0
1791,7.78752615409368e-07,0.0
1792,8.228700392822117e-07,0.0
1793,9.241747420674074e-07,0.0
1794,1.8125776932720328e-06,0.0
1795,2.6825280364002017e-06,0.0
1796,4.3077471657073015e-06,0.0
1797,4.1804097747899505e-06,0.0
1798,4.081254177533213e-06,0.0
1799,4.116390126033106e-06,0.0
1800,4.050129384885233e-06,0.0
1801,2.9667606494651215e-06,0.0
1802,2.2844826703354622e-06,0.0
