ngram,Vi,V,V,V
1564,4.4869024610047094e-07,3.900739687066691e-05,3.900739687066691e-05,3.900739687066691e-05
1565,4.4869024610047094e-07,4.498802146762111e-05,4.498802146762111e-05,4.498802146762111e-05
1566,4.4869024610047094e-07,6.0217385518106834e-05,6.0217385518106834e-05,6.0217385518106834e-05
1567,1.3647946356546266e-06,6.93597057761508e-05,6.93597057761508e-05,6.93597057761508e-05
1568,1.3647946356546266e-06,8.406511252750144e-05,8.406511252750144e-05,8.406511252750144e-05
1569,1.3647946356546266e-06,0.00010011232578628031,0.00010011232578628031,0.00010011232578628031
1570,1.3647946356546266e-06,9.329299999600542e-05,9.329299999600542e-05,9.329299999600542e-05
1571,1.3647946356546266e-06,8.156361426309948e-05,8.156361426309948e-05,8.156361426309948e-05
1572,1.3647946356546266e-06,7.987746513598333e-05,7.987746513598333e-05,7.987746513598333e-05
1573,1.3647946356546266e-06,7.59737849875819e-05,7.59737849875819e-05,7.59737849875819e-05
1574,0.0,7.022717129854885e-05,7.022717129854885e-05,7.022717129854885e-05
1575,0.0,5.5521764547198215e-05,5.5521764547198215e-05,5.5521764547198215e-05
1576,0.0,4.355568255830024e-05,4.355568255830024e-05,4.355568255830024e-05
1577,0.0,4.865863437381839e-05,4.865863437381839e-05,4.865863437381839e-05
1578,9.63652447743308e-07,4.756682028528303e-05,4.756682028528303e-05,4.756682028528303e-05
1579,1.6104072528833058e-06,4.090855405333319e-05,4.090855405333319e-05,4.090855405333319e-05
1580,1.6104072528833058e-06,3.057333099474947e-05,3.057333099474947e-05,3.057333099474947e-05
1581,1.6104072528833058e-06,6.853484468852653e-05,6.853484468852653e-05,6.853484468852653e-05
1582,1.6104072528833058e-06,8.026632329866905e-05,8.026632329866905e-05,8.026632329866905e-05
1583,1.6104072528833058e-06,8.161681638999394e-05,8.161681638999394e-05,8.161681638999394e-05
1584,1.6104072528833058e-06,7.741297615991374e-05,7.741297615991374e-05,7.741297615991374e-05
1585,1.0241909811676514e-06,7.49235969124129e-05,7.49235969124129e-05,7.49235969124129e-05
1586,3.774361760276536e-07,7.629174199662105e-05,7.629174199662105e-05,7.629174199662105e-05
1587,3.774361760276536e-07,0.00012340634144233524,0.00012340634144233524,0.00012340634144233524
1588,1.0469419911325012e-06,8.426433584775493e-05,8.426433584775493e-05,8.426433584775493e-05
1589,1.0469419911325012e-06,7.477357491682466e-05,7.477357491682466e-05,7.477357491682466e-05
1590,1.0469419911325012e-06,7.692335949676428e-05,7.692335949676428e-05,7.692335949676428e-05
1591,1.0469419911325012e-06,0.00014105841182754375,0.00014105841182754375,0.00014105841182754375
1592,1.2664776087539004e-06,0.00014862651447141876,0.00014862651447141876,0.00014862651447141876
1593,1.2664776087539004e-06,0.00014835915473148425,0.00014835915473148425,0.00014835915473148425
1594,1.2664776087539004e-06,0.00010746225260455893,0.00010746225260455893,0.00010746225260455893
1595,5.969717936490529e-07,0.00011157294518073156,0.00011157294518073156,0.00011157294518073156
1596,5.015754400769115e-06,0.00011964272094441444,0.00011964272094441444,0.00011964272094441444
1597,5.3789406787732986e-06,0.00011887900577026553,0.00011887900577026553,0.00011887900577026553
1598,5.732812009487784e-06,7.025562497022162e-05,7.025562497022162e-05,7.025562497022162e-05
1599,5.13584021583873e-06,6.150720582809299e-05,6.150720582809299e-05,6.150720582809299e-05
1600,5.242346300552267e-06,6.811189970384086e-05,6.811189970384086e-05,6.811189970384086e-05
1601,5.632994023991549e-06,7.516238370694086e-05,7.516238370694086e-05,7.516238370694086e-05
1602,5.737394742157319e-06,7.582251471051547e-05,7.582251471051547e-05,7.582251471051547e-05
1603,1.318612135037256e-06,7.251789325632021e-05,7.251789325632021e-05,7.251789325632021e-05
1604,9.554258570330733e-07,6.783870230719913e-05,6.783870230719913e-05,6.783870230719913e-05
1605,7.13991417861897e-07,5.626270571415911e-05,5.626270571415911e-05,5.626270571415911e-05
1606,7.13991417861897e-07,5.8233226809534244e-05,5.8233226809534244e-05,5.8233226809534244e-05
1607,6.07485333148361e-07,5.366491911575265e-05,5.366491911575265e-05,5.366491911575265e-05
1608,2.1683760970907834e-07,4.220176327050597e-05,4.220176327050597e-05,4.220176327050597e-05
1609,4.897848465848906e-07,3.565969875905596e-05,3.565969875905596e-05,3.565969875905596e-05
1610,4.897848465848906e-07,3.196748158578495e-05,3.196748158578495e-05,3.196748158578495e-05
1611,1.1042585015275108e-06,3.40935883806586e-05,3.40935883806586e-05,3.40935883806586e-05
1612,9.91821609984202e-07,3.9480830050056935e-05,3.9480830050056935e-05,3.9480830050056935e-05
1613,1.311442572062203e-06,4.210773555054662e-05,4.210773555054662e-05,4.210773555054662e-05
1614,1.6410523195580545e-06,3.9412356012949855e-05,3.9412356012949855e-05,3.9412356012949855e-05
1615,1.6410523195580545e-06,5.185460005512661e-05,5.185460005512661e-05,5.185460005512661e-05
1616,1.263704364516473e-06,5.439701141897656e-05,5.439701141897656e-05,5.439701141897656e-05
1617,1.3872456991391248e-06,5.936062578777117e-05,5.936062578777117e-05,5.936062578777117e-05
1618,1.2651577289294176e-06,5.86360672189455e-05,5.86360672189455e-05,5.86360672189455e-05
1619,1.2651577289294176e-06,5.224021203632999e-05,5.224021203632999e-05,5.224021203632999e-05
1620,1.1470145945427897e-06,5.451819846972025e-05,5.451819846972025e-05,5.451819846972025e-05
1621,1.3526588499449384e-06,5.8782275508357475e-05,5.8782275508357475e-05,5.8782275508357475e-05
1622,1.5637040746696584e-06,4.7132313868912335e-05,4.7132313868912335e-05,4.7132313868912335e-05
1623,1.5637040746696584e-06,4.8818108552950434e-05,4.8818108552950434e-05,4.8818108552950434e-05
1624,1.5894949326268813e-06,6.60766441537167e-05,6.60766441537167e-05,6.60766441537167e-05
1625,1.927756151027487e-06,6.906534768599418e-05,6.906534768599418e-05,6.906534768599418e-05
1626,2.1573779674456872e-06,6.983161100444184e-05,6.983161100444184e-05,6.983161100444184e-05
1627,2.1156714800391844e-06,6.771163446371377e-05,6.771163446371377e-05,6.771163446371377e-05
1628,2.3665570227292065e-06,6.458778625528794e-05,6.458778625528794e-05,6.458778625528794e-05
1629,2.3205704857381145e-06,6.917042264831252e-05,6.917042264831252e-05,6.917042264831252e-05
1630,2.8380644607750583e-06,8.542088211730256e-05,8.542088211730256e-05,8.542088211730256e-05
1631,2.858772225928468e-06,6.407939638717965e-05,6.407939638717965e-05,6.407939638717965e-05
1632,2.4862559939720086e-06,6.136212141427677e-05,6.136212141427677e-05,6.136212141427677e-05
1633,2.9420981815876857e-06,6.458397469292063e-05,6.458397469292063e-05,6.458397469292063e-05
1634,2.7823268413028146e-06,6.883580057806935e-05,6.883580057806935e-05,6.883580057806935e-05
1635,2.7370647330826614e-06,6.810088364415736e-05,6.810088364415736e-05,6.810088364415736e-05
1636,3.0062280822156547e-06,6.939651913333884e-05,6.939651913333884e-05,6.939651913333884e-05
1637,2.708214489237954e-06,5.16248190771356e-05,5.16248190771356e-05,5.16248190771356e-05
1638,2.740179638749396e-06,5.571270958171226e-05,5.571270958171226e-05,5.571270958171226e-05
1639,2.5935298871055627e-06,5.705396584484593e-05,5.705396584484593e-05,5.705396584484593e-05
1640,2.319298102650334e-06,5.7258704535862694e-05,5.7258704535862694e-05,5.7258704535862694e-05
1641,2.617908535285096e-06,5.401848933875694e-05,5.401848933875694e-05,5.401848933875694e-05
1642,2.308830435790047e-06,5.2856034017167985e-05,5.2856034017167985e-05,5.2856034017167985e-05
1643,1.8746083989234258e-06,4.7364180967893586e-05,4.7364180967893586e-05,4.7364180967893586e-05
1644,4.771617893441414e-06,4.730538967123721e-05,4.730538967123721e-05,4.730538967123721e-05
1645,5.0607811122712775e-06,7.311025988851075e-05,7.311025988851075e-05,7.311025988851075e-05
1646,5.655945902357676e-06,7.41381437754691e-05,7.41381437754691e-05,7.41381437754691e-05
1647,5.764941436479733e-06,7.569130606758076e-05,7.569130606758076e-05,7.569130606758076e-05
1648,6.01652183312191e-06,7.530798055605763e-05,7.530798055605763e-05,7.530798055605763e-05
1649,5.819405812092425e-06,7.87987334790939e-05,7.87987334790939e-05,7.87987334790939e-05
1650,6.302527318829172e-06,8.070984404184856e-05,8.070984404184856e-05,8.070984404184856e-05
1651,3.917038806581072e-06,8.221687884153133e-05,8.221687884153133e-05,8.221687884153133e-05
1652,3.982584465640164e-06,5.542275227656189e-05,5.542275227656189e-05,5.542275227656189e-05
1653,3.6035692119185114e-06,5.71125175546123e-05,5.71125175546123e-05,5.71125175546123e-05
1654,3.373723757249536e-06,5.492433410836384e-05,5.492433410836384e-05,5.492433410836384e-05
1655,3.1140481431586e-06,5.339600517930064e-05,5.339600517930064e-05,5.339600517930064e-05
1656,3.830818806298859e-06,6.021206926171934e-05,6.021206926171934e-05,6.021206926171934e-05
1657,3.653546043226795e-06,6.21676211137258e-05,6.21676211137258e-05,6.21676211137258e-05
1658,3.5659322747960687e-06,6.198741123496023e-05,6.198741123496023e-05,6.198741123496023e-05
1659,3.330890129810931e-06,6.299359197977797e-05,6.299359197977797e-05,6.299359197977797e-05
1660,3.845532091872883e-06,6.016035019586395e-05,6.016035019586395e-05,6.016035019586395e-05
1661,4.09263306469906e-06,6.0972962923447736e-05,6.0972962923447736e-05,6.0972962923447736e-05
1662,4.167516570825163e-06,6.036990453139879e-05,6.036990453139879e-05,6.036990453139879e-05
1663,3.6102324624412826e-06,5.184978830844297e-05,5.184978830844297e-05,5.184978830844297e-05
1664,3.972534386775806e-06,5.076905134566394e-05,5.076905134566394e-05,5.076905134566394e-05
1665,3.902337831667475e-06,5.224802849365265e-05,5.224802849365265e-05,5.224802849365265e-05
1666,4.1399435823612814e-06,5.457516869812805e-05,5.457516869812805e-05,5.457516869812805e-05
1667,3.9089790919076354e-06,5.4153417295310646e-05,5.4153417295310646e-05,5.4153417295310646e-05
1668,3.7215215473094887e-06,5.190723459236324e-05,5.190723459236324e-05,5.190723459236324e-05
1669,3.955204647354549e-06,5.381896491079325e-05,5.381896491079325e-05,5.381896491079325e-05
1670,5.029703191082392e-06,5.761913416790776e-05,5.761913416790776e-05,5.761913416790776e-05
1671,4.948205384737646e-06,6.00890265819284e-05,6.00890265819284e-05,6.00890265819284e-05
1672,4.7932245641797115e-06,5.692978863537844e-05,5.692978863537844e-05,5.692978863537844e-05
1673,4.926747351419181e-06,5.3528432804991356e-05,5.3528432804991356e-05,5.3528432804991356e-05
1674,4.603397298654142e-06,5.299082061225947e-05,5.299082061225947e-05,5.299082061225947e-05
1675,4.802467563942108e-06,5.441886085983632e-05,5.441886085983632e-05,5.441886085983632e-05
1676,4.6757973645331475e-06,5.172843936764236e-05,5.172843936764236e-05,5.172843936764236e-05
1677,3.979611522351791e-06,4.600991919038019e-05,4.600991919038019e-05,4.600991919038019e-05
1678,3.731574387139907e-06,4.3432716795775506e-05,4.3432716795775506e-05,4.3432716795775506e-05
1679,3.774799552047625e-06,4.636658923118375e-05,4.636658923118375e-05,4.636658923118375e-05
1680,3.643158964093475e-06,4.6491053840977005e-05,4.6491053840977005e-05,4.6491053840977005e-05
1681,4.117362550459802e-06,4.7952461630172494e-05,4.7952461630172494e-05,4.7952461630172494e-05
1682,4.031970320284017e-06,4.7005353865513045e-05,4.7005353865513045e-05,4.7005353865513045e-05
1683,4.398113398045618e-06,5.010253984697296e-05,5.010253984697296e-05,5.010253984697296e-05
1684,4.940601911584963e-06,5.194647850917785e-05,5.194647850917785e-05,5.194647850917785e-05
1685,6.683186809043816e-06,5.285065656477984e-05,5.285065656477984e-05,5.285065656477984e-05
1686,6.553301903165577e-06,5.080639571783e-05,5.080639571783e-05,5.080639571783e-05
1687,6.5277432830563546e-06,5.144982995781382e-05,5.144982995781382e-05,5.144982995781382e-05
1688,6.35763866999436e-06,4.841935307402829e-05,4.841935307402829e-05,4.841935307402829e-05
1689,6.556929455265552e-06,5.168033229503115e-05,5.168033229503115e-05,5.168033229503115e-05
1690,6.341483478016536e-06,4.9788085951669405e-05,4.9788085951669405e-05,4.9788085951669405e-05
1691,6.22534893019682e-06,4.7561430359824696e-05,4.7561430359824696e-05,4.7561430359824696e-05
1692,4.522837018937155e-06,4.819359258233037e-05,4.819359258233037e-05,4.819359258233037e-05
1693,4.849661633800549e-06,5.6723819787813614e-05,5.6723819787813614e-05,5.6723819787813614e-05
1694,4.948084811725753e-06,5.5022474823220235e-05,5.5022474823220235e-05,5.5022474823220235e-05
1695,4.8693408903740675e-06,5.9047696205587794e-05,5.9047696205587794e-05,5.9047696205587794e-05
1696,4.899167964010433e-06,5.9007611915668736e-05,5.9007611915668736e-05,5.9007611915668736e-05
1697,5.2311789399287334e-06,6.044941255822778e-05,6.044941255822778e-05,6.044941255822778e-05
1698,4.758331345198842e-06,6.633780087992948e-05,6.633780087992948e-05,6.633780087992948e-05
1699,5.216093216274333e-06,6.640860686145191e-05,6.640860686145191e-05,6.640860686145191e-05
1700,5.3375893003249075e-06,5.8998920784298594e-05,5.8998920784298594e-05,5.8998920784298594e-05
1701,5.4285719020949074e-06,6.098219455452636e-05,6.098219455452636e-05,6.098219455452636e-05
1702,5.590175663071152e-06,6.150361046560906e-05,6.150361046560906e-05,6.150361046560906e-05
1703,5.659197540808236e-06,6.110387974851099e-05,6.110387974851099e-05,6.110387974851099e-05
1704,5.258430909244842e-06,5.9816482202482545e-05,5.9816482202482545e-05,5.9816482202482545e-05
1705,5.228435124341299e-06,5.635484090557189e-05,5.635484090557189e-05,5.635484090557189e-05
1706,5.410919779283826e-06,5.560400105813252e-05,5.560400105813252e-05,5.560400105813252e-05
1707,5.518177658814238e-06,5.746057130246689e-05,5.746057130246689e-05,5.746057130246689e-05
1708,5.6516528924735865e-06,5.8416920053007614e-05,5.8416920053007614e-05,5.8416920053007614e-05
1709,5.6064623095153365e-06,5.891527013903085e-05,5.891527013903085e-05,5.891527013903085e-05
1710,5.464359674078878e-06,5.945808464145687e-05,5.945808464145687e-05,5.945808464145687e-05
1711,5.762931518152722e-06,6.102722493648928e-05,6.102722493648928e-05,6.102722493648928e-05
1712,5.740470377142108e-06,6.454886689815404e-05,6.454886689815404e-05,6.454886689815404e-05
1713,5.251617884433861e-06,7.148180780599691e-05,7.148180780599691e-05,7.148180780599691e-05
1714,4.881355802613793e-06,7.090514346990468e-05,7.090514346990468e-05,7.090514346990468e-05
1715,4.88337247718716e-06,7.195474505091884e-05,7.195474505091884e-05,7.195474505091884e-05
1716,4.726623209145535e-06,7.276225993077137e-05,7.276225993077137e-05,7.276225993077137e-05
1717,4.641780736035019e-06,7.050897901146007e-05,7.050897901146007e-05,7.050897901146007e-05
1718,4.539806176191112e-06,7.147001971523943e-05,7.147001971523943e-05,7.147001971523943e-05
1719,4.715722525361343e-06,7.030250500455233e-05,7.030250500455233e-05,7.030250500455233e-05
1720,4.711185218703966e-06,6.54290062292213e-05,6.54290062292213e-05,6.54290062292213e-05
1721,5.1141243407723124e-06,6.24790450923943e-05,6.24790450923943e-05,6.24790450923943e-05
1722,4.864104831930101e-06,5.9500918203931565e-05,5.9500918203931565e-05,5.9500918203931565e-05
1723,4.691317274461783e-06,5.752557366836949e-05,5.752557366836949e-05,5.752557366836949e-05
1724,4.790478247481847e-06,5.795034407388552e-05,5.795034407388552e-05,5.795034407388552e-05
1725,4.605705303869659e-06,6.250785944368025e-05,6.250785944368025e-05,6.250785944368025e-05
1726,4.337519287998605e-06,6.271318280986244e-05,6.271318280986244e-05,6.271318280986244e-05
1727,4.427818307054362e-06,6.28202318953949e-05,6.28202318953949e-05,6.28202318953949e-05
1728,3.993979199939142e-06,6.46093264679491e-05,6.46093264679491e-05,6.46093264679491e-05
1729,3.842282174965865e-06,6.515703249273688e-05,6.515703249273688e-05,6.515703249273688e-05
1730,3.7676212676680213e-06,6.50130225819469e-05,6.50130225819469e-05,6.50130225819469e-05
1731,3.537632794957192e-06,6.484196637757123e-05,6.484196637757123e-05,6.484196637757123e-05
1732,3.40329354133116e-06,6.02268597244152e-05,6.02268597244152e-05,6.02268597244152e-05
1733,3.208393504142545e-06,5.7372703720050466e-05,5.7372703720050466e-05,5.7372703720050466e-05
1734,3.04678142778617e-06,5.587328580856722e-05,5.587328580856722e-05,5.587328580856722e-05
1735,3.0911023713997565e-06,5.680184144044428e-05,5.680184144044428e-05,5.680184144044428e-05
1736,3.1229169832970783e-06,5.8752480461927394e-05,5.8752480461927394e-05,5.8752480461927394e-05
1737,3.0849997918786746e-06,5.858203387885753e-05,5.858203387885753e-05,5.858203387885753e-05
1738,2.9280606343361015e-06,5.757413704746536e-05,5.757413704746536e-05,5.757413704746536e-05
1739,2.7870049572291985e-06,5.6470717806535375e-05,5.6470717806535375e-05,5.6470717806535375e-05
1740,2.9921376543435533e-06,5.780073895169023e-05,5.780073895169023e-05,5.780073895169023e-05
1741,3.12015767381776e-06,6.0722999478457496e-05,6.0722999478457496e-05,6.0722999478457496e-05
1742,2.8768515026708234e-06,6.0222971244781676e-05,6.0222971244781676e-05,6.0222971244781676e-05
1743,2.742616126332515e-06,6.188341545306944e-05,6.188341545306944e-05,6.188341545306944e-05
1744,2.7299860058909483e-06,6.440876521602539e-05,6.440876521602539e-05,6.440876521602539e-05
1745,2.9562224881374277e-06,6.91836877584657e-05,6.91836877584657e-05,6.91836877584657e-05
1746,3.198083569649108e-06,6.917304251276488e-05,6.917304251276488e-05,6.917304251276488e-05
1747,2.9850713677400823e-06,6.733711571931573e-05,6.733711571931573e-05,6.733711571931573e-05
1748,2.839586776255081e-06,6.404225756081619e-05,6.404225756081619e-05,6.404225756081619e-05
1749,2.88460881035592e-06,6.290907757439916e-05,6.290907757439916e-05,6.290907757439916e-05
1750,2.8812115228252618e-06,5.838165244702915e-05,5.838165244702915e-05,5.838165244702915e-05
1751,2.7739158667827724e-06,5.4895613824815624e-05,5.4895613824815624e-05,5.4895613824815624e-05
1752,2.6358264091998407e-06,5.081420074150499e-05,5.081420074150499e-05,5.081420074150499e-05
1753,2.4703255933543133e-06,4.918457177284706e-05,4.918457177284706e-05,4.918457177284706e-05
1754,2.3679913283558562e-06,4.9061035887072126e-05,4.9061035887072126e-05,4.9061035887072126e-05
1755,2.1662752942575025e-06,4.8031565841353897e-05,4.8031565841353897e-05,4.8031565841353897e-05
1756,2.159066834142972e-06,4.769692272280476e-05,4.769692272280476e-05,4.769692272280476e-05
1757,2.077118535583265e-06,4.916448441300807e-05,4.916448441300807e-05,4.916448441300807e-05
1758,2.061147500041573e-06,4.959130144145872e-05,4.959130144145872e-05,4.959130144145872e-05
1759,2.2129000366736103e-06,4.869874464930035e-05,4.869874464930035e-05,4.869874464930035e-05
1760,2.082618964647866e-06,4.893542063655332e-05,4.893542063655332e-05,4.893542063655332e-05
1761,2.0479447877213327e-06,4.8900491362603914e-05,4.8900491362603914e-05,4.8900491362603914e-05
1762,1.9899434196953995e-06,4.7963674920278466e-05,4.7963674920278466e-05,4.7963674920278466e-05
1763,1.917790119218158e-06,4.844859410825718e-05,4.844859410825718e-05,4.844859410825718e-05
1764,1.8126042472691291e-06,4.615189495130575e-05,4.615189495130575e-05,4.615189495130575e-05
1765,1.7789981094600599e-06,4.440134736276897e-05,4.440134736276897e-05,4.440134736276897e-05
1766,1.6048636228203707e-06,4.600224357480849e-05,4.600224357480849e-05,4.600224357480849e-05
1767,1.733120224603876e-06,4.623477018737633e-05,4.623477018737633e-05,4.623477018737633e-05
1768,1.6633074600187164e-06,4.58995158883876e-05,4.58995158883876e-05,4.58995158883876e-05
1769,1.6355237773625828e-06,4.6355789631239274e-05,4.6355789631239274e-05,4.6355789631239274e-05
1770,1.674056826621901e-06,4.568206194172879e-05,4.568206194172879e-05,4.568206194172879e-05
1771,1.6319609861576673e-06,4.502157337680858e-05,4.502157337680858e-05,4.502157337680858e-05
1772,1.5641094169690665e-06,4.541441116348973e-05,4.541441116348973e-05,4.541441116348973e-05
1773,1.406924062458919e-06,4.2550009051670455e-05,4.2550009051670455e-05,4.2550009051670455e-05
1774,1.2422405250487958e-06,4.1307219882063304e-05,4.1307219882063304e-05,4.1307219882063304e-05
1775,1.2352342001317344e-06,4.0666460595925204e-05,4.0666460595925204e-05,4.0666460595925204e-05
1776,1.2595591231599559e-06,3.977592807911735e-05,3.977592807911735e-05,3.977592807911735e-05
1777,1.1113685088405743e-06,3.976225499562653e-05,3.976225499562653e-05,3.976225499562653e-05
1778,1.3742132166173957e-06,4.048374311033902e-05,4.048374311033902e-05,4.048374311033902e-05
1779,1.4698783843414276e-06,4.0756217848476286e-05,4.0756217848476286e-05,4.0756217848476286e-05
1780,1.5208912762838217e-06,4.102888747833536e-05,4.102888747833536e-05,4.102888747833536e-05
1781,1.475370400580037e-06,4.1751300679087376e-05,4.1751300679087376e-05,4.1751300679087376e-05
1782,1.4402031313563514e-06,4.150851704512856e-05,4.150851704512856e-05,4.150851704512856e-05
1783,1.4057858217191615e-06,4.141149890658978e-05,4.141149890658978e-05,4.141149890658978e-05
1784,1.455880107771788e-06,4.005407442621488e-05,4.005407442621488e-05,4.005407442621488e-05
1785,1.2278771269588366e-06,3.9360768693898406e-05,3.9360768693898406e-05,3.9360768693898406e-05
1786,1.1414269920351217e-06,3.808107222929331e-05,3.808107222929331e-05,3.808107222929331e-05
1787,1.1010019176995099e-06,3.761514381039888e-05,3.761514381039888e-05,3.761514381039888e-05
1788,1.1342315571839987e-06,3.61107595381327e-05,3.61107595381327e-05,3.61107595381327e-05
1789,1.1745977254966938e-06,3.5138106925712365e-05,3.5138106925712365e-05,3.5138106925712365e-05
1790,1.3370470079670277e-06,3.587229158646161e-05,3.587229158646161e-05,3.587229158646161e-05
1791,1.3285825031873953e-06,3.497494721419311e-05,3.497494721419311e-05,3.497494721419311e-05
1792,1.3974532911171472e-06,3.4072069476159026e-05,3.4072069476159026e-05,3.4072069476159026e-05
1793,1.395745130139403e-06,3.524592986130821e-05,3.524592986130821e-05,3.524592986130821e-05
1794,1.369163831960967e-06,3.452096124029984e-05,3.452096124029984e-05,3.452096124029984e-05
