ngram,AES,AES,AE,A
1617,0.0,0.0,6.392419241560024e-07,0.0007117678843704718
1618,0.0,0.0,6.392419241560024e-07,0.0006814451938095902
1619,0.0,0.0,3.0024664608520524e-06,0.0007636587917139488
1620,0.0,0.0,2.36322453669605e-06,0.0008370673001211669
1621,0.0,0.0,2.36322453669605e-06,0.0008321168133988976
1622,0.0,0.0,2.433572944937623e-06,0.0007977124644509916
1623,0.0,0.0,2.702987135957561e-06,0.0008110649941954762
1624,1.045325331818146e-06,1.045325331818146e-06,8.377610421510845e-06,0.0009357334971095302
1625,1.045325331818146e-06,1.045325331818146e-06,8.377610421510845e-06,0.0009266020206268877
1626,1.045325331818146e-06,1.045325331818146e-06,6.014385884814796e-06,0.0008330401157893773
1627,1.045325331818146e-06,1.045325331818146e-06,6.174157225099666e-06,0.0007341920323337295
1628,1.045325331818146e-06,1.045325331818146e-06,6.239668851191839e-06,0.0007117532991937228
1629,1.045325331818146e-06,1.045325331818146e-06,6.334379130683894e-06,0.0007374070493304836
1630,1.045325331818146e-06,1.045325331818146e-06,7.444948916405078e-06,0.0007625919326008963
1631,0.0,0.0,1.9970455744961716e-06,0.0006191621775672372
1632,0.0,0.0,2.0886717087315835e-06,0.0006356756078145866
1633,0.0,0.0,2.0886717087315835e-06,0.0006395445213586624
1634,0.0,0.0,3.6567546349683004e-06,0.0006221961687385504
1635,0.0,0.0,3.591243008876128e-06,0.0006378823558666877
1636,0.0,0.0,3.599873139137344e-06,0.0007888398748556418
1637,0.0,0.0,2.4393695444554657e-06,0.0007738710430982922
1638,0.0,0.0,2.279984637912743e-06,0.0007984429414916251
1639,7.787022988330656e-08,7.787022988330656e-08,2.188358503677331e-06,0.0008412898418360523
1640,7.787022988330656e-08,7.787022988330656e-08,2.188358503677331e-06,0.0008891893001938504
1641,7.787022988330656e-08,7.787022988330656e-08,4.6050423715574394e-07,0.0008992806708972369
1642,7.787022988330656e-08,7.787022988330656e-08,4.6050423715574394e-07,0.0008917174085841648
1643,7.787022988330656e-08,7.787022988330656e-08,2.8681541916090024e-07,0.0007767130238270121
1644,7.787022988330656e-08,7.787022988330656e-08,6.733503710165678e-08,0.0007564226814013507
1645,7.787022988330656e-08,7.787022988330656e-08,9.823366196672265e-08,0.0007747588512886848
1646,0.0,0.0,9.823366196672265e-08,0.0007288358839494842
1647,0.0,0.0,9.823366196672265e-08,0.0006787811123233821
1648,0.0,0.0,9.823366196672265e-08,0.0006564242648892105
1649,0.0,0.0,1.764614369546637e-07,0.0006577839126943477
1650,0.0,0.0,3.0822185083577226e-07,0.000627759877326233
1651,0.0,0.0,3.0822185083577226e-07,0.0006141469265068216
1652,0.0,0.0,2.0998818886904962e-07,0.0006105728513960328
1653,0.0,0.0,2.0998818886904962e-07,0.0006146402447484434
1654,0.0,0.0,4.588872976845388e-07,0.0006233032327145338
1655,0.0,0.0,4.588872976845388e-07,0.0006200834510049649
1656,0.0,0.0,6.07196170676616e-07,0.0006977168128027447
1657,0.0,0.0,6.700667784441196e-07,0.0007628345462892737
1658,0.0,0.0,7.236824127890681e-07,0.0008274589947957013
1659,0.0,0.0,7.880167832549237e-07,0.0008644948247820139
1660,0.0,0.0,8.681915833871504e-07,0.0008664950312647436
1661,0.0,0.0,6.192924745716612e-07,0.0009138738137802907
1662,0.0,0.0,7.410920537560222e-07,0.0009178056581211942
1663,0.0,0.0,7.116403415758603e-07,0.0008746334434753018
1664,0.0,0.0,5.170093199272483e-07,0.0008307476195373706
1665,0.0,0.0,5.515769195036617e-07,0.0007847432196805519
1666,0.0,0.0,1.3261589028193806e-06,0.000752341201794999
1667,0.0,0.0,1.4082456881884094e-06,0.0007472632070338088
1668,0.0,0.0,1.4082456881884094e-06,0.0006966673536226153
1669,0.0,0.0,1.2864461090040486e-06,0.0006956926081329584
1670,0.0,0.0,1.089361173204192e-06,0.0006633231699067567
1671,0.0,0.0,1.089361173204192e-06,0.0006332376506179571
1672,4.920120285792759e-08,4.920120285792759e-08,1.0257785407117938e-06,0.0006324848176778428
1673,4.920120285792759e-08,4.920120285792759e-08,1.8686218693021927e-07,0.0005935513264765697
1674,4.920120285792759e-08,4.920120285792759e-08,1.2219217637721158e-07,0.0005938598437101714
1675,4.920120285792759e-08,4.920120285792759e-08,1.5651067591144446e-07,0.0006032712158880063
1676,4.920120285792759e-08,4.920120285792759e-08,3.2829671730334145e-07,0.0006235422084241041
1677,4.920120285792759e-08,4.920120285792759e-08,3.618829152531232e-07,0.0006384162282172058
