ngram,Ferguson,Fergson
1828,2.924347492288299e-06,2.206586183614182e-10
1829,3.4816387791839328e-06,3.612071752812085e-10
1830,3.5334811465353207e-06,3.612071752812085e-10
1831,3.668909682476494e-06,3.612071752812085e-10
1832,3.7265618695008536e-06,3.612071752812085e-10
1833,3.7587656801666266e-06,3.612071752812085e-10
1834,3.963950608262426e-06,3.612071752812085e-10
1835,4.050796308417505e-06,1.405485569197903e-10
1836,3.626035744933428e-06,0.0
1837,3.6925290000259077e-06,0.0
1838,3.674749807812207e-06,0.0
1839,3.7551383879222807e-06,0.0
1840,3.80019241674745e-06,0.0
1841,3.5313652720755532e-06,0.0
1842,3.30642160406569e-06,0.0
1843,3.388071653327123e-06,0.0
1844,3.4333534780931326e-06,0.0
1845,3.4849203984776977e-06,0.0
1846,3.5123550787830027e-06,0.0
1847,3.5203222848524873e-06,6.060546509090159e-11
1848,3.5316115827299654e-06,6.060546509090159e-11
1849,3.7134439675615534e-06,6.060546509090159e-11
1850,3.6531974793823404e-06,6.060546509090159e-11
1851,3.604829121936096e-06,6.060546509090159e-11
1852,3.846570020219328e-06,6.060546509090159e-11
1853,3.9950908948022904e-06,6.060546509090159e-11
1854,4.153468580625486e-06,0.0
1855,4.491280768499044e-06,0.0
1856,4.30368946321583e-06,0.0
1857,4.603359002430807e-06,0.0
1858,5.006961308546514e-06,0.0
1859,5.006711457359156e-06,0.0
1860,4.9439221519216e-06,0.0
1861,4.811982275246659e-06,1.6946003330734324e-10
1862,4.579169171847752e-06,1.6946003330734324e-10
1863,4.836393860127178e-06,1.6946003330734324e-10
1864,4.751810398114945e-06,1.6946003330734324e-10
1865,4.386161858097434e-06,1.6946003330734324e-10
1866,4.174885979019953e-06,1.6946003330734324e-10
1867,4.12261809807595e-06,1.6946003330734324e-10
1868,4.208546183040848e-06,0.0
1869,4.2083761075316166e-06,0.0
1870,4.1651260614474135e-06,0.0
1871,4.103200451157006e-06,0.0
1872,4.2834922818916055e-06,0.0
1873,4.376740369999814e-06,0.0
1874,4.471738780661586e-06,0.0
1875,4.522526588906268e-06,4.011503034513047e-11
1876,4.733351943286834e-06,7.844701475713732e-11
1877,4.696792400084503e-06,7.844701475713732e-11
1878,4.792240296020671e-06,7.844701475713732e-11
1879,4.728608343741923e-06,1.1336082866059932e-10
1880,4.73181483227693e-06,1.1336082866059932e-10
1881,4.709611013303012e-06,1.1336082866059932e-10
1882,4.718598315126396e-06,7.324579831546885e-11
1883,4.664444856773896e-06,3.4913813903461997e-11
1884,4.7790117605472915e-06,3.4913813903461997e-11
1885,4.798742598463182e-06,3.4913813903461997e-11
1886,4.963589292726413e-06,0.0
1887,5.228990435820638e-06,0.0
1888,5.46996190158617e-06,0.0
1889,5.532387668998646e-06,2.6170894816347966e-11
1890,5.6501872417616795e-06,7.676227510776203e-11
1891,5.6103511139683955e-06,1.2797237872571746e-10
