ngram,SAP,SAP,SP,SP
1750,1.769507816464154e-08,1.769507816464154e-08,6.988216674536878e-07,6.988216674536878e-07
1751,3.197163270637507e-08,3.197163270637507e-08,5.345252662079604e-07,5.345252662079604e-07
1752,3.197163270637507e-08,3.197163270637507e-08,4.920189025727138e-07,4.920189025727138e-07
1753,3.197163270637507e-08,3.197163270637507e-08,5.639197208243527e-07,5.639197208243527e-07
1754,2.7812480953213836e-08,2.7812480953213836e-08,6.185368671854771e-07,6.185368671854771e-07
1755,2.802605690378966e-08,2.802605690378966e-08,6.305149936127106e-07,6.305149936127106e-07
1756,3.106152744537992e-08,3.106152744537992e-08,6.360932981611508e-07,6.360932981611508e-07
1757,3.94360724393599e-08,3.94360724393599e-08,5.962585670918738e-07,5.962585670918738e-07
1758,4.691261119254315e-08,4.691261119254315e-08,7.257307247852753e-07,7.257307247852753e-07
1759,4.691261119254315e-08,4.691261119254315e-08,6.84645846555603e-07,6.84645846555603e-07
1760,4.691261119254315e-08,4.691261119254315e-08,5.216110362685608e-07,5.216110362685608e-07
1761,5.246374610935943e-08,5.246374610935943e-08,4.85072874312209e-07,4.85072874312209e-07
1762,4.861043834125667e-08,4.861043834125667e-08,4.3517367487311276e-07,4.3517367487311276e-07
1763,4.557496779966641e-08,4.557496779966641e-08,4.899792043845861e-07,4.899792043845861e-07
1764,3.0114907900724575e-08,3.0114907900724575e-08,4.274356330467656e-07,4.274356330467656e-07
1765,1.130922301838057e-08,1.130922301838057e-08,3.159471698869051e-07,3.159471698869051e-07
1766,2.831448396380308e-08,2.831448396380308e-08,6.760699916087885e-07,6.760699916087885e-07
1767,3.420348854937012e-08,3.420348854937012e-08,7.1412221862894e-07,7.1412221862894e-07
1768,3.9381203821773984e-08,3.9381203821773984e-08,1.2728375306128977e-06,1.2728375306128977e-06
1769,3.9381203821773984e-08,3.9381203821773984e-08,1.2623340402179956e-06,1.2623340402179956e-06
1770,4.2264125405771276e-08,4.2264125405771276e-08,1.2319493164016291e-06,1.2319493164016291e-06
1771,3.945344571677976e-08,3.945344571677976e-08,1.230703065045548e-06,1.230703065045548e-06
1772,4.177820096223124e-08,4.177820096223124e-08,1.2412270028302634e-06,1.2412270028302634e-06
1773,2.7368130872673646e-08,2.7368130872673646e-08,8.87066923788942e-07,8.87066923788942e-07
1774,3.484144173171444e-08,3.484144173171444e-08,8.064772083165346e-07,8.064772083165346e-07
1775,2.4112591542494296e-08,2.4112591542494296e-08,3.0490942748429006e-07,3.0490942748429006e-07
1776,3.496206955690338e-08,3.496206955690338e-08,3.1037541552742756e-07,3.1037541552742756e-07
1777,3.207914797290609e-08,3.207914797290609e-08,2.614360040200024e-07,2.614360040200024e-07
1778,3.764143536549065e-08,3.764143536549065e-08,2.9028694216646856e-07,2.9028694216646856e-07
1779,3.2369271707466396e-08,3.2369271707466396e-08,2.4246548946393887e-07,2.4246548946393887e-07
1780,2.9774080851601477e-08,2.9774080851601477e-08,2.3555275419084865e-07,2.3555275419084865e-07
1781,1.6411765406993643e-08,1.6411765406993643e-08,2.497256202462138e-07,2.497256202462138e-07
1782,1.6411765406993643e-08,1.6411765406993643e-08,2.0396887683611048e-07,2.0396887683611048e-07
1783,1.2086084767913365e-08,1.2086084767913365e-08,1.893550053263685e-07,1.893550053263685e-07
1784,1.8743973230682187e-08,1.8743973230682187e-08,2.0182809886851567e-07,2.0182809886851567e-07
1785,1.4799808236075153e-08,1.4799808236075153e-08,3.35778368919039e-07,3.35778368919039e-07
1786,1.0324630027115842e-07,1.0324630027115842e-07,3.738936779232712e-07,3.738936779232712e-07
1787,1.0582458350886067e-07,1.0582458350886067e-07,4.038587947872786e-07,4.038587947872786e-07
1788,1.0713113558174265e-07,1.0713113558174265e-07,3.9859435726644475e-07,3.9859435726644475e-07
1789,1.0829452039879633e-07,1.0829452039879633e-07,3.433260675121476e-07,3.433260675121476e-07
1790,1.1723860092262481e-07,1.1723860092262481e-07,4.131772044502213e-07,4.131772044502213e-07
1791,1.1275264493499598e-07,1.1275264493499598e-07,7.695263621241923e-07,7.695263621241923e-07
1792,1.1113452253701845e-07,1.1113452253701845e-07,6.416214871153767e-07,6.416214871153767e-07
1793,2.5646096801779095e-08,2.5646096801779095e-08,6.133762582294366e-07,6.133762582294366e-07
1794,3.0053712407607236e-08,3.0053712407607236e-08,5.979047118996408e-07,5.979047118996408e-07
1795,4.244624258425185e-08,4.244624258425185e-08,6.495416532256318e-07,6.495416532256318e-07
1796,4.2231019379914055e-08,4.2231019379914055e-08,6.739379451963552e-07,6.739379451963552e-07
1797,3.016468338604536e-08,3.016468338604536e-08,6.574623755893429e-07,6.574623755893429e-07
1798,4.2459167546939266e-08,4.2459167546939266e-08,6.554589211711053e-07,6.554589211711053e-07
1799,5.086994209995461e-08,5.086994209995461e-08,6.682187379932916e-07,6.682187379932916e-07
1800,5.573349014044636e-08,5.573349014044636e-08,8.106174647082298e-07,8.106174647082298e-07
1801,5.478401725917641e-08,5.478401725917641e-08,8.214705563399807e-07,8.214705563399807e-07
1802,5.801588029033919e-08,5.801588029033919e-08,8.005940433771944e-07,8.005940433771944e-07
