ngram,NEC,NE,NC,NC
1726,6.62615049813147e-08,1.8793855036035114e-06,5.047009220707618e-07,5.047009220707618e-07
1727,4.5920837164560776e-08,1.9679971826138043e-06,5.986554967307711e-07,5.986554967307711e-07
1728,5.887995716388364e-08,1.8890125050217778e-06,3.594914973957332e-07,3.594914973957332e-07
1729,5.887995716388364e-08,2.128305108531744e-06,3.7955696439796937e-07,3.7955696439796937e-07
1730,5.27047809839587e-08,2.13759046476168e-06,3.8141403483190774e-07,3.8141403483190774e-07
1731,5.967152055014984e-08,2.150660666952068e-06,4.4630633258943166e-07,4.4630633258943166e-07
1732,5.23185675100584e-08,1.8662546332442226e-06,4.261282790756533e-07,4.261282790756533e-07
1733,3.379334501119047e-08,1.8361993901245505e-06,4.09514872298392e-07,4.09514872298392e-07
1734,3.727409238406056e-08,1.7557497114596896e-06,2.624558642797378e-07,2.624558642797378e-07
1735,2.431497238473769e-08,1.7809857208054121e-06,4.3053276702461775e-07,4.3053276702461775e-07
1736,2.431497238473769e-08,1.475183604985172e-06,4.2916787939312986e-07,4.2916787939312986e-07
1737,1.1429613928320187e-07,1.4776379251608368e-06,4.2412144044387136e-07,4.2412144044387136e-07
1738,1.1831303226017553e-07,1.6120781976626728e-06,3.584709357288115e-07,3.584709357288115e-07
1739,1.2154394874690816e-07,1.8128236791069087e-06,4.1441306158113936e-07,4.1441306158113936e-07
1740,1.2200645776212176e-07,1.8084868185854117e-06,4.012885404287252e-07,4.012885404287252e-07
1741,1.1168299453499588e-07,1.6501395683527725e-06,4.028477787544814e-07,4.028477787544814e-07
1742,1.1806036681605292e-07,1.4986241012593382e-06,2.4701468045610196e-07,2.4701468045610196e-07
1743,1.1806036681605292e-07,1.5547157090622932e-06,2.0703514788270434e-07,2.0703514788270434e-07
1744,2.8079199917588734e-08,1.776969871311199e-06,2.4630954089031677e-07,2.4630954089031677e-07
1745,4.234187146932657e-08,1.5926271349339264e-06,4.120500349813483e-07,4.120500349813483e-07
1746,4.408893212420091e-08,1.4186115809674708e-06,3.2979326748870464e-07,3.2979326748870464e-07
1747,4.907910877705035e-08,1.3861532904359462e-06,3.356144690412423e-07,3.356144690412423e-07
1748,4.907910877705035e-08,1.3173190122220798e-06,3.492098891959878e-07,3.492098891959878e-07
1749,5.261229724900269e-08,1.1889944013481518e-06,3.194341248656331e-07,3.194341248656331e-07
1750,6.580722303592016e-08,1.0938833432711753e-06,3.790760924208111e-07,3.790760924208111e-07
1751,7.294550030678693e-08,8.839670288450309e-07,3.263917410630971e-07,3.263917410630971e-07
1752,7.10907381216787e-08,8.518598925937633e-07,1.574647947271452e-07,1.574647947271452e-07
1753,7.11421134066573e-08,8.683864507474937e-07,1.7260422729188057e-07,1.7260422729188057e-07
1754,6.703279556826861e-08,9.318949878434069e-07,1.6017660594716938e-07,1.6017660594716938e-07
1755,8.62993344087824e-08,9.702055519613038e-07,1.5011171531195293e-07,1.5011171531195293e-07
1756,7.942424419736329e-08,1.0283213863918457e-06,1.7470698970052062e-07,1.7470698970052062e-07
1757,8.754518227809577e-08,9.577836327220472e-07,1.1152387508721923e-07,1.1152387508721923e-07
1758,8.662207459256674e-08,8.321556492774107e-07,1.2832316897970486e-07,1.2832316897970486e-07
1759,6.323053268277232e-08,8.165027907125477e-07,1.3791996319615203e-07,1.3791996319615203e-07
1760,5.820118025618675e-08,7.723702830324848e-07,1.5506169300952673e-07,1.5506169300952673e-07
1761,5.5384177751908025e-08,6.867831854963567e-07,2.1608273925721733e-07,2.1608273925721733e-07
1762,3.880022094092185e-08,6.643920593368031e-07,2.113998363029168e-07,2.113998363029168e-07
1763,6.4151497066892e-08,7.441255352854828e-07,1.7477739535008497e-07,1.7477739535008497e-07
1764,4.5646312888233554e-08,8.380422562887751e-07,2.192793832226211e-07,2.192793832226211e-07
1765,5.122077695318694e-08,9.709000404914799e-07,2.0294057685126582e-07,2.0294057685126582e-07
1766,5.462182909151839e-08,9.687232461276705e-07,2.025518632819967e-07,2.025518632819967e-07
1767,6.051083367708543e-08,9.570589116135255e-07,1.8001523522619728e-07,1.8001523522619728e-07
1768,6.56885489494893e-08,1.0099312411122291e-06,1.2403711429393687e-07,1.2403711429393687e-07
1769,6.300596691996166e-08,1.0418017057288255e-06,1.2549182467783533e-07,1.2549182467783533e-07
1770,4.3267985004393136e-08,1.0248512905621152e-06,2.4950169980846635e-07,2.4950169980846635e-07
1771,5.0987880584330014e-08,1.010290247904777e-06,2.0154210922385118e-07,2.0154210922385118e-07
1772,6.292298263385224e-08,1.0354900723541505e-06,1.999854765598132e-07,1.999854765598132e-07
1773,6.990269391898047e-08,1.095972062817704e-06,1.9076578818198543e-07,1.9076578818198543e-07
1774,6.935861561276266e-08,1.100085049594262e-06,1.7604327671806785e-07,1.7604327671806785e-07
1775,7.018452206710077e-08,1.0976172494078388e-06,1.531870900604661e-06,1.531870900604661e-06
1776,8.374636907758162e-08,1.1181456410927889e-06,1.5251106011098564e-06,1.5251106011098564e-06
1777,8.093370494423522e-08,1.0329226337749527e-06,1.404098152032621e-06,1.404098152032621e-06
1778,7.59654170678914e-08,1.0149121862923494e-06,1.4125900830005582e-06,1.4125900830005582e-06
