ngram,Marsh,Marsh,Mrsh,Mrsh
1829,5.365798382886819e-06,5.365798382886819e-06,7.322501494044786e-10,7.322501494044786e-10
1830,5.155019997411208e-06,5.155019997411208e-06,8.275546914404686e-10,8.275546914404686e-10
1831,5.238354593270092e-06,5.238354593270092e-06,8.275546914404686e-10,8.275546914404686e-10
1832,5.073398045039669e-06,5.073398045039669e-06,8.275546914404686e-10,8.275546914404686e-10
1833,4.95291370888091e-06,4.95291370888091e-06,8.275546914404686e-10,8.275546914404686e-10
1834,4.842308174244993e-06,4.842308174244993e-06,8.275546914404686e-10,8.275546914404686e-10
1835,4.807988196781869e-06,4.807988196781869e-06,1.6557882049588509e-10,1.6557882049588509e-10
1836,4.936923167926059e-06,4.936923167926059e-06,1.703657215301746e-10,1.703657215301746e-10
1837,5.290657944507464e-06,5.290657944507464e-06,7.506117949418467e-11,7.506117949418467e-11
1838,5.348947914691442e-06,5.348947914691442e-06,7.506117949418467e-11,7.506117949418467e-11
1839,5.431224313464814e-06,5.431224313464814e-06,7.506117949418467e-11,7.506117949418467e-11
1840,5.525451147799945e-06,5.525451147799945e-06,1.5064714555178072e-10,1.5064714555178072e-10
1841,5.7122104278408055e-06,5.7122104278408055e-06,1.5064714555178072e-10,1.5064714555178072e-10
1842,5.863207726568882e-06,5.863207726568882e-06,2.114625855372968e-10,2.114625855372968e-10
1843,5.9241180159525745e-06,5.9241180159525745e-06,2.0197593597615082e-10,2.0197593597615082e-10
1844,5.754384996440162e-06,5.754384996440162e-06,2.0197593597615082e-10,2.0197593597615082e-10
1845,5.816954723871147e-06,5.816954723871147e-06,2.687147012839627e-10,2.687147012839627e-10
1846,6.022775388763486e-06,6.022775388763486e-06,2.687147012839627e-10,2.687147012839627e-10
1847,5.981914000585675e-06,5.981914000585675e-06,2.5373420031726823e-10,2.5373420031726823e-10
1848,5.830944116626467e-06,5.830944116626467e-06,2.5373420031726823e-10,2.5373420031726823e-10
1849,5.7053119754917655e-06,5.7053119754917655e-06,2.466582969619578e-10,2.466582969619578e-10
1850,5.691124637710995e-06,5.691124637710995e-06,2.7602358494099073e-10,2.7602358494099073e-10
1851,5.5395976232830435e-06,5.5395976232830435e-06,2.7602358494099073e-10,2.7602358494099073e-10
1852,5.4443807390011245e-06,5.4443807390011245e-06,2.0928481963317884e-10,2.0928481963317884e-10
1853,5.382584406886183e-06,5.382584406886183e-06,2.5754416060103884e-10,2.5754416060103884e-10
1854,5.545508754169402e-06,5.545508754169402e-06,1.9693869551013725e-10,1.9693869551013725e-10
1855,5.572183973916773e-06,5.572183973916773e-06,1.9693869551013725e-10,1.9693869551013725e-10
1856,5.670042550523899e-06,5.670042550523899e-06,1.4319915887993163e-10,1.4319915887993163e-10
1857,5.588330103429533e-06,5.588330103429533e-06,4.825934096786e-11,4.825934096786e-11
1858,5.8726180733564045e-06,5.8726180733564045e-06,4.825934096786e-11,4.825934096786e-11
1859,6.257009122886562e-06,6.257009122886562e-06,1.701181180051898e-10,1.701181180051898e-10
1860,6.391445627481776e-06,6.391445627481776e-06,1.218587770373298e-10,1.218587770373298e-10
1861,6.631752447512034e-06,6.631752447512034e-06,1.218587770373298e-10,1.218587770373298e-10
1862,6.763383420807908e-06,6.763383420807908e-06,1.218587770373298e-10,1.218587770373298e-10
1863,6.901664229579703e-06,6.901664229579703e-06,1.218587770373298e-10,1.218587770373298e-10
1864,7.040997778468798e-06,7.040997778468798e-06,1.6895389849074556e-10,1.6895389849074556e-10
1865,6.991811980177383e-06,6.991811980177383e-06,1.6895389849074556e-10,1.6895389849074556e-10
1866,7.105180364825563e-06,7.105180364825563e-06,4.709512145341575e-11,4.709512145341575e-11
1867,6.930896623608922e-06,6.930896623608922e-06,4.709512145341575e-11,4.709512145341575e-11
