ngram,BYD,BYD,BY,BY
1671,0.0,0.0,3.965553836288953e-06,3.965553836288953e-06
1672,0.0,0.0,4.405149720046861e-06,4.405149720046861e-06
1673,0.0,0.0,4.1943424905964226e-06,4.1943424905964226e-06
1674,0.0,0.0,4.487977499983182e-06,4.487977499983182e-06
1675,0.0,0.0,3.9277939874539565e-06,3.9277939874539565e-06
1676,0.0,0.0,3.7282231102965724e-06,3.7282231102965724e-06
1677,0.0,0.0,3.623755333137524e-06,3.623755333137524e-06
1678,0.0,0.0,4.2441388684112876e-06,4.2441388684112876e-06
1679,0.0,0.0,3.753794966801901e-06,3.753794966801901e-06
1680,0.0,0.0,3.3572663856570476e-06,3.3572663856570476e-06
1681,0.0,0.0,3.3108038093944614e-06,3.3108038093944614e-06
1682,0.0,0.0,3.24772294594108e-06,3.24772294594108e-06
1683,0.0,0.0,3.0830645982860005e-06,3.0830645982860005e-06
1684,0.0,0.0,6.036147153411418e-06,6.036147153411418e-06
1685,0.0,0.0,5.623027829772452e-06,5.623027829772452e-06
1686,0.0,0.0,6.520265628751076e-06,6.520265628751076e-06
1687,0.0,0.0,6.537137340144129e-06,6.537137340144129e-06
1688,0.0,0.0,6.259130470555517e-06,6.259130470555517e-06
1689,0.0,0.0,6.06549787919773e-06,6.06549787919773e-06
1690,0.0,0.0,6.112245500844438e-06,6.112245500844438e-06
1691,0.0,0.0,3.7990486946780166e-06,3.7990486946780166e-06
1692,0.0,0.0,3.814032424998004e-06,3.814032424998004e-06
1693,0.0,0.0,3.0096348057538435e-06,3.0096348057538435e-06
1694,0.0,0.0,3.3552585136931157e-06,3.3552585136931157e-06
1695,0.0,0.0,3.7579372279391724e-06,3.7579372279391724e-06
1696,0.0,0.0,4.277077778169769e-06,4.277077778169769e-06
1697,0.0,0.0,4.979419730131797e-06,4.979419730131797e-06
1698,0.0,0.0,5.987538803050743e-06,5.987538803050743e-06
1699,0.0,0.0,6.170840314163277e-06,6.170840314163277e-06
1700,0.0,0.0,6.407811919676273e-06,6.407811919676273e-06
1701,0.0,0.0,6.063790351618081e-06,6.063790351618081e-06
1702,0.0,0.0,6.3297388805949595e-06,6.3297388805949595e-06
1703,0.0,0.0,6.261561468688472e-06,6.261561468688472e-06
1704,0.0,0.0,5.559488759640122e-06,5.559488759640122e-06
1705,0.0,0.0,4.189172126903681e-06,4.189172126903681e-06
1706,0.0,0.0,4.048046451186695e-06,4.048046451186695e-06
1707,0.0,0.0,3.9433233983540305e-06,3.9433233983540305e-06
1708,0.0,0.0,4.097030504064085e-06,4.097030504064085e-06
1709,0.0,0.0,3.463012717475067e-06,3.463012717475067e-06
1710,0.0,0.0,4.010459146489406e-06,4.010459146489406e-06
1711,0.0,0.0,4.348021580621467e-06,4.348021580621467e-06
1712,0.0,0.0,4.0899764631571344e-06,4.0899764631571344e-06
1713,0.0,0.0,4.339828852347896e-06,4.339828852347896e-06
1714,0.0,0.0,4.314245351062189e-06,4.314245351062189e-06
1715,0.0,0.0,5.002770746744188e-06,5.002770746744188e-06
1716,0.0,0.0,5.1113330365686645e-06,5.1113330365686645e-06
1717,0.0,0.0,4.38198078102557e-06,4.38198078102557e-06
1718,0.0,0.0,4.4990286564175875e-06,4.4990286564175875e-06
1719,0.0,0.0,4.444442148659229e-06,4.444442148659229e-06
1720,0.0,0.0,4.589226754043401e-06,4.589226754043401e-06
1721,0.0,0.0,4.55172835245321e-06,4.55172835245321e-06
1722,0.0,0.0,4.029972420279851e-06,4.029972420279851e-06
1723,0.0,0.0,3.955870917187505e-06,3.955870917187505e-06
1724,0.0,0.0,3.920092792343764e-06,3.920092792343764e-06
1725,0.0,0.0,3.67571854959741e-06,3.67571854959741e-06
1726,0.0,0.0,3.842528745475907e-06,3.842528745475907e-06
1727,0.0,0.0,3.506017297435652e-06,3.506017297435652e-06
1728,0.0,0.0,3.4839009198809175e-06,3.4839009198809175e-06
1729,0.0,0.0,3.49150332112913e-06,3.49150332112913e-06
1730,0.0,0.0,3.4318048035077353e-06,3.4318048035077353e-06
1731,0.0,0.0,3.5176705880855607e-06,3.5176705880855607e-06
1732,0.0,0.0,3.7090826156470158e-06,3.7090826156470158e-06
1733,0.0,0.0,3.7938988433389957e-06,3.7938988433389957e-06
1734,0.0,0.0,3.944640021862662e-06,3.944640021862662e-06
1735,0.0,0.0,3.9889609654762485e-06,3.9889609654762485e-06
1736,0.0,0.0,3.955185645411673e-06,3.955185645411673e-06
1737,0.0,0.0,4.616387351623936e-06,4.616387351623936e-06
1738,0.0,0.0,4.519701568434746e-06,4.519701568434746e-06
1739,0.0,0.0,4.4782605073123705e-06,4.4782605073123705e-06
1740,0.0,0.0,4.551222965736608e-06,4.551222965736608e-06
1741,0.0,0.0,4.735456773882366e-06,4.735456773882366e-06
1742,0.0,0.0,5.42962428491072e-06,5.42962428491072e-06
1743,0.0,0.0,5.818088636390582e-06,5.818088636390582e-06
1744,0.0,0.0,5.44634261651871e-06,5.44634261651871e-06
1745,0.0,0.0,5.722418206590062e-06,5.722418206590062e-06
1746,0.0,0.0,5.403823934102547e-06,5.403823934102547e-06
1747,0.0,0.0,5.1808152810346134e-06,5.1808152810346134e-06
1748,0.0,0.0,4.909170229439042e-06,4.909170229439042e-06
1749,0.0,0.0,4.081137214078419e-06,4.081137214078419e-06
1750,0.0,0.0,3.8043987647792425e-06,3.8043987647792425e-06
1751,0.0,0.0,3.8932580212401395e-06,3.8932580212401395e-06
1752,0.0,0.0,4.339786008651052e-06,4.339786008651052e-06
1753,0.0,0.0,4.589871943088448e-06,4.589871943088448e-06
1754,0.0,0.0,4.869035397600133e-06,4.869035397600133e-06
1755,0.0,0.0,4.83920530314208e-06,4.83920530314208e-06
1756,0.0,0.0,5.134870142293428e-06,5.134870142293428e-06
1757,0.0,0.0,4.941283155598544e-06,4.941283155598544e-06
1758,0.0,0.0,4.765067615153384e-06,4.765067615153384e-06
1759,0.0,0.0,4.100215132244297e-06,4.100215132244297e-06
1760,0.0,0.0,4.531964610318287e-06,4.531964610318287e-06
1761,0.0,0.0,4.740421380639808e-06,4.740421380639808e-06
1762,0.0,0.0,5.0031976570608094e-06,5.0031976570608094e-06
1763,0.0,0.0,5.259227691567503e-06,5.259227691567503e-06
1764,0.0,0.0,5.5044231105836976e-06,5.5044231105836976e-06
1765,0.0,0.0,5.862823107755892e-06,5.862823107755892e-06
1766,0.0,0.0,7.498437103744696e-06,7.498437103744696e-06
1767,0.0,0.0,7.652744248584245e-06,7.652744248584245e-06
1768,0.0,0.0,7.5899121968957066e-06,7.5899121968957066e-06
1769,0.0,0.0,7.835142956277455e-06,7.835142956277455e-06
1770,0.0,0.0,8.360198535228847e-06,8.360198535228847e-06
1771,0.0,0.0,9.40802088475071e-06,9.40802088475071e-06
1772,0.0,0.0,1.0388899032217783e-05,1.0388899032217783e-05
1773,0.0,0.0,9.46186433533772e-06,9.46186433533772e-06
1774,0.0,0.0,9.293166320795926e-06,9.293166320795926e-06
1775,0.0,0.0,9.78924448905413e-06,9.78924448905413e-06
1776,0.0,0.0,1.0553486650418823e-05,1.0553486650418823e-05
1777,0.0,0.0,1.2001282032412877e-05,1.2001282032412877e-05
1778,0.0,0.0,1.2094215500318179e-05,1.2094215500318179e-05
1779,0.0,0.0,1.1813255436469003e-05,1.1813255436469003e-05
1780,0.0,0.0,1.2807993568588114e-05,1.2807993568588114e-05
1781,0.0,0.0,1.424278421576933e-05,1.424278421576933e-05
1782,0.0,0.0,1.4650915805499867e-05,1.4650915805499867e-05
1783,0.0,0.0,1.665215365522142e-05,1.665215365522142e-05
1784,0.0,0.0,1.5320756314654966e-05,1.5320756314654966e-05
1785,0.0,0.0,1.5084462704960191e-05,1.5084462704960191e-05
1786,0.0,0.0,1.6952686564764008e-05,1.6952686564764008e-05
1787,0.0,0.0,1.7516579386470505e-05,1.7516579386470505e-05
1788,0.0,0.0,1.727290054986952e-05,1.727290054986952e-05
1789,2.326769634107352e-09,2.326769634107352e-09,1.782791085653506e-05,1.782791085653506e-05
