ngram,Procter,Procter,Proter,Proter
1778,3.0320700058642356e-07,3.0320700058642356e-07,2.712369503602271e-09,2.712369503602271e-09
1779,2.8460563632799154e-07,2.8460563632799154e-07,2.712369503602271e-09,2.712369503602271e-09
1780,2.4308258263415284e-07,2.4308258263415284e-07,2.712369503602271e-09,2.712369503602271e-09
1781,2.0490815419041804e-07,2.0490815419041804e-07,2.712369503602271e-09,2.712369503602271e-09
1782,1.6659110586252674e-07,1.6659110586252674e-07,2.712369503602271e-09,2.712369503602271e-09
1783,1.3406618875373105e-07,1.3406618875373105e-07,0.0,0.0
1784,9.818600358154786e-08,9.818600358154786e-08,0.0,0.0
1785,5.6671129249658795e-08,5.6671129249658795e-08,1.6181223979775235e-09,1.6181223979775235e-09
1786,6.092844654200949e-08,6.092844654200949e-08,1.6181223979775235e-09,1.6181223979775235e-09
1787,7.639814546069244e-08,7.639814546069244e-08,1.6181223979775235e-09,1.6181223979775235e-09
1788,9.931011797042239e-08,9.931011797042239e-08,1.6181223979775235e-09,1.6181223979775235e-09
1789,1.0248006836783524e-07,1.0248006836783524e-07,2.7815072150311995e-09,2.7815072150311995e-09
1790,1.0376040547401186e-07,1.0376040547401186e-07,2.7815072150311995e-09,2.7815072150311995e-09
1791,9.254551512429186e-08,9.254551512429186e-08,2.7815072150311995e-09,2.7815072150311995e-09
1792,1.1930782913996803e-07,1.1930782913996803e-07,1.163384817053676e-09,1.163384817053676e-09
1793,1.5429813465012948e-07,1.5429813465012948e-07,1.163384817053676e-09,1.163384817053676e-09
1794,1.4282037800025398e-07,1.4282037800025398e-07,1.163384817053676e-09,1.163384817053676e-09
1795,1.2164897711386402e-07,1.2164897711386402e-07,2.989929066237502e-09,2.989929066237502e-09
1796,1.1622181414086949e-07,1.1622181414086949e-07,1.8265442491838257e-09,1.8265442491838257e-09
1797,1.329815886614532e-07,1.329815886614532e-07,1.8265442491838257e-09,1.8265442491838257e-09
1798,1.4375414484188047e-07,1.4375414484188047e-07,1.8265442491838257e-09,1.8265442491838257e-09
1799,1.1888190495515768e-07,1.1888190495515768e-07,1.8265442491838257e-09,1.8265442491838257e-09
1800,9.83874183394359e-08,9.83874183394359e-08,1.8265442491838257e-09,1.8265442491838257e-09
1801,1.5615275675681266e-07,1.5615275675681266e-07,1.8265442491838257e-09,1.8265442491838257e-09
1802,1.7898140315862422e-07,1.7898140315862422e-07,4.341267980022069e-10,4.341267980022069e-10
1803,1.8413694696001975e-07,1.8413694696001975e-07,7.851267572586299e-10,7.851267572586299e-10
1804,1.7993512204027085e-07,1.7993512204027085e-07,1.7003594088293994e-09,1.7003594088293994e-09
1805,1.7204241485403925e-07,1.7204241485403925e-07,2.219714412277085e-09,2.219714412277085e-09
1806,1.7175298846642102e-07,1.7175298846642102e-07,2.219714412277085e-09,2.219714412277085e-09
1807,1.5980209105188286e-07,1.5980209105188286e-07,2.219714412277085e-09,2.219714412277085e-09
1808,2.039582455941919e-07,2.039582455941919e-07,2.455077601532756e-09,2.455077601532756e-09
1809,2.0913835387302372e-07,2.0913835387302372e-07,2.020950803530549e-09,2.020950803530549e-09
1810,2.534207708444163e-07,2.534207708444163e-07,1.6699508442741262e-09,1.6699508442741262e-09
1811,2.772269631634572e-07,2.772269631634572e-07,9.891021335306505e-10,9.891021335306505e-10
1812,2.825236537416588e-07,2.825236537416588e-07,4.697471300829648e-10,4.697471300829648e-10
1813,2.988870388013051e-07,2.988870388013051e-07,8.577059380192915e-10,8.577059380192915e-10
1814,3.015884979211998e-07,3.015884979211998e-07,8.577059380192915e-10,8.577059380192915e-10
1815,2.2020393381743425e-07,2.2020393381743425e-07,8.154834585383242e-10,8.154834585383242e-10
1816,2.2771766948283455e-07,2.2771766948283455e-07,8.154834585383242e-10,8.154834585383242e-10
1817,1.966478220895494e-07,1.966478220895494e-07,9.868310295908194e-10,9.868310295908194e-10
1818,1.757017165411006e-07,1.757017165411006e-07,7.524470887635256e-10,7.524470887635256e-10
1819,2.4971875335820316e-07,2.4971875335820316e-07,9.027445299228784e-10,9.027445299228784e-10
1820,2.8145019521324297e-07,2.8145019521324297e-07,5.147857219865517e-10,5.147857219865517e-10
1821,2.867490361982813e-07,2.867490361982813e-07,5.147857219865517e-10,5.147857219865517e-10
1822,2.854271810649932e-07,2.854271810649932e-07,3.2164501221184795e-10,3.2164501221184795e-10
1823,2.824909951674012e-07,2.824909951674012e-07,7.430333332741107e-10,7.430333332741107e-10
1824,3.125904320151156e-07,3.125904320151156e-07,1.2422858456214873e-09,1.2422858456214873e-09
1825,3.4187001014223437e-07,3.4187001014223437e-07,1.368902649964302e-09,1.368902649964302e-09
1826,2.8624112807002735e-07,2.8624112807002735e-07,1.455601694733133e-09,1.455601694733133e-09
1827,2.51047735235131e-07,2.51047735235131e-07,2.2921665438729074e-09,2.2921665438729074e-09
1828,2.52636039834085e-07,2.52636039834085e-07,2.2921665438729074e-09,2.2921665438729074e-09
1829,2.9169203636619e-07,2.9169203636619e-07,2.2921665438729074e-09,2.2921665438729074e-09
1830,2.779445143882445e-07,2.779445143882445e-07,1.8707782228106443e-09,1.8707782228106443e-09
1831,2.7370767798272156e-07,2.7370767798272156e-07,1.2001781394107729e-09,1.2001781394107729e-09
1832,2.5015016953083044e-07,2.5015016953083044e-07,1.2438602528927083e-09,1.2438602528927083e-09
1833,2.4768286266407813e-07,2.4768286266407813e-07,1.0893420292796512e-09,1.0893420292796512e-09
1834,2.6039385504970725e-07,2.6039385504970725e-07,3.358373737835255e-10,3.358373737835255e-10
1835,3.096766160329675e-07,3.096766160329675e-07,5.034041754876333e-10,5.034041754876333e-10
1836,2.9162463631239787e-07,2.9162463631239787e-07,5.034041754876333e-10,5.034041754876333e-10
1837,2.9763120526890165e-07,2.9763120526890165e-07,5.808455859148052e-10,5.808455859148052e-10
1838,2.8112176510473675e-07,2.8112176510473675e-07,6.571713332245313e-10,6.571713332245313e-10
1839,2.8170262973097646e-07,2.8170262973097646e-07,6.384352887626018e-10,6.384352887626018e-10
1840,3.055391033512933e-07,3.055391033512933e-07,6.31542992505071e-10,6.31542992505071e-10
1841,3.317284620964399e-07,3.317284620964399e-07,6.184604098688088e-10,6.184604098688088e-10
1842,2.9748156496875057e-07,2.9748156496875057e-07,6.333399201910847e-10,6.333399201910847e-10
1843,3.4579619726368295e-07,3.4579619726368295e-07,1.0923616297223555e-09,1.0923616297223555e-09
1844,3.8214391346563e-07,3.8214391346563e-07,1.0149202192951838e-09,1.0149202192951838e-09
1845,3.823952913048093e-07,3.823952913048093e-07,1.0053332372932694e-09,1.0053332372932694e-09
1846,4.08719509031081e-07,4.08719509031081e-07,8.53770363930449e-10,8.53770363930449e-10
1847,4.0529472146642676e-07,4.0529472146642676e-07,7.781843978728529e-10,7.781843978728529e-10
1848,3.9924530678295665e-07,3.9924530678295665e-07,7.628944618888665e-10,7.628944618888665e-10
1849,4.455615965071047e-07,4.455615965071047e-07,7.954062963833053e-10,7.954062963833053e-10
1850,4.260921246311357e-07,4.260921246311357e-07,5.73734123702049e-10,5.73734123702049e-10
1851,4.278245739897102e-07,4.278245739897102e-07,7.594485040840482e-10,7.594485040840482e-10
1852,4.4198116354112115e-07,4.4198116354112115e-07,9.455175927922506e-10,9.455175927922506e-10
1853,4.4307200499003686e-07,4.4307200499003686e-07,1.0420362747279706e-09,1.0420362747279706e-09
1854,4.834304304170343e-07,4.834304304170343e-07,1.3450474464374702e-09,1.3450474464374702e-09
1855,5.330616618591324e-07,5.330616618591324e-07,1.3428615203941214e-09,1.3428615203941214e-09
1856,5.551094700097435e-07,5.551094700097435e-07,1.127903373873299e-09,1.127903373873299e-09
1857,5.717754731904279e-07,5.717754731904279e-07,9.386880637864336e-10,9.386880637864336e-10
1858,5.933878485718327e-07,5.933878485718327e-07,8.681807098628472e-10,8.681807098628472e-10
1859,6.681787648890999e-07,6.681787648890999e-07,6.153728558468328e-10,6.153728558468328e-10
1860,6.956374331171641e-07,6.956374331171641e-07,5.79849382794809e-10,5.79849382794809e-10
1861,6.982606919336831e-07,6.982606919336831e-07,2.7683821108530944e-10,2.7683821108530944e-10
1862,7.043949169980936e-07,7.043949169980936e-07,3.3577300463859064e-10,3.3577300463859064e-10
1863,7.487570964518195e-07,7.487570964518195e-07,3.3577300463859064e-10,3.3577300463859064e-10
1864,7.818118855798925e-07,7.818118855798925e-07,3.818290207822729e-10,3.818290207822729e-10
1865,7.876023216470327e-07,7.876023216470327e-07,5.762078433438741e-10,5.762078433438741e-10
1866,7.838076661365838e-07,7.838076661365838e-07,7.531663229595356e-10,7.531663229595356e-10
1867,8.043871519346015e-07,8.043871519346015e-07,9.082333932549805e-10,9.082333932549805e-10
1868,8.045852756107966e-07,8.045852756107966e-07,9.53045091258074e-10,9.53045091258074e-10
1869,7.929049031320443e-07,7.929049031320443e-07,8.811944348810893e-10,8.811944348810893e-10
1870,7.299598710882751e-07,7.299598710882751e-07,1.0923767446158195e-09,1.0923767446158195e-09
1871,7.864884992159205e-07,7.864884992159205e-07,1.0387625640603408e-09,1.0387625640603408e-09
1872,8.725308069707742e-07,8.725308069707742e-07,7.701284253171434e-10,7.701284253171434e-10
1873,8.75543824869445e-07,8.75543824869445e-07,7.492049560107818e-10,7.492049560107818e-10
1874,9.805777299983935e-07,9.805777299983935e-07,8.113276756776295e-10,8.113276756776295e-10
1875,1.0253744855097985e-06,1.0253744855097985e-06,8.868610687099273e-10,8.868610687099273e-10
1876,1.0236909702143748e-06,1.0236909702143748e-06,1.5755828824166279e-09,1.5755828824166279e-09
1877,1.0518962767491757e-06,1.0518962767491757e-06,1.5391589391899885e-09,1.5391589391899885e-09
1878,9.859098375792591e-07,9.859098375792591e-07,3.748275118858097e-09,3.748275118858097e-09
1879,9.16842217130969e-07,9.16842217130969e-07,3.8469786641951285e-09,3.8469786641951285e-09
1880,8.922444213307504e-07,8.922444213307504e-07,3.8224903877091626e-09,3.8224903877091626e-09
1881,7.712540325753383e-07,7.712540325753383e-07,3.6705677703657055e-09,3.6705677703657055e-09
1882,7.55555090238756e-07,7.55555090238756e-07,3.679860995285468e-09,3.679860995285468e-09
1883,7.798803868094442e-07,7.798803868094442e-07,3.2727795790903666e-09,3.2727795790903666e-09
1884,7.944048953894318e-07,7.944048953894318e-07,3.4031302934397647e-09,3.4031302934397647e-09
1885,8.097168883328518e-07,8.097168883328518e-07,1.182461329248977e-09,1.182461329248977e-09
1886,8.265236683005892e-07,8.265236683005892e-07,1.2359263870268374e-09,1.2359263870268374e-09
1887,8.239421325535139e-07,8.239421325535139e-07,1.242549493851719e-09,1.242549493851719e-09
1888,8.278353383112907e-07,8.278353383112907e-07,1.4133183690827928e-09,1.4133183690827928e-09
1889,8.306110024542639e-07,8.306110024542639e-07,1.3621927415417646e-09,1.3621927415417646e-09
1890,7.923479107116041e-07,7.923479107116041e-07,1.1674449046372715e-09,1.1674449046372715e-09
1891,7.885466857260326e-07,7.885466857260326e-07,9.135459273977377e-10,9.135459273977377e-10
1892,7.769924650347093e-07,7.769924650347093e-07,1.1092384669516723e-09,1.1092384669516723e-09
1893,7.772218688322547e-07,7.772218688322547e-07,1.008364847970051e-09,1.008364847970051e-09
1894,8.499021484047782e-07,8.499021484047782e-07,9.143785530328432e-10,9.143785530328432e-10
1895,1.0100162869873332e-06,1.0100162869873332e-06,7.020321268758067e-10,7.020321268758067e-10
1896,9.937482851845353e-07,9.937482851845353e-07,7.010411418040263e-10,7.010411418040263e-10
1897,1.0358431187082066e-06,1.0358431187082066e-06,7.974837576022306e-10,7.974837576022306e-10
1898,1.016737826375902e-06,1.016737826375902e-06,7.823499903469866e-10,7.823499903469866e-10
1899,1.00896253180898e-06,1.00896253180898e-06,5.758480795378265e-10,5.758480795378265e-10
1900,1.0041033452320595e-06,1.0041033452320595e-06,5.920250123470083e-10,5.920250123470083e-10
1901,9.558579482212996e-07,9.558579482212996e-07,8.048917683150287e-10,8.048917683150287e-10
1902,8.264114675122463e-07,8.264114675122463e-07,8.235166794521933e-10,8.235166794521933e-10
1903,8.33628616549374e-07,8.33628616549374e-07,9.37264706322795e-10,9.37264706322795e-10
1904,8.096114031884229e-07,8.096114031884229e-07,7.936123464740469e-10,7.936123464740469e-10
1905,7.974689343167743e-07,7.974689343167743e-07,8.795109085468766e-10,8.795109085468766e-10
1906,7.867960464734227e-07,7.867960464734227e-07,1.2026266966407612e-09,1.2026266966407612e-09
1907,7.519155929003318e-07,7.519155929003318e-07,1.1674539351120521e-09,1.1674539351120521e-09
1908,7.21269413718671e-07,7.21269413718671e-07,1.0064748161881759e-09,1.0064748161881759e-09
1909,7.059145770784068e-07,7.059145770784068e-07,1.0271941551311313e-09,1.0271941551311313e-09
1910,6.918311571878024e-07,6.918311571878024e-07,1.0149849849483417e-09,1.0149849849483417e-09
1911,6.878800036247412e-07,6.878800036247412e-07,1.1034514730517181e-09,1.1034514730517181e-09
1912,6.914513619449281e-07,6.914513619449281e-07,1.067961219458624e-09,1.067961219458624e-09
1913,6.857447699206074e-07,6.857447699206074e-07,9.553982287841783e-10,9.553982287841783e-10
1914,7.009768653785744e-07,7.009768653785744e-07,1.0575452339242224e-09,1.0575452339242224e-09
1915,7.100457131465581e-07,7.100457131465581e-07,1.0571063865530812e-09,1.0571063865530812e-09
1916,7.197499891325216e-07,7.197499891325216e-07,1.0384403416528544e-09,1.0384403416528544e-09
1917,7.808442563016018e-07,7.808442563016018e-07,9.711056562064106e-10,9.711056562064106e-10
1918,8.379293327769639e-07,8.379293327769639e-07,9.615530911182596e-10,9.615530911182596e-10
1919,9.042801463822668e-07,9.042801463822668e-07,1.1449776206516405e-09,1.1449776206516405e-09
1920,9.749992467992082e-07,9.749992467992082e-07,1.1250258185364309e-09,1.1250258185364309e-09
1921,1.0094019395572623e-06,1.0094019395572623e-06,1.2869672470573944e-09,1.2869672470573944e-09
1922,1.048525486372195e-06,1.048525486372195e-06,1.5294530483370546e-09,1.5294530483370546e-09
1923,1.0747188363373944e-06,1.0747188363373944e-06,1.5714106761853331e-09,1.5714106761853331e-09
1924,1.0616904221803582e-06,1.0616904221803582e-06,1.5817924509902476e-09,1.5817924509902476e-09
1925,1.066902021713239e-06,1.066902021713239e-06,1.561640872171921e-09,1.561640872171921e-09
1926,1.057147544867933e-06,1.057147544867933e-06,1.3834235503194593e-09,1.3834235503194593e-09
1927,1.055994727851482e-06,1.055994727851482e-06,1.31103891235337e-09,1.31103891235337e-09
1928,1.1268825151741372e-06,1.1268825151741372e-06,1.0421280743117783e-09,1.0421280743117783e-09
1929,1.159326903429506e-06,1.159326903429506e-06,9.821536996388959e-10,9.821536996388959e-10
