ngram,Bug,Bugn,Byug,Boug,Brug
1738,4.950182445538433e-07,0.0,0.0,6.466926042289092e-09,3.282723020398797e-08
1739,5.764010850839441e-07,0.0,0.0,6.466926042289092e-09,2.3541098974939293e-08
1740,5.501520427791158e-07,0.0,0.0,6.466926042289092e-09,2.3541098974939293e-08
1741,5.83568485978958e-07,0.0,0.0,6.466926042289092e-09,2.3541098974939293e-08
1742,5.572530140187025e-07,0.0,0.0,0.0,2.3451545213707244e-08
1743,5.778483571004602e-07,0.0,9.631393587434495e-09,0.0,2.3451545213707244e-08
1744,4.2577472823625483e-07,0.0,9.631393587434495e-09,0.0,9.608288767789678e-09
1745,4.4716873454880055e-07,0.0,9.631393587434495e-09,0.0,9.608288767789678e-09
1746,3.8185616192874606e-07,0.0,9.631393587434495e-09,0.0,1.1355349422664013e-08
1747,5.515463316539484e-07,0.0,9.631393587434495e-09,0.0,1.551450117582525e-08
1748,5.204474758459452e-07,0.0,9.631393587434495e-09,0.0,1.551450117582525e-08
1749,5.13337015815653e-07,0.0,9.631393587434495e-09,0.0,9.137128894768206e-09
1750,5.311546747829457e-07,0.0,0.0,0.0,9.137128894768206e-09
1751,4.686578287354288e-07,0.0,0.0,0.0,9.137128894768206e-09
1752,4.853686367109081e-07,0.0,0.0,0.0,9.137128894768206e-09
1753,4.6561085399941605e-07,0.0,5.029352426585579e-09,5.029352426585579e-09,4.159151753161236e-09
1754,2.8270784468986676e-07,0.0,5.029352426585579e-09,5.029352426585579e-09,1.6736274842190013e-08
1755,1.9256885609917974e-07,0.0,5.029352426585579e-09,5.029352426585579e-09,1.6736274842190013e-08
1756,1.981471606476199e-07,0.0,5.029352426585579e-09,5.029352426585579e-09,1.6736274842190013e-08
1757,1.7175913415355482e-07,0.0,8.074475691241138e-09,5.029352426585579e-09,2.282652137150113e-08
1758,1.9040464240203748e-07,0.0,8.074475691241138e-09,5.029352426585579e-09,2.282652137150113e-08
1759,2.0887907023084802e-07,0.0,1.1553270594179464e-08,5.029352426585579e-09,2.978411117737778e-08
1760,1.9911374695068063e-07,0.0,6.523918167593885e-09,0.0,2.978411117737778e-08
1761,2.1568428059432726e-07,0.0,6.523918167593885e-09,0.0,1.304783633518777e-08
1762,2.2709686981719252e-07,0.0,6.523918167593885e-09,0.0,1.304783633518777e-08
1763,2.2796758309644766e-07,0.0,6.523918167593885e-09,2.8386745652499356e-09,1.872518546568764e-08
1764,1.996237004269525e-07,0.0,3.4787949029383267e-09,2.8386745652499356e-09,1.2634938936376524e-08
1765,1.9571523424133375e-07,0.0,3.4787949029383267e-09,2.8386745652499356e-09,4.2109023062104304e-08
1766,1.6347316795466732e-07,0.0,0.0,2.8386745652499356e-09,3.85524853945591e-08
1767,1.846509535750686e-07,0.0,0.0,2.8386745652499356e-09,3.85524853945591e-08
1768,1.7011963190530617e-07,0.0,2.682212547305036e-09,2.8386745652499356e-09,3.85524853945591e-08
1769,1.4938633086103437e-07,0.0,2.682212547305036e-09,2.8386745652499356e-09,3.85524853945591e-08
1770,1.3257551907080207e-07,0.0,2.682212547305036e-09,0.0,3.287513626405923e-08
1771,1.2923073151276704e-07,0.0,2.682212547305036e-09,0.0,3.287513626405923e-08
1772,1.3558234408200015e-07,0.0,2.682212547305036e-09,2.6360818290121254e-09,3.4010521383314493e-09
1773,9.736491029294874e-08,0.0,2.682212547305036e-09,7.826463540741964e-09,0.0
1774,9.491655867626442e-08,0.0,2.682212547305036e-09,7.826463540741964e-09,2.672463139674619e-09
1775,1.0502796346908586e-07,0.0,0.0,7.826463540741964e-09,5.5611523005641825e-09
1776,1.5047046326393293e-07,0.0,0.0,7.826463540741964e-09,8.273521804166454e-09
1777,1.535641561848219e-07,0.0,0.0,7.826463540741964e-09,3.7454025912454977e-08
1778,1.5679079977206e-07,0.0,0.0,1.0607607237034244e-08,3.7454025912454977e-08
1779,1.6388068857509097e-07,0.0,0.0,7.97152540802212e-09,4.2577397353836336e-08
1780,1.683329183980017e-07,0.0,0.0,2.7811436962922797e-09,4.492653766468331e-08
1781,1.5575585113733075e-07,0.0,0.0,2.7811436962922797e-09,5.3729175267644025e-08
1782,1.462921608614514e-07,0.0,0.0,4.939277177738534e-09,5.515675306964697e-08
1783,1.0345553797768453e-07,0.0,0.0,4.939277177738534e-09,5.679358164708706e-08
1784,1.209011527082891e-07,0.0,0.0,6.60374929343074e-09,2.761307753879854e-08
1785,1.2272155710694017e-07,0.0,0.0,1.191321771390871e-08,4.3794301772339036e-08
1786,1.1866478238126937e-07,0.0,0.0,1.3253316031937499e-08,4.671152023913042e-08
1787,1.3868933633278046e-07,1.2891416188511228e-09,0.0,1.3253316031937499e-08,4.4362379928283447e-08
1788,1.455059646104928e-07,1.2891416188511228e-09,0.0,1.4559868104819479e-08,3.4193831258530083e-08
1789,1.365532266309596e-07,1.2891416188511228e-09,1.163384817053676e-09,1.8218658708641603e-08,3.220433392974493e-08
1790,1.4000816252389215e-07,1.2891416188511228e-09,1.163384817053676e-09,1.9323507111883894e-08,2.8959984251944856e-08
1791,1.2025777453215725e-07,1.2891416188511228e-09,1.163384817053676e-09,1.8745001233761675e-08,2.8959984251944856e-08
1792,1.247249881787736e-07,1.2891416188511228e-09,1.163384817053676e-09,1.0654389116991427e-08,1.4955284122208923e-08
1793,1.193376389453858e-07,1.2891416188511228e-09,1.163384817053676e-09,9.314290798962638e-09,1.0858782698416495e-08
1794,1.1122739047258229e-07,0.0,1.163384817053676e-09,1.0312276366164497e-08,6.375201839452821e-08
1795,1.0937455994865428e-07,0.0,1.163384817053676e-09,1.4485356787068732e-08,7.431800406822373e-08
1796,1.2829710576462666e-07,0.0,0.0,1.3409240828821112e-08,1.3077725277302728e-07
1797,1.410884138408619e-07,0.0,1.133847301762866e-09,1.2304392425578823e-08,1.506485800868112e-07
1798,1.3687936270149033e-07,0.0,1.133847301762866e-09,1.1797082866138453e-08,1.6048574380533864e-07
1799,1.3388564009833965e-07,0.0,1.734616894566443e-09,1.239785245894203e-08,1.6191383725835555e-07
1800,1.2832446572019762e-07,0.0,1.734616894566443e-09,1.4044508096182945e-08,1.6167472389432597e-07
1801,1.2236427287299583e-07,0.0,1.734616894566443e-09,1.4439543973208759e-08,1.1388923328224467e-07
1802,1.3848488476599285e-07,0.0,2.16874369256865e-09,1.3735306289167478e-08,1.0809447051737412e-07
1803,1.3717187284458176e-07,0.0,2.519743651825073e-09,8.994498162146719e-09,4.930845217846322e-08
1804,2.0588603888427315e-07,0.0,2.606206552156566e-09,1.1130040952370531e-08,2.9552586663531396e-08
1805,2.491641605420877e-07,0.0,3.6449165590519375e-09,1.4446546815958885e-08,2.4389618198077708e-08
1806,2.7275255628670235e-07,0.0,4.595447514585008e-09,1.5138527764690934e-08,2.388760173792954e-08
1807,3.0979240404706486e-07,0.0,5.432332425162453e-09,1.5793305583957007e-08,2.729614857953168e-08
1808,3.226808209839354e-07,0.0,5.903058803673795e-09,1.5812463211822044e-08,2.8543209446801095e-08
1809,3.234114761393617e-07,1.809248148124506e-10,6.373556063873512e-09,1.212261732267247e-08,2.391283298359375e-08
1810,3.387010707456284e-07,1.809248148124506e-10,7.3301819852084856e-09,1.49558067517676e-08,3.175858852090739e-08
1811,2.804342398933711e-07,1.809248148124506e-10,8.92247907304165e-09,2.3367541045006745e-08,3.3350885608740555e-08
1812,2.667420448330761e-07,1.809248148124506e-10,8.361185585162697e-09,2.5201376985251045e-08,4.777335060879295e-08
1813,2.77230029155362e-07,5.688836227487773e-10,7.197843844762377e-09,2.584842054683837e-08,4.777441997561027e-08
1814,2.58987530595992e-07,5.688836227487773e-10,7.614707784954687e-09,2.605448479187089e-08,4.442214456596665e-08
1815,2.5762645147356776e-07,5.688836227487773e-10,7.530262825992752e-09,2.464230571977818e-08,4.1350730712557445e-08
1816,2.441142490689734e-07,9.58476980323602e-10,6.6256387677908285e-09,2.526831125290333e-08,4.541834108806597e-08
1817,2.1530920081756578e-07,9.58476980323602e-10,6.003403171409413e-09,2.346320725012317e-08,4.202762252499984e-08
1818,2.1339674459243595e-07,9.58476980323602e-10,3.548865614076492e-09,1.6854697193480206e-08,4.8882898237171246e-08
1819,2.046793982555885e-07,9.58476980323602e-10,3.82293628499651e-09,1.443224232186172e-08,3.549754090670376e-08
1820,1.791784701562652e-07,8.653120442403406e-10,3.7297713489132485e-09,1.5292989985482563e-08,3.607879379379548e-08
1821,1.7279017328064583e-07,8.653120442403406e-10,2.476022498143493e-09,1.471380604657822e-08,3.4245861004121384e-08
1822,1.8693966349506548e-07,9.900809457999822e-10,3.2126612481420125e-09,1.558718836542588e-08,4.069444286309525e-08
1823,1.9356870037004876e-07,4.195627734127072e-10,3.493586784943302e-09,1.4999336058910525e-08,4.6275993069246265e-08
1824,2.2701912273857617e-07,4.195627734127072e-10,2.942316517413295e-09,1.786073111631481e-08,4.436923641191827e-08
1825,2.2443410330197366e-07,6.727963820983365e-10,2.710863589161505e-09,1.5567982522160913e-08,4.229836163866756e-08
1826,2.3333444078486666e-07,6.727963820983365e-10,2.0778746421891624e-09,1.2735431883673494e-08,4.582992144516343e-08
1827,2.3658773987530628e-07,3.7800251024527094e-10,1.7830807703360968e-09,2.196051023568251e-08,4.5282116342296574e-08
1828,2.731208447975015e-07,3.7800251024527094e-10,1.893410079516806e-09,2.3452405097300144e-08,5.7255295108201865e-08
1829,2.8567243199566814e-07,2.532336086856292e-10,1.0515870238084597e-09,2.419533113544909e-08,5.32155378810525e-08
1830,3.257880020360712e-07,2.532336086856292e-10,1.1518796551511302e-09,2.3929369850707516e-08,6.241884571116835e-08
1831,3.0861406230542343e-07,3.4612826890370995e-10,1.2035489589073173e-09,2.1247519933962977e-08,7.742765615960576e-08
1832,3.103318054594898e-07,9.289466021808072e-11,1.2472310723892527e-09,2.2752031496915085e-08,8.21773196792362e-08
1833,2.9703367334020315e-07,9.289466021808072e-11,1.2936893540554146e-09,2.565964716895662e-08,7.689341354120773e-08
1834,2.988607974430124e-07,9.289466021808072e-11,1.5428699349863605e-09,1.521217076115379e-08,7.749400410261842e-08
1835,2.6983983860061146e-07,1.7667806107013462e-10,1.6001074275097592e-09,1.3802763820791597e-08,6.635736379426557e-08
1836,2.5966835437429836e-07,1.7667806107013462e-10,1.694316195280773e-09,1.4138046098923139e-08,7.395097562883685e-08
1837,2.3287322749508478e-07,2.541194714973065e-10,1.622863668845501e-09,1.513889902327037e-08,7.394075802429662e-08
1838,2.4210321823505054e-07,2.375505585889519e-10,1.5897258430287918e-09,1.538145763138995e-08,6.645866587210289e-08
1839,2.495035736111666e-07,2.375505585889519e-10,1.4194269252040419e-09,1.3898119226902444e-08,6.502452062509942e-08
1840,2.529529723460655e-07,3.13136524646548e-10,1.254470400573788e-09,1.1423542175695696e-08,7.308373258955011e-08
1841,2.6637534996812716e-07,3.13136524646548e-10,1.2852002636723876e-09,1.1734794025386464e-08,8.019255304247963e-08
1842,3.5272243386381366e-07,2.293531237944941e-10,1.3608952219103442e-09,1.4832489078234597e-08,8.582023168303619e-08
1843,3.320576484254291e-07,2.293531237944941e-10,1.2478874600319045e-09,1.3208771092771648e-08,8.066564508421184e-08
1844,3.54972525786122e-07,2.1869457038954058e-10,1.0049046753454353e-09,1.428862298321779e-08,6.378192145868005e-08
1845,3.385270324380534e-07,2.0910758838762637e-10,1.0524694687192542e-09,1.544124574235996e-08,6.02473220518667e-08
1846,3.35755339213912e-07,2.0910758838762637e-10,1.1176899683551511e-09,1.4230597652645623e-08,5.2987143561722405e-08
1847,3.538098951594293e-07,2.547325525118335e-10,1.5419282319216266e-09,1.3990226183884552e-08,4.3271982568577575e-08
1848,3.4922735332137176e-07,2.547325525118335e-10,1.918269856452223e-09,1.3413334760364087e-08,4.4456741526183966e-08
