ngram,Lock,Locku,Locc,Lockw
1800,3.380137481404485e-06,0.0,0.0,3.415511746445483e-09
1801,3.283700185160602e-06,0.0,0.0,3.415511746445483e-09
1802,3.0363037564841633e-06,0.0,0.0,3.415511746445483e-09
1803,2.958980368410786e-06,0.0,0.0,3.415511746445483e-09
1804,2.716368921288189e-06,3.0507755052358986e-10,0.0,3.415511746445483e-09
1805,2.5884544031993883e-06,3.0507755052358986e-10,0.0,3.415511746445483e-09
1806,2.5698658906289244e-06,3.0507755052358986e-10,3.102601096673295e-09,4.116639093102289e-10
1807,2.3906328091730496e-06,3.0507755052358986e-10,3.311822324317656e-09,0.0
1808,2.188849098924298e-06,3.0507755052358986e-10,4.0179118603640114e-09,0.0
1809,2.176788841877299e-06,3.0507755052358986e-10,4.0179118603640114e-09,1.809248148124506e-10
1810,2.0605570430884005e-06,3.0507755052358986e-10,4.0179118603640114e-09,3.988624668644596e-10
1811,2.0689736694683754e-06,0.0,4.0179118603640114e-09,3.988624668644596e-10
1812,2.055139572933383e-06,0.0,4.734036670609296e-09,3.988624668644596e-10
1813,2.2343495272382697e-06,0.0,1.6314355739360004e-09,3.988624668644596e-10
1814,2.208035669225085e-06,0.0,1.4222143462916392e-09,3.988624668644596e-10
1815,2.2873129767374067e-06,0.0,1.2955469078487373e-09,9.782845644679128e-10
1816,2.367633117371172e-06,0.0,1.2955469078487373e-09,7.973597496554622e-10
1817,2.3722401952649567e-06,0.0,1.2955469078487373e-09,5.794220976034531e-10
1818,2.350136030924789e-06,0.0,1.4745817741460395e-09,5.794220976034531e-10
1819,2.4673850345737136e-06,3.0059488231870546e-10,7.584569639007555e-10,7.297195387628059e-10
1820,2.3154854196556177e-06,3.0059488231870546e-10,2.67461714680601e-09,7.297195387628059e-10
1821,2.464655998275183e-06,3.0059488231870546e-10,2.67461714680601e-09,8.582737933058939e-10
1822,2.4941675422139397e-06,3.0059488231870546e-10,2.3447328523218403e-09,2.788516957024407e-10
1823,2.3907486398197112e-06,3.0059488231870546e-10,2.3447328523218403e-09,2.788516957024407e-10
1824,2.347575673411484e-06,5.688349156786541e-10,2.3447328523218403e-09,2.788516957024407e-10
1825,2.279935496777138e-06,5.688349156786541e-10,2.4189315947101673e-09,5.320853043880699e-10
1826,2.1821699484852227e-06,5.052365192881325e-10,2.4189315947101673e-09,5.002861061928091e-10
1827,2.088726854968367e-06,5.052365192881325e-10,6.073420179473845e-10,5.002861061928091e-10
1828,2.028737558898034e-06,5.052365192881325e-10,6.073420179473845e-10,3.7173185164972114e-10
1829,1.9383715945358356e-06,5.052365192881325e-10,3.57804214828101e-10,4.420061301096163e-10
1830,1.9659846982124563e-06,5.052365192881325e-10,3.57804214828101e-10,5.373106721456062e-10
