ngram,BCE,BC,BCE,BC
1603,0.0,1.1791114827376856e-07,0.0,1.1791114827376856e-07
1604,0.0,1.1791114827376856e-07,0.0,1.1791114827376856e-07
1605,0.0,1.1791114827376856e-07,0.0,1.1791114827376856e-07
1606,0.0,0.0,0.0,0.0
1607,0.0,0.0,0.0,0.0
1608,0.0,1.996775966160515e-07,0.0,1.996775966160515e-07
1609,0.0,1.996775966160515e-07,0.0,1.996775966160515e-07
1610,0.0,1.996775966160515e-07,0.0,1.996775966160515e-07
1611,0.0,1.996775966160515e-07,0.0,1.996775966160515e-07
1612,0.0,1.996775966160515e-07,0.0,1.996775966160515e-07
1613,0.0,9.987300180520314e-07,0.0,9.987300180520314e-07
1614,0.0,9.987300180520314e-07,0.0,9.987300180520314e-07
1615,0.0,7.990524214359798e-07,0.0,7.990524214359798e-07
1616,0.0,7.990524214359798e-07,0.0,7.990524214359798e-07
1617,0.0,7.990524214359798e-07,0.0,7.990524214359798e-07
1618,0.0,7.990524214359798e-07,0.0,7.990524214359798e-07
1619,0.0,7.990524214359798e-07,0.0,7.990524214359798e-07
1620,0.0,0.0,0.0,0.0
1621,0.0,0.0,0.0,0.0
1622,0.0,0.0,0.0,0.0
1623,0.0,0.0,0.0,0.0
1624,0.0,5.973287703194988e-07,0.0,5.973287703194988e-07
1625,0.0,1.4279756734530174e-06,0.0,1.4279756734530174e-06
1626,0.0,1.4279756734530174e-06,0.0,1.4279756734530174e-06
1627,0.0,1.4279756734530174e-06,0.0,1.4279756734530174e-06
1628,0.0,1.49348729954519e-06,0.0,1.49348729954519e-06
1629,0.0,1.49348729954519e-06,0.0,1.49348729954519e-06
1630,0.0,1.57973629809151e-06,0.0,1.57973629809151e-06
1631,0.0,9.824075277720112e-07,0.0,9.824075277720112e-07
1632,0.0,1.517606246384925e-07,0.0,1.517606246384925e-07
1633,0.0,2.8885342219707256e-07,0.0,2.8885342219707256e-07
1634,0.0,7.82526074414948e-07,0.0,7.82526074414948e-07
1635,0.0,7.170144483227756e-07,0.0,7.170144483227756e-07
1636,0.0,7.170144483227756e-07,0.0,7.170144483227756e-07
1637,0.0,6.307654497764556e-07,0.0,6.307654497764556e-07
1638,0.0,1.1021107216687857e-06,0.0,1.1021107216687857e-06
1639,0.0,1.1021107216687857e-06,0.0,1.1021107216687857e-06
1640,0.0,9.650179241102056e-07,0.0,9.650179241102056e-07
1641,0.0,1.128288236681588e-06,0.0,1.128288236681588e-06
1642,0.0,1.128288236681588e-06,0.0,1.128288236681588e-06
1643,0.0,1.128288236681588e-06,0.0,1.128288236681588e-06
1644,0.0,1.128288236681588e-06,0.0,1.128288236681588e-06
1645,0.0,6.56942964789258e-07,0.0,6.56942964789258e-07
1646,0.0,7.576813751646634e-07,0.0,7.576813751646634e-07
1647,0.0,7.576813751646634e-07,0.0,7.576813751646634e-07
1648,0.0,1.9243688192156177e-07,0.0,1.9243688192156177e-07
1649,0.0,1.9243688192156177e-07,0.0,1.9243688192156177e-07
1650,0.0,7.19478537445996e-07,0.0,7.19478537445996e-07
