ngram,Block,Blck,Blok,Blck
1794,6.988292966525478e-07,0.0,9.860221210950775e-10,0.0
1795,7.107233922657283e-07,0.0,1.2858559867672576e-08,0.0
1796,6.608375916325063e-07,0.0,1.2858559867672576e-08,0.0
1797,7.49548835951178e-07,0.0,1.5126254471198308e-08,0.0
1798,8.080570605021162e-07,0.0,1.859819466685865e-08,0.0
1799,8.360829204840619e-07,0.0,1.859819466685865e-08,0.0
1800,7.949656881984473e-07,0.0,1.7612172545763575e-08,0.0
1801,8.648315932597532e-07,0.0,1.7612172545763575e-08,0.0
1802,8.822161622187455e-07,0.0,7.042015224913354e-09,0.0
1803,9.349843951765382e-07,0.0,8.446015061939046e-09,0.0
1804,9.212416054132129e-07,0.0,7.0935531099840836e-09,0.0
1805,9.383196746577076e-07,0.0,4.920000470523941e-09,0.0
1806,9.014113483577343e-07,2.5855010196299387e-10,5.437100674449929e-09,2.5855010196299387e-10
1807,8.371100485809231e-07,2.5855010196299387e-10,6.064764373243341e-09,2.5855010196299387e-10
1808,7.500211357377598e-07,2.5855010196299387e-10,7.0062171302660255e-09,2.5855010196299387e-10
1809,7.176942184677111e-07,2.5855010196299387e-10,7.694009683336032e-09,2.5855010196299387e-10
1810,7.438566293720734e-07,2.5855010196299387e-10,6.5079474983623496e-09,2.5855010196299387e-10
1811,7.212633436535855e-07,4.929340427902876e-10,5.59271484679158e-09,4.929340427902876e-10
1812,6.988979432013107e-07,4.929340427902876e-10,4.294327290591379e-09,4.929340427902876e-10
1813,7.109527270391222e-07,4.283633447954571e-10,3.9712064906335544e-09,4.283633447954571e-10
1814,7.430267804206128e-07,4.283633447954571e-10,3.7614590648565076e-09,4.283633447954571e-10
1815,7.569586760577554e-07,4.283633447954571e-10,3.2062877273832312e-09,4.283633447954571e-10
1816,8.839082527499289e-07,4.283633447954571e-10,1.5964601862705763e-09,4.283633447954571e-10
1817,8.453109866682748e-07,4.283633447954571e-10,1.045994386344213e-08,4.283633447954571e-10
1818,7.863764770783226e-07,1.9397940396816337e-10,1.869554780828001e-08,1.9397940396816337e-10
1819,7.257178578713917e-07,1.9397940396816337e-10,1.8845845249439363e-08,1.9397940396816337e-10
1820,7.06065650644762e-07,0.0,3.235978115626434e-08,0.0
1821,6.579705313924933e-07,0.0,3.798391479126195e-08,0.0
