ngram,Bayer,Bayr,Bayer,Bayr
1714,2.941190920020225e-07,9.645867342961928e-09,2.941190920020225e-07,9.645867342961928e-09
1715,2.8447322465906056e-07,0.0,2.8447322465906056e-07,0.0
1716,2.8447322465906056e-07,0.0,2.8447322465906056e-07,0.0
1717,2.9975603561232287e-07,0.0,2.9975603561232287e-07,0.0
1718,4.313053573972476e-07,0.0,4.313053573972476e-07,0.0
1719,3.944365489465846e-07,6.584871061120014e-09,3.944365489465846e-07,6.584871061120014e-09
1720,4.017407902218955e-07,6.584871061120014e-09,4.017407902218955e-07,6.584871061120014e-09
1721,2.3658874935352158e-07,6.584871061120014e-09,2.3658874935352158e-07,6.584871061120014e-09
1722,2.597715094460844e-07,6.584871061120014e-09,2.597715094460844e-07,6.584871061120014e-09
1723,2.9064739085323967e-07,6.584871061120014e-09,2.9064739085323967e-07,6.584871061120014e-09
1724,2.8710641940067815e-07,6.584871061120014e-09,2.8710641940067815e-07,6.584871061120014e-09
1725,6.38847453667982e-07,6.584871061120014e-09,6.38847453667982e-07,6.584871061120014e-09
1726,9.89962463750414e-07,6.3874980225721495e-09,9.89962463750414e-07,6.3874980225721495e-09
1727,1.0402673648205303e-06,6.3874980225721495e-09,1.0402673648205303e-06,6.3874980225721495e-09
1728,1.2083739966734747e-06,6.3874980225721495e-09,1.2083739966734747e-06,6.3874980225721495e-09
1729,1.1915632133049518e-06,6.3874980225721495e-09,1.1915632133049518e-06,6.3874980225721495e-09
1730,1.2670694248738203e-06,6.3874980225721495e-09,1.2670694248738203e-06,6.3874980225721495e-09
1731,1.2762278040716929e-06,1.335423758876329e-08,1.2762278040716929e-06,1.335423758876329e-08
1732,7.79202228581458e-07,1.335423758876329e-08,7.79202228581458e-07,1.335423758876329e-08
1733,4.2852711702932667e-07,6.966739566191141e-09,4.2852711702932667e-07,6.966739566191141e-09
1734,3.9107034918320747e-07,6.966739566191141e-09,3.9107034918320747e-07,6.966739566191141e-09
1735,2.2255124727215453e-07,6.966739566191141e-09,2.2255124727215453e-07,6.966739566191141e-09
1736,2.327162452583512e-07,6.966739566191141e-09,2.327162452583512e-07,6.966739566191141e-09
1737,1.4709903695120374e-07,6.966739566191141e-09,1.4709903695120374e-07,6.966739566191141e-09
1738,1.5365790062560336e-07,0.0,1.5365790062560336e-07,0.0
1739,2.3847496269776715e-07,0.0,2.3847496269776715e-07,0.0
1740,2.838611448753779e-07,0.0,2.838611448753779e-07,0.0
1741,3.063629126894999e-07,0.0,3.063629126894999e-07,0.0
1742,3.1238207043315924e-07,0.0,3.1238207043315924e-07,0.0
