ngram,PG,PG,PE,PE
1600,8.84678326786213e-08,8.84678326786213e-08,4.6654141832342635e-07,4.6654141832342635e-07
1601,8.84678326786213e-08,8.84678326786213e-08,1.0525130034823503e-06,1.0525130034823503e-06
1602,8.84678326786213e-08,8.84678326786213e-08,1.0525130034823503e-06,1.0525130034823503e-06
1603,8.84678326786213e-08,8.84678326786213e-08,1.464623112821885e-06,1.464623112821885e-06
1604,8.84678326786213e-08,8.84678326786213e-08,1.2224989274857632e-06,1.2224989274857632e-06
1605,0.0,0.0,1.2224989274857632e-06,1.2224989274857632e-06
1606,0.0,0.0,1.1045877792119946e-06,1.1045877792119946e-06
1607,0.0,0.0,9.980816944984587e-07,9.980816944984587e-07
1608,0.0,0.0,6.117877059555862e-07,6.117877059555862e-07
1609,0.0,0.0,6.117877059555862e-07,6.117877059555862e-07
1610,0.0,0.0,1.996775966160515e-07,1.996775966160515e-07
1611,1.0241227853059951e-07,1.0241227853059951e-07,1.996775966160515e-07,1.996775966160515e-07
1612,1.0241227853059951e-07,1.0241227853059951e-07,1.996775966160515e-07,1.996775966160515e-07
1613,1.0241227853059951e-07,1.0241227853059951e-07,3.594880776550521e-07,3.594880776550521e-07
1614,1.0241227853059951e-07,1.0241227853059951e-07,3.594880776550521e-07,3.594880776550521e-07
1615,1.0241227853059951e-07,1.0241227853059951e-07,1.598104810390006e-07,1.598104810390006e-07
1616,1.0241227853059951e-07,1.0241227853059951e-07,1.598104810390006e-07,1.598104810390006e-07
1617,1.0241227853059951e-07,1.0241227853059951e-07,1.598104810390006e-07,1.598104810390006e-07
1618,0.0,0.0,1.598104810390006e-07,1.598104810390006e-07
1619,0.0,0.0,7.22482955747442e-07,7.22482955747442e-07
1620,6.9509852827260536e-06,6.9509852827260536e-06,6.63411388554128e-07,6.63411388554128e-07
1621,6.9509852827260536e-06,6.9509852827260536e-06,6.63411388554128e-07,6.63411388554128e-07
1622,6.9509852827260536e-06,6.9509852827260536e-06,8.74456613278848e-07,8.74456613278848e-07
1623,6.9509852827260536e-06,6.9509852827260536e-06,8.74456613278848e-07,8.74456613278848e-07
1624,6.9509852827260536e-06,6.9509852827260536e-06,8.74456613278848e-07,8.74456613278848e-07
1625,6.9509852827260536e-06,6.9509852827260536e-06,8.74456613278848e-07,8.74456613278848e-07
1626,6.9509852827260536e-06,6.9509852827260536e-06,1.2302714042432074e-06,1.2302714042432074e-06
1627,0.0,0.0,1.4490751709672622e-06,1.4490751709672622e-06
1628,1.0547371597827545e-05,1.0547371597827545e-05,1.7111216753359519e-06,1.7111216753359519e-06
1629,1.0547371597827545e-05,1.0547371597827545e-05,1.5000764506112318e-06,1.5000764506112318e-06
1630,1.0547371597827545e-05,1.0547371597827545e-05,1.586325449157552e-06,1.586325449157552e-06
1631,1.0547371597827545e-05,1.0547371597827545e-05,1.586325449157552e-06,1.586325449157552e-06
1632,1.0547371597827545e-05,1.0547371597827545e-05,1.6779515833929639e-06,1.6779515833929639e-06
1633,1.0547371597827545e-05,1.0547371597827545e-05,7.59464317720163e-07,7.59464317720163e-07
1634,1.0547371597827545e-05,1.0547371597827545e-05,5.633398002048904e-07,5.633398002048904e-07
1635,0.0,0.0,3.836130092947444e-07,3.836130092947444e-07
1636,0.0,0.0,4.704574182921663e-07,4.704574182921663e-07
1637,0.0,0.0,4.5736854709892736e-07,4.5736854709892736e-07
1638,0.0,0.0,5.920386213022409e-07,5.920386213022409e-07
1639,8.87720671016723e-06,8.87720671016723e-06,5.00412487066829e-07,5.00412487066829e-07
1640,8.87720671016723e-06,8.87720671016723e-06,5.00412487066829e-07,5.00412487066829e-07
1641,8.87720671016723e-06,8.87720671016723e-06,4.367164113513614e-07,4.367164113513614e-07
1642,8.87720671016723e-06,8.87720671016723e-06,3.543966978928178e-07,3.543966978928178e-07
1643,8.87720671016723e-06,8.87720671016723e-06,2.6755228889539596e-07,2.6755228889539596e-07
1644,8.87720671016723e-06,8.87720671016723e-06,2.860536280227929e-07,2.860536280227929e-07
1645,8.87720671016723e-06,8.87720671016723e-06,1.5138355381947933e-07,1.5138355381947933e-07
1646,0.0,0.0,3.5286037457028995e-07,3.5286037457028995e-07
1647,0.0,0.0,3.5286037457028995e-07,3.5286037457028995e-07
1648,0.0,0.0,3.8483675877744516e-07,3.8483675877744516e-07
1649,0.0,0.0,4.6306453376538617e-07,4.6306453376538617e-07
1650,0.0,0.0,4.6306453376538617e-07,4.6306453376538617e-07
1651,4.300008121000636e-08,4.300008121000636e-08,3.714030672849081e-07,3.714030672849081e-07
1652,4.300008121000636e-08,4.300008121000636e-08,4.2707446417417874e-07,4.2707446417417874e-07
1653,4.300008121000636e-08,4.300008121000636e-08,6.024765265725104e-07,6.024765265725104e-07
1654,4.300008121000636e-08,4.300008121000636e-08,6.024765265725104e-07,6.024765265725104e-07
