ngram,General Motors
1898,9.824716764345837e-09
1899,9.120957745031459e-09
1900,9.033456246920757e-09
1901,9.67985854963668e-09
1902,9.542875362938169e-09
1903,1.105499415819468e-08
1904,5.060506458320901e-09
1905,6.988138924666844e-09
1906,2.4290896310270275e-08
1907,5.2973308152713475e-08
1908,8.079374318776494e-08
1909,1.2471142518677425e-07
1910,1.7013762132478405e-07
1911,2.1046919584932766e-07
1912,2.708058133293889e-07
1913,3.3210911202071915e-07
1914,3.9718509624110864e-07
1915,5.196605578865794e-07
1916,6.751425262661672e-07
1917,8.364252640343953e-07
1918,1.0294985283313248e-06
1919,1.2114209084757022e-06
1920,1.4370297581730744e-06
1921,1.6764448348892204e-06
1922,1.908969563503758e-06
1923,2.1253709649369867e-06
1924,2.4229340819407038e-06
1925,2.7595717710937606e-06
1926,3.0616174951449338e-06
1927,3.312989455090636e-06
1928,3.4825030265242925e-06
1929,3.633287665901922e-06
1930,3.736788260409542e-06
1931,3.959075911552645e-06
1932,3.956643403008846e-06
1933,4.2254474205297555e-06
1934,4.6005308961736906e-06
1935,4.891943003063456e-06
1936,5.358217224836283e-06
1937,5.847674466557302e-06
1938,6.204666078701848e-06
1939,6.609585722929166e-06
1940,6.659812048123318e-06
1941,6.66101063221244e-06
1942,6.9253959346886925e-06
1943,6.956347663487707e-06
1944,6.810574307434893e-06
1945,6.560043727534191e-06
1946,6.4457711752246335e-06
1947,6.52038170301239e-06
1948,6.528721639499833e-06
1949,6.402388277950065e-06
1950,6.3677169107125205e-06
1951,6.449551619880367e-06
1952,7.050970517801554e-06
1953,7.782528817707706e-06
1954,8.090201520514842e-06
1955,8.285959600990672e-06
1956,8.425187258710918e-06
1957,8.289173495411109e-06
1958,8.401815973359459e-06
1959,7.73628250629242e-06
1960,6.819417714203675e-06
1961,6.417025490788676e-06
1962,6.028751223701485e-06
1963,5.608291693144045e-06
1964,5.38287927806128e-06
1965,4.97661351671143e-06
1966,4.872887659855353e-06
1967,4.889119671653523e-06
1968,4.705628920679114e-06
1969,4.622164851753041e-06
1970,4.709428204867956e-06
1971,4.795394748465956e-06
1972,4.783380908130701e-06
1973,4.7152294168232145e-06
1974,4.681903711960851e-06
1975,4.628548789956507e-06
1976,4.608519637778434e-06
1977,4.554654684138118e-06
1978,4.447786263231787e-06
1979,4.439349660450327e-06
1980,4.425707174959825e-06
1981,4.373875331761415e-06
1982,4.379714612566334e-06
1983,4.380492100608535e-06
1984,4.285215059748485e-06
1985,4.224965193446094e-06
1986,4.113074932580016e-06
1987,4.060108884524587e-06
1988,3.970857895702855e-06
1989,3.897984567759392e-06
1990,3.7693111737878226e-06
1991,3.730632442966453e-06
1992,3.646316437360448e-06
1993,3.587932464402651e-06
1994,3.4814602583667565e-06
1995,3.436135167638505e-06
1996,3.325471165486046e-06
1997,3.2000413544405352e-06
1998,3.0446783512161346e-06
1999,2.955171989274926e-06
2000,2.840548047190948e-06
2001,2.7290174914794207e-06
2002,2.584148173160169e-06
2003,2.4496714883883086e-06
2004,2.34089381072928e-06
2005,2.210607444145093e-06
2006,2.077766485594371e-06
2007,1.96277442552985e-06
2008,1.8542943962529534e-06
2009,1.7027219233308903e-06
2010,1.5733515315982264e-06
2011,1.4359567655576808e-06
2012,1.3307089992460014e-06
2013,1.2436281459875836e-06
2014,1.141909811914437e-06
2015,1.0470727228753925e-06
2016,9.831359761847125e-07
2017,9.516957959476713e-07
2018,9.388235980622994e-07
2019,8.937754358839811e-07
