ngram,SSE,SE,SS,SE
1707,0.0,1.6725730672208426e-06,8.609244202619135e-07,1.6725730672208426e-06
1708,0.0,1.56584176888178e-06,8.026731604461799e-07,1.56584176888178e-06
1709,4.8100064629709646e-08,2.0473207119461482e-06,9.71382080803908e-07,2.0473207119461482e-06
1710,4.8100064629709646e-08,2.140286207057735e-06,8.255917854122734e-07,2.140286207057735e-06
1711,5.7792393347101875e-08,2.2246215069441988e-06,9.975753089617813e-07,2.2246215069441988e-06
1712,3.2937788928068456e-07,3.744240789923684e-06,1.2444688926344888e-06,3.744240789923684e-06
1713,3.6183193482689345e-07,3.911924328089558e-06,1.6318584893529727e-06,3.911924328089558e-06
1714,3.7140354537866317e-07,3.838157194227928e-06,1.6686414109504507e-06,3.838157194227928e-06
1715,3.7140354537866317e-07,3.915299836470305e-06,1.8133051266236829e-06,3.915299836470305e-06
1716,3.3215843891249666e-07,3.7061819934284098e-06,1.7846685977929155e-06,3.7061819934284098e-06
1717,3.3215843891249666e-07,3.7132987245058757e-06,1.8972700185518728e-06,3.7132987245058757e-06
1718,3.2246611019510443e-07,3.916171765792699e-06,1.8581980449588237e-06,3.916171765792699e-06
1719,5.088061426152178e-08,2.5763931392118266e-06,2.0307734303059988e-06,2.5763931392118266e-06
1720,1.8426568715312897e-08,2.873833409466897e-06,1.7813089730874968e-06,2.873833409466897e-06
1721,8.854958163543155e-09,3.149596458180375e-06,1.8663078792867185e-06,3.149596458180375e-06
1722,8.854958163543155e-09,3.167375455502354e-06,1.7604454894483621e-06,3.167375455502354e-06
1723,0.0,3.3378341868228745e-06,1.7286378286891185e-06,3.3378341868228745e-06
1724,0.0,3.762969299714314e-06,2.0113767180061714e-06,3.762969299714314e-06
1725,7.352953040091441e-09,3.998938447174234e-06,2.053127299664733e-06,3.998938447174234e-06
1726,7.352953040091441e-09,4.603453882217374e-06,1.6415099415618378e-06,4.603453882217374e-06
1727,7.352953040091441e-09,5.000581560515067e-06,1.586049636768751e-06,5.000581560515067e-06
1728,1.3832513039752875e-08,5.579254645583985e-06,1.6067918977569207e-06,5.579254645583985e-06
1729,2.020448976379287e-08,5.594172437538093e-06,1.6306555120796214e-06,5.594172437538093e-06
1730,2.020448976379287e-08,5.84222094143375e-06,1.5945555722802446e-06,5.84222094143375e-06
1731,4.110470846236629e-08,5.379979191794908e-06,1.2524749308795435e-06,5.379979191794908e-06
1732,3.375175542227485e-08,4.962295861332677e-06,1.086024196540945e-06,4.962295861332677e-06
1733,3.375175542227485e-08,4.292838736676328e-06,1.328675206683069e-06,4.292838736676328e-06
1734,3.375175542227485e-08,3.533516779238458e-06,1.493119871806162e-06,3.533516779238458e-06
1735,2.727219542261342e-08,3.4600053108338865e-06,1.8677341131478897e-06,3.4600053108338865e-06
1736,2.0900218698573425e-08,4.539463394134405e-06,1.7940529427765535e-06,4.539463394134405e-06
1737,2.0900218698573425e-08,4.099305962362061e-06,1.6901596252085125e-06,4.099305962362061e-06
1738,0.0,4.133513324891932e-06,1.6936120670964426e-06,4.133513324891932e-06
1739,0.0,6.176919734051418e-06,1.7701595425023697e-06,6.176919734051418e-06
1740,0.0,6.573571259390779e-06,1.501281133187149e-06,6.573571259390779e-06
1741,5.9413507764410105e-09,6.7430735271045705e-06,1.4866014989170902e-06,6.7430735271045705e-06
1742,5.9413507764410105e-09,6.012956873746589e-06,1.0253004753784417e-06,6.012956873746589e-06
1743,1.5572744363875505e-08,5.5361075023288975e-06,1.1035627705626081e-06,5.5361075023288975e-06
1744,2.8964925949789437e-08,5.579052607832377e-06,1.214915390132124e-06,5.579052607832377e-06
1745,2.8964925949789437e-08,5.363645008011579e-06,1.2551638763268005e-06,5.363645008011579e-06
1746,3.8920880233003375e-08,4.350518322228579e-06,1.2690679065079685e-06,4.350518322228579e-06
1747,3.8920880233003375e-08,4.070124613722978e-06,1.2906866361715532e-06,4.070124613722978e-06
1748,3.2979529456562366e-08,3.987318661659499e-06,1.0644867367253546e-06,3.987318661659499e-06
1749,4.289009020957175e-08,3.7759559583199528e-06,1.040267095829352e-06,3.7759559583199528e-06
1750,3.655742806886662e-08,3.206810739746808e-06,9.430376378207126e-07,3.206810739746808e-06
1751,2.6734385118386073e-08,3.0548638960681274e-06,9.018817844922264e-07,3.0548638960681274e-06
1752,3.06329752675083e-08,3.0595187386747317e-06,8.90384033677297e-07,3.0595187386747317e-06
1753,2.067702098429436e-08,2.137211270434948e-06,8.367051691493543e-07,2.137211270434948e-06
1754,4.159736428326661e-08,2.9969885092993664e-06,8.749847130015301e-07,2.9969885092993664e-06
1755,4.159736428326661e-08,2.9369905730293666e-06,9.768703778588263e-07,2.9369905730293666e-06
1756,3.775774461343774e-08,2.934165130292448e-06,9.39097203302351e-07,2.934165130292448e-06
1757,3.445901316670838e-08,2.8725164448977532e-06,1.0603985661613739e-06,2.8725164448977532e-06
1758,3.088987453127499e-08,2.891528652071429e-06,1.0694431336690156e-06,2.891528652071429e-06
1759,3.394887418802942e-08,3.0988799640648982e-06,9.709598641295867e-07,3.0988799640648982e-06
1760,3.661024118782409e-08,3.0555438408035636e-06,9.58491308925399e-07,3.0555438408035636e-06
1761,1.846546534725998e-08,2.201662076523852e-06,9.744403217025268e-07,2.201662076523852e-06
1762,3.456095752442577e-08,2.126487402165367e-06,8.637642525042923e-07,2.126487402165367e-06
1763,3.132869100649519e-08,2.2213684880106096e-06,1.0537289329347134e-06,2.2213684880106096e-06
1764,3.41393706954867e-08,2.240321399377925e-06,1.138971242653497e-06,2.240321399377925e-06
1765,3.708677910805948e-08,2.201044870681861e-06,1.074961655181791e-06,2.201044870681861e-06
1766,3.353024144051428e-08,2.120371391356457e-06,1.1345479963763085e-06,2.120371391356457e-06
1767,3.08688744407196e-08,2.008934481117259e-06,1.1444577288395003e-06,2.008934481117259e-06
1768,6.02798575499719e-08,1.8631544987459035e-06,1.1820518872290059e-06,1.8631544987459035e-06
1769,4.7230624998308354e-08,1.7771713731105722e-06,1.2332909510145588e-06,1.7771713731105722e-06
1770,6.457240152103947e-08,1.750060943907426e-06,1.260734758748835e-06,1.750060943907426e-06
1771,7.492494117197371e-08,1.6636305904934749e-06,1.110586830626354e-06,1.6636305904934749e-06
1772,7.988577799267205e-08,1.6224307728407439e-06,1.1404769354937474e-06,1.6224307728407439e-06
1773,9.205587098953011e-08,1.5356707925613072e-06,1.1064531528453308e-06,1.5356707925613072e-06
1774,9.472833412920473e-08,1.5361514117882637e-06,1.1022767044518593e-06,1.5361514117882637e-06
1775,6.543047272243387e-08,1.5054181403684197e-06,1.007579320295398e-06,1.5054181403684197e-06
1776,6.238421309693162e-08,1.4969432251226472e-06,9.7628004271298e-07,1.4969432251226472e-06
1777,4.2203762008950566e-08,1.4272589266641132e-06,7.524308947332819e-07,1.4272589266641132e-06
1778,3.1821686365317096e-08,1.396679262403008e-06,7.966047600608103e-07,1.396679262403008e-06
1779,4.4406926897571404e-08,1.4774529160734216e-06,8.316078330088723e-07,1.4774529160734216e-06
1780,3.8232343005769765e-08,1.3836039118229695e-06,8.363527561933941e-07,1.3836039118229695e-06
1781,4.89474977375234e-08,1.4000435320277965e-06,1.0817246577841746e-06,1.4000435320277965e-06
1782,4.605880857663383e-08,1.4713218173970484e-06,1.144638677682711e-06,1.4713218173970484e-06
1783,5.9106403327291446e-08,1.5984096372838913e-06,1.2019511927974236e-06,1.5984096372838913e-06
1784,6.243534755867586e-08,1.5464557756266523e-06,1.2271828982842895e-06,1.5464557756266523e-06
1785,6.936293799648346e-08,1.5818524648888603e-06,1.2010403988175052e-06,1.5818524648888603e-06
1786,4.5223905763082583e-07,1.4740063209371459e-06,1.1493052300336006e-06,1.4740063209371459e-06
1787,4.467099211171087e-07,1.6255496088238682e-06,1.1800137826867285e-06,1.6255496088238682e-06
1788,4.4508127190161826e-07,1.5746667259008973e-06,9.46817676452026e-07,1.5746667259008973e-06
1789,4.520615808039403e-07,1.5121170398353051e-06,8.95647856071134e-07,1.5121170398353051e-06
1790,4.5890125705787863e-07,1.4708727868700017e-06,8.905462566742374e-07,1.4708727868700017e-06
1791,4.588302116660868e-07,1.4753485402252409e-06,9.131789754844379e-07,1.4753485402252409e-06
1792,4.5347452573959603e-07,1.4308812329285762e-06,8.291631924553908e-07,1.4308812329285762e-06
1793,5.109094246082334e-08,1.4074266638479976e-06,1.0253722604959746e-06,1.4074266638479976e-06
1794,5.520740226876748e-08,1.282826653031017e-06,1.064951017529633e-06,1.282826653031017e-06
1795,5.786259090280664e-07,3.199941569878969e-06,1.6251491225765285e-06,3.199941569878969e-06
1796,5.76386408252765e-07,3.2417019610875286e-06,2.339097745464512e-06,3.2417019610875286e-06
1797,5.689714573137954e-07,3.1537665076289808e-06,2.605163306920336e-06,3.1537665076289808e-06
1798,6.328377349135954e-07,4.027039527240309e-06,2.6318060122321185e-06,4.027039527240309e-06
1799,6.459070057854685e-07,4.2555363799173e-06,2.738862398083646e-06,4.2555363799173e-06
1800,6.457443114829939e-07,4.2507786994454885e-06,2.5945579571790792e-06,4.2507786994454885e-06
1801,6.953386444408238e-07,4.4008230263768515e-06,2.598750873923044e-06,4.4008230263768515e-06
1802,1.983643275035466e-07,2.5179168038188697e-06,2.1297989210974525e-06,2.5179168038188697e-06
1803,2.2802151443203555e-07,2.7108241056339466e-06,1.4928929528780697e-06,2.7108241056339466e-06
1804,3.134790851027398e-07,3.231473556297715e-06,1.2186271435764086e-06,3.231473556297715e-06
